FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;817;304;0;66;11;8;819;BR5270;0,3 uM CBD
0;1;616;346;0;67;12;9;16352;;
0;2;718;349;0;83;22;23;50245;;
0;3;495;394;0;65;19;7;1145;;
0;4;405;468;0;53;19;20;34953;;
0;5;1006;474;0;71;6;13;615;;
0;6;511;543;0;101;11;15;4415;;
0;7;960;515;0;72;11;9;4479;;
0;8;386;570;0;56;17;20;12428;;
0;9;416;578;0;59;11;11;4383;;
0;10;682;603;0;86;20;20;32787;;
0;11;436;623;0;67;22;25;52289;;
0;12;867;645;0;88;21;14;4915;;
0;13;485;664;0;82;11;7;4383;;
0;14;723;722;0;57;11;10;4383;;
0;15;1080;715;0;69;15;8;4479;;
0;16;832;752;0;68;20;23;57913;;
0;17;585;771;0;81;11;7;4383;;
0;18;852;787;0;56;13;17;15124;;
0;19;965;811;0;84;5;15;13119;;
0;20;705;839;0;86;12;9;3952;;
0;21;647;905;0;76;9;10;4415;;
0;22;955;923;0;84;21;13;3537;;
3;0;817;304;1;66;11;8;819;;
3;1;615;346;0;72;14;8;4990;;
3;2;720;347;0;87;21;21;51345;;
3;3;495;394;0;60;14;7;3537;;
3;4;404;468;0;56;20;16;34969;;
3;5;1006;474;0;72;6;15;4919;;
3;6;511;542;0;107;12;15;4415;;
3;7;960;515;0;76;11;9;4415;;
3;8;386;570;0;62;16;21;4364;;
3;9;416;581;0;57;11;12;55;;
3;10;682;603;0;100;23;21;52243;;
3;11;435;623;0;69;7;12;8806;;
3;12;867;644;0;87;10;13;1919;;
3;13;485;664;1;82;11;7;4383;;
3;14;723;722;1;57;11;10;4383;;
3;15;1080;715;0;70;13;7;383;;
3;16;832;752;0;68;12;22;17507;;
3;17;585;771;0;82;11;7;4415;;
3;18;852;787;0;51;13;16;14596;;
3;19;965;811;0;78;7;15;13087;;
3;20;705;839;0;88;12;9;3952;;
3;21;647;905;0;83;9;11;4415;;
3;22;955;923;0;79;21;13;3473;;
3;23;989;266;0;56;5;13;8806;;
3;24;831;421;0;69;11;9;4383;;
3;25;851;651;0;65;27;13;477;;
4;0;817;304;0;63;11;7;4383;;
4;1;615;346;0;69;12;8;16352;;
4;2;720;347;1;87;21;21;51345;;
4;3;495;393;0;57;14;7;3537;;
4;4;405;468;0;59;19;20;34957;;
4;5;1006;474;0;76;7;13;870;;
4;6;511;543;0;106;11;15;4415;;
4;7;960;515;1;76;11;9;4415;;
4;8;386;570;0;57;17;20;12428;;
4;9;416;581;1;57;11;12;55;;
4;10;682;603;1;100;23;21;52243;;
4;11;436;623;0;66;22;25;52289;;
4;12;867;645;0;86;10;12;1919;;
4;13;485;664;2;82;11;7;4383;;
4;14;723;722;2;57;11;10;4383;;
4;15;1080;714;0;70;14;7;4991;;
4;16;831;752;0;69;21;22;41529;;
4;17;585;771;0;85;11;7;4383;;
4;18;852;787;0;54;13;16;15124;;
4;19;965;811;0;84;7;16;9828;;
4;20;706;839;0;90;12;9;3952;;
4;21;647;904;0;76;8;11;4383;;
4;22;955;923;0;88;21;13;3473;;
4;23;988;266;0;54;5;13;13110;;
4;24;831;421;1;69;11;9;4383;;
4;25;851;651;1;65;27;13;477;;
4;26;503;352;0;64;21;32;33569;;
4;27;943;435;0;81;9;10;4383;;
4;28;915;475;0;55;18;21;4488;;
4;29;851;549;0;83;9;10;4447;;
