FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;508;401;0;75;8;13;9014;BR5270;ET 1.1000
0;1;551;379;0;61;10;10;4383;;
0;2;599;383;0;81;9;10;4383;;
0;3;817;438;0;72;7;12;4983;;
0;4;574;478;0;77;10;10;4415;;
0;5;853;542;0;51;27;22;4408;;
0;6;955;535;0;75;15;8;5489;;
0;7;760;578;0;78;11;19;13102;;
0;8;834;558;0;77;25;11;4588;;
0;9;808;606;0;96;14;25;17507;;
0;10;889;608;0;95;19;20;34867;;
0;11;817;623;0;89;16;27;17955;;
0;12;832;643;0;67;16;18;50275;;
0;13;903;625;0;81;19;21;49203;;
0;14;462;657;0;81;21;22;4383;;
0;15;814;675;0;76;10;9;4383;;
0;16;401;700;0;53;18;20;5320;;
0;17;929;689;0;102;11;11;4383;;
0;18;873;740;0;56;21;7;2491;;
0;19;901;789;0;65;23;14;7601;;
0;20;481;806;0;89;12;9;4080;;
0;21;592;855;0;55;12;8;1849;;
0;22;787;882;0;82;25;10;3856;;
0;23;804;887;0;72;23;25;57600;;
0;24;809;907;0;70;10;21;16391;;
3;0;508;401;0;67;7;13;8998;;
3;1;552;379;0;61;9;13;1335;;
3;2;598;383;0;82;9;10;4383;;
3;3;817;438;0;71;6;12;4983;;
3;4;574;477;0;80;10;9;4415;;
3;5;855;538;0;59;25;19;4408;;
3;6;951;535;0;77;14;8;1489;;
3;7;760;576;0;74;13;19;12575;;
3;8;834;558;0;81;25;11;4588;;
3;9;808;605;0;84;14;23;17475;;
3;10;889;608;1;95;19;20;34867;;
3;11;817;621;0;92;16;30;17955;;
3;12;833;643;0;73;17;19;50275;;
3;13;903;625;0;89;19;22;32819;;
3;14;463;656;0;50;20;22;4383;;
3;15;814;676;0;77;10;9;4383;;
3;16;401;700;1;53;18;20;5320;;
3;17;929;689;1;102;11;11;4383;;
3;18;873;740;0;56;20;7;2480;;
3;19;901;789;1;65;23;14;7601;;
3;20;481;805;0;86;12;9;4080;;
3;21;592;855;1;55;12;8;1849;;
3;22;787;882;0;86;26;10;4048;;
3;23;804;885;0;69;19;11;3857;;
3;24;809;907;0;73;11;21;16391;;
4;0;508;401;0;67;7;13;9014;;
4;1;551;379;0;62;10;12;806;;
4;2;598;383;0;80;9;10;4415;;
4;3;817;438;1;71;6;12;4983;;
4;4;574;477;0;80;10;9;4383;;
4;5;853;538;0;50;27;19;5948;;
4;6;955;535;0;83;14;7;1937;;
4;7;760;578;0;72;12;18;13102;;
4;8;835;558;0;69;24;18;12572;;
4;9;807;605;0;91;13;23;17507;;
4;10;889;608;2;95;19;20;34867;;
4;11;817;623;0;93;16;28;17955;;
4;12;833;643;0;74;17;19;50275;;
4;13;903;625;0;86;20;22;49203;;
4;14;463;658;0;73;20;18;4889;;
4;15;814;675;0;86;10;11;4383;;
4;16;401;700;2;53;18;20;5320;;
4;17;929;689;2;102;11;11;4383;;
4;18;872;741;0;53;20;14;2456;;
4;19;901;789;2;65;23;14;7601;;
4;20;481;806;0;96;12;9;4080;;
4;21;592;855;2;55;12;8;1849;;
4;22;786;883;0;78;24;10;3856;;
4;23;804;885;0;66;19;10;3985;;
4;24;809;908;0;63;10;20;38;;
4;25;605;626;0;68;8;13;4415;;
5;0;508;400;0;66;7;13;9014;;
5;1;551;380;0;65;9;12;806;;
5;2;598;383;0;83;9;10;4383;;
5;3;817;438;2;71;6;12;4983;;
5;4;574;477;0;77;10;9;4383;;
5;5;854;538;0;64;15;15;4383;;
5;6;955;535;0;77;15;7;4607;;
5;7;760;577;0;73;10;19;13118;;
5;8;834;558;0;88;25;18;12702;;
5;9;808;605;0;90;13;23;17507;;
5;10;890;608;0;90;20;20;34867;;
5;11;819;625;0;84;15;25;50723;;
5;12;833;643;1;74;17;19;50275;;
5;13;903;624;0;86;20;22;49203;;
5;14;463;658;1;73;20;18;4889;;
5;15;814;675;0;70;10;9;4383;;
5;16;401;700;3;53;18;20;5320;;
5;17;929;689;3;102;11;11;4383;;
5;18;873;739;0;52;20;7;2480;;
5;19;901;789;3;65;23;14;7601;;
5;20;481;806;0;96;12;9;4080;;
5;21;592;855;3;55;12;8;1849;;
5;22;786;883;0;77;24;10;3856;;
5;23;804;885;0;70;19;10;3985;;
5;24;808;907;0;64;10;21;16391;;
5;25;605;626;1;68;8;13;4415;;
5;26;1050;572;0;54;8;10;4383;;
5;27;793;966;0;56;21;24;16589;;
6;0;508;401;0;66;7;13;9014;;
6;1;551;379;0;72;11;11;4383;;
6;2;599;383;0;75;9;10;4383;;
6;3;817;438;0;70;6;12;4983;;
6;4;574;477;0;76;11;9;4415;;
6;5;862;546;0;57;15;15;4383;;
6;6;955;535;0;80;15;8;4383;;
6;7;760;577;0;68;10;19;13118;;
6;8;835;558;0;81;26;11;12780;;
6;9;808;607;0;89;13;25;17507;;
6;10;890;609;0;94;20;21;34867;;
6;11;818;623;0;89;16;28;17955;;
6;12;833;643;0;71;17;19;50275;;
6;13;903;625;0;90;20;22;49203;;
6;14;463;658;2;73;20;18;4889;;
6;15;814;676;0;79;9;11;4383;;
6;16;401;700;4;53;18;20;5320;;
6;17;929;691;0;90;11;9;4383;;
6;18;873;740;0;51;21;7;2491;;
6;19;901;789;4;65;23;14;7601;;
6;20;481;806;0;90;11;9;4383;;
6;21;592;855;4;55;12;8;1849;;
6;22;786;883;0;78;24;10;3856;;
6;23;804;886;0;75;19;11;3857;;
6;24;808;908;0;69;9;20;102;;
6;25;605;626;2;68;8;13;4415;;
6;26;1050;572;1;54;8;10;4383;;
6;27;793;966;1;56;21;24;16589;;
6;28;609;334;0;55;19;20;51203;;
7;0;507;401;0;63;7;12;8742;;
7;1;551;379;0;54;8;12;802;;
7;2;599;383;0;83;10;10;4415;;
7;3;817;438;0;69;6;12;4983;;
7;4;573;477;0;78;10;9;4415;;
7;5;859;538;0;60;15;14;4383;;
7;6;955;535;0;77;14;7;4369;;
7;7;760;578;0;78;11;19;13118;;
7;8;835;558;0;67;24;11;4576;;
7;9;808;605;0;93;12;25;25666;;
7;10;891;609;0;97;20;21;34867;;
7;11;817;623;0;97;16;27;17955;;
7;12;833;643;0;73;17;19;50275;;
7;13;903;625;0;90;19;22;49203;;
7;14;463;658;3;73;20;18;4889;;
7;15;814;675;0;74;8;10;4383;;
7;16;401;700;5;53;18;20;5320;;
7;17;929;691;1;90;11;9;4383;;
7;18;873;740;1;51;21;7;2491;;
7;19;901;789;5;65;23;14;7601;;
7;20;481;806;0;95;12;9;1008;;
7;21;592;855;5;55;12;8;1849;;
7;22;786;883;0;77;25;10;3856;;
7;23;804;886;0;75;19;10;3985;;
7;24;808;908;0;61;10;20;39;;
7;25;605;626;3;68;8;13;4415;;
7;26;1049;572;0;64;8;10;4383;;
7;27;793;966;2;56;21;24;16589;;
7;28;609;334;1;55;19;20;51203;;
8;0;508;400;0;69;7;13;9014;;
8;1;551;379;0;67;11;24;26210;;
8;2;598;383;0;81;9;10;4383;;
8;3;817;438;1;69;6;12;4983;;
8;4;574;477;0;83;11;9;4383;;
8;5;862;546;0;54;15;15;4383;;
8;6;955;535;0;80;14;7;4383;;
8;7;760;578;0;82;11;19;13102;;
8;8;834;558;0;84;25;11;4588;;
8;9;808;605;0;80;13;23;17507;;
8;10;890;608;0;92;20;20;34867;;
8;11;818;623;0;88;16;28;17955;;
8;12;833;643;0;68;17;19;50275;;
8;13;902;625;0;84;19;21;49203;;
8;14;463;658;4;73;20;18;4889;;
8;15;814;677;0;76;9;11;4383;;
8;16;401;700;6;53;18;20;5320;;
8;17;929;691;2;90;11;9;4383;;
8;18;873;740;0;57;20;8;2489;;
8;19;901;789;6;65;23;14;7601;;
8;20;481;806;0;96;11;9;4383;;
8;21;591;855;0;49;12;9;1841;;
8;22;786;883;0;78;24;10;3856;;
8;23;804;886;0;70;21;24;57600;;
8;24;809;907;0;66;11;21;16391;;
8;25;605;626;4;68;8;13;4415;;
8;26;1049;572;1;64;8;10;4383;;
8;27;793;966;3;56;21;24;16589;;
8;28;610;334;0;50;17;20;52227;;
8;29;673;411;0;79;7;11;4383;;
9;0;508;401;0;66;7;13;9014;;
9;1;551;379;0;66;10;17;1910;;
9;2;598;383;0;85;10;11;4383;;
9;3;817;438;0;70;19;17;275;;
9;4;574;477;0;83;11;9;4383;;
9;5;862;546;1;54;15;15;4383;;
9;6;956;535;0;81;14;7;5395;;
9;7;759;578;0;74;11;18;13100;;
9;8;834;558;0;80;26;11;4588;;
9;9;808;605;1;80;13;23;17507;;
