FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;775;197;0;70;19;14;4377;BR5271;ETANOL
0;1;717;241;0;75;11;15;13094;;
0;2;756;205;0;91;24;20;4568;;
0;3;680;262;0;77;12;17;13118;;
0;4;795;272;0;63;23;22;52225;;
0;5;836;245;0;59;10;10;17439;;
0;6;834;280;0;50;18;17;4365;;
0;7;998;277;0;68;14;11;17955;;
0;8;635;336;0;68;7;13;25191;;
0;9;771;332;0;85;9;19;17955;;
0;10;476;375;0;60;5;12;18022;;
0;11;555;367;0;92;19;12;2548;;
0;12;772;390;0;87;5;19;8738;;
0;13;977;397;0;94;15;19;25123;;
0;14;446;429;0;67;16;5;3696;;
0;15;541;450;0;82;9;18;4964;;
0;16;679;422;0;74;8;10;4415;;
0;17;776;414;0;73;11;21;24611;;
0;18;1099;425;0;69;9;12;26214;;
0;19;469;500;0;60;6;14;4919;;
0;20;924;498;0;103;16;23;12807;;
0;21;1147;515;0;69;11;7;887;;
0;22;448;547;0;70;12;9;3889;;
0;23;534;528;0;69;13;7;1143;;
0;24;1024;548;0;79;15;8;503;;
0;25;690;557;0;97;21;10;2290;;
0;26;515;601;0;88;7;19;18035;;
0;27;540;621;0;81;7;13;1910;;
0;28;848;645;0;76;8;13;9087;;
0;29;1016;656;0;95;19;23;4383;;
0;30;570;663;0;78;20;16;40081;;
0;31;870;683;0;85;23;18;4495;;
0;32;896;659;0;70;14;17;13084;;
0;33;993;689;0;72;19;21;12302;;
0;34;570;716;0;80;7;13;18039;;
0;35;1050;715;0;71;11;14;4991;;
0;36;496;746;0;50;5;12;1646;;
0;37;1005;726;0;58;7;11;4927;;
0;38;463;769;0;76;12;8;1657;;
0;39;506;812;0;74;18;12;1996;;
0;40;521;806;0;76;16;13;16264;;
0;41;572;829;0;53;11;10;4447;;
0;42;981;827;0;65;12;10;4940;;
0;43;785;841;0;80;14;15;4927;;
0;44;1025;870;0;80;14;10;1911;;
0;45;885;908;0;100;18;10;4092;;
0;46;923;917;0;64;14;9;895;;
0;47;851;944;0;66;11;14;17203;;
3;0;774;197;0;79;20;15;4504;;
3;1;718;238;0;77;9;15;4982;;
3;2;757;205;0;96;25;20;4568;;
