FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;898;387;0;55;11;7;3827;BR5271;CONTROL
0;1;901;443;0;72;10;11;4383;;
0;2;1064;474;0;71;13;10;887;;
0;3;1102;464;0;56;18;16;4380;;
0;4;801;478;0;73;17;7;510;;
0;5;1141;487;0;56;20;20;12684;;
0;6;1151;570;0;81;17;28;50435;;
0;7;1155;606;0;65;17;18;4383;;
0;8;682;675;0;58;15;4;4607;;
0;9;813;660;0;78;12;10;26417;;
0;10;952;686;0;94;27;21;103;;
0;11;1060;677;0;56;21;28;17601;;
0;12;1127;677;0;63;12;6;1008;;
0;13;711;714;0;69;10;13;4383;;
0;14;756;709;0;73;17;8;3985;;
0;15;1072;718;0;77;20;10;4600;;
0;16;841;749;0;60;11;10;4383;;
0;17;922;729;0;79;22;26;41521;;
0;18;1028;743;0;53;7;15;17203;;
0;19;908;780;0;62;8;20;29190;;
0;20;964;764;0;95;11;9;4383;;
0;21;1094;784;0;57;20;20;51475;;
3;0;898;387;1;55;11;7;3827;;
3;1;898;444;0;69;11;10;382;;
3;2;1065;476;0;83;15;9;895;;
3;3;1102;464;0;51;19;15;4381;;
3;4;799;478;0;79;17;7;1020;;
3;5;1140;487;0;58;20;20;12620;;
3;6;1152;571;0;84;17;30;58881;;
3;7;1156;606;0;64;16;18;4383;;
3;8;684;676;0;65;11;7;4383;;
3;9;813;660;0;78;12;10;1843;;
3;10;952;686;0;79;21;10;3185;;
3;11;1061;677;0;59;21;17;52225;;
3;12;1120;676;0;61;12;6;1008;;
3;13;711;714;0;78;13;15;4415;;
3;14;767;713;0;74;19;6;2418;;
3;15;1072;718;0;83;19;9;4415;;
3;16;839;749;0;72;15;11;831;;
3;17;923;728;0;81;21;27;57905;;
3;18;1027;741;0;60;7;15;21299;;
3;19;908;780;1;62;8;20;29190;;
3;20;964;764;0;97;11;9;4383;;
3;21;1094;784;0;68;20;21;51219;;
4;0;898;387;2;55;11;7;3827;;
4;1;898;444;0;75;11;11;319;;
4;2;1066;475;0;85;13;10;1015;;
4;3;1102;464;1;51;19;15;4381;;
4;4;800;479;0;80;17;9;1020;;
4;5;1140;486;0;69;20;21;12572;;
4;6;1151;571;0;76;17;29;58625;;
4;7;1161;589;0;92;18;35;20791;;
4;8;685;674;0;69;23;13;12798;;
4;9;812;659;0;78;11;11;4383;;
4;10;952;685;0;86;20;10;3187;;
4;11;1061;677;0;64;9;21;8231;;
4;12;1123;676;0;64;11;8;4383;;
4;13;711;715;0;73;11;13;4383;;
4;14;772;713;0;81;20;4;4080;;
4;15;1071;719;0;75;19;10;4415;;
4;16;839;748;0;75;15;9;3455;;
4;17;922;730;0;82;22;28;41521;;
4;18;1027;742;0;58;7;15;21299;;
4;19;907;779;0;70;8;18;30471;;
4;20;962;763;0;92;11;9;4447;;
4;21;1094;784;0;51;20;20;49427;;
5;0;898;387;3;55;11;7;3827;;
5;1;901;443;0;68;10;9;4990;;
5;2;1066;475;0;64;13;9;1023;;
5;3;1102;464;2;51;19;15;4381;;
5;4;801;478;0;74;13;8;6105;;
5;5;1140;486;0;67;20;21;12556;;
5;6;1152;571;0;70;18;29;50945;;
5;7;1156;606;0;63;16;18;4383;;
5;8;685;674;0;60;15;4;4607;;
5;9;813;659;0;81;11;12;59187;;
5;10;953;685;0;88;22;10;3187;;
5;11;1062;677;0;62;22;27;16589;;
5;12;1122;676;0;74;14;8;511;;
5;13;706;718;0;80;13;13;4383;;
5;14;779;713;0;74;20;5;4080;;
5;15;1073;718;0;73;19;9;383;;
5;16;839;748;0;74;15;9;383;;
5;17;922;728;0;75;22;24;57905;;
5;18;1028;744;0;54;7;15;21299;;
5;19;908;780;0;61;7;18;30470;;
5;20;963;763;0;91;10;9;4383;;
5;21;1094;784;0;64;20;21;51219;;
6;0;898;387;0;50;20;15;34931;;
6;1;898;444;0;70;11;10;4383;;
6;2;1065;476;0;87;13;10;823;;
6;3;1102;464;3;51;19;15;4381;;
6;4;801;479;0;78;17;10;2028;;
6;5;1140;486;0;72;20;21;12572;;
6;6;1151;570;0;74;17;28;58371;;
6;7;1156;605;0;62;15;19;4383;;
6;8;686;673;0;66;24;9;14272;;
6;9;813;659;0;83;12;11;63281;;
6;10;952;686;0;87;21;10;3697;;
6;11;1062;677;1;62;22;27;16589;;
6;12;1122;676;0;61;13;7;503;;
6;13;711;714;0;68;11;15;4415;;
6;14;780;713;0;79;21;3;4080;;
6;15;1073;718;0;76;19;11;4415;;
6;16;841;749;0;71;13;8;1331;;
6;17;922;728;0;69;22;24;57905;;
6;18;1028;744;0;53;7;15;21299;;
6;19;908;779;0;48;7;17;30466;;
6;20;963;763;0;100;10;9;4383;;
6;21;1094;784;0;53;19;20;49171;;
6;22;1103;548;0;94;10;15;4383;;
7;0;898;387;1;50;20;15;34931;;
7;1;898;444;0;67;12;10;5116;;
7;2;1065;476;0;69;12;10;895;;
7;3;1102;464;4;51;19;15;4381;;
7;4;800;478;0;77;17;8;1014;;
7;5;1141;486;0;73;21;21;12572;;
7;6;1152;571;0;67;16;29;50691;;
7;7;1156;606;0;62;15;18;4383;;
7;8;686;673;1;66;24;9;14272;;
7;9;813;659;0;83;11;11;4383;;
7;10;953;686;0;93;21;11;3185;;
7;11;1062;677;2;62;22;27;16589;;
7;12;1122;675;0;66;14;8;4607;;
7;13;707;722;0;66;12;13;4383;;
7;14;783;713;0;71;19;5;2033;;
7;15;1072;719;0;78;20;10;5104;;
7;16;841;749;1;71;13;8;1331;;
7;17;923;727;0;84;21;24;57891;;
7;18;1026;742;0;60;7;16;50722;;
7;19;908;780;0;68;8;31;16994;;
7;20;963;764;0;100;10;9;4383;;
7;21;1094;784;0;64;20;20;49427;;
7;22;1103;548;1;94;10;15;4383;;
8;0;898;387;2;50;20;15;34931;;
8;1;901;442;0;72;11;10;4479;;
8;2;1064;474;0;56;13;10;895;;
8;3;1102;464;0;53;17;16;12572;;
8;4;801;478;0;81;17;8;1014;;
8;5;1141;487;0;67;21;20;12556;;
8;6;1152;571;0;78;17;29;50433;;
8;7;1156;605;0;68;16;19;4383;;
8;8;690;672;0;51;21;9;3536;;
8;9;813;659;0;89;11;12;61233;;
8;10;952;685;0;81;24;23;99;;
8;11;1062;677;3;62;22;27;16589;;
8;12;1127;677;0;68;14;8;4607;;
8;13;711;715;0;75;12;13;4383;;
8;14;784;713;0;85;21;8;3824;;
8;15;1072;719;0;75;19;9;4415;;
8;16;841;749;2;71;13;8;1331;;
8;17;923;727;0;79;21;25;57889;;
8;18;1027;743;0;59;7;15;21299;;
8;19;908;780;1;68;8;31;16994;;
8;20;963;764;0;104;12;10;3959;;
8;21;1094;784;0;65;20;21;51219;;
8;22;1103;548;2;94;10;15;4383;;
9;0;898;387;3;50;20;15;34931;;
9;1;898;444;0;69;11;10;382;;
9;2;1065;476;0;81;13;10;895;;
9;3;1101;464;0;48;18;15;4380;;
9;4;800;479;0;77;14;8;4607;;
9;5;1140;487;0;59;20;20;12620;;
9;6;1152;571;0;68;16;29;50689;;
9;7;1161;589;0;88;17;35;20791;;
9;8;690;672;1;51;21;9;3536;;
9;9;812;659;0;82;11;12;61235;;
9;10;952;686;0;80;20;10;3185;;
9;11;1062;676;0;53;21;27;197;;
9;12;1127;677;1;68;14;8;4607;;
