FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;784;316;0;87;18;12;380;N2;0,3 uM CBD
0;1;631;348;0;80;8;15;13119;;
0;2;1005;347;0;73;11;8;4383;;
0;3;1085;385;0;79;21;12;3633;;
0;4;597;427;0;83;10;8;4383;;
0;5;703;407;0;89;8;15;831;;
0;6;1006;399;0;79;16;8;3760;;
0;7;1009;455;0;82;17;15;4988;;
0;8;493;571;0;81;11;12;36071;;
0;9;977;634;0;68;12;6;3952;;
0;10;920;646;0;71;17;4;1008;;
3;0;780;317;0;87;18;13;4588;;
3;1;631;349;0;81;8;15;4919;;
3;2;1006;347;0;65;11;7;4383;;
3;3;1085;383;0;79;21;14;3187;;
3;4;597;427;1;83;10;8;4383;;
3;5;701;409;0;86;8;15;615;;
3;6;1007;400;0;74;16;8;3760;;
3;7;1010;453;0;68;13;11;4927;;
3;8;493;571;0;88;12;12;2279;;
3;9;977;634;1;68;12;6;3952;;
3;10;919;645;0;93;15;10;4383;;
3;11;457;631;0;68;23;17;4367;;
4;0;781;316;0;87;18;13;4476;;
4;1;631;348;0;71;7;15;4415;;
4;2;1006;347;1;65;11;7;4383;;
4;3;1085;384;0;87;23;13;3697;;
4;4;598;428;0;89;9;12;1638;;
4;5;703;409;0;78;9;15;1127;;
4;6;1007;400;0;78;17;6;3568;;
4;7;1011;453;0;81;15;15;4415;;
4;8;493;571;0;89;12;13;2287;;
4;9;977;634;2;68;12;6;3952;;
4;10;919;645;0;81;15;10;4415;;
4;11;458;631;0;77;22;17;4143;;
4;12;448;427;0;65;23;21;35089;;
5;0;783;316;0;86;18;13;4476;;
5;1;631;349;0;74;8;16;8804;;
5;2;1007;344;0;69;11;9;4383;;
5;3;1085;383;0;77;21;15;3187;;
5;4;598;428;0;88;8;13;1895;;
5;5;703;409;0;90;11;15;1151;;
5;6;1006;400;0;85;20;6;1008;;
5;7;1011;453;1;81;15;15;4415;;
5;8;493;570;0;84;11;13;3319;;
5;9;977;634;3;68;12;6;3952;;
5;10;919;645;0;83;15;7;895;;
5;11;458;631;0;66;22;17;4399;;
5;12;448;427;1;65;23;21;35089;;
6;0;782;316;0;86;18;12;380;;
6;1;631;349;0;79;8;16;8806;;
6;2;1007;344;1;69;11;9;4383;;
6;3;1086;385;0;89;22;12;3185;;
6;4;599;428;0;79;7;12;26214;;
6;5;703;409;0;92;9;13;1591;;
6;6;1007;400;0;69;19;5;383;;
6;7;1010;453;0;80;15;15;4415;;
6;8;493;571;0;85;12;13;2287;;
6;9;977;634;4;68;12;6;3952;;
6;10;920;646;0;87;19;5;499;;
6;11;457;632;0;64;23;17;4367;;
6;12;447;426;0;69;21;28;51602;;
7;0;783;316;0;85;18;13;4476;;
7;1;631;349;0;81;8;15;4919;;
7;2;1005;347;0;74;9;10;4383;;
7;3;1085;385;0;82;16;10;19569;;
7;4;598;427;0;86;8;12;26466;;
7;5;700;407;0;79;10;10;4383;;
7;6;1007;400;0;82;20;5;2032;;
7;7;1010;455;0;67;14;15;4415;;
7;8;493;570;0;87;12;13;2287;;
7;9;977;634;5;68;12;6;3952;;
7;10;920;646;0;92;19;5;501;;
7;11;457;630;0;64;23;17;4367;;
7;12;446;427;0;68;21;26;51475;;
7;13;507;690;0;65;15;23;4910;;
8;0;783;316;0;82;17;13;4604;;
8;1;631;348;0;81;8;18;13094;;
8;2;1005;347;1;74;9;10;4383;;
8;3;1086;385;0;90;15;10;3699;;
8;4;598;427;1;86;8;12;26466;;
8;5;699;409;0;84;7;16;9830;;
8;6;1008;399;0;67;17;6;2000;;
8;7;1010;454;0;75;14;13;4927;;
8;8;493;571;0;85;12;12;2279;;
8;9;977;634;6;68;12;6;3952;;
8;10;919;646;0;85;15;7;4607;;
8;11;458;631;0;67;22;17;4431;;
8;12;446;427;1;68;21;26;51475;;
8;13;507;690;1;65;15;23;4910;;
9;0;779;317;0;92;18;13;382;;
9;1;630;351;0;83;8;19;13095;;
9;2;1005;347;2;74;9;10;4383;;
9;3;1086;385;0;89;15;10;3697;;
9;4;598;427;0;84;8;12;1907;;
9;5;701;412;0;76;5;17;9766;;
