FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;740;203;0;86;22;22;52225;N2;ET 1.1000
0;1;752;222;0;84;23;20;49175;;
0;2;833;275;0;74;12;7;36336;;
0;3;419;638;0;79;7;13;10086;;
0;4;769;702;0;65;6;12;30582;;
0;5;1089;836;0;75;16;13;5060;;
0;6;1000;949;0;94;18;9;319;;
0;7;915;987;0;74;21;5;63;;
3;0;739;204;0;93;21;22;51203;;
3;1;752;222;0;83;23;19;49175;;
3;2;833;275;1;74;12;7;36336;;
3;3;419;638;0;79;7;13;26470;;
3;4;769;702;0;70;7;12;26214;;
3;5;1089;836;0;72;15;12;4894;;
3;6;1000;946;0;78;16;8;63;;
3;7;914;985;0;73;30;3;63;;
4;0;739;204;0;97;21;23;52225;;
4;1;751;222;0;84;23;19;49175;;
4;2;833;275;2;74;12;7;36336;;
4;3;419;638;0;76;7;13;26470;;
4;4;769;702;0;70;7;12;26214;;
4;5;1089;836;0;79;15;14;4894;;
4;6;1000;949;0;87;16;9;319;;
4;7;914;985;1;73;30;3;63;;
5;0;740;203;0;91;22;22;52225;;
5;1;752;219;0;98;23;21;49171;;
5;2;835;273;0;70;9;12;52327;;
5;3;419;638;0;76;7;13;10086;;
5;4;769;702;0;76;7;12;26214;;
5;5;1089;836;0;83;16;14;5060;;
5;6;1000;948;0;86;18;8;31;;
5;7;914;987;0;76;20;5;63;;
5;8;1014;286;0;80;10;9;4439;;
6;0;740;203;0;95;22;22;52225;;
6;1;752;220;0;93;23;21;49171;;
6;2;833;273;0;65;14;9;3635;;
6;3;419;638;0;80;7;13;10086;;
6;4;769;706;0;85;7;12;18022;;
6;5;1089;836;0;76;15;13;4927;;
6;6;1000;948;1;86;18;8;31;;
6;7;915;984;0;68;31;5;31;;
6;8;1014;286;1;80;10;9;4439;;
6;9;820;650;0;71;20;15;4558;;
7;0;740;204;0;101;22;22;51203;;
7;1;752;220;1;93;23;21;49171;;
7;2;833;273;1;65;14;9;3635;;
7;3;419;638;0;79;7;13;26470;;
7;4;769;702;0;65;7;11;4383;;
7;5;1097;827;0;77;15;13;4927;;
7;6;1000;949;0;91;16;8;319;;
7;7;912;987;0;70;18;4;31;;
7;8;1013;286;0;80;10;9;4375;;
7;9;820;650;1;71;20;15;4558;;
8;0;740;203;0;90;22;22;52225;;
8;1;752;219;0;93;23;21;49171;;
8;2;833;273;0;66;13;9;2247;;
8;3;419;638;0;77;7;12;18020;;
8;4;769;702;1;65;7;11;4383;;
8;5;1089;836;0;75;15;13;4926;;
8;6;1000;949;1;91;16;8;319;;
8;7;912;987;1;70;18;4;31;;
8;8;1013;286;1;80;10;9;4375;;
8;9;820;650;2;71;20;15;4558;;
8;10;966;217;0;83;15;7;29440;;
9;0;740;203;0;88;22;21;51217;;
9;1;751;222;0;88;23;18;49171;;
9;2;833;272;0;64;15;7;1905;;
9;3;419;638;0;77;7;12;26212;;
9;4;770;702;0;66;7;12;26214;;
9;5;1089;836;0;76;16;12;5060;;
9;6;1000;949;0;96;18;9;287;;
9;7;915;984;0;65;29;5;31;;
9;8;1014;286;0;83;10;9;4407;;
9;9;820;650;3;71;20;15;4558;;
9;10;966;217;1;83;15;7;29440;;
10;0;740;203;0;88;22;23;52225;;
10;1;752;221;0;85;23;19;49171;;
10;2;831;272;0;71;13;8;3921;;
10;3;419;638;0;77;7;13;26470;;
10;4;769;705;0;80;7;12;18022;;
10;5;1089;836;0;77;16;14;5060;;
10;6;1000;946;0;74;15;8;287;;
10;7;912;987;0;70;18;5;31;;
10;8;1014;286;1;83;10;9;4407;;
10;9;820;650;4;71;20;15;4558;;
10;10;966;217;2;83;15;7;29440;;
10;11;1036;450;0;67;10;15;13087;;
11;0;740;203;0;92;22;22;52225;;
11;1;752;221;1;85;23;19;49171;;
11;2;830;273;0;74;16;7;2000;;
11;3;419;638;0;78;7;12;26212;;
11;4;769;706;0;79;7;12;26214;;
11;5;1097;827;0;77;16;13;5060;;
11;6;1000;946;1;74;15;8;287;;
11;7;914;986;0;68;30;4;63;;
11;8;1013;286;0;82;10;9;4471;;
11;9;820;650;5;71;20;15;4558;;
11;10;966;217;3;83;15;7;29440;;
11;11;1036;450;1;67;10;15;13087;;
12;0;740;203;0;94;22;22;52225;;
12;1;752;219;0;91;23;21;49171;;
12;2;831;274;0;68;15;7;2009;;
12;3;419;638;0;80;7;13;10086;;
12;4;770;702;0;65;7;11;4383;;
12;5;1089;836;0;75;16;13;5060;;
12;6;1000;946;0;77;16;7;63;;
12;7;914;986;1;68;30;4;63;;
12;8;1013;286;0;89;9;10;4447;;
12;9;820;650;6;71;20;15;4558;;
12;10;966;217;4;83;15;7;29440;;
12;11;1036;450;2;67;10;15;13087;;
12;12;1060;811;0;66;19;13;4511;;
13;0;740;203;0;90;22;22;52225;;
13;1;751;222;0;89;23;19;49171;;
13;2;832;273;0;77;12;10;32728;;
13;3;419;638;0;81;7;13;10086;;
13;4;769;705;0;75;7;12;26214;;
13;5;1097;827;0;76;15;12;4894;;
13;6;1000;946;0;79;16;9;63;;
13;7;915;984;0;71;31;5;31;;
13;8;1013;286;0;87;10;9;4439;;
13;9;820;650;7;71;20;15;4558;;
13;10;974;218;0;66;20;5;62208;;
13;11;1036;450;3;67;10;15;13087;;
13;12;1060;811;1;66;19;13;4511;;
14;0;740;202;0;85;22;21;52225;;
14;1;751;222;1;89;23;19;49171;;
14;2;831;274;0;69;15;7;1020;;
14;3;419;638;0;79;7;12;26212;;
14;4;769;706;0;75;7;12;26214;;
14;5;1089;836;0;78;16;13;5060;;
14;6;1000;946;1;79;16;9;63;;
14;7;900;986;0;64;19;5;31;;
14;8;1013;286;1;87;10;9;4439;;
14;9;820;650;8;71;20;15;4558;;
14;10;974;218;1;66;20;5;62208;;
14;11;1036;450;4;67;10;15;13087;;
14;12;1060;811;2;66;19;13;4511;;
15;0;740;203;0;99;22;22;52225;;
15;1;752;219;0;99;23;21;49155;;
15;2;831;274;0;75;17;6;2928;;
15;3;419;638;0;81;7;13;10086;;
15;4;770;702;0;78;7;12;9830;;
15;5;1089;836;0;79;15;14;4894;;
15;6;1000;946;0;71;15;8;287;;
15;7;915;986;0;73;21;4;31;;
15;8;1013;286;2;87;10;9;4439;;
15;9;820;650;9;71;20;15;4558;;
15;10;974;218;2;66;20;5;62208;;
15;11;1036;450;5;67;10;15;13087;;
15;12;1060;811;3;66;19;13;4511;;
15;13;1144;557;0;69;24;26;7937;;
16;0;740;203;0;97;22;23;52225;;
16;1;752;219;1;99;23;21;49155;;
16;2;830;274;0;68;17;6;4080;;
16;3;419;638;0;78;7;12;18020;;
16;4;770;702;0;74;7;12;26214;;
16;5;1089;836;0;76;16;12;5060;;
16;6;1000;946;0;81;17;7;63;;
16;7;898;987;0;72;26;5;31;;
16;8;1013;286;3;87;10;9;4439;;
16;10;974;218;3;66;20;5;62208;;
16;11;1036;450;6;67;10;15;13087;;
16;12;1060;811;4;66;19;13;4511;;
16;13;1144;557;1;69;24;26;7937;;
17;0;739;204;0;102;21;23;52225;;
17;1;753;219;0;103;23;21;51203;;
17;2;831;275;0;65;12;8;53120;;
17;3;419;638;0;78;7;12;26212;;
17;4;770;702;0;77;7;12;26214;;
17;5;1089;836;0;81;17;13;4972;;
17;6;1000;946;0;82;15;8;287;;
17;7;912;985;0;68;27;3;63;;
17;8;1013;286;4;87;10;9;4439;;
17;10;974;218;4;66;20;5;62208;;
17;11;1036;451;0;65;10;15;30493;;
17;12;1060;811;5;66;19;13;4511;;
17;13;1144;557;2;69;24;26;7937;;
18;0;740;203;0;97;22;21;51201;;
18;1;753;219;1;103;23;21;51203;;
18;2;831;277;0;71;15;9;831;;
18;3;419;638;0;80;7;13;10086;;
18;4;770;702;0;66;7;12;26214;;
18;5;1089;836;0;79;16;13;5060;;
18;6;1000;946;1;82;15;8;287;;
18;7;900;986;0;68;19;6;31;;
18;8;1013;286;5;87;10;9;4439;;
18;10;974;218;5;66;20;5;62208;;
18;11;1036;451;1;65;10;15;30493;;
18;12;1060;811;6;66;19;13;4511;;
18;13;1144;557;3;69;24;26;7937;;
18;14;1068;674;0;64;15;4;4983;;
19;0;740;203;0;97;22;21;51201;;
19;1;752;219;0;103;23;21;49155;;
19;2;831;276;0;78;14;9;2558;;
19;3;419;638;0;80;7;12;26212;;
19;4;769;702;0;66;7;12;26214;;
19;5;1096;828;0;82;16;14;5060;;
19;6;1000;946;0;73;15;8;287;;
19;7;915;985;0;74;29;5;31;;
19;8;1013;286;0;81;10;9;4439;;
19;10;974;218;6;66;20;5;62208;;
19;11;1036;451;2;65;10;15;30493;;
19;12;1060;811;7;66;19;13;4511;;
19;13;1144;557;4;69;24;26;7937;;
19;14;1068;674;1;64;15;4;4983;;
20;0;739;204;0;104;21;22;51203;;
20;1;752;219;1;103;23;21;49155;;
20;2;830;276;0;75;18;7;496;;
20;3;419;638;0;80;7;12;26212;;
20;4;769;705;0;78;7;12;26214;;
20;5;1089;836;0;83;16;13;5060;;
20;6;1000;946;1;73;15;8;287;;
20;7;912;987;0;68;27;5;31;;
20;8;1013;286;1;81;10;9;4439;;
20;10;974;218;7;66;20;5;62208;;
20;11;1036;451;3;65;10;15;30493;;
20;12;1060;811;8;66;19;13;4511;;
20;13;1144;557;5;69;24;26;7937;;
20;14;1068;674;2;64;15;4;4983;;
21;0;740;203;0;88;22;21;51201;;
21;1;751;219;0;89;23;22;49171;;
21;2;831;275;0;66;15;6;1528;;
21;3;419;638;0;79;7;13;10086;;
21;4;769;706;0;74;7;12;1638;;
21;5;1089;836;0;73;16;13;5060;;
21;6;1000;946;0;74;15;13;4383;;
21;7;912;985;0;72;28;5;63;;
21;8;1013;286;2;81;10;9;4439;;
21;10;974;218;8;66;20;5;62208;;
21;11;1036;451;4;65;10;15;30493;;
21;12;1060;811;9;66;19;13;4511;;
21;13;1144;557;6;69;24;26;7937;;
21;14;1068;674;3;64;15;4;4983;;
22;0;739;203;0;87;21;22;52225;;
22;1;751;219;0;90;23;22;49175;;
22;2;834;274;0;69;15;7;893;;
22;3;419;638;0;78;7;13;10086;;
22;4;769;706;1;74;7;12;1638;;
22;5;1089;836;0;71;15;13;4926;;
22;6;1000;946;0;74;16;7;63;;
22;7;912;985;1;72;28;5;63;;
22;8;1013;286;3;81;10;9;4439;;
22;10;974;218;9;66;20;5;62208;;
22;11;1036;451;5;65;10;15;30493;;
22;13;1144;557;7;69;24;26;7937;;
22;14;1068;674;4;64;15;4;4983;;
23;0;740;203;0;89;22;23;52225;;
23;1;752;220;0;86;23;21;49171;;
23;2;830;276;0;70;16;6;1008;;
23;3;419;638;0;80;7;12;26212;;
23;4;769;702;0;67;7;12;26214;;
23;5;1089;836;0;77;15;14;4894;;
23;6;1000;946;0;69;16;8;63;;
23;7;915;986;0;66;21;4;63;;
23;8;1013;286;4;81;10;9;4439;;
23;11;1036;451;6;65;10;15;30493;;
23;13;1144;557;8;69;24;26;7937;;
23;14;1068;674;5;64;15;4;4983;;
24;0;740;204;0;98;22;23;52225;;
24;1;751;219;0;90;23;22;49171;;
24;2;831;276;0;70;13;7;4036;;
24;3;419;638;0;79;7;12;26212;;
24;4;769;702;0;65;6;12;26471;;
24;5;1089;836;0;75;15;13;4894;;
24;6;1000;946;0;76;16;7;63;;
24;7;915;986;1;66;21;4;63;;
24;8;1013;286;0;84;11;9;4383;;
24;11;1031;461;0;65;11;13;30493;;
24;13;1144;557;9;69;24;26;7937;;
24;14;1068;674;6;64;15;4;4983;;
24;15;818;179;0;66;35;2;65280;;
25;0;740;203;0;92;22;22;52225;;
25;1;751;219;1;90;23;22;49171;;
25;2;833;277;0;65;11;12;60620;;
