FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;532;392;0;80;13;17;35942;N2;ETANOL
0;1;1060;357;0;90;22;19;19985;;
0;2;1082;370;0;80;17;20;35939;;
0;3;703;546;0;75;18;10;3442;;
0;4;478;584;0;75;14;20;49207;;
0;5;1121;571;0;76;11;15;28945;;
0;6;473;619;0;84;18;29;8972;;
0;7;454;641;0;85;9;13;30564;;
0;8;999;661;0;87;9;12;26214;;
0;9;877;709;0;76;10;11;1119;;
0;10;478;750;0;76;18;23;4111;;
0;11;813;757;0;83;11;16;13932;;
0;12;895;755;0;78;21;21;52225;;
0;13;921;779;0;68;15;11;2323;;
0;14;532;807;0;72;19;31;32967;;
0;15;897;812;0;78;22;13;2492;;
0;16;544;819;0;66;19;15;52227;;
0;17;750;916;0;74;15;15;4383;;
0;18;825;922;0;79;12;9;6003;;
0;19;901;935;0;75;9;13;5964;;
3;0;532;392;0;68;8;14;17975;;
3;1;1066;359;0;78;25;20;19505;;
3;2;1082;371;0;75;17;19;33827;;
3;3;703;546;0;71;18;10;3442;;
3;4;477;583;0;69;12;21;17447;;
3;5;1122;570;0;86;13;17;18193;;
3;6;471;616;0;84;20;26;12572;;
3;7;453;641;0;83;9;13;30534;;
3;8;998;659;0;72;6;12;30566;;
3;9;877;709;0;76;10;12;1127;;
3;10;479;751;0;81;20;21;4174;;
3;11;812;757;0;82;12;15;4974;;
3;12;895;755;0;84;22;21;52225;;
3;13;921;779;1;68;15;11;2323;;
3;14;532;807;0;74;20;31;41167;;
3;15;897;813;0;86;22;13;6652;;
3;16;544;819;1;66;19;15;52227;;
3;17;749;916;0;75;15;15;4415;;
3;18;824;923;0;74;13;7;4479;;
3;19;901;935;0;72;11;14;7884;;
3;20;730;610;0;96;10;9;4383;;
3;21;479;714;0;98;20;19;33587;;
3;22;696;805;0;85;21;7;4016;;
3;23;857;866;0;78;15;11;287;;
3;24;1018;880;0;67;8;11;4383;;
4;0;532;393;0;70;9;14;17971;;
4;1;1066;359;1;78;25;20;19505;;
4;2;1076;369;0;85;22;20;52259;;
4;3;703;546;0;74;17;10;2418;;
4;4;478;584;0;73;12;21;16423;;
4;5;1122;569;0;79;14;17;58129;;
4;6;471;616;0;92;20;26;12572;;
4;7;456;640;0;85;22;24;3276;;
4;8;999;661;0;90;9;12;17990;;
4;9;877;708;0;76;10;11;1143;;
4;10;478;751;0;68;18;21;4175;;
4;11;814;755;0;81;13;15;4991;;
4;12;895;755;0;77;21;21;52225;;
4;13;921;779;0;65;14;11;2323;;
4;14;532;807;0;71;19;31;49359;;
4;15;897;813;0;85;22;13;6572;;
4;16;544;818;0;69;19;15;52227;;
4;17;749;916;0;75;15;15;4383;;
4;18;824;923;1;74;13;7;4479;;
4;19;901;935;0;73;9;14;5964;;
4;20;729;611;0;89;10;8;4383;;
4;21;476;713;0;102;22;20;49425;;
4;22;696;805;1;85;21;7;4016;;
4;23;857;867;0;85;15;11;351;;
4;24;1018;880;0;65;8;11;4383;;
4;25;1076;825;0;67;10;9;2007;;
4;26;656;943;0;71;24;28;16591;;
5;0;532;392;0;67;9;14;50739;;
5;1;1066;359;2;78;25;20;19505;;
5;2;1075;368;0;89;23;20;52257;;
5;3;703;546;0;75;17;10;2418;;
5;4;470;568;0;77;13;22;17415;;
5;5;1121;566;0;79;13;18;1137;;
5;6;472;615;0;75;19;25;13080;;
5;7;454;641;0;88;10;14;14183;;
5;8;998;661;0;74;8;11;4383;;
5;9;876;709;0;71;10;12;1143;;
5;10;479;751;0;79;19;21;4174;;
5;11;815;754;0;82;11;15;4989;;
5;12;895;755;1;77;21;21;52225;;
5;13;921;779;1;65;14;11;2323;;
5;14;532;807;0;71;19;31;32975;;
5;15;896;812;0;81;22;13;6636;;
5;16;544;818;0;71;19;15;52227;;
5;17;750;915;0;76;16;15;4926;;
5;18;824;923;0;70;11;7;4383;;
5;19;901;935;0;75;11;13;8140;;
5;20;729;611;0;86;10;8;4383;;
5;21;476;713;1;102;22;20;49425;;
5;22;696;805;2;85;21;7;4016;;
5;23;856;865;0;102;15;12;287;;
5;24;1018;879;0;71;7;13;5943;;
5;25;1076;825;1;67;10;9;2007;;
5;26;656;943;1;71;24;28;16591;;
5;27;534;447;0;68;10;20;26119;;
5;28;1160;771;0;82;14;14;4383;;
6;0;531;393;0;66;9;15;17955;;
6;1;1066;359;3;78;25;20;19505;;
6;2;1076;368;0;85;22;21;52257;;
6;3;703;546;0;78;17;10;2418;;
6;4;478;584;0;68;12;20;16419;;
6;5;1118;562;0;71;23;26;61539;;
6;6;471;616;0;89;20;26;12572;;
6;7;455;640;0;87;22;24;1228;;
6;8;999;661;0;82;11;12;52300;;
6;9;877;708;0;72;10;11;1151;;
6;10;479;751;0;76;19;22;4110;;
6;11;815;754;0;79;11;14;4476;;
6;12;894;755;0;81;21;21;52225;;
6;13;921;779;0;66;14;11;2323;;
6;14;531;807;0;70;19;31;32975;;
6;15;897;813;0;79;22;13;2476;;
6;16;544;818;0;66;19;15;52737;;
6;17;749;916;0;75;16;15;4414;;
6;18;824;923;1;70;11;7;4383;;
6;19;901;935;0;74;10;14;5964;;
6;20;729;611;1;86;10;8;4383;;
6;21;476;713;0;97;22;20;49425;;
6;22;696;805;3;85;21;7;4016;;
6;23;856;866;0;77;14;11;351;;
6;24;1018;879;0;77;9;12;18023;;
6;25;1076;825;2;67;10;9;2007;;
6;26;656;943;2;71;24;28;16591;;
6;27;533;447;0;70;10;22;13095;;
6;28;1160;771;1;82;14;14;4383;;
6;29;936;627;0;84;11;7;4383;;
6;30;485;699;0;70;15;18;4367;;
7;0;530;393;0;69;9;15;22067;;
7;1;1066;359;0;83;25;20;19505;;
7;2;1082;371;0;75;17;19;33827;;
7;3;703;546;0;75;17;10;2418;;
7;4;478;584;0;82;13;21;49191;;
7;5;1118;564;0;73;21;23;61553;;
7;6;471;615;0;77;20;25;13080;;
7;7;454;641;0;90;10;14;14206;;
7;8;998;659;0;85;23;16;4377;;
7;9;876;707;0;75;10;11;1143;;
7;10;478;750;0;84;19;22;4111;;
7;11;815;751;0;86;12;14;4383;;
7;12;894;755;1;81;21;21;52225;;
7;13;921;779;1;66;14;11;2323;;
7;14;532;809;0;70;19;15;52227;;
7;15;896;812;0;77;23;13;2494;;
7;16;544;818;1;66;19;15;52737;;
7;17;751;913;0;78;17;15;4414;;
7;18;824;923;0;70;11;7;4383;;
7;19;901;935;0;77;11;13;8140;;
7;20;729;611;0;96;10;8;4383;;
7;21;478;713;0;101;20;19;33587;;
7;22;696;805;4;85;21;7;4016;;
7;23;857;866;0;78;13;11;1375;;
7;24;1018;879;1;77;9;12;18023;;
7;25;1076;825;3;67;10;9;2007;;
7;26;656;941;0;69;10;30;8335;;
7;27;534;449;0;73;10;23;8999;;
7;28;1160;771;2;82;14;14;4383;;
7;29;936;627;1;84;11;7;4383;;
7;30;485;699;1;70;15;18;4367;;
7;31;483;812;0;64;17;22;29454;;
7;32;575;844;0;77;11;9;4383;;
8;0;530;393;0;68;9;15;17971;;
8;1;1066;359;1;83;25;20;19505;;
8;2;1075;368;0;84;23;20;52257;;
8;3;703;546;0;74;18;10;2422;;
8;4;478;583;0;70;13;21;50215;;
8;5;1118;562;0;75;21;25;61537;;
8;6;472;615;0;82;19;25;13080;;
8;7;455;640;0;91;22;24;3276;;
8;8;999;661;0;82;9;12;18022;;
8;9;877;709;0;72;10;12;1127;;
8;10;479;751;0;74;18;21;4174;;
8;11;816;750;0;82;10;14;12575;;
8;12;894;755;2;81;21;21;52225;;
8;13;922;779;0;71;14;10;279;;
8;14;532;809;0;71;19;15;52227;;
8;15;897;813;0;69;22;12;6588;;
8;16;544;818;2;66;19;15;52737;;
8;17;750;916;0;71;14;15;4415;;
8;18;826;923;0;96;10;9;4383;;
8;19;902;932;0;74;11;13;6092;;
8;20;730;611;0;98;10;9;4383;;
8;21;479;713;0;104;20;19;33587;;
8;22;696;805;5;85;21;7;4016;;
8;23;857;866;0;68;13;10;1501;;
8;24;1018;879;2;77;9;12;18023;;
8;25;1076;825;4;67;10;9;2007;;
8;26;656;941;1;69;10;30;8335;;
8;27;534;448;0;64;10;21;26119;;
