FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;1073;327;0;74;25;31;5480;N2;CONTROL
0;1;492;380;0;84;8;13;9798;;
0;2;482;410;0;70;35;23;50947;;
0;3;473;433;0;90;27;19;37137;;
0;4;1145;592;0;64;16;8;3185;;
0;5;576;740;0;90;16;11;1012;;
0;6;606;827;0;81;14;15;35057;;
0;7;948;929;0;78;10;12;6086;;
3;0;1071;333;0;83;12;21;25796;;
3;1;492;377;0;81;9;12;26182;;
3;2;488;411;0;85;33;24;35603;;
3;3;473;433;1;90;27;19;37137;;
3;4;1143;591;0;66;16;9;3184;;
3;5;578;738;0;95;17;11;510;;
3;6;604;825;0;84;15;14;3187;;
3;7;948;927;0;79;9;13;14204;;
4;0;1067;335;0;79;10;21;9796;;
4;1;492;379;0;85;8;13;9798;;
4;2;488;411;1;85;33;24;35603;;
4;3;473;433;2;90;27;19;37137;;
4;4;1144;592;0;68;17;8;3185;;
4;5;575;740;0;96;16;11;1020;;
4;6;609;828;0;89;17;12;3123;;
4;7;948;925;0;82;12;8;2032;;
4;8;424;679;0;71;8;10;4479;;
5;0;1068;336;0;81;8;25;9796;;
5;1;492;377;0;90;8;14;9831;;
5;2;488;411;2;85;33;24;35603;;
5;3;473;433;0;74;26;18;37649;;
5;4;1145;592;0;70;17;8;3185;;
5;5;575;739;0;97;17;11;510;;
5;6;610;828;0;86;16;10;3442;;
5;7;947;925;0;81;12;10;3057;;
5;8;424;679;1;71;8;10;4479;;
5;9;532;364;0;68;20;19;32787;;
6;0;1068;335;0;80;9;23;12902;;
6;1;493;377;0;84;8;13;9798;;
6;2;488;411;3;85;33;24;35603;;
6;3;465;429;0;65;19;27;26313;;
6;4;1143;592;0;70;17;9;3185;;
6;5;575;739;0;94;16;11;996;;
6;6;611;828;0;85;14;10;3447;;
6;7;946;925;0;80;15;10;1231;;
6;8;423;679;0;70;8;10;4479;;
6;9;532;364;1;68;20;19;32787;;
7;0;1067;336;0;82;6;23;8802;;
7;1;492;378;0;78;8;12;26182;;
7;2;496;413;0;77;26;21;33567;;
7;3;465;429;1;65;19;27;26313;;
7;4;1142;591;0;72;18;8;3185;;
7;5;574;740;0;100;16;10;1020;;
7;6;612;828;0;79;13;11;4471;;
7;7;945;922;0;83;11;11;623;;
7;8;423;679;1;70;8;10;4479;;
7;9;532;364;2;68;20;19;32787;;
8;0;1069;351;0;73;7;19;26146;;
8;1;492;379;0;86;10;13;9798;;
8;2;496;413;1;77;26;21;33567;;
8;3;465;429;2;65;19;27;26313;;
8;4;1138;590;0;70;18;7;3697;;
8;5;575;740;0;96;16;11;5116;;
8;6;613;827;0;86;15;13;4383;;
8;7;943;922;0;78;7;12;26210;;
8;8;424;679;0;68;8;10;4415;;
8;9;532;364;3;68;20;19;32787;;
9;0;1068;340;0;80;6;23;9826;;
9;1;493;378;0;85;8;13;9798;;
9;2;496;413;2;77;26;21;33567;;
9;3;465;429;3;65;19;27;26313;;
9;4;1142;591;0;66;18;7;3696;;
9;5;574;740;0;98;17;10;1012;;
9;6;614;825;0;87;13;18;4415;;
9;7;942;921;0;78;7;12;26214;;
9;8;424;679;1;68;8;10;4415;;
9;9;532;364;4;68;20;19;32787;;
10;0;1068;344;0;83;11;22;17510;;
10;1;492;379;0;80;9;13;26182;;
10;2;496;413;3;77;26;21;33567;;
10;3;465;429;4;65;19;27;26313;;
10;4;1143;591;0;75;17;8;3187;;
10;5;573;740;0;98;17;10;1012;;
10;6;616;824;0;91;12;17;8998;;
10;7;940;921;0;80;9;11;13119;;
10;8;424;679;2;68;8;10;4415;;
10;9;532;364;5;68;20;19;32787;;
11;0;1070;348;0;83;11;24;17506;;
11;1;492;379;0;84;9;13;26182;;
11;2;496;413;4;77;26;21;33567;;
11;3;465;429;5;65;19;27;26313;;
11;4;1145;593;0;72;15;9;3187;;
11;5;575;740;0;100;17;11;510;;
11;6;618;824;0;82;8;19;13110;;
11;7;940;922;0;77;7;13;4983;;
11;8;423;680;0;70;8;10;4415;;
11;9;532;364;6;68;20;19;32787;;
11;10;832;985;0;74;22;21;52239;;
12;0;1070;346;0;96;11;26;17506;;
12;1;493;377;0;87;8;13;26182;;
12;2;496;413;5;77;26;21;33567;;
12;3;465;429;6;65;19;27;26313;;
12;4;1146;595;0;70;16;9;3888;;
12;5;575;740;0;95;16;10;5108;;
12;6;619;825;0;85;9;20;9796;;
12;7;940;922;0;79;11;10;4479;;
12;8;423;680;0;72;8;10;4415;;
12;9;532;364;7;68;20;19;32787;;
12;10;832;985;1;74;22;21;52239;;
13;0;1068;345;0;80;12;22;17507;;
13;1;493;378;0;77;8;13;26182;;
13;2;496;413;6;77;26;21;33567;;
13;3;465;429;7;65;19;27;26313;;
13;4;1147;594;0;73;16;7;3888;;
13;5;575;740;0;100;17;9;1014;;
13;6;617;828;0;81;10;18;12900;;
13;7;938;923;0;79;15;6;1780;;
13;8;424;679;0;73;8;10;4415;;
13;9;532;364;8;68;20;19;32787;;
13;10;832;985;2;74;22;21;52239;;
14;0;1074;356;0;93;25;23;34903;;
14;1;494;376;0;77;8;13;26182;;
14;2;496;413;7;77;26;21;33567;;
14;3;465;429;8;65;19;27;26313;;
14;4;1149;595;0;69;12;7;1840;;
14;5;575;739;0;100;16;11;5092;;
14;6;618;828;0;82;11;18;13892;;
14;7;936;923;0;78;12;7;4080;;
14;8;424;680;0;73;8;10;4927;;
14;9;532;364;9;68;20;19;32787;;
14;10;832;985;3;74;22;21;52239;;
15;0;1074;356;1;93;25;23;34903;;
15;1;492;380;0;86;8;12;26214;;
15;2;496;413;8;77;26;21;33567;;
15;3;465;429;9;65;19;27;26313;;
15;4;1151;595;0;70;9;10;343;;
15;5;575;740;0;94;16;9;5088;;
