FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;797;196;0;47;18;8;496;N2;CONTROL
0;1;801;213;0;95;32;9;32640;;
0;2;868;223;0;55;10;6;4479;;
0;3;610;246;0;66;8;8;1911;;
0;4;643;269;0;81;14;23;25103;;
0;5;703;278;0;56;16;8;7108;;
0;6;956;249;0;56;7;9;4383;;
0;7;1006;254;0;55;8;9;1639;;
0;8;561;282;0;75;12;7;4084;;
0;9;605;304;0;60;11;8;4375;;
0;10;646;288;0;41;7;19;15;;
0;11;990;294;0;33;19;18;4383;;
0;12;519;349;0;58;8;7;4479;;
0;13;603;331;0;66;8;9;4383;;
0;14;678;353;0;51;7;9;4383;;
0;15;831;318;0;74;10;8;4383;;
0;16;860;323;0;65;10;14;4883;;
0;17;1015;317;0;30;9;6;4383;;
0;18;917;384;0;78;16;7;3312;;
0;19;976;386;0;56;12;5;3952;;
0;20;1072;359;0;75;7;22;4471;;
0;21;1085;371;0;61;11;24;25602;;
0;22;849;408;0;64;7;11;4383;;
0;23;1008;417;0;70;10;8;4447;;
0;24;1088;398;0;88;9;11;5503;;
0;25;548;459;0;65;11;13;4991;;
0;26;687;432;0;85;10;11;4383;;
0;27;830;446;0;62;12;8;5471;;
0;28;859;422;0;52;7;8;3215;;
0;29;907;437;0;41;7;7;4383;;
0;30;943;431;0;67;9;13;4383;;
0;31;1106;444;0;57;7;14;4991;;
0;32;492;459;0;26;12;9;4407;;
0;33;576;480;0;85;11;8;4479;;
0;34;1044;487;0;74;10;8;4447;;
0;35;1114;475;0;67;20;21;52225;;
0;36;634;508;0;65;10;7;4415;;
0;37;688;506;0;79;14;6;4479;;
0;38;1014;503;0;73;12;16;17523;;
0;39;1091;519;0;83;8;20;25442;;
0;40;1128;496;0;75;21;16;4572;;
0;41;485;526;0;29;7;10;4383;;
0;42;538;551;0;59;10;7;4383;;
0;43;588;549;0;78;7;15;4927;;
0;44;640;559;0;87;9;12;18019;;
0;45;840;557;0;40;7;7;4383;;
0;46;957;565;0;82;21;24;4877;;
0;47;1086;564;0;79;8;17;9319;;
0;48;1100;558;0;81;7;17;9319;;
0;49;1146;528;0;40;6;8;4471;;
0;50;399;562;0;74;9;11;4383;;
0;51;677;596;0;92;11;10;4383;;
0;52;942;581;0;69;23;19;4383;;
0;53;1059;586;0;69;7;10;4383;;
0;54;1164;583;0;35;11;7;4383;;
0;55;467;623;0;73;13;13;17971;;
0;56;541;614;0;70;6;12;18035;;
0;57;567;623;0;56;7;10;4383;;
0;58;967;601;0;58;11;9;4383;;
0;59;1083;598;0;70;7;10;4383;;
0;60;1095;634;0;55;7;13;1343;;
0;61;431;639;0;59;7;8;823;;
0;62;870;648;0;94;12;9;1904;;
0;63;1019;668;0;79;13;7;1905;;
0;64;456;706;0;92;17;20;32887;;
0;65;923;693;0;87;22;23;4940;;
0;66;941;676;0;75;23;21;4472;;
0;67;1036;694;0;74;13;11;13080;;
0;68;419;732;0;33;7;22;2188;;
0;69;472;720;0;85;17;22;32887;;
0;70;994;717;0;84;13;11;1587;;
0;71;1028;731;0;56;9;19;8735;;
0;72;1107;737;0;92;14;10;895;;
0;73;472;776;0;25;12;2;479;;
0;74;507;776;0;30;5;20;18639;;
0;75;547;769;0;40;17;3;4575;;
0;76;629;758;0;90;10;10;4895;;
0;77;1026;742;0;58;9;19;8735;;
0;78;1093;768;0;76;13;10;1917;;
0;79;496;808;0;44;4;14;36428;;
0;80;651;796;0;33;7;6;4383;;
0;81;689;787;0;53;5;11;4383;;
0;82;729;809;0;87;10;11;4383;;
0;83;801;785;0;103;10;12;26214;;
0;84;834;774;0;74;21;12;318;;
0;85;910;804;0;59;10;7;4383;;
0;86;948;775;0;74;20;18;4509;;
0;87;1042;803;0;87;10;9;4383;;
0;88;1101;783;0;54;11;10;4383;;
0;89;542;835;0;50;18;15;4383;;
