FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;654;274;0;29;12;5;16240;N2;ETANOL
0;1;700;250;0;71;8;8;4924;;
0;2;782;262;0;89;10;11;4383;;
0;3;840;283;0;67;10;7;4383;;
0;4;899;257;0;37;10;5;4383;;
0;5;579;300;0;35;21;7;2546;;
0;6;992;289;0;25;28;2;64768;;
0;7;596;323;0;51;20;19;34833;;
0;8;799;344;0;82;10;8;4383;;
0;9;848;333;0;59;28;13;3888;;
0;10;860;331;0;55;12;12;56463;;
0;11;900;347;0;23;10;15;4383;;
0;12;932;345;0;65;10;12;119;;
0;13;1032;324;0;41;10;4;4383;;
0;14;1060;324;0;81;4;30;12595;;
0;15;513;351;0;51;7;8;53250;;
0;16;549;358;0;66;17;8;992;;
0;17;584;351;0;76;10;7;4383;;
0;18;820;358;0;30;18;18;39199;;
0;19;846;379;0;52;12;9;7364;;
0;20;891;361;0;33;11;17;12575;;
0;21;1072;359;0;45;10;9;4383;;
0;22;1100;359;0;54;8;11;12561;;
0;23;540;395;0;72;8;7;12561;;
0;24;857;404;0;51;13;13;23569;;
0;25;891;410;0;68;8;13;4383;;
0;26;1086;414;0;63;8;9;895;;
0;27;484;433;0;80;12;12;13145;;
0;28;509;432;0;35;19;9;4383;;
0;29;1079;440;0;56;18;22;4575;;
0;30;1132;429;0;67;10;9;29459;;
0;31;480;491;0;55;11;22;58880;;
0;32;577;498;0;61;6;18;9764;;
0;33;1120;472;0;52;7;8;3822;;
0;34;1133;471;0;36;20;22;56321;;
0;35;473;537;0;91;10;13;4887;;
0;36;587;550;0;24;19;18;4383;;
0;37;687;554;0;39;7;7;4383;;
0;38;904;565;0;86;20;21;52239;;
0;39;1028;534;0;81;8;10;4383;;
0;40;427;596;0;50;7;8;1134;;
0;41;471;573;0;52;10;8;4383;;
0;42;510;576;0;47;7;14;4383;;
0;43;620;568;0;71;9;9;4383;;
0;44;919;592;0;48;10;9;4383;;
0;45;1062;596;0;59;8;7;4371;;
0;46;1128;599;0;53;26;10;4507;;
0;47;1142;591;0;40;7;6;4383;;
0;48;608;613;0;27;3;9;4383;;
0;49;673;627;0;49;8;6;5943;;
0;50;763;622;0;73;13;10;1843;;
0;51;870;619;0;48;21;21;12573;;
0;52;930;627;0;61;8;11;4383;;
0;53;529;655;0;71;10;20;58892;;
0;54;536;635;0;59;8;13;4447;;
0;55;854;637;0;50;20;27;4317;;
0;56;428;700;0;57;20;22;45448;;
0;57;482;690;0;72;9;9;4383;;
0;58;523;693;0;83;22;21;4302;;
0;59;861;674;0;48;9;9;4383;;
0;60;910;687;0;49;4;11;4415;;
0;61;967;680;0;64;12;6;1663;;
0;62;1070;687;0;55;8;14;4415;;
0;63;1105;699;0;72;19;21;4383;;
0;64;492;736;0;71;11;11;13087;;
0;65;537;732;0;68;24;21;4316;;
0;66;562;717;0;32;10;10;4383;;
0;67;699;729;0;72;20;7;207;;
