FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;755;234;0;67;8;8;1910;N2;ET 1.1000
0;1;854;222;0;31;16;13;13292;;
0;2;622;246;0;24;20;5;63744;;
0;3;764;246;0;75;8;9;375;;
0;4;1008;250;0;64;13;8;29456;;
0;5;574;284;0;28;7;9;12575;;
0;6;653;317;0;86;13;9;5100;;
0;7;681;312;0;89;17;16;12575;;
0;8;718;299;0;66;10;7;4479;;
0;9;907;281;0;65;16;5;63232;;
0;10;963;281;0;28;21;7;5104;;
0;11;542;337;0;33;7;6;4383;;
0;12;638;322;0;82;15;9;4383;;
0;13;682;323;0;79;16;16;12575;;
0;14;738;339;0;104;12;7;5489;;
0;15;1059;338;0;74;7;14;13111;;
0;16;473;381;0;38;17;19;36879;;
0;17;543;351;0;41;9;5;4415;;
0;18;841;359;0;67;9;8;4383;;
0;19;897;376;0;100;10;11;4383;;
0;20;968;368;0;83;15;12;4927;;
0;21;1059;355;0;57;8;9;4895;;
0;22;1078;351;0;35;18;17;39185;;
0;23;485;392;0;48;6;7;4383;;
0;24;784;389;0;54;21;21;55583;;
0;25;806;409;0;89;11;10;4479;;
0;26;849;421;0;73;20;10;1009;;
0;27;897;387;0;100;10;11;5023;;
0;28;1025;402;0;73;13;7;5939;;
0;29;468;422;0;24;10;26;52366;;
0;30;667;455;0;73;15;7;375;;
0;31;728;453;0;76;13;9;1331;;
0;32;779;433;0;44;10;4;4383;;
0;33;952;427;0;96;10;10;4439;;
0;34;1136;429;0;28;18;3;4375;;
0;35;1164;429;0;66;4;32;12561;;
0;36;1123;523;0;40;7;7;4383;;
0;37;469;526;0;74;13;10;28959;;
0;38;701;555;0;63;9;9;5471;;
0;39;663;567;0;69;10;8;4383;;
0;40;876;579;0;50;7;7;4383;;
0;41;485;616;0;101;10;14;4383;;
0;42;867;631;0;70;7;9;4383;;
0;43;1086;607;0;86;9;10;4895;;
0;44;721;673;0;97;12;9;26481;;
0;45;959;648;0;71;9;8;14135;;
0;46;763;687;0;60;7;8;287;;
0;47;668;731;0;91;9;9;287;;
0;48;695;707;0;50;6;7;4383;;
0;49;774;761;0;44;7;10;4383;;
0;50;514;848;0;54;10;8;4511;;
0;51;549;827;0;91;17;6;1012;;
0;52;907;819;0;42;7;7;4383;;
0;53;1098;840;0;49;9;8;4383;;
0;54;543;881;0;67;11;10;143;;
0;55;624;856;0;62;10;10;4415;;
0;56;710;857;0;48;7;7;4383;;
0;57;1024;908;0;66;13;8;4383;;
0;58;660;952;0;68;16;6;207;;
0;59;693;942;0;43;9;9;4511;;
0;60;808;951;0;58;20;8;2992;;
0;61;839;925;0;78;7;11;4927;;
0;62;957;944;0;39;15;2;287;;
0;63;819;951;0;64;20;8;2992;;
3;0;755;234;0;67;8;8;1910;;
3;1;854;222;0;26;14;13;4383;;
3;2;626;246;0;28;17;2;63744;;
3;3;764;246;0;73;9;9;5495;;
3;4;1008;250;0;60;12;7;62224;;
3;5;574;284;1;28;7;9;12575;;
3;6;652;317;0;80;14;9;5112;;
3;7;681;312;1;89;17;16;12575;;
3;8;718;299;0;68;10;7;4415;;
3;9;939;278;0;41;21;21;53265;;
3;10;963;282;0;31;21;7;4601;;
3;11;542;335;0;34;8;5;4977;;
3;12;641;320;0;87;16;9;14304;;
3;13;683;319;0;54;11;15;12575;;
3;14;737;339;0;88;10;7;4383;;
3;15;1060;332;0;85;7;18;9015;;
