FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;820;340;0;88;7;12;26214;N2;0,3 uM CBD
0;1;881;360;0;86;12;8;2036;;
0;2;920;355;0;76;8;11;4383;;
0;3;603;388;0;66;13;8;4383;;
0;4;635;396;0;97;12;9;1904;;
0;5;691;656;0;80;8;16;8295;;
3;0;820;339;0;96;7;13;9830;;
3;1;881;360;0;86;12;9;4080;;
3;2;920;355;0;80;8;11;4383;;
3;3;600;388;0;80;13;7;4415;;
3;4;633;395;0;96;12;7;2032;;
3;5;690;655;0;82;9;15;4383;;
3;6;982;331;0;35;5;18;12567;;
3;7;631;698;0;87;9;11;4383;;
4;0;820;339;0;92;7;14;9830;;
4;1;881;360;1;86;12;9;4080;;
4;2;920;355;0;82;8;11;4383;;
4;3;600;389;0;74;11;8;4383;;
4;4;633;395;1;96;12;7;2032;;
4;5;691;656;0;90;9;16;8294;;
4;6;982;331;1;35;5;18;12567;;
4;7;631;699;0;83;8;11;4415;;
4;8;1085;442;0;71;15;4;255;;
4;9;1118;613;0;38;7;14;30495;;
5;0;820;341;0;94;7;13;823;;
5;1;881;360;2;86;12;9;4080;;
5;2;920;355;0;85;8;11;4383;;
5;3;599;389;0;97;14;8;4383;;
5;4;634;395;0;96;11;9;4383;;
5;5;691;655;0;78;9;14;4383;;
5;6;982;331;2;35;5;18;12567;;
5;7;631;699;0;86;9;11;4383;;
5;8;1085;442;1;71;15;4;255;;
5;9;1118;613;1;38;7;14;30495;;
5;10;772;301;0;83;6;13;26210;;
5;11;1051;331;0;53;15;9;1247;;
6;0;820;340;0;94;7;13;26214;;
6;1;881;360;0;82;11;9;4447;;
6;2;920;354;0;74;8;12;119;;
6;3;601;388;0;83;13;7;319;;
6;4;634;395;1;96;11;9;4383;;
6;5;691;656;0;81;9;16;8295;;
6;6;982;330;0;36;6;18;12567;;
6;7;631;698;0;93;9;11;4383;;
6;8;1085;442;2;71;15;4;255;;
6;9;1118;613;2;38;7;14;30495;;
6;10;772;301;1;83;6;13;26210;;
6;11;1051;331;1;53;15;9;1247;;
6;12;475;656;0;85;9;11;4383;;
7;0;820;338;0;86;7;13;9830;;
7;1;881;359;0;85;11;12;3820;;
7;2;920;353;0;76;8;11;4383;;
