FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;638;207;0;70;22;22;51203;N2;CONTROL
0;1;821;228;0;90;15;7;511;;
0;2;963;227;0;74;14;15;60608;;
0;3;622;296;0;91;13;23;50274;;
0;4;548;299;0;102;20;17;57905;;
0;5;929;313;0;93;23;7;2032;;
0;6;1048;316;0;96;19;19;4972;;
0;7;797;363;0;101;25;7;496;;
0;8;576;403;0;93;15;14;1231;;
0;9;736;383;0;95;24;11;3632;;
0;10;845;403;0;76;18;9;2295;;
0;11;953;379;0;79;21;10;3184;;
0;12;927;420;0;95;10;23;17507;;
0;13;466;446;0;86;17;8;498;;
0;14;937;475;0;83;6;24;17510;;
0;15;1050;456;0;95;11;12;9838;;
0;16;849;471;0;71;8;17;12847;;
0;17;412;517;0;60;19;21;4488;;
0;18;975;524;0;95;20;20;50787;;
0;19;1078;529;0;102;21;27;33876;;
0;20;838;551;0;65;11;13;23623;;
0;21;882;580;0;95;26;5;3824;;
0;22;900;610;0;73;22;22;6614;;
0;23;406;645;0;85;14;15;35015;;
0;24;441;639;0;88;18;7;4080;;
0;25;960;630;0;65;20;11;3976;;
0;26;980;633;0;72;22;15;20241;;
0;27;703;648;0;62;9;18;17971;;
0;28;669;689;0;102;21;15;5996;;
0;29;651;729;0;92;6;17;26214;;
0;30;464;760;0;103;12;12;4991;;
0;31;510;787;0;79;15;13;30481;;
0;32;644;805;0;75;11;15;17955;;
0;33;1027;809;0;85;19;25;40140;;
0;34;1055;798;0;77;18;7;1776;;
0;35;548;882;0;86;22;20;13084;;
0;36;779;987;0;70;17;12;4936;;
3;0;639;207;0;69;21;23;60419;;
3;1;822;228;0;97;15;8;1015;;
3;2;963;227;0;77;15;15;52864;;
3;3;622;296;0;97;14;23;50274;;
3;4;546;298;0;105;18;18;52753;;
3;5;930;315;0;94;23;7;2032;;
3;6;1048;316;1;96;19;19;4972;;
3;7;800;363;0;92;23;7;496;;
3;8;573;402;0;86;14;15;50255;;
3;9;738;383;0;91;24;9;3184;;
3;10;845;402;0;72;18;11;2295;;
3;11;955;378;0;88;24;10;3184;;
3;12;925;416;0;89;11;18;18023;;
3;13;462;449;0;86;17;10;2032;;
3;14;937;486;0;96;20;29;52355;;
3;15;1050;456;1;95;11;12;9838;;
3;16;848;471;0;55;9;15;4383;;
3;17;412;517;0;63;19;22;4488;;
3;18;976;524;0;91;21;21;50275;;
3;19;1078;529;0;89;19;26;35220;;
3;20;838;551;0;56;11;12;36038;;
3;21;878;581;0;86;23;5;240;;
3;22;900;611;0;64;14;16;35955;;
3;23;406;645;0;96;15;15;18631;;
3;24;441;638;0;88;18;7;4080;;
3;25;960;630;0;67;19;13;2008;;
3;26;980;632;0;68;22;15;20241;;
3;27;701;642;0;54;10;18;17971;;
3;28;664;689;0;93;18;13;4910;;
3;29;651;729;1;92;6;17;26214;;
3;30;463;760;0;105;12;12;4991;;
3;31;509;789;0;80;12;14;61713;;
3;32;642;803;0;64;12;15;50723;;
3;33;1028;807;0;87;20;26;40140;;
3;34;1052;799;0;82;17;11;3953;;
3;35;548;883;0;77;22;21;13084;;
3;36;779;987;0;62;17;12;4936;;
3;37;881;221;0;72;14;8;3447;;
3;38;922;341;0;104;12;11;2044;;
4;0;639;208;0;75;22;24;49203;;
4;1;823;228;0;93;15;7;511;;
4;2;963;227;0;74;14;15;52864;;
4;3;625;299;0;89;12;23;50274;;
4;4;545;298;0;97;18;14;52336;;
4;5;930;315;0;92;21;9;3984;;
4;6;1048;316;2;96;19;19;4972;;
4;7;805;362;0;91;23;7;1008;;
4;8;571;399;0;92;14;22;17955;;
4;9;746;391;0;56;14;11;32529;;
4;10;846;404;0;73;21;8;3312;;
4;11;955;378;0;95;24;11;3184;;
4;12;924;415;0;87;10;18;18023;;
4;13;463;448;0;77;19;7;1012;;
4;14;936;492;0;105;21;27;17613;;
4;15;1050;456;2;95;11;12;9838;;
4;16;848;471;0;68;10;15;4383;;
