FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;982;356;0;89;8;15;25463;N2;ETANOL
0;1;1053;357;0;64;12;20;13062;;
0;2;450;419;0;54;21;7;3537;;
3;0;980;355;0;94;9;14;25399;;
3;1;1052;357;0;73;12;21;13062;;
3;2;448;420;0;58;22;7;3537;;
4;0;980;355;0;85;8;16;26210;;
4;1;1052;357;0;71;13;20;12806;;
4;2;448;419;0;71;22;7;3537;;
4;3;634;494;0;93;15;7;1023;;
5;0;980;354;0;81;8;16;26214;;
5;1;1052;357;0;86;14;19;13070;;
5;2;448;419;0;74;22;7;3537;;
5;3;635;494;0;88;15;6;1023;;
5;4;745;403;0;68;12;12;4990;;
5;5;563;920;0;72;13;27;16396;;
6;0;981;353;0;90;9;16;18038;;
6;1;1053;357;0;79;13;20;29198;;
6;2;448;419;1;74;22;7;3537;;
6;3;635;494;1;88;15;6;1023;;
6;4;744;403;0;61;14;12;4991;;
6;5;563;920;1;72;13;27;16396;;
7;0;981;354;0;89;7;15;26422;;
7;1;1052;357;0;83;14;21;13062;;
7;2;448;419;0;73;22;7;3537;;
7;3;635;494;2;88;15;6;1023;;
7;4;744;403;0;56;15;12;4927;;
7;5;563;920;2;72;13;27;16396;;
7;6;1045;376;0;64;13;11;52833;;
8;0;981;353;0;80;9;16;18039;;
8;1;1052;357;0;66;12;20;12814;;
8;2;449;419;0;68;22;7;3537;;
8;3;635;494;3;88;15;6;1023;;
8;4;745;403;0;65;13;12;4990;;
8;5;563;920;3;72;13;27;16396;;
8;6;1045;376;1;64;13;11;52833;;
9;0;982;353;0;84;9;14;25207;;
9;1;1053;357;0;82;14;21;12814;;
9;2;448;419;0;71;21;7;3537;;
9;3;635;494;4;88;15;6;1023;;
9;4;734;405;0;56;14;12;4927;;
9;5;563;920;4;72;13;27;16396;;
9;6;1045;376;0;71;11;12;52835;;
