FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;922;230;0;86;17;18;60928;N2;0,3 uM CBD
0;1;530;283;0;60;20;22;59393;;
0;2;995;288;0;75;21;21;4236;;
0;3;541;301;0;67;19;19;59393;;
0;4;615;506;0;105;13;10;12051;;
0;5;680;479;0;99;15;9;6001;;
0;6;1121;559;0;102;18;10;1777;;
0;7;951;615;0;69;11;15;4415;;
0;8;1049;608;0;64;11;23;26119;;
0;9;421;663;0;88;21;22;35889;;
0;10;476;657;0;69;15;9;2207;;
0;11;1057;663;0;76;13;15;4383;;
0;12;668;694;0;74;16;23;12748;;
0;13;772;699;0;77;19;21;13068;;
0;14;953;761;0;101;15;7;755;;
0;15;500;807;0;93;22;22;13070;;
0;16;526;824;0;71;23;21;4238;;
0;17;587;851;0;60;12;21;8719;;
0;18;583;874;0;58;22;23;13072;;
0;19;811;919;0;106;10;15;9023;;
0;20;926;907;0;74;20;14;35985;;
3;0;922;230;0;81;18;18;60928;;
3;1;530;283;0;56;20;21;51201;;
3;2;995;288;0;78;21;22;4236;;
3;3;541;301;1;67;19;19;59393;;
3;4;615;506;1;105;13;10;12051;;
3;5;679;479;0;104;15;9;2033;;
3;6;1120;560;0;93;18;10;1777;;
3;7;951;616;0;66;11;15;12607;;
3;8;1049;607;0;84;12;24;25607;;
3;9;421;661;0;91;19;19;35875;;
3;10;474;656;0;63;15;12;3295;;
3;11;1058;663;0;76;13;16;14222;;
3;12;668;694;0;72;16;23;12748;;
3;13;772;699;0;66;18;21;13068;;
3;14;953;761;0;102;15;11;255;;
3;15;500;806;0;90;21;22;13086;;
3;16;526;824;1;71;23;21;4238;;
3;17;587;851;0;59;10;21;8719;;
3;18;583;874;1;58;22;23;13072;;
3;19;811;919;0;107;10;15;8479;;
3;20;926;908;0;57;20;12;3217;;
3;21;524;323;0;58;20;15;13192;;
3;22;846;546;0;90;22;13;5592;;
3;23;487;578;0;60;11;20;60418;;
3;24;506;705;0;77;20;22;13068;;
3;25;842;818;0;54;20;8;956;;
3;26;888;826;0;54;9;15;14103;;
3;27;729;952;0;69;14;20;24583;;
4;0;922;229;0;84;18;19;61184;;
4;1;530;284;0;52;20;20;59409;;
4;2;995;288;0;71;21;21;4236;;
4;3;541;301;2;67;19;19;59393;;
4;4;615;506;0;105;13;10;1911;;
4;5;680;479;0;107;15;10;6001;;
4;6;1120;560;0;98;18;9;3825;;
4;7;954;614;0;65;11;15;12575;;
4;8;1049;608;0;78;12;22;25607;;
4;9;421;660;0;84;19;20;35939;;
4;10;470;656;0;53;13;12;34975;;
4;11;1053;672;0;81;13;15;4895;;
4;12;668;693;0;61;16;23;12620;;
4;13;772;699;0;74;17;21;13068;;
4;14;953;761;0;105;16;8;36592;;
4;15;500;806;1;90;21;22;13086;;
4;16;526;824;0;70;22;21;4302;;
4;17;587;851;0;66;12;21;8719;;
4;18;583;874;2;58;22;23;13072;;
4;19;812;921;0;99;11;15;8479;;
4;20;926;908;0;68;20;15;35985;;
4;21;524;323;1;58;20;15;13192;;
4;22;846;546;1;90;22;13;5592;;
4;23;487;578;0;69;12;28;20034;;
4;24;506;705;1;77;20;22;13068;;
4;25;842;818;1;54;20;8;956;;
4;26;888;826;1;54;9;15;14103;;
4;27;729;952;1;69;14;20;24583;;
4;28;569;425;0;81;9;14;5934;;
4;29;741;732;0;94;23;26;4295;;
4;30;957;722;0;92;15;15;28225;;
5;0;922;229;0;89;17;19;61184;;
5;1;530;283;0;55;20;22;60417;;
5;2;995;288;0;71;21;21;4236;;
5;3;541;301;3;67;19;19;59393;;
5;4;615;506;0;103;13;11;1023;;
5;5;679;479;0;104;15;10;6001;;
5;6;1116;558;0;93;18;9;1777;;
5;7;954;614;0;68;11;15;12575;;
5;8;1049;607;0;75;12;25;26183;;
5;9;421;661;0;88;19;19;35939;;
5;10;475;657;0;74;15;10;3231;;
5;11;1057;663;0;72;13;15;4383;;
5;12;668;694;0;82;17;23;12622;;
5;13;772;699;1;74;17;21;13068;;
5;14;953;761;0;110;15;11;1279;;
5;15;500;807;0;82;21;22;13070;;
5;16;526;824;0;77;23;21;4238;;
5;17;587;851;0;55;10;21;8719;;
5;18;583;874;3;58;22;23;13072;;
5;19;811;921;0;94;11;12;9086;;
5;20;926;907;0;61;20;12;3217;;
5;21;524;323;2;58;20;15;13192;;
5;22;846;546;0;95;22;14;4572;;
5;23;487;578;0;82;12;28;26178;;
5;24;506;705;2;77;20;22;13068;;
5;25;842;818;2;54;20;8;956;;
5;26;888;826;2;54;9;15;14103;;
5;27;729;952;2;69;14;20;24583;;
5;28;569;425;1;81;9;14;5934;;
5;29;754;741;0;58;24;20;35734;;
5;30;957;722;0;87;14;15;28161;;
6;0;922;230;0;81;18;18;60928;;
6;1;530;283;1;55;20;22;60417;;
6;2;995;288;0;73;21;21;4236;;
6;3;541;301;4;67;19;19;59393;;
