FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;582;283;0;53;10;13;52787;N2;ET 1.1000
0;1;820;513;0;79;10;19;18019;;
0;2;750;683;0;63;16;14;36659;;
0;3;415;730;0;62;19;20;39116;;
0;4;1005;735;0;88;17;22;50703;;
0;5;629;794;0;99;17;24;29460;;
0;6;674;798;0;63;14;15;36211;;
0;7;1102;792;0;82;8;18;17527;;
0;8;730;844;0;87;6;18;9831;;
0;9;936;859;0;71;18;7;2551;;
0;10;924;901;0;76;12;12;14284;;
0;11;975;888;0;53;18;21;63491;;
0;12;674;927;0;77;10;13;52851;;
0;13;704;976;0;75;17;7;2036;;
3;0;576;276;0;54;22;28;44657;;
3;1;820;513;1;79;10;19;18019;;
3;2;751;685;0;64;16;17;36723;;
3;3;416;730;0;55;19;20;6348;;
3;4;1007;734;0;86;17;21;58895;;
3;5;629;795;0;93;19;24;13086;;
3;6;671;794;0;55;14;14;36211;;
3;7;1102;791;0;72;11;15;17207;;
3;8;730;847;0;91;7;19;9831;;
3;9;938;860;0;60;15;7;375;;
3;10;923;902;0;75;13;12;14156;;
3;11;974;888;0;61;19;21;64513;;
3;12;674;926;0;91;10;15;17971;;
3;13;704;976;0;79;17;7;2032;;
3;14;478;458;0;87;13;17;52771;;
3;15;474;662;0;76;15;8;2295;;
4;0;575;275;0;53;25;23;42609;;
4;1;819;510;0;70;8;15;17511;;
4;2;745;681;0;79;17;17;34611;;
4;3;416;730;0;53;18;20;37004;;
4;4;1007;733;0;80;15;20;57351;;
4;5;629;794;0;83;15;25;29460;;
4;6;674;798;0;60;15;17;34609;;
4;7;1102;791;0;89;9;15;18231;;
4;8;730;847;1;91;7;19;9831;;
4;9;938;860;1;60;15;7;375;;
4;10;921;902;0;74;11;12;5998;;
4;11;973;888;0;61;22;21;31745;;
4;12;673;925;0;90;11;16;52323;;
4;13;704;976;0;78;17;7;2032;;
4;14;474;453;0;80;13;17;50723;;
4;15;474;662;1;76;15;8;2295;;
4;16;715;267;0;86;23;24;19459;;
4;17;683;653;0;73;17;12;4990;;
5;0;579;283;0;57;10;17;50737;;
5;1;819;510;1;70;8;15;17511;;
5;2;745;681;1;79;17;17;34611;;
5;3;415;730;0;59;19;20;39052;;
5;4;1008;734;0;102;15;20;57358;;
5;5;629;794;0;93;17;25;29460;;
5;6;675;799;0;71;16;18;38705;;
5;7;1099;786;0;74;8;16;26147;;
5;8;733;839;0;87;11;15;29767;;
5;9;938;860;2;60;15;7;375;;
5;10;920;903;0;72;13;13;4991;;
5;11;971;889;0;54;21;20;31745;;
5;12;674;927;0;84;10;15;1651;;
5;13;704;976;0;77;17;6;2036;;
5;14;474;453;1;80;13;17;50723;;
5;15;474;662;2;76;15;8;2295;;
5;16;714;267;0;86;23;21;27651;;
5;17;661;659;0;69;27;5;3568;;
5;18;772;210;0;66;20;20;33139;;
5;19;695;744;0;75;14;8;4479;;
6;0;582;284;0;52;13;18;50721;;
6;1;819;510;2;70;8;15;17511;;
6;2;745;680;0;63;16;17;34611;;
6;3;415;730;0;62;19;20;39052;;
6;4;1007;733;0;89;15;19;28935;;
6;5;633;797;0;85;21;23;12575;;
6;6;674;798;0;54;15;17;50993;;
6;7;1100;786;0;90;7;17;25395;;
6;8;730;845;0;83;7;16;26182;;
6;9;938;860;3;60;15;7;375;;
6;10;919;903;0;74;13;14;4991;;
6;11;971;889;0;58;22;21;31745;;
6;12;675;929;0;75;11;13;17955;;
6;13;704;976;0;68;17;6;2034;;
6;14;471;447;0;76;13;17;52771;;
6;15;474;662;3;76;15;8;2295;;
6;16;714;267;1;86;23;21;27651;;
6;17;684;652;0;70;15;13;4415;;
6;18;772;210;1;66;20;20;33139;;
6;19;695;744;1;75;14;8;4479;;
6;20;575;320;0;68;15;7;4479;;
7;0;575;275;0;59;23;28;42609;;
7;1;819;510;3;70;8;15;17511;;
7;2;750;683;0;61;14;15;33587;;
7;3;415;730;0;62;20;20;37068;;
7;4;1010;735;0;85;17;21;24591;;
7;5;634;798;0;92;22;24;13086;;
7;6;674;798;1;54;15;17;50993;;
7;7;1100;789;0;76;7;15;29459;;
7;8;730;845;1;83;7;16;26182;;
7;9;938;860;4;60;15;7;375;;
7;10;919;902;0;85;15;13;4415;;
7;11;972;889;0;72;22;21;27649;;
7;12;674;927;0;79;9;15;17971;;
7;13;704;976;0;77;18;7;2038;;
7;14;471;447;0;73;14;17;52227;;
7;15;474;662;4;76;15;8;2295;;
7;16;716;266;0;83;22;20;52231;;
7;17;686;651;0;69;18;15;4926;;
7;18;773;210;0;53;19;21;33139;;
7;19;695;744;2;75;14;8;4479;;
7;20;573;320;0;66;14;8;4415;;
7;21;659;659;0;75;26;6;3312;;
8;0;575;275;1;59;23;28;42609;;
8;1;819;510;0;76;10;17;18019;;
8;2;750;683;0;78;16;16;50979;;
8;3;416;730;0;64;19;20;39052;;
8;4;1009;735;0;91;16;21;8271;;
8;5;634;798;0;92;22;24;13086;;
8;6;674;798;2;54;15;17;50993;;
8;7;1100;789;1;76;7;15;29459;;
8;8;730;845;2;83;7;16;26182;;
8;9;941;860;0;75;16;6;2032;;
8;10;922;902;0;70;15;13;4415;;
8;11;972;888;0;58;19;21;31745;;
8;12;673;925;0;81;9;14;17507;;
8;13;704;976;0;80;17;7;2038;;
8;14;471;447;0;82;14;19;60419;;
8;15;474;662;5;76;15;8;2295;;
8;16;716;267;0;97;22;21;51207;;
8;17;686;651;1;69;18;15;4926;;
8;18;772;210;0;54;20;20;33139;;
8;19;695;744;3;75;14;8;4479;;
8;20;581;320;0;66;15;6;383;;
8;21;659;659;1;75;26;6;3312;;
8;22;418;417;0;57;18;18;51336;;
8;23;610;915;0;75;15;9;895;;
9;0;575;275;2;59;23;28;42609;;
9;1;819;510;1;76;10;17;18019;;
9;2;751;687;0;52;16;17;34611;;
9;3;416;730;0;60;19;20;37260;;
9;4;1011;734;0;98;15;21;13063;;
9;5;635;798;0;79;21;24;8990;;
9;6;682;807;0;62;16;17;36465;;
9;7;1100;789;2;76;7;15;29459;;
9;8;737;869;0;76;19;7;1267;;
9;9;941;860;1;75;16;6;2032;;
9;10;921;901;0;67;12;11;4988;;
9;11;972;888;1;58;19;21;31745;;
9;12;673;925;1;81;9;14;17507;;
9;13;704;976;0;78;17;6;2038;;
9;14;471;448;0;74;14;17;60451;;
9;15;474;662;6;76;15;8;2295;;
9;16;716;266;0;86;23;20;52231;;
9;17;686;651;2;69;18;15;4926;;
9;18;772;210;0;55;19;18;32787;;
9;19;695;744;4;75;14;8;4479;;
9;20;581;321;0;57;17;5;1008;;
9;21;666;659;0;60;31;13;3536;;
9;22;418;417;1;57;18;18;51336;;
9;23;610;915;1;75;15;9;895;;
9;24;741;806;0;106;11;12;1783;;
10;0;582;284;0;53;13;19;50737;;
10;1;819;510;2;76;10;17;18019;;
10;2;750;683;0;64;14;17;50995;;
10;3;416;730;0;57;18;20;39116;;
10;4;1011;734;1;98;15;21;13063;;
10;5;634;798;0;84;22;25;13086;;
10;6;674;797;0;62;15;14;50483;;
10;7;1100;789;3;76;7;15;29459;;
10;8;737;869;1;76;19;7;1267;;
10;9;941;860;2;75;16;6;2032;;
10;10;922;901;0;73;13;11;4991;;
10;11;969;891;0;66;22;18;28161;;
10;12;673;925;2;81;9;14;17507;;
10;13;704;976;0;79;17;6;2038;;
10;14;471;447;0;71;13;19;26115;;
10;15;474;662;7;76;15;8;2295;;
10;16;716;266;1;86;23;20;52231;;
10;17;686;651;3;69;18;15;4926;;
10;18;773;210;0;55;19;20;33139;;
10;19;695;744;5;75;14;8;4479;;
10;20;578;320;0;55;15;6;1023;;
10;21;668;659;0;60;30;11;2517;;
10;22;418;417;2;57;18;18;51336;;
10;23;608;916;0;67;14;8;479;;
10;24;741;806;1;106;11;12;1783;;
11;0;582;284;1;53;13;19;50737;;
11;1;819;510;3;76;10;17;18019;;
11;2;745;681;0;62;15;11;3379;;
11;3;416;730;0;64;19;20;6284;;
11;4;1011;734;2;98;15;21;13063;;
11;5;634;798;0;91;22;25;13086;;
11;6;678;801;0;64;15;15;34099;;
11;7;1100;789;4;76;7;15;29459;;
11;8;737;869;2;76;19;7;1267;;
11;9;943;860;0;82;16;7;4080;;
11;10;923;901;0;71;12;11;14188;;
11;11;966;892;0;91;24;19;60945;;
11;12;673;925;3;81;9;14;17507;;
11;13;704;976;0;74;17;7;2036;;
11;14;471;447;0;72;14;19;27651;;
11;15;474;662;8;76;15;8;2295;;
11;16;710;269;0;58;24;18;49171;;
11;17;683;656;0;83;22;15;4409;;
11;18;773;210;0;52;19;20;32883;;
11;19;695;744;6;75;14;8;4479;;
11;20;578;320;1;55;15;6;1023;;
11;21;668;659;1;60;30;11;2517;;
11;22;418;417;3;57;18;18;51336;;
11;23;604;890;0;53;5;24;9838;;
11;24;741;806;2;106;11;12;1783;;
11;25;603;655;0;93;10;13;9855;;
12;0;579;283;0;53;13;18;52339;;
12;1;819;510;4;76;10;17;18019;;
12;2;745;680;0;75;17;18;36659;;
12;3;416;730;0;53;19;20;6284;;
12;4;1011;734;3;98;15;21;13063;;
12;5;635;797;0;97;21;25;13086;;
12;6;678;800;0;62;14;13;35955;;
12;7;1100;789;0;86;7;17;25395;;
12;8;737;869;3;76;19;7;1267;;
12;9;946;859;0;78;17;7;4080;;
12;10;925;901;0;73;12;11;14280;;
12;11;966;891;0;98;24;21;60945;;
12;12;673;925;4;81;9;14;17507;;
12;13;704;976;0;77;17;6;2036;;
12;14;471;446;0;72;14;19;27651;;
12;15;474;662;9;76;15;8;2295;;
12;16;710;269;1;58;24;18;49171;;
12;17;683;656;1;83;22;15;4409;;
12;18;773;210;1;52;19;20;32883;;
12;19;695;744;7;75;14;8;4479;;
12;20;578;320;2;55;15;6;1023;;
12;21;668;659;2;60;30;11;2517;;
12;22;418;417;4;57;18;18;51336;;
12;23;604;890;1;53;5;24;9838;;
12;24;741;806;3;106;11;12;1783;;
12;25;603;655;1;93;10;13;9855;;
12;26;1022;843;0;102;12;11;6135;;
13;0;579;283;1;53;13;18;52339;;
13;1;819;510;5;76;10;17;18019;;
13;2;750;683;0;78;16;14;36659;;
13;3;416;730;0;57;18;20;39052;;
13;4;1011;734;4;98;15;21;13063;;
13;5;635;799;0;93;21;23;12574;;
13;6;678;801;0;79;14;14;35955;;
13;7;1101;791;0;82;6;15;13111;;
13;8;737;869;4;76;19;7;1267;;
13;9;943;860;0;75;17;7;4080;;
13;10;923;903;0;64;11;12;14028;;
13;11;966;891;0;86;25;19;11777;;
13;12;673;925;5;81;9;14;17507;;
13;13;704;976;0;78;17;6;2038;;
13;14;470;447;0;81;14;19;19555;;
13;15;480;664;0;73;15;9;3191;;
13;16;689;258;0;76;20;18;52417;;
13;17;684;655;0;73;25;16;4923;;
13;18;773;210;2;52;19;20;32883;;
13;19;695;744;8;75;14;8;4479;;
13;20;578;320;0;59;16;5;4080;;
13;21;668;659;3;60;30;11;2517;;
13;22;418;417;5;57;18;18;51336;;
13;23;604;890;2;53;5;24;9838;;
13;24;741;806;4;106;11;12;1783;;
13;25;603;655;0;93;9;14;639;;
13;26;1022;843;1;102;12;11;6135;;
13;27;601;769;0;80;11;13;14321;;
13;28;921;949;0;57;27;12;479;;
14;0;579;283;2;53;13;18;52339;;
14;1;819;510;6;76;10;17;18019;;
14;2;750;683;0;72;15;15;33555;;
