FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA ;TRATAMIENTO
0;0;980;242;0;56;13;8;62224;N2;0,3 uM CBD
0;1;896;499;0;96;9;11;12567;;
0;2;807;547;0;63;16;7;3316;;
0;3;918;527;0;74;8;15;4975;;
0;4;995;535;0;83;7;11;4383;;
0;5;1075;534;0;82;11;12;255;;
0;6;699;607;0;95;8;18;8767;;
0;7;785;590;0;54;27;21;35140;;
0;8;713;657;0;78;9;10;4383;;
3;0;981;242;0;62;13;7;62224;;
3;1;899;499;0;107;9;15;13111;;
3;2;800;548;0;89;11;9;4383;;
3;3;916;524;0;75;8;15;10039;;
3;4;995;535;1;83;7;11;4383;;
3;5;1075;534;1;82;11;12;255;;
3;6;698;607;0;79;8;19;13182;;
3;7;785;590;1;54;27;21;35140;;
3;8;712;657;0;86;10;10;4383;;
4;0;981;242;1;62;13;7;62224;;
4;1;897;498;0;111;20;28;52289;;
4;2;802;548;0;84;11;10;4383;;
4;3;916;519;0;72;20;25;32785;;
4;4;995;535;2;83;7;11;4383;;
4;5;1075;534;2;82;11;12;255;;
4;6;697;613;0;74;7;15;4927;;
4;7;785;590;2;54;27;21;35140;;
4;8;712;657;0;87;10;10;4383;;
5;0;981;242;2;62;13;7;62224;;
5;1;897;499;0;84;20;33;27713;;
5;2;802;549;0;87;10;10;4383;;
5;3;918;516;0;81;21;25;32819;;
5;4;995;535;3;83;7;11;4383;;
5;5;1075;537;0;76;13;8;375;;
5;6;696;614;0;78;6;21;9830;;
5;7;785;591;0;59;26;21;33092;;
5;8;712;658;0;81;9;10;4383;;
6;0;981;242;3;62;13;7;62224;;
6;1;897;498;0;106;21;21;52416;;
6;2;803;548;0;91;12;10;52855;;
6;3;918;510;0;94;20;26;51217;;
6;4;995;535;4;83;7;11;4383;;
6;5;1075;535;0;76;11;9;4383;;
6;6;696;611;0;82;7;26;9798;;
6;7;785;591;1;59;26;21;33092;;
6;8;713;660;0;84;8;11;4383;;
7;0;981;242;4;62;13;7;62224;;
7;1;896;499;0;99;20;21;19648;;
