FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;1048;376;0;90;13;13;36451;N2;30 uM CBD
0;1;857;581;0;67;9;20;26190;;
0;2;863;613;0;64;15;4;4607;;
0;3;1148;628;0;74;21;24;8004;;
0;4;662;658;0;91;12;11;20081;;
0;5;1148;659;0;60;21;19;33589;;
0;6;1086;709;0;68;18;11;511;;
0;7;674;750;0;87;11;20;13900;;
0;8;804;742;0;56;11;8;5919;;
0;9;851;762;0;89;15;7;2047;;
0;10;720;782;0;96;17;10;4049;;
0;11;908;775;0;80;10;11;4383;;
0;12;776;874;0;90;21;10;2016;;
0;13;865;899;0;84;11;19;4406;;
3;0;1048;376;0;87;13;13;36451;;
3;1;858;580;0;82;10;21;9798;;
3;2;861;613;0;79;15;19;16671;;
3;3;1150;628;0;85;27;23;5092;;
3;4;665;659;0;98;16;12;3315;;
3;5;1151;660;0;65;27;20;33585;;
3;6;1088;709;0;65;14;10;319;;
3;7;674;744;0;87;11;19;4415;;
3;8;807;743;0;56;15;7;3327;;
3;9;850;765;0;75;9;11;4383;;
3;10;719;782;0;101;13;13;1943;;
3;11;909;774;0;83;10;10;4383;;
3;12;781;872;0;89;21;8;992;;
3;13;870;895;0;90;11;19;4966;;
4;0;1048;376;0;87;14;13;50803;;
4;1;856;582;0;80;9;20;26188;;
4;2;861;612;0;75;14;20;49167;;
4;3;1155;621;0;101;24;26;5032;;
4;4;668;659;0;91;21;9;3313;;
4;5;1147;660;0;72;21;17;37685;;
4;6;1091;710;0;67;32;15;237;;
4;7;676;742;0;84;12;21;13166;;
4;8;808;744;0;65;15;9;3839;;
4;9;848;765;0;70;11;12;26188;;
4;10;719;784;0;90;8;16;26210;;
4;11;909;775;0;84;10;12;18295;;
4;12;783;871;0;94;23;9;504;;
4;13;868;898;0;87;10;18;13158;;
4;14;828;811;0;68;8;10;4383;;
4;15;928;835;0;54;9;10;4383;;
5;0;1048;376;0;93;14;13;50803;;
5;1;856;582;0;67;9;20;9798;;
5;2;862;612;0;70;16;20;16399;;
5;3;1157;619;0;96;25;24;4968;;
5;4;663;656;0;88;11;15;623;;
5;5;1147;660;0;68;21;20;4917;;
5;6;1093;709;0;56;26;15;4557;;
5;7;680;734;0;92;9;21;13110;;
5;8;807;745;0;66;14;11;1299;;
5;9;845;766;0;73;11;12;4991;;
5;10;720;788;0;85;10;17;17479;;
5;11;909;774;0;82;10;11;4383;;
5;12;796;867;0;88;18;10;504;;
5;13;868;894;0;90;13;18;4910;;
5;14;828;811;1;68;8;10;4383;;
5;15;928;835;1;54;9;10;4383;;
5;16;976;240;0;64;18;6;63248;;
5;17;442;412;0;55;17;17;52425;;
6;0;1047;376;0;94;15;13;50803;;
6;1;855;584;0;82;8;17;9830;;
6;2;861;613;0;59;14;19;16671;;
6;3;1161;618;0;82;18;13;14156;;
6;4;662;654;0;93;8;15;8823;;
6;5;1147;659;0;64;21;18;37684;;
6;6;1085;710;0;68;18;9;511;;
6;7;684;734;0;108;13;17;29900;;
6;8;810;747;0;64;10;8;4383;;
6;9;843;771;0;84;13;11;4991;;
6;10;722;792;0;84;9;19;18019;;
6;11;909;774;0;89;9;12;1639;;
6;12;792;868;0;89;19;7;1016;;
6;13;865;898;0;84;13;15;4479;;
6;14;829;806;0;55;9;16;26190;;
6;15;928;835;2;54;9;10;4383;;
6;16;976;240;1;64;18;6;63248;;
6;17;442;412;1;55;17;17;52425;;
7;0;1047;376;0;95;15;13;50803;;
7;1;854;584;0;91;10;17;13926;;
7;2;861;613;0;69;13;21;31;;
7;3;1158;620;0;89;26;25;4968;;
7;4;662;654;0;102;8;13;8807;;
7;5;1147;659;1;64;21;18;37684;;
7;6;1092;710;0;53;25;15;205;;
7;7;684;731;0;93;15;16;16008;;
7;8;807;748;0;67;14;7;503;;
7;9;840;771;0;74;13;9;4605;;
7;10;724;792;0;91;12;17;52295;;
7;11;909;775;0;90;10;12;1911;;
7;12;798;867;0;88;20;9;496;;
7;13;863;899;0;91;16;15;4972;;
7;14;828;805;0;56;9;16;26222;;
7;15;928;835;3;54;9;10;4383;;
7;16;976;240;2;64;18;6;63248;;
7;17;442;412;0;54;17;17;52425;;
8;0;1047;376;0;91;15;13;50803;;
8;1;858;581;0;90;12;17;26316;;
8;2;861;614;0;69;14;6;511;;
8;3;1155;621;0;98;25;25;5032;;
8;4;660;652;0;92;10;15;1143;;
8;5;1147;660;0;73;21;18;37685;;
8;6;1088;709;0;54;10;10;4383;;
8;7;684;733;0;89;13;13;31116;;
8;8;806;749;0;64;13;5;500;;
8;9;836;775;0;82;12;12;5100;;
8;10;726;791;0;96;16;14;35023;;
8;11;908;775;0;89;10;12;18295;;
8;12;801;866;0;83;18;11;892;;
8;13;865;896;0;79;15;14;4415;;
8;14;828;805;1;56;9;16;26222;;
8;15;928;835;4;54;9;10;4383;;
8;16;976;240;3;64;18;6;63248;;
8;17;442;412;1;54;17;17;52425;;
9;0;1048;376;0;93;14;13;50803;;
9;1;856;583;0;66;10;15;13167;;
9;2;861;612;0;57;13;5;1021;;
9;3;1156;618;0;93;23;28;4392;;
9;4;658;650;0;89;13;16;50739;;
9;5;1147;660;0;68;20;17;37680;;
9;6;1091;710;0;54;18;8;511;;
9;7;686;731;0;94;17;10;4024;;
9;8;802;748;0;64;14;5;503;;
9;9;835;774;0;77;11;9;4927;;
9;10;726;795;0;88;13;16;36465;;
9;11;909;775;0;82;10;11;4383;;
9;12;806;862;0;86;19;10;510;;
9;13;871;895;0;85;14;15;6092;;
9;14;827;811;0;58;8;15;12575;;
9;15;926;828;0;78;10;9;4383;;
9;16;976;240;4;64;18;6;63248;;
9;17;442;412;0;54;17;17;52425;;
10;0;1048;376;0;91;14;13;50803;;
10;1;858;583;0;73;10;18;14150;;
10;2;860;612;0;74;15;22;24591;;
10;3;1158;615;0;90;23;25;4408;;
10;4;656;647;0;81;13;17;50739;;
10;5;1147;660;0;71;33;20;16691;;
10;6;1089;709;0;69;16;11;1022;;
10;7;686;732;0;90;19;9;3832;;
10;8;802;748;0;69;16;7;3952;;
10;9;829;773;0;80;15;6;511;;
10;10;728;799;0;89;14;15;62227;;
10;11;908;774;0;80;10;11;4383;;
10;12;809;861;0;86;21;10;2024;;
10;13;870;894;0;88;11;10;4447;;
10;14;827;811;0;63;8;16;14183;;
10;15;926;826;0;69;9;11;4383;;
10;16;976;240;5;64;18;6;63248;;
10;17;442;412;1;54;17;17;52425;;
11;0;1048;376;0;93;13;13;36451;;
11;1;858;583;0;73;10;19;13094;;
11;2;861;614;0;81;15;20;15;;
11;3;1159;615;0;91;21;28;4920;;
11;4;655;647;0;86;15;15;58129;;
11;5;1147;660;0;71;33;18;18707;;
11;6;1090;709;0;56;11;8;4383;;
11;7;687;728;0;93;17;8;1521;;
11;8;801;746;0;74;15;9;2423;;
11;9;826;773;0;78;15;8;1533;;
11;10;731;799;0;92;15;16;50247;;
11;11;909;775;0;86;9;11;4383;;
11;12;808;862;0;82;22;7;1016;;
11;13;870;898;0;81;9;16;17506;;
11;14;827;812;0;70;8;13;4943;;
11;15;926;827;0;82;9;15;14199;;
11;16;976;240;6;64;18;6;63248;;
11;17;442;412;0;62;17;17;52425;;
12;0;1048;376;0;92;14;13;50803;;
12;1;858;584;0;61;9;15;4927;;
12;2;860;614;0;77;15;6;1023;;
12;3;1159;613;0;83;21;28;13098;;
12;4;660;651;0;82;11;16;50739;;
12;5;1155;663;0;61;15;14;35089;;
12;6;1090;709;1;56;11;8;4383;;
12;7;687;728;0;93;17;9;499;;
12;8;801;747;0;78;15;7;2551;;
12;9;819;776;0;92;28;21;32818;;
12;10;733;801;0;95;13;20;50275;;
12;11;909;774;0;82;9;10;4383;;
12;12;814;860;0;87;20;10;1000;;
12;13;871;900;0;86;7;21;17954;;
12;14;827;813;0;84;7;12;18022;;
12;15;927;827;0;67;10;13;8767;;
12;16;976;240;7;64;18;6;63248;;
12;17;442;412;0;58;17;17;52425;;
13;0;1048;376;0;89;13;13;36451;;
13;1;858;586;0;83;9;17;8998;;
13;2;860;614;1;77;15;6;1023;;
13;3;1158;607;0;80;10;20;26162;;
13;4;661;658;0;94;9;13;10102;;
13;5;1147;660;0;57;32;18;18739;;
13;6;1091;710;0;53;24;15;5320;;
13;7;682;732;0;93;16;12;14168;;
13;8;801;746;0;77;14;10;2295;;
13;9;819;776;0;78;22;20;32787;;
13;10;731;799;0;94;15;16;50279;;
13;11;909;774;0;82;9;11;4383;;
13;12;818;856;0;90;19;15;319;;
13;13;870;896;0;86;8;19;26215;;
13;14;827;811;0;71;8;15;4383;;
13;15;929;827;0;65;5;14;26222;;
13;16;976;240;8;64;18;6;63248;;
13;17;442;412;1;58;17;17;52425;;
13;18;632;961;0;90;17;27;8479;;
14;0;1048;376;0;92;14;13;50787;;
14;1;856;589;0;87;9;17;12838;;
14;2;861;614;0;85;17;22;31;;
14;3;1155;604;0;81;13;18;57905;;
14;4;661;657;0;100;9;12;9838;;
14;5;1147;660;0;70;32;18;18739;;
14;6;1089;710;0;65;15;9;4415;;
14;7;683;730;0;90;12;10;2011;;
14;8;802;746;0;76;14;10;2295;;
14;9;820;773;0;77;22;23;32787;;
14;10;730;799;0;95;13;16;50723;;
14;11;909;774;0;90;9;13;1911;;
14;12;821;855;0;94;19;11;830;;
14;13;869;894;0;79;9;14;8999;;
14;14;827;812;0;69;8;14;14199;;
