FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;685;300;0;75;7;15;13110;N2;CONTROL
0;1;714;278;0;75;19;33;40130;;
0;2;725;293;0;76;14;19;50753;;
0;3;852;309;0;65;25;20;60945;;
0;4;871;327;0;74;20;22;50193;;
0;5;649;363;0;77;14;7;4479;;
0;6;500;455;0;66;14;13;23964;;
0;7;720;460;0;83;11;10;4383;;
0;8;402;519;0;86;20;27;10929;;
0;9;494;499;0;72;11;13;30483;;
0;10;729;491;0;74;12;13;16268;;
0;11;489;544;0;74;11;9;4383;;
0;12;814;527;0;71;10;9;4383;;
0;13;490;659;0;70;7;16;9838;;
0;14;904;652;0;73;17;6;3888;;
0;15;731;685;0;91;23;7;3825;;
0;16;1132;677;0;64;12;21;26115;;
0;17;482;726;0;68;4;18;9830;;
0;18;1090;721;0;96;10;9;319;;
0;19;624;765;0;83;16;7;4080;;
0;20;902;729;0;81;9;11;4383;;
0;21;1140;735;0;70;6;17;4403;;
0;22;947;826;0;57;8;13;35324;;
0;23;1048;813;0;80;20;7;1008;;
0;24;549;861;0;80;22;22;13080;;
0;25;653;852;0;73;14;6;2547;;
0;26;865;869;0;85;8;18;4966;;
0;27;529;874;0;66;13;10;33911;;
0;28;691;933;0;68;21;23;4381;;
0;29;668;947;0;64;20;5;3188;;
0;30;791;964;0;70;16;10;4040;;
0;31;809;964;0;54;10;20;239;;
3;0;683;303;0;80;7;19;12902;;
3;1;713;279;0;76;15;23;18017;;
3;2;725;294;0;83;15;18;60929;;
3;3;852;309;0;70;26;20;60929;;
3;4;871;326;0;68;21;21;52243;;
3;5;651;363;0;77;14;7;4991;;
3;6;501;455;0;84;14;15;20380;;
3;7;718;462;0;71;11;9;4383;;
3;8;402;519;0;90;20;29;10801;;
3;9;493;497;0;74;11;12;60979;;
3;10;732;491;0;75;11;13;14284;;
3;11;489;544;0;75;12;8;2035;;
3;12;814;527;1;71;10;9;4383;;
3;13;491;661;0;92;9;21;8806;;
3;14;902;651;0;70;19;6;2545;;
3;15;725;681;0;97;21;11;3187;;
3;16;1132;677;0;56;10;22;26115;;
3;17;482;725;0;77;4;22;8806;;
3;18;1090;721;1;96;10;9;319;;
3;19;624;765;0;80;16;7;4084;;
3;20;902;729;0;82;9;11;4415;;
3;21;1140;735;1;70;6;17;4403;;
3;22;946;827;0;60;8;11;287;;
3;23;1048;813;0;86;20;7;1008;;
3;24;548;863;0;67;22;19;13064;;
3;25;651;850;0;75;16;8;3185;;
3;26;865;873;0;82;7;18;9830;;
3;27;527;874;0;55;10;11;1119;;
3;28;691;931;0;55;21;21;13084;;
3;29;666;946;0;65;19;5;2295;;
3;30;789;964;0;72;18;8;2044;;
3;31;807;965;0;65;10;20;255;;
3;32;1014;478;0;65;15;16;30727;;
3;33;1067;586;0;58;11;22;17971;;
3;34;603;714;0;57;14;13;4447;;
3;35;652;767;0;67;9;11;4383;;
3;36;795;815;0;84;12;13;4415;;
3;37;848;837;0;70;10;11;287;;
3;38;494;838;0;53;20;16;6556;;
4;0;683;304;0;83;7;19;8806;;
4;1;714;278;0;78;20;33;40130;;
4;2;725;294;0;80;15;18;60929;;
4;3;851;309;0;69;14;7;8049;;
4;4;872;325;0;63;20;23;35859;;
4;5;654;361;0;71;10;8;4895;;
4;6;504;454;0;83;15;11;4024;;
4;7;716;465;0;77;10;11;4383;;
4;8;402;518;0;88;20;27;10929;;
4;9;492;496;0;83;13;11;12081;;
4;10;732;492;0;75;12;13;31884;;
4;11;486;544;0;81;14;7;2033;;
4;12;815;527;0;72;10;9;4383;;
4;13;490;658;0;73;7;16;9838;;
4;14;901;650;0;78;22;6;3313;;
4;15;725;681;0;106;23;11;3187;;
4;16;1132;678;0;64;11;22;26131;;
4;17;482;721;0;94;4;23;8806;;
