FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;554;291;0;56;14;6;496;N2;ETANOL
0;1;760;289;0;85;12;11;252;;
0;2;837;289;0;70;31;20;35857;;
0;3;709;331;0;92;18;17;5358;;
0;4;939;384;0;77;15;11;7633;;
0;5;1000;382;0;63;7;11;4919;;
0;6;1023;423;0;77;10;10;4991;;
0;7;1046;453;0;64;19;10;4415;;
0;8;1093;465;0;99;12;15;4479;;
0;9;1025;488;0;86;7;19;30534;;
0;10;1121;498;0;76;17;13;36465;;
0;11;745;541;0;89;14;11;6124;;
0;12;985;548;0;65;11;13;17495;;
0;13;809;596;0;94;24;6;3440;;
0;14;951;615;0;97;19;22;15886;;
0;15;1095;624;0;89;11;8;4383;;
0;16;943;639;0;66;16;9;8160;;
0;17;1032;657;0;72;15;16;19599;;
0;18;1121;669;0;83;16;14;6124;;
0;19;1088;704;0;65;18;8;3285;;
0;20;534;730;0;84;10;11;4383;;
0;21;947;750;0;83;20;10;1984;;
0;22;1018;753;0;72;5;18;10102;;
0;23;1071;736;0;80;13;10;4991;;
0;24;1138;759;0;71;9;13;4383;;
0;25;1042;777;0;84;23;20;52417;;
0;26;1068;788;0;99;10;21;9830;;
0;27;701;830;0;94;10;17;13926;;
0;28;759;817;0;76;7;12;9830;;
0;29;825;854;0;80;11;8;4415;;
0;30;842;898;0;57;7;21;26127;;
0;31;762;933;0;103;22;25;13080;;
0;32;795;919;0;75;8;17;17958;;
0;33;938;913;0;76;10;12;30532;;
0;34;978;905;0;63;21;20;7308;;
0;35;739;953;0;83;13;7;1907;;
3;0;554;291;0;59;15;7;496;;
3;1;760;290;0;89;13;12;319;;
3;2;837;289;0;71;30;19;52753;;
3;3;710;331;0;82;18;15;5326;;
3;4;939;384;0;72;15;12;6609;;
3;5;1000;382;1;63;7;11;4919;;
3;6;1023;423;1;77;10;10;4991;;
3;7;1046;453;0;70;19;11;4543;;
3;8;1093;464;0;96;15;16;9966;;
3;9;1025;488;1;86;7;19;30534;;
3;10;1126;499;0;76;18;14;36465;;
3;11;746;541;0;94;19;12;6124;;
3;12;985;548;0;71;10;13;17647;;
3;13;808;596;0;98;24;7;3568;;
3;14;950;615;0;111;20;21;31748;;
3;15;1095;624;0;89;11;8;4383;;
3;16;943;639;0;80;16;9;4064;;
3;17;1034;656;0;88;9;17;26182;;
3;18;1121;669;0;88;15;14;5102;;
