FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;801;229;0;96;15;9;2038;N2;0,3 uM CBD
0;1;840;240;0;73;6;16;26146;;
0;2;716;255;0;97;11;9;4383;;
0;3;624;285;0;97;16;21;58915;;
0;4;989;304;0;90;13;12;33911;;
0;5;696;333;0;89;15;14;63249;;
0;6;727;323;0;92;13;9;1913;;
0;7;908;312;0;72;13;19;13895;;
0;8;683;379;0;91;14;14;4988;;
0;9;814;378;0;88;20;9;3952;;
0;10;660;411;0;80;20;8;3536;;
0;11;777;385;0;93;12;20;13892;;
0;12;516;439;0;95;9;12;1910;;
0;13;1123;413;0;63;5;15;13111;;
0;14;469;481;0;98;15;10;4607;;
0;15;625;475;0;64;8;10;4383;;
0;16;858;460;0;63;7;15;4927;;
0;17;1083;459;0;79;19;8;3187;;
0;18;486;491;0;87;10;11;4383;;
0;19;630;520;0;75;13;7;3953;;
0;20;870;521;0;87;9;12;26227;;
0;21;917;506;0;83;6;18;8806;;
0;22;588;545;0;79;9;17;17971;;
0;23;543;577;0;98;11;10;4383;;
0;24;692;582;0;88;13;8;1911;;
0;25;1091;573;0;78;9;10;4383;;
0;26;440;617;0;89;8;12;9830;;
0;27;890;589;0;79;20;22;5996;;
0;28;968;620;0;84;15;15;58163;;
0;29;677;631;0;93;22;8;3825;;
0;30;1110;650;0;96;11;9;287;;
0;31;1086;685;0;77;13;11;17511;;
0;32;1023;712;0;85;15;7;2045;;
0;33;696;754;0;84;21;9;2291;;
0;34;973;761;0;73;7;17;9827;;
0;35;1044;739;0;53;20;15;48897;;
0;36;562;773;0;90;11;17;13923;;
0;37;1003;796;0;79;15;7;2547;;
0;38;1069;801;0;66;21;8;3984;;
0;39;545;852;0;92;10;9;5911;;
0;40;853;872;0;70;6;22;8806;;
0;41;867;898;0;84;32;20;33126;;
0;42;888;890;0;65;21;17;4892;;
0;43;976;867;0;101;11;11;4951;;
0;44;736;912;0;91;12;20;17971;;
0;45;985;920;0;61;27;21;3601;;
3;0;801;229;0;82;13;8;4080;;
