FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;807;251;0;63;9;8;3831;N2;CONTROL
0;1;647;307;0;59;7;7;4383;;
0;2;840;325;0;68;12;9;5983;;
0;3;652;351;0;62;7;15;4383;;
0;4;899;381;0;99;6;28;26214;;
0;5;918;360;0;83;25;22;12552;;
0;6;555;435;0;68;7;8;79;;
0;7;607;415;0;75;12;9;4978;;
0;8;661;429;0;70;11;12;52787;;
0;9;611;484;0;95;11;12;9070;;
0;10;880;473;0;83;17;11;486;;
0;11;507;515;0;88;7;10;4383;;
0;12;539;526;0;82;21;21;4364;;
0;13;575;587;0;74;11;13;4927;;
0;14;700;563;0;59;7;7;4383;;
0;15;587;619;0;89;14;15;4383;;
0;16;572;643;0;65;7;9;4415;;
0;17;677;696;0;86;9;10;4415;;
0;18;803;705;0;87;8;11;4383;;
0;19;1076;734;0;65;5;12;18022;;
0;20;616;810;0;76;11;10;4383;;
0;21;643;823;0;54;16;6;823;;
0;22;779;829;0;91;9;12;26214;;
0;23;955;829;0;56;7;11;4383;;
3;0;810;252;0;63;10;7;1779;;
3;1;647;307;0;65;8;7;6003;;
3;2;840;325;0;66;11;9;4415;;
3;3;653;351;0;67;7;15;4383;;
3;4;899;381;0;96;4;28;26214;;
3;5;919;360;0;75;24;21;28936;;
3;6;555;435;0;60;7;7;4383;;
3;7;607;415;0;86;12;9;4383;;
3;8;662;429;0;77;11;13;18207;;
3;9;611;484;0;87;11;11;4383;;
3;10;882;470;0;75;15;12;4575;;
3;11;507;515;0;88;7;10;4383;;
3;12;539;526;0;78;21;22;4367;;
3;13;577;586;0;77;8;16;9076;;
3;14;700;563;0;60;7;7;4383;;
3;15;590;623;0;89;24;25;13081;;
3;16;572;643;0;59;6;9;1359;;
3;17;677;696;1;86;9;10;4415;;
3;18;803;705;0;85;7;11;4383;;
3;19;1076;735;0;70;6;12;17207;;
3;20;616;812;0;72;12;10;1651;;
3;21;643;823;0;58;7;8;1071;;
3;22;779;829;0;83;9;12;9831;;
3;23;955;830;0;52;7;12;9838;;
3;24;961;751;0;53;6;9;4383;;
4;0;810;252;0;69;11;6;3825;;
4;1;647;307;0;62;8;7;6003;;
4;2;840;325;0;67;10;9;4927;;
4;3;652;352;0;69;8;15;4927;;
4;4;899;381;0;92;5;28;26214;;
4;5;919;360;0;76;25;22;13064;;
4;6;555;435;0;72;7;8;1135;;
4;7;608;415;0;68;12;8;887;;
4;8;662;429;0;65;10;12;18227;;
4;9;611;484;0;92;10;12;4991;;
4;10;880;473;0;86;16;11;8162;;
4;11;507;514;0;84;7;10;4383;;
4;12;539;526;0;84;21;22;4364;;
4;13;574;589;0;78;10;16;9068;;
4;14;700;563;0;60;7;7;4383;;
4;15;591;623;0;108;24;25;13081;;
4;16;571;643;0;56;8;7;30574;;
4;17;676;696;0;90;9;10;4383;;
4;18;804;705;0;85;7;11;4415;;
4;19;1076;734;0;66;5;12;18022;;
4;20;617;812;0;75;12;10;1587;;
4;21;643;822;0;72;15;6;4383;;
4;22;778;829;0;97;9;12;9830;;
4;23;955;829;0;54;7;11;4383;;
4;24;961;751;0;52;8;8;4383;;
4;25;486;443;0;88;13;8;4084;;
5;0;809;251;0;66;11;6;3824;;
5;1;647;308;0;66;8;10;4919;;
5;2;840;325;0;60;11;8;4415;;
5;3;653;349;0;59;6;15;4415;;
5;4;899;381;0;101;6;28;26214;;
5;5;919;360;0;75;22;23;13064;;
5;6;555;435;0;65;7;9;4383;;
5;7;609;414;0;73;11;8;4383;;
5;8;662;429;0;73;10;13;17695;;
5;9;611;484;0;87;10;11;4383;;
5;10;883;470;0;83;18;11;4471;;
5;11;507;513;0;88;7;10;4383;;
5;12;539;526;0;91;21;22;4364;;
5;13;574;590;0;77;12;13;4910;;
5;14;700;563;0;62;7;7;4383;;
5;15;589;622;0;104;27;21;13085;;
5;16;572;643;0;61;11;7;4383;;
5;17;676;696;1;90;9;10;4383;;
5;18;804;704;0;83;8;10;4383;;
5;19;1076;735;0;65;5;11;4895;;
5;20;615;810;0;85;14;10;5503;;
5;21;643;822;1;72;15;6;4383;;
5;22;778;828;0;89;9;11;4895;;
5;23;955;828;0;55;7;11;4383;;
5;24;961;751;1;52;8;8;4383;;
5;25;486;443;0;91;13;7;3575;;
5;26;1166;628;0;85;19;20;12764;;
5;27;703;858;0;50;8;7;4371;;
