FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;735;237;0;68;15;6;1776;N2;3 uM CBDV
0;1;985;251;0;60;11;9;4383;;
0;2;610;336;0;93;15;10;383;;
0;3;770;327;0;90;14;10;4927;;
0;4;1017;342;0;58;21;17;62225;;
0;5;978;381;0;53;7;7;4383;;
0;6;1026;403;0;68;14;12;4415;;
0;7;827;465;0;78;9;11;4383;;
0;8;1117;482;0;68;6;11;4383;;
0;9;645;549;0;90;21;7;503;;
0;10;843;540;0;71;10;7;4383;;
0;11;779;586;0;69;7;10;4383;;
0;12;1025;591;0;83;12;11;5622;;
0;13;515;602;0;76;20;20;12302;;
0;14;1115;609;0;59;8;9;6015;;
0;15;600;667;0;102;15;7;4479;;
0;16;1007;703;0;64;7;11;4927;;
0;17;1101;721;0;52;7;8;1647;;
0;18;895;765;0;84;11;11;4383;;
0;19;630;800;0;79;10;12;1655;;
0;20;958;820;0;79;8;11;4383;;
0;21;1019;810;0;71;12;9;311;;
0;22;876;914;0;62;15;7;895;;
3;0;737;237;0;60;15;5;240;;
3;1;985;251;0;56;19;18;12569;;
3;2;607;338;0;83;14;11;1399;;
3;3;770;327;0;96;14;11;4927;;
3;4;1021;345;0;73;22;17;62225;;
3;5;978;381;0;54;7;7;4383;;
3;6;1025;401;0;79;15;12;6495;;
3;7;827;466;0;79;9;11;4383;;
3;8;1117;481;0;71;5;12;18023;;
3;9;641;548;0;82;17;7;1527;;
3;10;843;540;0;68;10;7;4383;;
3;11;778;588;0;76;7;12;1646;;
3;12;1025;590;0;93;10;12;4471;;
3;13;515;602;0;75;20;20;12303;;
3;14;1116;608;0;61;9;8;5983;;
3;15;599;666;0;97;15;7;4479;;
3;16;1007;703;0;62;7;10;18231;;
3;17;1100;721;0;51;17;11;4921;;
3;18;895;765;0;96;12;13;6095;;
3;19;631;802;0;73;10;11;4415;;
3;20;958;820;0;67;9;10;4383;;
3;21;1019;810;0;89;15;9;287;;
3;22;876;914;0;64;16;7;1984;;
3;23;1052;448;0;74;23;15;33553;;
3;24;763;552;0;59;7;9;4383;;
3;25;553;640;0;51;18;5;7632;;
4;0;741;237;0;67;15;6;1008;;
4;1;985;251;0;59;19;18;12569;;
4;2;607;336;0;77;11;12;35959;;
4;3;771;326;0;81;12;10;4984;;
4;4;1015;342;0;79;22;18;54033;;
4;5;978;381;1;54;7;7;4383;;
4;6;1024;401;0;76;15;11;3315;;
4;7;827;466;0;72;10;10;4383;;
4;8;1117;482;0;69;6;11;4383;;
4;9;643;549;0;75;11;7;4383;;
4;10;843;540;0;82;10;7;4383;;
4;11;779;586;0;76;7;11;4383;;
4;12;1025;590;0;82;10;12;4479;;
4;13;515;602;0;78;20;20;12303;;
4;14;1116;608;0;71;9;9;5471;;
4;15;600;667;0;102;15;7;4383;;
4;16;1007;703;0;59;7;11;4927;;
4;17;1101;721;0;55;16;11;4912;;
4;18;895;764;0;87;10;14;4927;;
4;19;631;799;0;80;10;12;1655;;
4;20;958;820;0;86;12;9;4989;;
4;21;1020;810;0;93;12;9;3959;;
4;22;875;914;0;64;15;8;383;;
4;23;1053;449;0;72;23;25;36401;;
4;24;764;551;0;51;7;21;9079;;
4;25;553;642;0;57;19;6;6616;;
4;26;755;515;0;70;12;21;50231;;
4;27;507;657;0;52;7;7;4383;;
4;28;1030;791;0;85;18;19;4367;;
5;0;734;238;0;67;17;5;2032;;
5;1;985;251;1;59;19;18;12569;;
5;2;607;336;0;92;14;14;1271;;
5;3;770;326;0;77;12;9;4977;;
5;4;1017;342;0;84;22;18;54033;;
5;5;978;381;2;54;7;7;4383;;
5;6;1021;400;0;74;16;7;3920;;
5;7;827;467;0;75;7;12;26214;;
5;8;1117;482;0;63;5;11;4383;;
5;9;644;549;0;59;12;5;4977;;
5;10;844;540;0;75;11;7;4383;;
5;11;778;588;0;64;7;10;4383;;
5;12;1024;590;0;73;9;12;383;;
5;13;515;602;0;76;20;20;4110;;
5;14;1115;609;0;62;9;8;5471;;
5;15;600;667;0;95;15;7;4479;;
5;16;1007;703;0;65;7;12;18022;;
5;17;1106;719;0;56;16;12;816;;
5;18;895;764;0;84;9;13;6015;;
5;19;630;803;0;86;11;10;4383;;
5;20;958;821;0;92;12;10;4991;;
5;21;1019;811;0;95;14;9;375;;
5;22;875;916;0;60;13;10;4479;;
5;23;1053;450;0;71;23;25;35377;;
5;24;764;550;0;53;7;20;25191;;
5;25;553;640;0;50;18;5;7632;;
5;26;755;515;1;70;12;21;50231;;
5;27;507;657;1;52;7;7;4383;;
5;28;1030;790;0;81;18;19;4383;;
6;0;734;237;0;67;13;9;504;;
6;1;985;251;0;55;10;10;4383;;
6;2;606;336;0;87;14;14;5427;;
6;3;772;326;0;92;14;10;4415;;
6;4;1016;342;0;70;23;17;62225;;
6;5;978;381;3;54;7;7;4383;;
6;6;1021;401;0;71;20;6;3184;;
6;7;826;468;0;92;9;14;4919;;
6;8;1117;481;0;56;4;11;4383;;
6;9;643;549;0;50;11;7;4383;;
6;10;844;539;0;86;11;7;4383;;
6;11;778;588;0;78;7;12;9838;;
6;12;1025;591;0;82;10;11;4383;;
6;13;515;602;0;82;20;20;12558;;
6;14;1115;609;0;64;9;8;5463;;
6;15;599;666;0;97;15;7;4383;;
6;16;1007;703;0;66;7;11;4927;;
6;17;1101;720;0;50;7;9;4927;;
6;18;895;765;0;79;8;11;4383;;
6;19;630;801;0;85;11;10;4383;;
6;20;958;821;0;74;9;10;4383;;
6;21;1019;810;0;81;13;10;279;;
6;22;876;913;0;70;13;14;4383;;
6;23;1052;451;0;81;22;26;35377;;
6;24;763;550;0;51;7;21;9015;;
6;25;553;641;0;51;18;5;7632;;
6;26;755;515;2;70;12;21;50231;;
6;27;507;657;2;52;7;7;4383;;
6;28;1030;790;1;81;18;19;4383;;
6;29;1131;635;0;56;7;7;4383;;
6;30;1003;680;0;61;19;19;39327;;
7;0;733;235;0;61;11;9;287;;
7;1;985;251;1;55;10;10;4383;;
7;2;612;340;0;82;16;12;35063;;
7;3;771;326;0;93;12;12;4990;;
7;4;1017;342;0;67;22;15;62225;;
7;5;978;381;0;54;7;7;4383;;
7;6;1023;402;0;68;15;5;4607;;
7;7;827;468;0;72;7;13;30503;;
7;8;1117;481;0;71;6;12;18039;;
7;9;645;549;0;54;10;7;4383;;
7;10;844;540;0;86;13;9;4479;;
7;11;778;586;0;63;5;12;9838;;
7;12;1025;591;0;72;10;9;4447;;
7;13;515;602;0;82;20;20;12302;;
7;14;1116;609;0;69;9;9;4447;;
7;15;600;667;0;86;15;7;4383;;
7;16;1007;703;0;65;8;11;6015;;
7;17;1101;721;0;57;16;11;4912;;
7;18;895;764;0;86;8;12;6007;;
7;19;629;801;0;91;11;11;4383;;
7;20;958;819;0;80;9;11;4383;;
7;21;1019;810;1;81;13;10;279;;
7;22;873;916;0;76;17;14;4415;;
7;23;1053;451;0;72;23;19;37649;;
7;24;763;550;1;51;7;21;9015;;
7;25;553;641;0;51;18;5;7632;;
7;26;755;515;3;70;12;21;50231;;
7;27;507;658;0;52;7;7;4383;;
7;28;1030;790;0;81;18;19;4367;;
7;29;1131;635;1;56;7;7;4383;;
7;30;1003;680;1;61;19;19;39327;;
7;31;1033;437;0;93;20;18;52369;;
8;0;735;233;0;67;10;13;13118;;
8;1;985;251;2;55;10;10;4383;;
8;2;610;338;0;81;16;11;36465;;
8;3;772;327;0;83;10;11;4415;;
8;4;1016;342;0;76;23;17;54033;;
8;5;978;381;1;54;7;7;4383;;
8;6;1020;402;0;62;10;6;479;;
8;7;827;464;0;74;12;8;1895;;
8;8;1117;482;0;63;5;12;26215;;
8;9;643;549;0;51;10;4;4383;;
8;10;844;540;0;83;15;9;4479;;
8;11;779;586;0;76;7;11;4383;;
8;12;1024;591;0;72;10;9;4447;;
8;13;515;602;0;78;20;20;4111;;
8;14;1115;609;0;73;9;8;5471;;
8;15;600;667;0;95;15;7;4383;;
8;16;1007;703;0;59;7;11;4927;;
8;17;1101;720;0;55;16;12;4923;;
8;18;895;763;0;80;9;12;9838;;
8;19;630;801;0;89;11;11;4383;;
8;20;959;820;0;81;9;11;4383;;
8;21;1019;810;0;70;13;9;287;;
8;22;874;915;0;76;15;11;4415;;
8;23;1055;451;0;72;12;15;50279;;
8;24;763;550;2;51;7;21;9015;;
8;25;553;641;0;50;18;5;7632;;
8;26;755;515;4;70;12;21;50231;;
8;27;507;658;0;54;7;7;4383;;
8;28;1030;790;0;77;18;19;4383;;
8;29;1131;635;2;56;7;7;4383;;
8;30;1003;680;0;56;20;20;34975;;
8;31;1033;437;0;92;20;18;51345;;
9;0;731;237;0;60;10;9;383;;
9;1;985;251;0;50;10;9;4383;;
9;2;610;337;0;84;16;12;36210;;
9;3;772;328;0;98;10;14;6007;;
9;4;1016;342;0;68;23;16;54033;;
9;5;978;381;0;54;7;7;4383;;
9;6;1022;404;0;70;15;8;4511;;
9;7;827;465;0;81;12;10;8004;;
9;8;1117;482;0;72;6;11;4383;;
9;9;643;549;1;51;10;4;4383;;
9;10;845;539;0;84;12;8;6142;;
9;11;779;585;0;71;7;11;4383;;
9;12;1025;591;0;75;11;9;4383;;
9;13;515;602;0;75;20;20;4110;;
9;14;1115;609;0;54;8;7;23888;;
9;15;599;667;0;104;15;7;4383;;
9;16;1007;703;0;66;8;11;6015;;
9;17;1101;720;0;52;7;9;5503;;
9;18;894;764;0;78;8;10;4383;;
9;19;630;800;0;81;10;11;4383;;
9;20;957;819;0;87;10;10;4383;;
9;21;1019;810;0;91;15;9;287;;
9;22;873;915;0;89;15;11;4415;;
9;23;1056;455;0;73;11;17;17507;;
9;24;763;549;0;65;7;21;9015;;
9;25;553;641;0;50;18;5;7632;;
9;26;755;515;5;70;12;21;50231;;
9;27;507;658;0;50;7;7;4383;;
9;28;1030;790;1;77;18;19;4383;;
9;29;1131;635;3;56;7;7;4383;;
9;30;1003;680;1;56;20;20;34975;;
9;31;1033;437;0;84;21;19;52417;;
10;0;730;237;0;67;10;11;14180;;
10;1;985;251;1;50;10;9;4383;;
10;2;608;335;0;83;19;9;2295;;
10;3;772;327;0;94;9;12;28236;;
10;4;1021;345;0;68;23;16;54033;;
10;5;978;381;0;54;7;7;4383;;
10;6;1027;405;0;74;17;10;3889;;
10;7;831;464;0;86;16;6;4080;;
10;8;1117;482;0;68;6;11;4383;;
10;9;643;549;2;51;10;4;4383;;
10;10;843;539;0;80;9;7;4383;;
10;11;778;588;0;74;7;12;1646;;
10;12;1024;591;0;77;11;9;4415;;
10;13;515;602;0;82;20;20;4366;;
10;14;1115;609;0;67;9;8;5471;;
10;15;598;666;0;88;12;7;4383;;
10;16;1008;703;0;66;8;11;6015;;
