FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;713;262;0;77;11;11;886;N2;0,3 uM CBDV
0;1;1003;272;0;61;7;10;4383;;
0;2;529;492;0;94;11;12;4927;;
0;3;546;596;0;108;28;17;3409;;
0;4;402;692;0;37;28;14;35244;;
0;5;421;757;0;72;6;15;34958;;
0;6;438;779;0;56;18;20;39052;;
0;7;1116;794;0;57;7;10;4383;;
0;8;491;849;0;41;20;21;4494;;
0;9;541;869;0;54;5;15;4383;;
0;10;539;896;0;45;21;7;319;;
0;11;643;931;0;91;7;22;9734;;
0;12;643;948;0;45;20;25;12351;;
0;13;691;958;0;68;6;19;8207;;
0;14;917;976;0;69;19;6;31;;
3;0;713;261;0;70;12;11;13168;;
3;1;1003;272;0;71;7;11;4383;;
3;2;531;491;0;88;10;13;4383;;
3;3;547;595;0;102;26;19;465;;
3;4;412;698;0;43;13;9;4381;;
3;5;427;764;0;59;29;14;2268;;
3;6;438;779;0;60;18;19;6286;;
3;7;1116;794;1;57;7;10;4383;;
3;8;491;849;0;45;19;20;4238;;
3;9;541;870;0;29;7;16;13095;;
3;10;539;896;1;45;21;7;319;;
3;11;643;931;0;82;7;21;29199;;
3;12;643;948;1;45;20;25;12351;;
3;13;691;958;1;68;6;19;8207;;
3;14;912;976;0;54;17;5;31;;
3;15;908;206;0;51;17;2;62208;;
3;16;995;244;0;43;17;4;61712;;
3;17;1195;633;0;45;3;27;4369;;
3;18;835;810;0;74;10;7;4383;;
3;19;636;858;0;76;8;9;4383;;
3;20;1048;899;0;58;10;10;4383;;
4;0;713;260;0;66;8;12;13111;;
4;1;1003;272;0;64;7;11;4383;;
4;2;530;492;0;85;10;13;4415;;
4;3;545;596;0;105;25;16;3537;;
4;4;411;699;0;49;13;10;4380;;
4;5;427;764;0;57;29;14;2268;;
4;6;438;779;0;60;18;19;6286;;
4;7;1116;794;2;57;7;10;4383;;
4;8;491;849;0;50;19;21;4495;;
4;9;541;869;0;45;5;15;4895;;
4;10;539;896;2;45;21;7;319;;
4;11;644;931;0;77;7;21;12807;;
4;12;643;948;2;45;20;25;12351;;
4;13;691;958;2;68;6;19;8207;;
4;14;912;976;0;48;15;4;287;;
4;15;916;205;0;55;22;3;62208;;
4;16;995;241;0;73;17;7;61696;;
4;17;1195;633;1;45;3;27;4369;;
4;18;835;810;0;74;11;7;4383;;
4;19;636;858;0;75;9;9;4383;;
4;20;1048;899;0;53;10;9;4383;;
4;21;547;310;0;51;19;20;61443;;
4;22;523;454;0;76;7;10;4383;;
4;23;563;857;0;41;21;6;2207;;
5;0;713;259;0;65;7;10;30487;;
5;1;1004;272;0;59;7;10;4383;;
5;2;530;490;0;92;14;12;4383;;
5;3;545;594;0;95;25;15;1521;;
5;4;411;699;1;49;13;10;4380;;
5;5;427;764;1;57;29;14;2268;;
5;6;438;778;0;64;18;20;6284;;
5;7;1116;794;0;63;7;10;4383;;
5;8;491;849;0;47;19;21;4495;;
5;9;536;863;0;50;10;17;311;;
5;10;539;896;0;46;21;8;383;;
5;11;643;931;0;84;7;21;25102;;
5;12;643;948;3;45;20;25;12351;;
5;13;691;957;0;58;5;20;9839;;
5;14;912;976;0;57;16;6;63;;
5;15;920;204;0;59;16;4;62208;;
