FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;612;237;0;56;17;19;60417;N2;ETANOL
0;1;996;244;0;46;15;7;61713;;
0;2;527;335;0;48;12;8;7473;;
0;3;628;562;0;72;12;7;8176;;
0;4;427;616;0;74;21;16;35859;;
0;5;461;617;0;67;21;10;3953;;
0;6;473;818;0;43;20;20;4238;;
0;7;559;849;0;82;15;6;4607;;
3;0;612;237;0;50;16;19;60417;;
3;1;996;244;0;44;15;4;61713;;
3;2;527;334;0;63;12;7;7537;;
3;3;628;562;0;78;12;7;8176;;
3;4;427;615;0;69;21;17;35859;;
3;5;461;618;0;57;21;10;3473;;
3;6;471;817;0;39;18;19;4367;;
3;7;559;849;1;82;15;6;4607;;
3;8;1136;793;0;36;10;11;4383;;
4;0;612;237;0;50;16;19;60417;;
4;1;996;244;1;44;15;4;61713;;
4;2;527;334;0;60;15;7;4415;;
4;3;629;563;0;81;12;7;8176;;
4;4;427;615;0;58;21;15;35859;;
4;5;461;617;0;31;12;4;4991;;
4;6;471;817;0;50;21;19;4239;;
4;7;559;849;2;82;15;6;4607;;
4;8;1136;793;1;36;10;11;4383;;
4;9;1029;821;0;41;9;20;13838;;
5;0;612;237;0;54;17;19;63489;;
5;1;996;244;2;44;15;4;61713;;
5;2;527;334;0;57;12;7;36209;;
5;3;628;562;0;80;14;7;4479;;
5;4;427;616;0;64;21;15;35859;;
5;5;461;617;1;31;12;4;4991;;
5;6;471;816;0;51;21;19;4238;;
5;7;559;849;3;82;15;6;4607;;
5;8;1136;793;2;36;10;11;4383;;
5;9;1029;820;0;62;9;9;4383;;
5;10;683;203;0;43;13;5;65024;;
6;0;612;238;0;59;17;18;63489;;
6;1;996;244;3;44;15;4;61713;;
6;2;527;335;0;51;11;7;4383;;
6;3;629;564;0;78;13;7;383;;
6;4;427;615;0;52;21;15;34835;;
6;5;454;614;0;58;23;11;3217;;
6;6;471;815;0;32;21;19;12431;;
6;7;559;849;4;82;15;6;4607;;
6;8;1136;793;3;36;10;11;4383;;
6;9;1030;819;0;62;10;9;4383;;
6;10;683;203;1;43;13;5;65024;;
6;11;903;202;0;45;12;4;63232;;
6;12;467;623;0;54;21;11;3217;;
6;13;581;935;0;75;11;8;4383;;
7;0;612;237;0;55;17;19;64513;;
7;1;996;244;4;44;15;4;61713;;
7;2;527;334;0;59;15;7;4415;;
7;3;625;564;0;64;12;5;3953;;
7;4;427;615;0;55;21;15;3091;;
7;5;454;614;1;58;23;11;3217;;
7;6;471;815;0;48;21;20;12428;;
7;7;559;852;0;66;7;11;4383;;
7;8;1136;793;4;36;10;11;4383;;
7;9;1029;821;0;49;8;9;4383;;
7;10;682;203;0;44;13;5;65024;;
7;11;903;202;1;45;12;4;63232;;
7;12;461;618;0;54;21;10;3537;;
7;13;581;935;1;75;11;8;4383;;
8;0;612;237;0;57;17;19;60417;;
8;1;996;244;5;44;15;4;61713;;
8;2;527;334;0;56;11;7;4383;;
8;3;626;564;0;68;12;6;1907;;
8;4;426;615;0;55;22;17;36051;;
8;5;454;614;2;58;23;11;3217;;
8;6;468;814;0;49;20;19;6284;;
8;7;558;852;0;74;7;13;8767;;
8;8;1136;793;5;36;10;11;4383;;
8;9;1029;821;1;49;8;9;4383;;
8;10;682;203;1;44;13;5;65024;;
8;11;903;202;2;45;12;4;63232;;
8;12;459;617;0;60;23;10;3537;;
8;13;581;935;0;67;12;7;2255;;
9;0;612;237;0;50;17;19;60416;;
9;1;996;244;6;44;15;4;61713;;
9;2;527;334;0;61;15;7;4415;;
9;3;626;563;0;70;12;6;1905;;
9;4;426;616;0;70;22;17;34835;;
9;5;454;614;3;58;23;11;3217;;
9;6;470;814;0;44;21;19;12428;;
9;7;559;853;0;74;7;12;18031;;
9;8;1136;793;6;36;10;11;4383;;
9;9;1029;821;2;49;8;9;4383;;
9;10;682;203;2;44;13;5;65024;;
9;11;903;202;3;45;12;4;63232;;
9;12;459;617;0;66;21;11;3537;;
9;13;581;935;1;67;12;7;2255;;
10;0;612;237;0;56;17;19;60416;;
10;1;996;244;7;44;15;4;61713;;
10;2;527;335;0;53;13;7;1395;;
10;3;627;564;0;65;12;6;1907;;
10;4;427;615;0;62;21;18;34835;;
10;5;454;614;4;58;23;11;3217;;
10;6;470;816;0;53;21;21;4236;;
10;7;557;855;0;75;6;15;4927;;
10;8;1136;793;7;36;10;11;4383;;
10;9;1027;823;0;55;9;19;13087;;
10;10;682;203;3;44;13;5;65024;;
10;11;903;202;4;45;12;4;63232;;
10;12;461;617;0;42;17;10;19857;;
10;13;581;935;2;67;12;7;2255;;
11;0;612;237;0;59;17;19;60416;;
11;1;996;244;0;41;15;7;53521;;
11;2;527;334;0;56;11;7;4383;;
11;3;627;564;0;65;9;8;4383;;
11;4;428;616;0;58;21;17;34835;;
11;5;454;614;5;58;23;11;3217;;
11;6;468;815;0;39;20;17;39052;;
11;7;557;855;0;74;5;15;4415;;
11;8;1136;793;8;36;10;11;4383;;
11;9;1027;823;1;55;9;19;13087;;
11;10;682;203;4;44;13;5;65024;;
11;11;903;202;5;45;12;4;63232;;
11;12;461;617;0;29;12;11;35089;;
11;13;581;935;3;67;12;7;2255;;
11;14;1080;864;0;65;35;10;4503;;
12;0;612;237;0;53;17;19;60417;;
12;1;996;244;1;41;15;7;53521;;
12;2;527;335;0;63;13;7;3447;;
12;3;627;565;0;72;9;10;4383;;
12;4;428;616;0;54;21;15;34867;;
12;5;454;614;6;58;23;11;3217;;
12;6;467;814;0;59;21;18;4236;;
12;7;557;854;0;72;5;15;4415;;
12;8;1136;793;9;36;10;11;4383;;
12;9;1027;823;2;55;9;19;13087;;
12;10;682;203;5;44;13;5;65024;;
12;11;903;202;6;45;12;4;63232;;
12;12;462;618;0;47;18;13;3473;;
12;13;581;935;4;67;12;7;2255;;
12;14;1080;864;1;65;35;10;4503;;
13;0;612;237;0;63;17;19;60416;;
13;1;996;244;0;37;14;7;61713;;
13;2;527;334;0;60;12;7;7537;;
13;3;627;565;1;72;9;10;4383;;
13;4;429;616;0;79;22;16;34867;;
13;5;455;615;0;55;18;11;3281;;
13;6;469;814;0;49;20;19;6284;;
13;7;557;858;0;73;6;14;4383;;
13;9;1027;823;3;55;9;19;13087;;
13;10;682;203;6;44;13;5;65024;;
13;11;903;202;7;45;12;4;63232;;
13;12;462;618;1;47;18;13;3473;;
13;13;581;935;5;67;12;7;2255;;
13;14;1080;864;2;65;35;10;4503;;
14;0;612;237;0;52;17;19;60416;;
14;1;996;244;0;33;15;4;61713;;
14;2;527;334;0;57;14;7;5431;;
14;3;627;566;0;68;7;10;4383;;
14;4;428;616;0;56;22;15;34867;;
14;5;455;615;1;55;18;11;3281;;
14;6;467;816;0;52;21;19;6286;;
14;7;557;857;0;88;8;15;4415;;
14;9;1027;823;4;55;9;19;13087;;
14;10;682;203;7;44;13;5;65024;;
14;11;903;202;8;45;12;4;63232;;
14;12;462;618;0;54;18;10;3537;;
14;13;581;935;6;67;12;7;2255;;
14;14;1080;864;3;65;35;10;4503;;
14;15;534;897;0;59;12;9;2191;;
15;0;612;237;0;55;17;19;63489;;
15;1;996;244;1;33;15;4;61713;;
15;2;527;334;0;58;12;7;36209;;
15;3;627;566;0;64;7;10;4383;;
15;4;428;616;0;72;22;15;34867;;
15;5;455;615;2;55;18;11;3281;;
15;6;467;815;0;49;21;18;4238;;
15;7;557;858;0;86;11;13;119;;
15;9;1027;823;5;55;9;19;13087;;
15;10;687;204;0;32;14;3;65024;;
15;11;903;202;0;50;13;5;61696;;
15;12;461;618;0;48;14;10;6559;;
15;13;581;935;7;67;12;7;2255;;
15;14;1080;864;4;65;35;10;4503;;
15;15;534;897;1;59;12;9;2191;;
16;0;612;237;0;56;17;19;63489;;
16;1;996;244;2;33;15;4;61713;;
16;2;527;335;0;51;12;7;40305;;
16;3;627;566;0;65;7;10;4383;;
16;4;428;617;0;63;22;15;35123;;
16;5;455;615;3;55;18;11;3281;;
16;6;467;814;0;53;21;18;6284;;
16;7;558;858;0;104;11;15;4415;;
16;9;1029;821;0;49;8;9;4383;;
16;10;683;203;0;43;13;5;64512;;
16;11;903;202;1;50;13;5;61696;;
16;12;460;616;0;53;17;10;3537;;
16;13;581;935;8;67;12;7;2255;;
16;14;1080;864;5;65;35;10;4503;;
16;15;534;897;2;59;12;9;2191;;
17;0;612;237;0;52;17;19;64513;;
17;1;996;244;0;31;15;4;61713;;
17;2;527;334;0;55;11;7;4383;;
17;3;627;566;0;62;9;9;4383;;
17;4;429;616;0;67;22;15;34867;;
