FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;844;278;0;58;9;14;13922;NL5901;CONTROL
0;1;591;285;0;84;23;15;318;;
0;2;535;307;0;29;18;35;60608;;
0;3;508;365;0;37;15;18;28718;;
0;4;616;378;0;79;9;15;4919;;
0;5;498;380;0;37;15;18;4398;;
0;6;1000;396;0;76;13;11;17523;;
0;7;556;445;0;70;8;10;5471;;
0;8;586;439;0;65;7;9;4383;;
0;9;908;433;0;102;12;13;5087;;
0;10;519;458;0;69;20;34;50241;;
0;11;703;450;0;55;19;20;13064;;
0;12;1131;488;0;59;17;20;13164;;
0;13;822;505;0;64;9;8;4895;;
0;14;425;542;0;72;12;18;29446;;
0;15;557;556;0;30;13;9;36721;;
0;16;1116;548;0;82;10;11;4383;;
0;17;413;559;0;86;12;21;29190;;
0;18;450;568;0;74;15;13;59153;;
0;19;507;580;0;31;7;9;17423;;
0;20;840;577;0;59;21;23;38179;;
0;21;393;596;0;38;29;30;39080;;
0;22;738;625;0;35;13;11;4439;;
0;23;474;626;0;90;17;9;3825;;
0;24;616;630;0;81;13;15;12563;;
0;25;634;653;0;62;10;10;4383;;
0;26;888;687;0;81;16;21;58883;;
0;27;716;716;0;82;13;8;3953;;
0;28;821;707;0;80;12;10;3003;;
0;29;861;711;0;80;8;11;4383;;
0;30;900;707;0;87;21;21;49255;;
0;31;991;747;0;90;12;7;1904;;
0;32;782;776;0;53;21;8;2417;;
0;33;1060;772;0;52;4;11;4383;;
0;34;858;870;0;83;22;15;3287;;
0;35;917;877;0;73;7;19;18227;;
0;36;932;887;0;87;10;21;17955;;
0;37;1017;885;0;78;8;12;26214;;
3;0;843;278;0;75;10;15;13922;;
3;1;588;287;0;74;19;13;4414;;
3;2;535;307;1;29;18;35;60608;;
3;3;510;367;0;36;15;19;13582;;
3;4;616;377;0;89;10;15;17207;;
3;5;498;380;0;40;15;19;13582;;
3;6;999;396;0;77;11;13;3271;;
3;7;556;446;0;70;8;10;5471;;
3;8;586;439;0;73;9;9;4383;;
3;9;909;432;0;98;12;11;6092;;
3;10;519;458;0;69;20;34;50241;;
3;11;678;489;0;73;14;17;60168;;
3;12;1133;488;0;72;15;19;4415;;
3;13;821;504;0;69;10;10;4895;;
3;14;425;542;1;72;12;18;29446;;
3;15;533;590;0;49;19;16;19673;;
3;16;1116;549;0;89;9;12;1910;;
3;17;413;559;0;76;10;21;58892;;
3;18;447;565;0;59;15;13;32529;;
3;19;504;577;0;45;16;12;36087;;
3;20;839;576;0;60;23;24;46371;;
3;21;393;596;1;38;29;30;39080;;
3;22;738;623;0;44;14;13;7479;;
3;23;474;626;0;84;16;8;3793;;
3;24;616;630;0;78;13;15;14611;;
3;25;634;652;0;70;10;11;4383;;
