FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;700;216;0;54;17;18;49169;NL5901;0,3 uM CBD
0;1;791;226;0;60;19;7;2289;;
0;2;829;244;0;67;21;18;35859;;
0;3;925;269;0;74;12;7;4081;;
0;4;601;282;0;41;10;11;4383;;
0;5;902;280;0;64;21;18;4510;;
0;6;572;334;0;84;5;22;8806;;
0;7;799;337;0;46;5;15;4407;;
0;8;812;331;0;56;10;17;13934;;
0;9;878;334;0;71;10;8;4447;;
0;10;916;344;0;93;10;12;1911;;
0;11;872;383;0;58;14;15;35231;;
0;12;668;410;0;98;30;9;2448;;
0;13;775;389;0;56;15;11;4511;;
0;14;1094;392;0;63;18;17;4377;;
0;15;482;426;0;77;9;10;4415;;
0;16;514;431;0;60;8;14;823;;
0;17;476;452;0;66;15;15;287;;
0;18;792;475;0;93;12;10;6124;;
0;19;920;459;0;75;9;17;26419;;
0;20;683;505;0;78;23;22;52225;;
0;21;737;512;0;93;24;18;19609;;
0;22;818;484;0;71;11;15;5919;;
0;23;1104;492;0;76;23;24;25352;;
0;24;626;547;0;89;11;9;4895;;
0;25;695;527;0;72;11;11;4383;;
0;26;775;543;0;68;18;30;18142;;
0;27;904;524;0;69;10;14;25671;;
0;28;966;545;0;106;14;8;2039;;
0;29;1078;518;0;66;16;18;25631;;
0;30;1120;558;0;38;13;16;29486;;
0;31;523;576;0;69;11;11;4383;;
0;32;602;568;0;59;7;17;24615;;
0;33;687;569;0;64;8;8;1911;;
0;34;763;556;0;68;26;18;28610;;
0;35;841;564;0;53;14;9;6097;;
0;36;888;584;0;60;12;9;59731;;
0;37;1119;574;0;39;13;17;21295;;
0;38;877;620;0;98;9;23;13090;;
0;39;434;656;0;41;17;27;32879;;
0;40;729;652;0;65;23;9;510;;
0;41;653;665;0;54;10;7;4919;;
0;42;712;689;0;86;21;19;2199;;
0;43;1055;670;0;91;15;9;4415;;
0;44;439;729;0;81;22;23;12572;;
0;45;729;693;0;72;19;19;16671;;
0;46;760;723;0;55;22;16;20169;;
0;47;843;692;0;91;23;12;4008;;
0;48;862;695;0;62;21;12;3969;;
0;49;995;702;0;64;10;10;4383;;
0;50;827;751;0;68;16;35;24638;;
0;51;1064;758;0;67;19;19;4383;;
0;52;445;769;0;44;19;34;35020;;
0;53;492;783;0;53;15;19;24591;;
0;54;517;789;0;79;30;20;654;;
0;55;571;790;0;64;7;11;4415;;
0;56;668;793;0;78;16;13;53041;;
0;57;693;795;0;61;19;10;39373;;
0;58;816;768;0;62;9;18;12903;;
0;59;953;800;0;91;12;10;4983;;
0;60;1056;772;0;58;19;19;4383;;
0;61;500;803;0;60;22;19;4302;;
0;62;909;826;0;45;7;14;4375;;
0;63;1016;814;0;56;12;7;6112;;
0;64;496;852;0;64;11;9;4383;;
0;65;739;841;0;90;16;17;6092;;
0;66;1015;837;0;52;7;19;13087;;
0;67;1041;851;0;45;19;18;37151;;
