FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO;FECHA
0;0;672;300;0;67;28;12;59536;NL5901;0,3 uM CBD;21/03/2025
0;1;899;304;0;67;35;15;20200;;;
0;2;941;296;0;54;12;17;13068;;;
0;3;853;327;0;33;19;35;14621;;;
0;4;926;330;0;43;17;32;25380;;;
0;5;582;344;0;39;26;16;3320;;;
0;6;697;348;0;67;11;11;4383;;;
0;7;738;347;0;39;22;11;7297;;;
0;8;835;344;0;58;21;23;4559;;;
0;9;867;356;0;43;19;13;39185;;;
0;10;904;369;0;77;20;31;4974;;;
0;11;963;364;0;45;26;9;36305;;;
0;12;504;382;0;69;35;20;36177;;;
0;13;565;384;0;61;16;21;17601;;;
0;14;582;392;0;55;14;20;52355;;;
0;15;714;409;0;76;23;23;5196;;;
0;16;857;393;0;84;9;16;30222;;;
0;17;904;390;0;92;19;22;2151;;;
0;18;969;394;0;50;18;10;3548;;;
0;19;527;414;0;45;13;18;52231;;;
0;20;826;430;0;64;6;15;26126;;;
0;21;871;423;0;60;22;9;3528;;;
0;22;891;420;0;36;21;8;6545;;;
0;23;922;433;0;83;17;15;52929;;;
0;24;983;426;0;62;14;10;4607;;;
0;25;711;464;0;35;19;13;3271;;;
0;26;725;472;0;36;31;20;2766;;;
0;27;811;473;0;92;34;19;531;;;
0;28;834;469;0;78;22;25;13188;;;
0;29;983;462;0;74;11;7;4447;;;
0;30;1039;496;0;76;15;5;4479;;;
0;31;944;541;0;56;30;19;35603;;;
0;32;1035;524;0;72;23;9;3539;;;
0;33;1056;527;0;74;12;7;2032;;;
0;34;1091;525;0;73;9;12;9964;;;
0;35;903;568;0;83;11;13;5983;;;
0;36;1042;560;0;79;10;21;26146;;;
0;37;1049;574;0;89;11;18;30211;;;
0;38;1095;578;0;65;13;6;1905;;;
0;39;858;619;0;43;9;18;26179;;;
0;40;961;615;0;59;7;13;30247;;;
0;41;1014;592;0;54;8;21;26163;;;
0;42;1017;611;0;44;18;34;26185;;;
0;43;737;648;0;48;16;21;13070;;;
0;44;998;626;0;53;24;21;4334;;;
0;45;1067;623;0;36;19;13;3281;;;
0;46;736;686;0;56;10;7;4383;;;
0;47;876;690;0;57;15;10;4511;;;
0;48;979;688;0;65;13;14;52367;;;
0;49;733;716;0;100;10;11;4383;;;
0;50;883;728;0;97;16;22;13070;;;
0;51;967;732;0;91;11;25;18019;;;
0;52;1022;706;0;46;18;32;9283;;;
0;53;1065;722;0;79;8;22;22322;;;
0;54;723;746;0;96;9;11;4383;;;
0;55;766;754;0;84;7;20;25190;;;
0;56;780;751;0;78;7;20;25190;;;
0;57;810;750;0;65;13;11;4926;;;
0;58;925;736;0;46;12;8;785;;;
0;59;796;779;0;86;28;35;808;;;
0;60;1035;773;0;43;7;23;24615;;;
0;61;850;826;0;61;10;10;2327;;;
0;62;1005;807;0;69;18;23;51251;;;
0;63;1031;836;0;85;7;16;26214;;;
0;64;731;839;0;50;17;8;3185;;;
0;65;784;847;0;89;20;20;52275;;;
0;66;873;857;0;47;35;19;654;;;
0;67;1017;837;0;96;8;17;26214;;;
0;68;706;873;0;61;6;10;5503;;;
0;69;841;869;0;80;18;17;221;;;
0;70;659;917;0;58;24;27;4892;;;
3;0;672;300;0;73;28;12;43152;;;
3;1;898;305;0;52;19;11;6557;;;
3;2;941;296;0;52;12;15;13087;;;
3;3;853;327;1;33;19;35;14621;;;
3;4;925;331;0;55;15;34;25396;;;
3;5;582;344;0;35;26;14;36080;;;
3;6;697;348;0;70;12;12;20081;;;
3;7;738;347;1;39;22;11;7297;;;
3;8;835;343;0;62;21;34;5577;;;
3;9;867;356;1;43;19;13;39185;;;
3;10;905;369;0;80;20;30;4910;;;
3;11;956;364;0;67;22;10;36305;;;
3;12;504;382;0;68;35;32;62736;;;
3;13;565;384;0;60;16;20;18113;;;
3;14;581;393;0;53;14;18;19649;;;
3;15;714;410;0;69;23;22;5324;;;
3;16;859;384;0;80;22;29;3276;;;
3;17;904;390;0;92;18;22;2151;;;
3;18;968;394;0;55;21;9;4048;;;
3;19;522;413;0;53;13;18;50191;;;
3;20;826;430;0;70;8;14;26118;;;
3;21;871;424;0;64;16;22;13071;;;
3;22;891;420;1;36;21;8;6545;;;
3;23;922;433;0;82;17;14;52929;;;
3;24;982;426;0;61;13;9;6655;;;
3;25;717;461;0;40;19;17;7375;;;
3;26;725;472;1;36;31;20;2766;;;
3;27;810;472;0;79;23;18;49671;;;
3;28;834;468;0;81;22;25;29568;;;
3;29;983;462;0;73;11;7;4479;;;
3;30;1039;496;0;75;15;6;4479;;;
3;31;944;541;1;56;30;19;35603;;;
3;32;1042;526;0;85;26;7;2480;;;
3;33;1056;527;1;74;12;7;2032;;;
3;34;1090;527;0;70;9;12;9966;;;
3;35;908;565;0;82;18;25;32823;;;
3;36;1042;560;0;72;10;21;26146;;;
3;37;1049;574;0;82;11;18;30211;;;
3;38;1094;577;0;65;13;7;3187;;;
3;39;858;619;0;38;10;18;26179;;;
3;40;961;615;0;63;7;14;30503;;;
3;41;1014;592;1;54;8;21;26163;;;
3;42;1017;611;0;45;17;34;17993;;;
3;43;738;650;0;46;16;23;12558;;;
3;44;998;626;1;53;24;21;4334;;;
3;45;1066;622;0;48;20;12;3281;;;
3;46;738;686;0;53;10;6;4383;;;
3;47;876;689;0;57;15;10;4511;;;
3;48;978;687;0;57;12;15;19471;;;
3;49;731;713;0;106;11;11;4383;;;
3;50;884;728;0;96;17;23;4878;;;
3;51;967;732;0;90;10;25;26210;;;
3;52;1022;706;0;45;18;32;9283;;;
3;53;1065;722;0;81;9;22;22322;;;
3;54;723;746;0;96;8;12;18039;;;
3;55;765;755;0;101;9;20;8806;;;
3;56;779;753;0;82;8;19;9015;;;
3;57;810;750;0;58;13;12;4926;;;
3;58;925;736;0;52;12;7;785;;;
3;59;797;779;0;78;22;35;316;;;
3;60;1035;773;0;44;6;10;4919;;;
3;61;850;824;0;55;18;22;4403;;;
3;62;1004;808;0;65;20;23;4378;;;
3;63;1031;836;1;85;7;16;26214;;;
3;64;737;841;0;50;17;8;3123;;;
3;65;784;846;0;78;20;18;51251;;;
3;66;873;857;0;66;29;35;4207;;;
3;67;1018;837;0;88;7;16;26214;;;
3;68;705;873;0;55;6;10;5503;;;
3;69;842;869;0;66;18;7;3549;;;
3;70;661;913;0;55;10;11;4383;;;
3;71;636;291;0;70;6;11;60494;;;
3;72;564;307;0;68;29;17;40388;;;
3;73;879;324;0;52;24;18;7372;;;
3;74;944;343;0;36;29;33;58913;;;
3;75;872;482;0;36;12;15;24321;;;
3;76;835;591;0;33;8;9;4927;;;
3;77;851;722;0;64;15;10;4927;;;
3;78;1082;724;0;37;14;6;2463;;;
3;79;1070;770;0;72;23;20;51475;;;
3;80;1030;806;0;38;19;17;4383;;;
3;81;1072;801;0;40;15;19;4415;;;
3;82;635;937;0;61;7;14;4415;;;
4;0;671;299;0;78;29;13;43153;;;
4;1;898;304;0;38;18;13;4511;;;
4;2;940;296;0;49;12;15;4895;;;
4;3;853;327;2;33;19;35;14621;;;
4;4;926;331;0;49;18;33;25396;;;
4;5;582;344;0;32;26;16;3320;;;
4;6;697;347;0;81;12;11;28529;;;
4;7;738;347;2;39;22;11;7297;;;
4;8;836;344;0;61;22;33;7369;;;
4;9;867;356;2;43;19;13;39185;;;
4;10;905;370;0;77;17;20;28806;;;
4;11;959;364;0;40;25;6;36113;;;
4;12;504;382;0;56;35;19;36177;;;
4;13;565;384;0;66;16;21;17601;;;
4;14;582;392;0;57;14;20;52355;;;
4;15;713;409;0;69;22;21;5324;;;
4;16;857;393;0;71;9;15;30479;;;
4;17;903;393;0;89;16;17;32887;;;
4;18;969;394;0;44;17;10;19928;;;
4;19;526;413;0;36;13;17;50183;;;
4;20;826;430;0;70;8;14;13079;;;
4;21;871;424;1;64;16;22;13071;;;
4;22;892;419;0;32;20;11;1937;;;
4;23;922;433;0;89;17;17;60993;;;
4;24;982;426;0;69;13;9;4607;;;
4;25;717;464;0;36;18;17;7367;;;
4;26;725;472;2;36;31;20;2766;;;
4;27;810;472;0;87;34;19;1539;;;
4;28;834;468;0;78;22;25;13184;;;
4;29;983;462;0;75;11;6;4447;;;
4;30;1039;496;0;76;15;4;4479;;;
4;31;896;536;0;58;18;24;4174;;;
4;32;1041;525;0;89;27;8;2481;;;
4;33;1056;527;0;83;12;8;2039;;;
4;34;1091;526;0;67;9;11;4383;;;
4;35;904;568;0;80;11;12;6111;;;
4;36;1042;560;0;81;11;21;30243;;;
4;37;1049;574;0;82;11;18;30211;;;
4;38;1095;578;0;62;13;6;1905;;;
4;39;858;620;0;43;10;19;26179;;;
4;40;961;615;0;72;6;15;29479;;;
4;41;1014;591;0;49;8;20;26163;;;
4;42;1017;612;0;44;17;22;52227;;;
4;43;736;648;0;56;17;21;13070;;;
4;44;998;627;0;57;24;20;4334;;;
4;45;1067;622;0;39;19;13;3281;;;
4;46;737;687;0;54;10;7;4383;;;
4;47;876;689;0;53;15;9;4383;;;
4;48;978;687;0;60;13;15;3103;;;
4;49;732;716;0;107;11;11;4383;;;
4;50;884;728;0;100;17;23;13070;;;
4;51;967;732;0;86;7;25;26147;;;
4;52;1022;706;0;35;18;20;12492;;;
4;53;1065;722;1;81;9;22;22322;;;
4;54;724;746;0;94;9;12;18022;;;
4;55;765;756;0;105;7;19;9015;;;
4;56;779;754;0;83;7;18;8759;;;
4;57;810;750;0;60;12;12;4926;;;
4;58;925;736;0;47;11;8;4383;;;
4;59;797;779;1;78;22;35;316;;;
4;60;1035;773;0;53;7;27;16439;;;
4;61;850;824;1;55;18;22;4403;;;
4;62;1005;808;0;63;19;23;4382;;;
4;63;1031;835;0;85;8;16;9830;;;
4;64;737;841;1;50;17;8;3123;;;
4;65;783;846;0;88;20;18;51251;;;
4;66;873;857;0;49;29;32;4333;;;
4;67;1018;837;1;88;7;16;26214;;;
4;68;706;873;0;59;6;10;6015;;;
4;69;842;869;0;73;18;9;2525;;;
4;70;659;917;0;45;23;28;13064;;;
4;71;636;291;1;70;6;11;60494;;;
4;72;564;307;1;68;29;17;40388;;;
4;73;879;324;1;52;24;18;7372;;;
4;74;944;343;1;36;29;33;58913;;;
4;75;859;445;0;54;31;35;52792;;;
4;76;835;590;0;34;6;10;4415;;;
4;77;851;722;0;68;12;20;32256;;;
4;78;1076;725;0;37;14;23;14180;;;
4;79;1070;769;0;77;23;19;52243;;;
4;80;1030;806;1;38;19;17;4383;;;
4;81;1072;801;1;40;15;19;4415;;;
4;82;635;938;0;50;7;10;4447;;;
4;83;679;317;0;59;13;20;49255;;;
4;84;785;345;0;93;19;22;52227;;;
4;85;522;378;0;61;9;17;29486;;;
4;86;590;594;0;61;6;11;4383;;;
4;87;1090;727;0;44;14;25;30470;;;
4;88;905;857;0;38;13;19;12591;;;
4;89;534;875;0;52;34;35;6892;;;
5;0;671;300;0;69;29;11;43152;;;
5;1;898;304;0;51;5;16;18022;;;
5;2;940;296;0;47;13;17;13068;;;
5;3;853;327;3;33;19;35;14621;;;
5;4;926;331;0;49;16;34;29492;;;
5;5;582;344;0;31;26;7;53232;;;
5;6;697;347;0;63;12;10;20343;;;
5;7;738;347;3;39;22;11;7297;;;
5;8;836;344;0;65;22;20;4508;;;
5;9;867;356;3;43;19;13;39185;;;
5;10;904;370;0;81;26;31;4926;;;
5;11;956;363;0;52;24;8;36305;;;
5;12;504;382;0;72;35;19;35153;;;
5;13;565;384;0;59;16;21;18113;;;
5;14;582;392;0;54;14;20;52355;;;
5;15;715;410;0;68;23;22;5260;;;
5;16;858;384;0;73;9;16;30222;;;
5;17;902;390;0;87;23;22;5171;;;
5;18;968;394;0;37;18;8;2008;;;
5;19;522;413;0;50;13;18;50191;;;
5;20;826;430;0;65;6;14;26118;;;
5;21;871;424;0;67;21;10;2353;;;
5;22;891;419;0;53;21;12;4505;;;
5;23;923;433;0;89;16;16;60993;;;
5;24;981;428;0;84;15;10;4575;;;
5;25;717;462;0;37;18;17;3269;;;
5;26;725;472;3;36;31;20;2766;;;
5;27;809;472;0;78;32;19;16915;;;
5;28;835;467;0;74;9;10;4383;;;
5;29;983;462;0;73;11;6;4447;;;
5;30;1039;496;0;53;15;5;4415;;;
5;31;896;536;1;58;18;24;4174;;;
5;32;1035;524;0;81;23;9;3283;;;
5;33;1055;527;0;76;12;7;2032;;;
5;34;1090;527;0;71;9;12;9964;;;
5;35;908;565;0;86;12;12;6015;;;
5;36;1043;559;0;85;9;21;30499;;;
5;37;1049;574;1;82;11;18;30211;;;
5;38;1095;578;0;57;13;6;1905;;;
5;39;858;619;0;43;9;18;17479;;;
5;40;961;615;0;65;7;14;30471;;;
5;41;1014;591;0;48;8;21;26115;;;
5;42;1017;611;0;48;18;34;26185;;;
5;43;737;648;0;63;18;35;638;;;
5;44;998;627;1;57;24;20;4334;;;
5;45;1067;622;0;34;18;11;36049;;;
5;46;736;686;0;56;10;7;4383;;;
5;47;875;690;0;54;15;11;4383;;;
5;48;979;688;0;61;13;14;52239;;;
5;49;731;713;0;109;11;11;4383;;;
5;50;884;728;0;97;17;23;4878;;;
5;51;967;732;0;93;12;25;17986;;;
5;52;1022;706;0;32;18;20;12364;;;
5;53;1064;724;0;80;8;24;30514;;;
5;54;723;746;0;88;8;11;4383;;;
5;55;765;756;1;105;7;19;9015;;;
5;56;779;754;0;81;7;18;25143;;;
5;57;810;750;0;72;13;12;4990;;;
5;58;925;735;0;53;10;8;4895;;;
5;59;796;778;0;89;28;35;37672;;;
5;60;1035;773;1;53;7;27;16439;;;
5;61;850;824;0;56;18;22;4403;;;
5;62;1004;808;0;66;19;23;4383;;;
5;63;1031;835;1;85;8;16;9830;;;
5;64;738;841;0;57;33;9;2297;;;
5;65;783;847;0;90;20;18;51251;;;
5;66;873;857;0;58;35;20;1678;;;
5;67;1019;837;0;100;8;19;9830;;;
5;68;705;873;0;59;6;10;6015;;;
5;69;841;868;0;79;19;8;3549;;;
5;70;660;913;0;64;9;12;8270;;;
5;71;636;291;2;70;6;11;60494;;;
5;72;564;307;0;83;30;16;35268;;;
5;73;875;325;0;38;15;12;4383;;;
5;74;944;343;0;30;29;32;58913;;;
5;75;859;445;1;54;31;35;52792;;;
5;76;835;590;1;34;6;10;4415;;;
5;77;851;722;1;68;12;20;32256;;;
5;78;1082;724;0;36;14;7;2463;;;
5;79;1070;769;1;77;23;19;52243;;;
5;80;1048;798;0;34;21;18;54547;;;
5;81;1081;785;0;55;18;35;16695;;;
5;82;635;938;1;50;7;10;4447;;;
5;83;679;316;0;60;14;20;49255;;;
5;84;785;345;1;93;19;22;52227;;;
5;85;518;382;0;77;10;17;25390;;;
5;86;593;593;0;71;8;11;4383;;;
5;87;1090;727;1;44;14;25;30470;;;
5;88;905;857;1;38;13;19;12591;;;
5;89;534;875;1;52;34;35;6892;;;
5;90;872;482;0;34;14;15;5911;;;
5;91;944;541;0;80;31;19;35091;;;
6;0;671;299;0;84;29;18;10393;;;
6;1;898;305;0;57;18;12;6553;;;
6;2;940;296;0;50;14;17;13068;;;
6;3;853;327;4;33;19;35;14621;;;
6;4;926;331;0;48;32;34;16953;;;
6;5;583;344;0;35;24;14;36080;;;
6;6;697;347;0;69;11;10;4383;;;
6;7;738;347;4;39;22;11;7297;;;
6;8;836;343;0;52;22;20;4381;;;
6;9;867;356;4;43;19;13;39185;;;
6;10;905;369;0;68;18;20;29318;;;
6;11;963;365;0;31;23;7;36241;;;
6;12;504;382;0;71;34;19;44369;;;
6;13;565;385;0;58;16;19;17612;;;
6;14;581;393;0;54;15;18;52419;;;
6;15;715;410;0;80;23;22;5324;;;
6;16;857;393;0;83;9;16;30222;;;
6;17;902;391;0;87;18;18;32887;;;
6;18;969;394;0;48;18;9;19928;;;
6;19;527;413;0;44;15;18;17415;;;
6;20;826;430;0;66;7;14;26126;;;
6;21;871;424;1;67;21;10;2353;;;
6;22;891;419;0;42;22;11;4505;;;
6;23;922;433;0;88;17;16;60993;;;
6;24;979;429;0;73;13;10;7679;;;
6;25;717;462;0;38;18;17;3279;;;
6;26;725;472;4;36;31;20;2766;;;
6;27;809;472;0;73;35;18;2579;;;
6;28;835;467;0;72;9;10;4383;;;
6;29;983;463;0;71;11;6;4447;;;
6;30;1039;496;0;65;15;6;4415;;;
6;31;896;536;2;58;18;24;4174;;;
6;32;1041;526;0;92;28;8;3504;;;
6;33;1055;527;0;78;22;8;2353;;;
6;34;1091;525;0;68;10;11;4383;;;
6;35;903;569;0;77;10;13;4959;;;
6;36;1043;559;0;84;9;21;30499;;;
6;37;1049;574;2;82;11;18;30211;;;
6;38;1095;578;0;63;13;22;29446;;;
6;39;858;619;0;45;10;19;26183;;;
6;40;961;615;0;63;6;14;30503;;;
6;41;1014;592;0;53;9;21;26163;;;
6;42;1016;612;0;45;17;32;25666;;;
6;43;737;648;0;35;15;20;12558;;;
6;44;998;627;2;57;24;20;4334;;;
6;45;1067;622;1;34;18;11;36049;;;
6;46;736;686;0;59;11;7;4383;;;
