FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;820;239;0;42;8;12;8294;NL5901;0,3 uM CBD
0;1;850;202;0;63;20;18;4984;;
0;2;883;220;0;39;30;25;45160;;
0;3;785;261;0;73;7;10;4479;;
0;4;872;258;0;87;19;16;4972;;
0;5;953;238;0;57;20;12;61696;;
0;6;905;276;0;73;19;10;3542;;
0;7;924;277;0;65;20;10;6528;;
0;8;979;304;0;38;15;15;4383;;
0;9;1002;290;0;63;20;20;4556;;
0;10;776;314;0;92;12;10;894;;
0;11;837;340;0;58;33;17;2020;;
0;12;859;331;0;52;16;9;480;;
0;13;948;309;0;63;8;8;4471;;
0;14;1050;315;0;35;23;8;6545;;
0;15;775;356;0;36;18;11;2526;;
0;16;812;358;0;45;13;17;45324;;
0;17;926;358;0;58;17;18;6351;;
0;18;975;342;0;80;14;7;4479;;
0;19;1055;366;0;37;23;21;25733;;
0;20;682;408;0;67;14;18;29454;;
0;21;722;401;0;65;18;7;63;;
0;22;931;411;0;60;7;12;47;;
0;23;1070;388;0;43;8;9;4383;;
0;24;494;420;0;34;9;18;12910;;
0;25;899;435;0;90;21;21;52225;;
0;26;658;461;0;40;19;27;23575;;
0;27;762;451;0;33;7;21;35916;;
0;28;891;475;0;29;12;19;25615;;
0;29;1040;472;0;60;9;14;4431;;
0;30;1076;470;0;87;9;10;4383;;
0;31;693;484;0;89;27;23;32827;;
0;32;738;483;0;54;13;34;25186;;
0;33;782;488;0;66;5;15;13175;;
0;34;933;489;0;71;12;15;18575;;
0;35;1115;497;0;50;15;20;20588;;
0;36;729;549;0;56;7;9;4927;;
0;37;742;518;0;40;13;19;4471;;
0;38;1052;550;0;85;5;23;8807;;
0;39;1121;546;0;44;7;19;29463;;
0;40;1149;542;0;69;5;14;12919;;
0;41;617;565;0;54;12;8;2023;;
0;42;638;564;0;40;20;8;3004;;
0;43;684;569;0;86;9;14;4927;;
0;44;756;559;0;48;18;12;3347;;
0;45;769;569;0;39;18;12;3347;;
0;46;810;571;0;68;31;29;34401;;
0;47;854;570;0;51;18;19;4876;;
0;48;894;583;0;51;16;21;32819;;
0;49;911;558;0;78;33;18;6580;;
0;50;968;562;0;105;17;22;32819;;
0;51;1036;583;0;73;11;9;4383;;
0;52;1160;577;0;37;11;3;4383;;
0;53;556;602;0;36;13;7;6559;;
0;54;830;587;0;44;35;19;2175;;
0;55;670;662;0;68;11;18;9079;;
0;56;700;641;0;59;14;23;12750;;
0;57;711;627;0;102;19;21;4558;;
0;58;1018;643;0;72;15;27;25665;;
0;59;504;682;0;70;19;4;1008;;
0;60;780;681;0;90;10;11;4383;;
0;61;874;662;0;52;22;35;319;;
0;62;544;708;0;75;20;21;32791;;
0;63;598;718;0;73;12;21;7;;
0;64;694;699;0;64;9;13;4383;;
0;65;754;706;0;74;21;26;33542;;
0;66;868;726;0;82;13;8;4084;;
0;67;919;710;0;38;28;12;2008;;
0;68;462;750;0;35;17;18;51225;;
0;69;641;757;0;69;9;9;5407;;
0;70;687;747;0;89;10;10;4383;;
0;71;718;755;0;71;12;8;1815;;
0;72;748;731;0;69;7;18;17975;;
0;73;780;759;0;65;20;25;52353;;
0;74;840;741;0;88;22;23;60417;;
0;75;859;759;0;37;8;13;9087;;
0;76;898;734;0;63;24;20;17613;;
0;77;919;735;0;37;20;20;34971;;
0;78;962;732;0;53;22;8;1407;;
0;79;1015;733;0;81;10;9;4383;;
0;80;1116;752;0;70;5;14;6007;;
0;81;476;793;0;53;20;29;8254;;
0;82;529;799;0;89;11;15;4479;;
0;83;569;785;0;57;7;11;4415;;
0;84;699;788;0;65;16;11;7116;;
0;85;813;784;0;49;21;9;6961;;
0;86;934;795;0;49;35;25;4600;;
0;87;1092;777;0;53;5;11;4927;;
0;88;573;829;0;70;21;12;952;;
0;89;640;834;0;79;19;7;508;;
0;90;704;829;0;79;8;12;9830;;
0;91;721;813;0;52;19;19;4380;;
0;92;747;816;0;78;19;22;19649;;
0;93;816;822;0;98;14;13;10190;;
0;94;1055;826;0;78;18;10;894;;
0;95;556;834;0;72;22;10;476;;
0;96;773;840;0;55;21;34;33599;;
0;97;821;860;0;66;12;21;25100;;
0;98;595;903;0;53;12;16;57383;;
0;99;691;886;0;52;15;7;383;;
0;100;736;889;0;76;19;13;2028;;
0;101;805;899;0;83;13;21;8822;;
0;102;645;917;0;90;21;14;35953;;
0;103;681;912;0;95;18;5;4081;;
3;0;820;239;0;41;7;12;24686;;
3;1;851;202;0;55;20;18;4984;;
3;2;883;220;0;43;32;26;61544;;
3;3;785;261;0;72;7;11;4479;;
3;4;870;258;0;73;17;14;4414;;
3;5;930;238;0;75;35;18;63232;;
3;6;906;276;0;76;35;11;1968;;
3;7;924;277;0;61;20;11;7104;;
3;8;979;304;1;38;15;15;4383;;
3;9;1003;290;0;39;21;12;4568;;
3;10;776;314;0;90;11;10;4415;;
3;11;837;341;0;56;21;17;21708;;
3;12;858;331;0;57;28;21;8064;;
3;13;947;309;0;66;17;14;33073;;
3;14;1043;314;0;38;32;11;32592;;
3;15;769;361;0;34;18;12;2526;;
3;16;812;358;1;45;13;17;45324;;
3;17;927;354;0;59;20;30;49494;;
3;18;977;342;0;80;13;7;383;;
3;19;1054;365;0;32;12;17;4479;;
3;20;682;408;0;73;15;19;13071;;
3;21;721;402;0;70;18;18;207;;
3;22;931;408;0;72;7;13;4375;;
3;23;1067;397;0;43;8;10;4383;;
3;24;494;420;0;37;13;17;4911;;
3;25;898;436;0;96;20;22;52225;;
3;26;658;461;0;56;17;28;31766;;
3;27;762;450;0;37;15;21;2248;;
3;28;892;475;0;34;11;18;24591;;
3;29;1040;472;0;66;8;15;4455;;
3;30;1077;469;0;94;9;10;4383;;
3;31;693;484;0;74;13;13;52247;;
3;32;737;484;0;62;15;35;8930;;
3;33;783;488;0;52;5;12;26215;;
3;34;929;487;0;59;12;15;18567;;
3;35;1152;516;0;40;6;21;29443;;
3;36;729;549;1;56;7;9;4927;;
3;37;742;518;0;39;13;19;4415;;
3;38;1052;549;0;80;4;19;8806;;
3;39;1121;546;0;39;8;8;4383;;
3;40;1148;543;0;77;6;14;13111;;
3;41;617;564;0;52;11;7;4991;;
3;42;638;563;0;37;20;10;2972;;
3;43;687;568;0;93;15;13;4447;;
3;44;757;558;0;41;18;12;3443;;
3;45;769;569;0;41;18;12;3443;;
3;46;810;571;0;71;30;29;36449;;
3;47;854;570;0;58;18;20;13068;;
3;48;894;583;0;57;16;21;32787;;
3;49;910;558;0;75;32;18;12596;;
3;50;969;560;0;104;18;24;33335;;
3;51;1036;583;0;72;10;7;4415;;
3;52;1178;582;0;63;12;6;767;;
3;53;556;602;1;36;13;7;6559;;
3;54;829;587;0;55;27;18;34879;;
3;55;669;662;0;71;23;17;4403;;
3;56;701;643;0;79;18;22;4294;;
3;57;711;627;0;113;19;21;4558;;
3;58;1018;643;0;73;15;26;27715;;
3;59;505;682;0;80;20;5;4064;;
3;60;782;681;0;80;12;11;20337;;
3;61;874;662;0;46;7;29;8302;;
3;62;544;708;0;80;19;20;33047;;
3;63;598;718;0;74;11;21;4135;;
3;64;689;707;0;50;9;13;4895;;
3;65;755;706;0;77;20;26;33030;;
3;66;868;726;0;90;14;8;511;;
3;67;925;711;0;55;22;7;3001;;
3;68;462;751;0;34;17;18;34841;;
3;69;641;757;0;74;9;9;4511;;
3;70;686;748;0;96;11;11;4383;;
3;71;718;754;0;70;12;9;5937;;
3;72;749;731;0;72;9;17;17971;;
3;73;779;759;0;71;9;13;894;;
3;74;841;741;0;93;22;23;56337;;
3;75;859;758;0;54;11;13;4439;;
3;76;898;734;1;63;24;20;17613;;
3;77;919;735;1;37;20;20;34971;;
3;78;966;731;0;59;16;7;4081;;
3;79;1016;733;0;77;10;8;4383;;
3;80;1116;752;0;69;6;13;6007;;
3;81;476;793;0;46;19;30;8222;;
3;82;530;799;0;67;11;10;4383;;
3;83;569;784;0;69;6;12;1638;;
3;84;696;786;0;69;32;23;13064;;
3;85;813;783;0;43;21;9;6961;;
3;86;925;797;0;69;26;13;7625;;
3;87;1092;777;0;54;5;11;4927;;
3;88;572;829;0;72;22;12;440;;
3;89;637;835;0;80;22;7;3568;;
3;90;704;829;0;73;12;19;13106;;
3;91;721;813;1;52;19;19;4380;;
3;92;745;816;0;75;19;22;52289;;
3;93;815;822;0;88;14;12;1999;;
3;94;1055;826;0;73;16;10;5100;;
3;95;556;834;0;79;22;10;472;;
3;96;773;840;0;55;20;32;37689;;
3;97;821;860;0;58;14;20;13070;;
3;98;595;903;0;37;11;15;4383;;
3;99;692;886;0;49;15;11;4895;;
3;100;737;888;0;78;18;13;6092;;
3;101;805;899;0;82;13;20;8828;;
3;102;641;915;0;83;21;12;35953;;
3;103;681;912;0;98;19;7;3569;;
3;104;1011;315;0;53;25;15;4561;;
3;105;1081;384;0;45;8;11;4383;;
3;106;674;422;0;68;15;18;29452;;
3;107;1094;415;0;46;26;30;61745;;
3;108;823;454;0;45;20;19;52225;;
3;109;668;482;0;46;12;13;6623;;
3;110;748;497;0;28;15;23;28177;;
3;111;663;541;0;61;8;8;4919;;
3;112;1090;704;0;56;8;12;13183;;
3;113;510;857;0;66;21;23;908;;
3;114;699;950;0;40;21;19;12559;;
4;0;823;245;0;48;8;13;8207;;
4;1;850;202;0;63;20;18;6008;;
4;2;882;219;0;56;33;27;62056;;
4;3;785;262;0;71;8;9;4479;;
4;4;867;259;0;84;17;12;4542;;
4;5;923;238;0;78;27;12;62352;;
4;6;906;275;0;69;34;11;18352;;
4;7;924;277;0;59;20;10;7104;;
4;8;979;304;2;38;15;15;4383;;
4;9;1002;290;0;49;20;13;6600;;
4;10;776;314;0;91;12;10;894;;
4;11;838;341;0;63;22;17;7372;;
4;12;859;331;0;60;17;8;480;;
4;13;947;309;0;70;8;9;383;;
4;14;1044;315;0;56;23;22;55569;;
4;15;769;360;0;41;18;13;2526;;
4;16;812;358;2;45;13;17;45324;;
4;17;926;358;0;66;17;18;6343;;
4;18;976;342;0;84;13;7;383;;
4;19;1054;365;1;32;12;17;4479;;
4;20;682;408;0;64;13;18;12556;;
4;21;720;401;0;70;18;18;32975;;
4;22;934;411;0;62;7;11;4383;;
4;23;1067;397;1;43;8;10;4383;;
4;24;496;419;0;43;15;15;4383;;
4;25;899;436;0;101;21;22;52225;;
4;26;658;461;0;60;15;28;29782;;
4;27;762;450;1;37;15;21;2248;;
4;28;891;476;0;33;12;19;25615;;
4;29;1041;472;0;62;8;14;4471;;
4;30;1077;469;0;101;10;10;4383;;
4;31;719;454;0;57;9;27;24595;;
4;32;738;483;0;60;15;35;9066;;
4;33;782;488;0;65;5;15;13111;;
4;34;933;488;0;64;14;22;17607;;
4;35;1152;516;0;44;9;22;29459;;
4;36;728;549;0;59;7;9;4927;;
4;37;742;518;0;35;12;19;4471;;
4;38;1051;548;0;89;6;21;9830;;
4;39;1121;546;0;45;9;17;29453;;
4;40;1149;543;0;74;5;13;14183;;
4;41;617;565;0;60;12;7;4064;;
4;42;638;564;0;44;20;7;2968;;
4;43;685;567;0;94;9;12;9838;;
4;44;756;558;0;45;18;12;3443;;
4;45;770;566;0;45;18;12;3443;;
4;46;810;571;0;71;31;29;34405;;
4;47;854;570;0;51;18;19;4365;;
4;48;894;583;0;51;19;21;32819;;
4;49;911;558;0;72;30;18;12598;;
4;50;968;562;0;103;17;22;33331;;
4;51;1036;583;0;73;10;7;4383;;
4;52;1178;582;1;63;12;6;767;;
4;53;556;602;2;36;13;7;6559;;
4;54;829;587;1;55;27;18;34879;;
4;55;670;662;0;64;11;16;8950;;
4;56;699;642;0;76;17;23;4550;;
4;57;710;627;0;110;19;21;4558;;
4;58;1018;643;0;67;15;26;27715;;
4;59;505;682;0;78;19;5;1008;;
4;60;779;680;0;97;12;11;22385;;
4;61;874;662;1;46;7;29;8302;;
4;62;551;709;0;87;17;12;559;;
4;63;598;719;0;72;12;20;38;;
4;64;689;707;0;50;9;13;4383;;
4;65;754;706;0;72;21;26;35078;;
4;66;868;726;0;88;14;7;1533;;
4;67;924;711;0;46;20;7;2865;;
4;68;462;751;0;35;17;18;51485;;
4;69;641;756;0;69;9;9;5407;;
4;70;686;747;0;93;11;12;2030;;
4;71;718;753;0;77;12;8;1911;;
4;72;749;731;0;67;9;18;18019;;
4;73;779;761;0;61;21;24;52225;;
4;74;840;741;0;90;22;22;64529;;
4;75;862;757;0;48;11;12;57684;;
4;76;898;734;2;63;24;20;17613;;
4;77;918;737;0;37;20;7;35635;;
4;78;966;731;1;59;16;7;4081;;
4;79;1015;733;0;75;10;8;4383;;
4;80;1116;751;0;74;7;14;4919;;
4;81;476;793;0;57;20;35;8382;;
4;82;529;799;0;79;10;10;4383;;
4;83;569;785;0;66;6;11;4415;;
4;84;696;785;0;59;15;11;6431;;
4;85;813;783;0;48;20;8;6961;;
4;86;926;798;0;61;26;13;8137;;
4;87;1092;777;1;54;5;11;4927;;
4;88;573;829;0;70;21;12;1016;;
4;89;641;834;0;82;18;7;3568;;
4;90;704;829;0;81;8;15;1911;;
4;91;721;814;0;56;19;20;5000;;
4;92;745;816;0;76;20;21;19649;;
4;93;816;822;0;85;14;12;1999;;
4;94;1053;826;0;92;20;9;992;;
4;95;556;834;0;83;22;10;504;;
4;96;774;840;0;59;20;34;37695;;
4;97;821;860;0;50;12;20;13132;;
4;98;594;903;0;50;15;19;5391;;
4;99;694;886;0;68;17;8;2041;;
4;100;737;889;0;75;19;13;2044;;
4;101;805;899;0;85;13;21;8830;;
4;102;644;916;0;87;20;12;3185;;
4;103;681;913;0;81;19;6;4081;;
4;104;1011;315;1;53;25;15;4561;;
4;105;1081;385;0;56;8;10;4383;;
4;106;674;422;1;68;15;18;29452;;
4;107;1095;415;0;34;10;28;50786;;
4;108;840;470;0;50;20;18;52227;;
4;109;668;482;1;46;12;13;6623;;
4;110;748;497;1;28;15;23;28177;;
4;111;663;541;1;61;8;8;4919;;
4;112;1090;703;0;65;9;11;4383;;
4;113;509;857;0;73;22;23;908;;
4;114;699;950;1;40;21;19;12559;;
4;115;1122;475;0;50;14;21;30471;;
4;116;1115;497;0;64;9;9;4383;;
4;117;758;857;0;65;20;35;12788;;
5;0;823;245;0;43;8;12;8311;;
5;1;850;202;0;63;20;18;6008;;
5;2;883;219;0;52;31;27;61544;;
5;3;785;262;0;78;7;11;4479;;
5;4;866;260;0;83;18;11;503;;
5;5;923;238;1;78;27;12;62352;;
5;6;905;276;0;71;34;12;22448;;
5;7;924;277;0;57;20;10;7040;;
5;8;979;304;0;49;15;17;49171;;
5;9;1003;290;0;78;21;20;4509;;
5;10;776;314;0;89;12;10;894;;
5;11;837;341;0;56;21;17;21708;;
5;12;858;331;0;59;28;20;8072;;
5;13;947;310;0;69;16;14;307;;
5;14;1047;316;0;33;24;22;39169;;
5;15;768;361;0;44;18;12;2526;;
5;16;812;358;3;45;13;17;45324;;
5;17;926;355;0;64;19;29;33734;;
5;18;975;342;0;88;14;7;4479;;
5;19;1054;365;2;32;12;17;4479;;
5;20;682;408;0;66;14;18;13068;;
5;21;720;401;0;68;18;19;32783;;
5;22;934;407;0;68;9;18;1919;;
5;23;1067;397;2;43;8;10;4383;;
5;24;496;419;1;43;15;15;4383;;
5;25;899;436;0;103;21;22;52225;;
5;26;658;461;0;47;16;28;29782;;
5;27;764;447;0;42;35;31;7116;;
5;28;891;475;0;28;11;18;24591;;
5;29;1041;472;0;66;9;15;4471;;
5;30;1077;468;0;90;9;10;4383;;
5;31;721;457;0;46;11;16;12359;;
5;32;738;483;0;59;16;33;8930;;
5;33;782;488;0;91;7;13;30579;;
5;34;933;488;0;64;13;18;19591;;
5;35;1151;515;0;49;7;21;30467;;
5;36;728;548;0;58;7;9;4927;;
5;37;742;518;1;35;12;19;4471;;
5;38;1051;548;0;83;5;21;9826;;
5;39;1122;546;0;46;8;19;29455;;
5;40;1149;543;0;73;5;15;4919;;
5;41;617;564;0;56;11;7;4991;;
5;42;638;564;0;43;20;14;7052;;
5;43;685;568;0;87;8;11;4383;;
5;44;756;560;0;51;19;12;3191;;
5;45;770;569;0;51;19;12;3315;;
5;46;810;571;0;59;31;28;34401;;
5;47;854;570;0;62;19;20;13064;;
5;48;894;583;0;52;17;21;32787;;
5;49;911;558;0;87;34;18;28980;;
5;50;967;561;0;95;17;23;49203;;
5;51;1037;583;0;76;11;8;4383;;
5;52;1178;582;2;63;12;6;767;;
5;53;556;602;3;36;13;7;6559;;
5;54;838;589;0;32;27;17;4558;;
5;55;670;662;0;66;12;17;8767;;
5;56;700;642;0;72;14;23;4558;;
5;57;710;627;0;103;19;21;4558;;
5;58;1018;643;0;73;15;27;25665;;
5;59;504;682;0;76;18;5;4080;;
5;60;781;682;0;89;13;11;3959;;
5;61;874;662;2;46;7;29;8302;;
5;62;544;707;0;83;19;21;39191;;
5;63;598;719;0;66;12;20;4134;;
5;64;689;707;0;54;11;13;4383;;
5;65;755;706;0;72;20;26;33030;;
5;66;868;726;0;84;14;8;1527;;
5;67;925;711;0;52;22;8;2873;;
5;68;462;750;0;51;20;18;52364;;
5;69;641;756;0;66;19;8;2028;;
5;70;686;747;0;89;11;11;4383;;
5;71;718;753;0;74;13;8;1911;;
5;72;749;731;0;71;8;17;18019;;
5;73;780;761;0;62;19;24;52225;;
5;74;839;741;0;81;21;15;4033;;
5;75;859;759;0;55;12;12;29013;;
5;76;894;734;0;42;35;13;7025;;
5;77;918;737;1;37;20;7;35635;;
5;78;966;731;2;59;16;7;4081;;
5;79;1014;734;0;78;11;10;4447;;
5;80;1116;751;0;70;6;14;4919;;
5;81;475;793;0;50;20;31;8222;;
5;82;530;799;0;76;11;11;4383;;
5;83;569;784;0;63;7;10;4415;;
5;84;696;785;0;70;15;12;6559;;
5;85;813;783;0;46;21;10;6961;;
5;86;934;796;0;50;35;26;5112;;
5;87;1092;777;2;54;5;11;4927;;
5;88;572;829;0;70;22;12;440;;
5;89;640;834;0;76;19;7;509;;
5;90;704;831;0;67;8;16;614;;
5;91;721;814;1;56;19;20;5000;;
5;92;745;816;0;57;18;21;52289;;
5;93;816;822;0;96;16;12;1996;;
5;94;1047;830;0;76;18;11;2008;;
5;95;556;835;0;74;22;10;476;;
5;96;773;840;0;53;21;33;33595;;
5;97;821;860;0;57;14;20;13068;;
5;98;594;903;0;48;11;16;57351;;
5;99;692;886;0;67;17;11;1977;;
5;100;737;889;0;78;19;13;2028;;
5;101;805;899;0;99;14;21;8830;;
5;102;646;919;0;89;20;14;35953;;
5;103;681;912;0;94;19;6;4081;;
5;104;1011;315;2;53;25;15;4561;;
5;105;1081;384;0;55;13;16;29468;;
5;106;674;422;2;68;15;18;29452;;
5;107;1094;414;0;33;26;31;62257;;
5;108;825;455;0;49;20;18;52227;;
5;109;668;482;2;46;12;13;6623;;
5;110;748;497;2;28;15;23;28177;;
5;111;663;541;2;61;8;8;4919;;
5;112;1090;704;0;63;8;12;10093;;
5;113;509;857;1;73;22;23;908;;
5;114;699;950;2;40;21;19;12559;;
5;115;1121;476;0;55;15;22;29463;;
5;116;1115;497;0;55;15;21;4206;;
5;117;758;857;1;65;20;35;12788;;
5;118;693;484;0;88;24;25;119;;
