FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;486;368;0;51;12;15;57105;NL5901;ETANOL
0;1;483;400;0;61;22;21;13836;;
0;2;524;392;0;83;9;10;4383;;
0;3;482;433;0;47;10;10;4383;;
0;4;936;524;0;85;20;26;19649;;
0;5;584;542;0;74;14;11;6547;;
0;6;918;548;0;79;17;21;4175;;
0;7;953;542;0;76;21;20;34833;;
0;8;897;580;0;93;11;8;4383;;
0;9;444;724;0;55;11;11;4927;;
0;10;1073;750;0;71;12;9;5911;;
0;11;976;809;0;95;7;15;13111;;
0;12;890;877;0;85;9;10;4383;;
0;13;995;880;0;45;21;21;4383;;
3;0;486;367;0;51;12;15;57105;;
3;1;483;400;0;53;21;21;13836;;
3;2;524;392;1;83;9;10;4383;;
3;3;484;429;0;51;10;10;4383;;
3;4;936;522;0;85;21;25;19649;;
3;5;584;541;0;64;14;12;6423;;
3;6;917;549;0;76;11;7;4383;;
3;7;953;541;0;79;21;21;34833;;
3;8;897;579;0;92;11;7;4415;;
3;9;443;724;0;53;9;10;4511;;
3;10;1073;750;0;64;11;9;4383;;
3;11;977;810;0;90;8;16;18023;;
3;12;891;876;0;81;9;10;4895;;
3;13;995;879;0;45;21;22;4383;;
3;14;1057;793;0;45;7;15;4383;;
4;0;486;367;0;50;13;16;40721;;
4;1;482;401;0;54;22;22;4876;;
4;2;524;392;0;79;9;10;4383;;
4;3;482;433;0;49;10;10;4383;;
4;4;934;523;0;87;19;25;19649;;
4;5;584;543;0;74;15;12;7575;;
4;6;918;549;0;69;16;19;4111;;
4;7;953;541;0;81;21;21;34833;;
4;8;897;579;0;92;11;7;4415;;
4;9;444;724;0;51;11;11;4927;;
4;10;1073;750;0;84;12;9;5943;;
4;11;977;810;1;90;8;16;18023;;
4;12;890;878;0;85;10;11;4383;;
4;13;995;879;0;47;21;25;4575;;
4;14;1057;793;0;55;7;15;4383;;
4;15;658;507;0;87;10;9;4383;;
5;0;486;367;0;51;12;15;65297;;
5;1;482;401;0;39;20;22;13836;;
5;2;524;392;0;96;9;12;26214;;
5;3;482;432;0;52;22;22;30472;;
5;4;934;523;1;87;19;25;19649;;
5;5;584;543;0;74;14;11;6419;;
5;6;918;548;0;72;24;20;4300;;
5;7;953;541;0;81;21;21;34833;;
5;8;897;579;0;89;11;7;319;;
5;9;443;725;0;57;11;11;4383;;
5;10;1073;750;0;88;11;9;4383;;
5;11;975;814;0;89;12;30;26209;;
5;12;890;878;0;83;10;10;4895;;
5;13;995;879;0;51;21;22;4127;;
5;14;1057;793;0;55;18;31;4439;;
5;15;658;507;1;87;10;9;4383;;
6;0;486;368;0;54;12;14;65297;;
6;1;483;400;0;60;23;21;5900;;
6;2;524;392;0;92;9;12;26215;;
6;3;482;433;0;49;22;23;14088;;
6;4;934;523;2;87;19;25;19649;;
6;5;584;544;0;78;15;12;6551;;
6;6;917;548;0;80;23;17;4559;;
6;7;953;541;0;82;21;21;34961;;
6;8;897;580;0;87;10;8;4383;;
6;9;444;724;0;47;9;11;4415;;
6;10;1073;750;0;74;11;10;4383;;
6;11;976;809;0;88;7;16;18023;;
6;12;891;876;0;86;10;10;4383;;
6;13;995;879;1;51;21;22;4127;;
6;14;1057;793;1;55;18;31;4439;;
6;15;659;507;0;79;10;9;4383;;
7;0;486;368;0;53;12;15;57105;;
7;1;483;401;0;46;21;22;13836;;
7;2;524;392;0;80;8;10;4383;;
7;3;481;432;0;50;23;22;13064;;
7;4;934;523;3;87;19;25;19649;;
7;5;584;542;0;64;15;11;6559;;
7;6;918;549;0;82;24;19;4556;;
7;7;953;541;0;78;21;21;34833;;
7;8;896;579;0;91;13;8;2046;;
7;9;443;723;0;59;13;12;1095;;
7;10;1071;749;0;87;12;9;8049;;
7;11;976;810;0;93;8;16;18022;;
7;12;890;878;0;90;9;10;4895;;
7;13;995;878;0;51;21;23;4383;;
7;14;1057;793;2;55;18;31;4439;;
7;15;658;507;0;86;10;9;4383;;
7;16;627;577;0;72;7;11;4383;;
8;0;486;367;0;51;12;15;57105;;
8;1;482;401;0;56;21;22;5900;;
8;2;531;394;0;92;9;11;4383;;
8;3;482;433;0;50;11;10;4383;;
8;4;934;523;4;87;19;25;19649;;
8;5;584;543;0;70;16;11;6450;;
8;6;917;548;0;78;12;8;2035;;
8;7;953;541;0;86;21;21;34833;;
8;8;892;580;0;99;15;9;831;;
8;9;444;724;0;51;9;10;415;;
8;10;1071;749;1;87;12;9;8049;;
8;11;977;810;0;85;7;15;4927;;
8;12;890;878;1;90;9;10;4895;;
8;13;995;878;1;51;21;23;4383;;
8;14;1057;793;3;55;18;31;4439;;
8;15;659;507;0;80;10;9;4383;;
8;16;627;577;1;72;7;11;4383;;
9;0;486;367;0;55;13;16;48913;;
9;1;482;401;0;58;23;22;5900;;
9;2;524;392;0;88;9;10;4383;;
9;3;482;433;1;50;11;10;4383;;
9;4;934;523;5;87;19;25;19649;;
9;5;584;544;0;73;15;11;6551;;
9;6;918;548;0;83;24;20;4302;;
9;7;953;541;0;80;21;21;34833;;
9;8;893;579;0;98;14;8;319;;
9;9;443;724;0;51;10;12;1127;;
9;10;1073;750;0;75;11;9;4383;;
9;11;976;810;0;90;7;16;26214;;
9;12;890;877;0;93;10;11;4895;;
9;13;995;880;0;46;21;21;4447;;
9;14;1057;792;0;50;16;31;5463;;
9;15;659;507;1;80;10;9;4383;;
9;16;627;577;0;72;7;11;4383;;
10;0;486;367;0;57;13;19;3953;;
10;1;484;400;0;67;22;21;13964;;
10;2;524;392;0;94;9;12;18022;;
10;3;483;432;0;49;10;9;4383;;
10;4;934;523;6;87;19;25;19649;;
10;5;584;542;0;75;14;12;6423;;
10;6;917;548;0;76;23;20;4110;;
10;7;953;542;0;78;21;20;34833;;
10;8;893;579;0;96;15;8;895;;
10;9;444;724;0;49;10;11;4927;;
10;10;1073;750;0;61;11;9;4383;;
10;11;976;809;0;84;7;16;17958;;
10;12;890;878;0;86;10;10;4383;;
10;13;995;880;0;49;21;21;4383;;
10;14;1057;792;1;50;16;31;5463;;
10;15;659;507;2;80;10;9;4383;;
10;16;627;577;1;72;7;11;4383;;
11;0;486;368;0;57;12;15;57105;;
11;1;482;401;0;43;20;22;13836;;
11;2;525;393;0;86;10;11;4383;;
11;3;482;433;0;53;22;23;14088;;
11;4;935;523;0;91;20;26;19649;;
11;5;584;544;0;74;16;10;2323;;
11;6;917;548;0;81;17;20;4302;;
11;7;953;541;0;76;21;21;34833;;
11;8;894;579;0;98;16;8;2032;;
11;9;443;724;0;54;12;11;1143;;
11;10;1073;750;0;76;11;9;4383;;
11;11;976;810;0;81;6;15;4927;;
11;12;890;878;1;86;10;10;4383;;
11;13;995;880;0;44;21;20;4383;;
11;14;1057;792;2;50;16;31;5463;;
