FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;702;202;0;76;18;9;3808;NL5901;30 uM CBD
0;1;749;202;0;55;13;17;28678;;
0;2;644;247;0;47;20;12;34961;;
0;3;568;305;0;85;18;23;4382;;
0;4;631;287;0;92;15;6;4479;;
0;5;558;319;0;97;19;21;4414;;
0;6;510;362;0;81;18;9;8048;;
0;7;599;375;0;63;13;16;57887;;
0;8;539;417;0;81;12;9;2020;;
0;9;626;508;0;79;10;8;4383;;
0;10;727;487;0;51;15;16;50723;;
0;11;797;565;0;69;11;8;4415;;
0;12;987;576;0;78;13;9;4415;;
0;13;762;624;0;92;12;15;4415;;
0;14;892;614;0;80;11;11;4383;;
0;15;643;626;0;72;31;22;33079;;
0;16;947;718;0;98;12;23;16947;;
0;17;1021;716;0;66;13;23;14180;;
0;18;1060;718;0;66;12;9;2041;;
0;19;1092;698;0;83;9;14;13119;;
0;20;478;728;0;75;17;6;3313;;
0;21;999;743;0;23;11;22;13175;;
0;22;995;764;0;26;11;14;12575;;
0;23;1065;813;0;75;9;10;4383;;
3;0;703;202;0;78;19;9;3296;;
3;1;749;202;0;51;12;17;61452;;
3;2;643;247;0;50;19;12;34968;;
3;3;568;305;1;85;18;23;4382;;
3;4;630;287;0;74;14;6;511;;
3;5;562;313;0;86;16;21;13110;;
3;6;510;363;0;89;18;9;3952;;
3;7;600;380;0;55;13;16;57918;;
3;8;541;417;0;88;14;9;894;;
3;9;626;508;1;79;10;8;4383;;
3;10;728;487;0;57;13;15;18231;;
3;11;797;565;0;79;11;10;4383;;
3;12;987;576;0;73;14;8;4415;;
3;13;760;629;0;82;15;14;4927;;
3;14;895;611;0;74;10;10;4383;;
3;15;642;628;0;64;19;10;4973;;
3;16;947;718;0;90;11;23;25139;;
3;17;1025;713;0;80;12;18;14156;;
3;18;1059;718;0;63;12;12;10199;;
3;19;1092;698;0;77;8;13;4919;;
3;20;478;728;1;75;17;6;3313;;
3;21;1002;743;0;29;11;23;12599;;
3;22;991;756;0;25;11;20;13167;;
3;23;1064;815;0;57;12;10;311;;
3;24;563;284;0;69;11;22;26115;;
3;25;588;450;0;93;9;20;18022;;
3;26;836;636;0;86;23;15;34867;;
4;0;703;202;0;83;22;13;36400;;
4;1;749;202;0;56;13;17;28678;;
4;2;643;247;0;55;19;20;2185;;
4;3;568;305;2;85;18;23;4382;;
4;4;631;288;0;66;14;6;383;;
4;5;565;312;0;76;11;19;13111;;
4;6;509;363;0;89;15;9;6003;;
4;7;600;380;0;48;13;16;57919;;
4;8;539;416;0;72;10;9;4383;;
4;9;628;507;0;76;11;8;4383;;
4;10;727;487;0;47;15;15;1855;;
4;11;796;566;0;68;10;10;4447;;
4;12;984;578;0;72;13;9;4991;;
4;13;756;633;0;82;12;18;4964;;
4;14;895;611;1;74;10;10;4383;;
4;15;642;628;0;71;25;12;1000;;
4;16;947;718;0;91;11;23;25139;;
4;17;1025;709;0;87;11;21;30308;;
4;18;1060;718;0;81;13;9;2047;;
4;19;1092;698;0;73;8;13;4927;;
4;20;478;728;2;75;17;6;3313;;
4;21;1000;742;0;18;10;23;4407;;
4;22;995;764;0;13;10;18;14199;;
4;23;1064;815;0;79;9;11;4383;;
4;24;565;283;0;74;10;21;25606;;
4;25;587;450;0;79;8;20;18022;;
4;26;836;636;1;86;23;15;34867;;
4;27;714;524;0;33;9;12;18031;;
4;28;681;644;0;24;12;19;30545;;
4;29;692;659;0;23;12;17;32593;;
5;0;703;203;0;73;20;13;52784;;
5;1;749;202;0;54;13;17;28678;;
5;2;645;247;0;45;19;12;34969;;
5;3;568;305;3;85;18;23;4382;;
5;4;631;287;0;82;15;6;4607;;
5;5;569;311;0;78;12;17;26470;;
5;6;510;363;0;85;17;9;3952;;
5;7;600;380;0;62;13;16;57918;;
5;8;539;416;0;93;12;10;870;;
5;9;628;507;1;76;11;8;4383;;
5;10;728;488;0;56;15;15;1855;;
5;11;797;566;0;92;12;10;3583;;
5;12;988;576;0;82;14;10;319;;
5;13;749;637;0;90;15;11;4383;;
5;14;889;608;0;69;11;12;29703;;
5;15;643;627;0;73;31;21;33087;;
5;16;948;723;0;90;7;21;18022;;
5;17;1028;704;0;84;18;18;15564;;
5;18;1060;718;0;81;13;8;4095;;
5;19;1092;698;1;73;8;13;4927;;
5;20;478;728;3;75;17;6;3313;;
5;21;999;739;0;32;11;20;13183;;
5;22;992;763;0;28;12;17;14182;;
5;23;1064;815;0;68;10;8;4383;;
5;24;565;278;0;62;18;26;59411;;
5;25;588;450;0;98;8;20;18022;;
5;26;836;636;2;86;23;15;34867;;
5;27;714;524;1;33;9;12;18031;;
5;28;681;644;1;24;12;19;30545;;
5;29;697;655;0;20;23;15;3267;;
6;0;703;203;0;81;21;13;36400;;
6;1;749;202;0;55;13;17;28678;;
6;2;644;247;0;51;20;11;34961;;
6;3;570;306;0;97;9;15;5478;;
6;4;631;287;0;59;11;7;4383;;
6;5;569;311;1;78;12;17;26470;;
6;6;510;362;0;93;17;9;3952;;
6;7;600;380;0;47;13;17;57887;;
6;8;539;417;0;90;12;10;1006;;
6;9;628;507;2;76;11;8;4383;;
6;10;728;488;1;56;15;15;1855;;
6;11;796;566;0;79;11;8;4383;;
6;12;987;576;0;74;12;9;4980;;
6;13;743;644;0;81;17;9;1984;;
6;14;895;614;0;62;14;14;5399;;
6;15;642;627;0;84;33;21;33078;;
6;16;947;718;0;89;11;23;25139;;
6;17;1028;704;0;77;15;20;15564;;
6;18;1060;718;0;59;12;7;2039;;
6;19;1092;698;0;77;9;14;4927;;
6;20;478;728;4;75;17;6;3313;;
6;21;1002;744;0;20;10;25;13175;;
6;22;992;757;0;16;10;21;13175;;
6;23;1063;813;0;64;12;8;884;;
6;24;565;278;1;62;18;26;59411;;
6;25;588;450;1;98;8;20;18022;;
6;26;836;636;3;86;23;15;34867;;
6;27;714;524;2;33;9;12;18031;;
6;28;681;644;2;24;12;19;30545;;
6;29;699;655;0;18;21;16;36083;;
7;0;703;202;0;74;17;11;52448;;
7;1;749;202;0;57;13;17;28678;;
7;2;644;247;0;48;19;10;2193;;
7;3;571;306;0;89;12;14;4590;;
7;4;630;287;0;72;14;6;511;;
7;5;569;311;2;78;12;17;26470;;
7;6;511;363;0;87;17;9;3952;;
7;7;600;380;0;54;13;16;57919;;
7;8;539;418;0;83;13;10;886;;
7;9;628;507;3;76;11;8;4383;;
7;10;727;487;0;55;15;16;50723;;
7;11;797;565;0;86;11;10;4383;;
7;12;987;576;0;71;13;9;4415;;
7;13;737;648;0;76;13;15;13708;;
7;14;895;614;1;62;14;14;5399;;
7;15;641;628;0;72;31;20;33086;;
7;16;948;723;0;94;7;20;18022;;
7;17;1023;715;0;60;6;15;9831;;
7;18;1060;718;0;76;13;12;26483;;
7;19;1092;698;0;77;8;14;4919;;
7;20;478;728;0;73;18;5;2289;;
7;21;1000;742;0;26;11;23;4407;;
7;22;993;763;0;45;11;17;14182;;
7;23;1063;813;1;64;12;8;884;;
7;24;565;278;2;62;18;26;59411;;
7;25;587;449;0;88;9;17;17207;;
7;26;836;636;4;86;23;15;34867;;
7;27;712;525;0;61;9;12;18158;;
7;28;681;644;3;24;12;19;30545;;
7;29;699;658;0;11;15;16;36033;;
8;0;704;202;0;78;16;10;3264;;
8;1;750;202;0;50;12;17;61452;;
8;2;644;247;0;53;20;11;34960;;
8;3;570;304;0;87;10;18;886;;
8;4;632;288;0;72;15;7;383;;
8;5;569;311;3;78;12;17;26470;;
8;6;510;363;0;77;17;9;3952;;
8;7;600;380;0;62;12;16;25151;;
8;8;539;418;0;83;11;9;4383;;
8;9;628;507;4;76;11;8;4383;;
8;10;728;487;0;51;10;14;1847;;
8;11;796;565;0;88;13;8;6007;;
8;12;985;578;0;69;13;9;383;;
8;13;734;650;0;87;13;14;4415;;
8;14;889;610;0;63;17;16;34611;;
8;15;642;628;0;64;12;9;4976;;
8;16;947;728;0;102;7;19;9015;;
8;17;1023;715;1;60;6;15;9831;;
8;18;1060;718;0;63;11;7;831;;
8;19;1092;698;0;74;9;15;4927;;
8;20;478;728;1;73;18;5;2289;;
8;21;1001;742;0;33;10;21;13175;;
8;22;992;762;0;42;11;16;14060;;
8;23;1063;813;2;64;12;8;884;;
8;24;565;278;3;62;18;26;59411;;
8;25;587;450;0;88;9;17;17207;;
8;26;836;636;5;86;23;15;34867;;
8;27;712;525;0;40;9;12;1775;;
8;28;681;644;4;24;12;19;30545;;
8;29;699;658;1;11;15;16;36033;;
8;30;943;707;0;98;12;21;25123;;
9;0;702;202;0;81;15;11;3808;;
9;1;749;202;0;51;12;17;61452;;
9;2;644;247;0;46;19;11;2201;;
9;3;570;301;0;91;11;26;16934;;
9;4;632;288;0;87;15;7;383;;
9;5;569;311;4;78;12;17;26470;;
9;6;511;363;0;91;17;9;3952;;
9;7;600;380;0;55;13;16;57887;;
9;8;539;418;0;82;12;10;1006;;
9;9;628;507;5;76;11;8;4383;;
9;10;728;488;0;64;13;15;1087;;
9;11;796;565;0;71;10;8;4447;;
9;12;988;576;0;70;14;9;4479;;
9;13;732;652;0;85;16;14;5964;;
9;14;889;604;0;68;10;13;14099;;
9;15;642;628;1;64;12;9;4976;;
9;16;948;727;0;101;7;19;8759;;
9;17;1023;715;2;60;6;15;9831;;
9;18;1060;718;0;76;13;8;2047;;
9;19;1092;698;1;74;9;15;4927;;
9;20;478;728;2;73;18;5;2289;;
