FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;737;362;0;81;6;19;8806;NL5901;ETANOL
0;1;990;411;0;96;14;7;1023;;
0;2;711;452;0;78;13;13;17971;;
0;3;591;506;0;74;9;15;4927;;
0;4;938;489;0;93;10;15;383;;
0;5;1082;482;0;62;8;10;4383;;
0;6;472;641;0;67;7;15;4927;;
0;7;648;639;0;90;11;15;4895;;
0;8;1124;652;0;53;8;9;4383;;
0;9;1131;679;0;28;7;31;25231;;
0;10;660;711;0;102;9;15;17519;;
0;11;1107;710;0;56;13;4;375;;
0;12;1138;693;0;66;17;16;63;;
0;13;1061;787;0;88;19;5;511;;
0;14;657;912;0;83;11;9;4415;;
0;15;766;1003;0;58;34;13;15;;
3;0;736;365;0;76;6;16;9830;;
3;1;991;411;0;93;15;7;511;;
3;2;711;452;0;80;12;13;17511;;
3;3;589;507;0;80;12;14;13103;;
3;4;937;488;0;73;10;13;111;;
3;5;1082;482;1;62;8;10;4383;;
3;6;473;639;0;73;7;15;4927;;
3;7;647;636;0;87;13;13;3891;;
3;8;1124;645;0;29;8;17;36879;;
3;9;1131;679;1;28;7;31;25231;;
3;10;660;714;0;100;11;12;1263;;
3;11;1107;710;1;56;13;4;375;;
3;12;1138;693;1;66;17;16;63;;
3;13;1059;787;0;78;17;7;2033;;
3;14;657;912;0;74;11;8;4415;;
3;15;774;1008;0;101;35;4;207;;
3;16;551;611;0;79;8;9;4383;;
3;17;1047;724;0;66;9;9;4415;;
4;0;736;364;0;85;7;14;8742;;
4;1;990;411;0;93;13;7;1023;;
4;2;711;452;0;82;13;12;18035;;
4;3;591;506;0;83;11;14;14191;;
4;4;937;489;0;88;11;13;127;;
4;5;1082;482;2;62;8;10;4383;;
4;6;473;642;0;68;7;15;4927;;
4;7;644;632;0;81;11;13;1151;;
4;8;1124;645;0;28;8;17;4127;;
4;9;1126;679;0;26;7;31;25111;;
4;10;660;715;0;85;11;8;4383;;
4;11;1118;731;0;54;6;12;14131;;
4;12;1138;694;0;68;12;7;1905;;
4;13;1060;787;0;67;13;5;1023;;
4;14;657;912;0;73;10;8;4415;;
4;15;774;1008;1;101;35;4;207;;
4;16;550;612;0;81;7;11;4383;;
4;17;1048;724;0;70;8;10;4383;;
4;18;1149;607;0;35;9;17;28951;;
4;19;1151;645;0;49;23;15;12559;;
5;0;737;367;0;77;8;13;9014;;
5;1;990;411;0;94;13;7;2047;;
5;2;710;451;0;81;13;12;17971;;
5;3;590;506;0;88;12;13;10062;;
5;4;937;489;0;94;10;11;4383;;
5;5;1082;482;3;62;8;10;4383;;
5;6;473;642;0;65;9;15;17511;;
5;7;645;630;0;83;7;15;4919;;
5;8;1124;645;0;31;9;18;20751;;
5;9;1126;679;1;26;7;31;25111;;
5;10;662;717;0;94;13;10;7987;;
5;11;1119;732;0;48;6;12;30515;;
5;12;1138;694;1;68;12;7;1905;;
5;13;1061;787;0;66;17;5;4080;;
5;14;657;913;0;84;10;9;4415;;
5;15;774;1008;2;101;35;4;207;;
5;16;550;613;0;86;7;12;26214;;
5;17;1048;724;0;69;9;10;4415;;
