FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;601;250;0;67;10;8;2033;NL5901;3 uM CBDV
0;1;658;328;0;68;9;11;4479;;
0;2;998;449;0;78;11;11;4407;;
0;3;1011;499;0;65;14;6;4479;;
0;4;410;603;0;52;8;9;4431;;
0;5;511;610;0;96;15;16;4972;;
0;6;701;661;0;96;11;12;1910;;
0;7;989;668;0;76;8;13;1895;;
0;8;472;709;0;78;23;22;34355;;
0;9;564;747;0;74;13;14;34359;;
0;10;802;731;0;75;7;17;26215;;
0;11;582;797;0;62;27;20;35889;;
0;12;595;806;0;60;27;16;35953;;
0;13;638;829;0;61;22;12;3187;;
0;14;1095;830;0;88;16;13;52451;;
0;15;669;843;0;49;19;9;2295;;
0;16;534;903;0;84;12;10;2255;;
0;17;766;874;0;79;15;6;2559;;
0;18;948;936;0;82;16;12;36465;;
3;0;602;250;0;67;10;8;2033;;
3;1;658;328;0;67;8;11;4479;;
3;2;998;449;0;84;12;12;18291;;
3;3;1011;500;0;73;15;7;4479;;
3;4;410;603;0;63;9;12;1644;;
3;5;511;610;0;87;14;16;4974;;
3;6;701;663;0;98;11;11;4383;;
3;7;989;669;0;82;7;14;5943;;
3;8;472;709;0;77;23;22;34337;;
3;9;563;747;0;70;13;13;50995;;
3;10;801;731;0;64;7;15;30487;;
3;11;582;797;0;75;27;21;36401;;
3;12;598;808;0;64;33;21;35889;;
3;13;641;830;0;70;25;12;3697;;
3;14;1092;830;0;87;12;13;17639;;
3;15;668;844;0;78;20;11;3185;;
3;16;534;901;0;72;10;9;159;;
3;17;766;874;1;79;15;6;2559;;
3;18;948;935;0;83;16;12;35953;;
3;19;420;738;0;37;12;11;34975;;
3;20;586;929;0;38;18;21;4495;;
4;0;603;250;0;72;12;21;8294;;
4;1;659;327;0;71;10;11;4383;;
4;2;998;449;0;84;12;11;59249;;
4;3;1012;500;0;72;14;7;509;;
4;4;410;600;0;69;8;13;9070;;
4;5;512;610;0;95;15;15;4415;;
4;6;703;663;0;107;11;11;4383;;
4;7;989;669;0;81;7;11;4383;;
4;8;472;709;0;78;23;23;33827;;
4;9;563;747;0;76;10;13;1639;;
4;10;802;730;0;88;7;17;26214;;
4;11;582;797;0;68;26;20;35889;;
4;12;596;806;0;68;26;17;35953;;
4;13;638;830;0;67;27;15;3697;;
4;14;1090;829;0;82;9;11;4383;;
4;15;668;844;0;60;30;13;3313;;
4;16;534;901;0;70;10;9;159;;
4;17;766;874;2;79;15;6;2559;;
4;18;948;936;0;85;16;13;34417;;
4;19;420;738;1;37;12;11;34975;;
4;20;582;937;0;69;13;9;143;;
4;21;468;346;0;68;9;11;56716;;
4;22;406;469;0;59;5;16;52360;;
4;23;530;754;0;35;23;20;35955;;
4;24;1121;797;0;70;9;11;4383;;
4;25;966;934;0;53;8;9;3327;;
