FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;635;249;0;72;7;12;26214;NL5901;CONTROL
0;1;931;266;0;63;10;16;17955;;
0;2;565;272;0;57;15;33;60928;;
0;3;689;365;0;85;12;7;2032;;
0;4;729;349;0;84;9;11;4383;;
0;5;854;350;0;82;17;6;3440;;
0;6;704;414;0;86;21;23;13080;;
0;7;476;430;0;67;10;13;4415;;
0;8;681;436;0;79;9;10;4383;;
0;9;771;468;0;81;14;11;30481;;
0;10;954;654;0;79;28;25;1038;;
0;11;984;651;0;76;19;10;3187;;
0;12;845;673;0;57;14;23;19651;;
0;13;949;673;0;80;16;11;6112;;
0;14;1009;663;0;75;9;15;4927;;
0;15;1068;680;0;80;10;12;1143;;
0;16;582;703;0;70;9;10;4383;;
0;17;771;746;0;95;23;9;2040;;
0;18;518;772;0;72;6;14;26167;;
0;19;842;811;0;76;11;12;13166;;
0;20;526;841;0;73;20;15;35121;;
0;21;587;925;0;76;14;20;16399;;
0;22;975;938;0;71;7;13;9079;;
0;23;644;961;0;53;20;19;4237;;
3;0;635;249;1;72;7;12;26214;;
3;1;931;266;1;63;10;16;17955;;
3;2;564;272;0;58;16;16;35095;;
3;3;684;364;0;84;15;6;499;;
3;4;727;349;0;75;8;12;26419;;
3;5;847;350;0;76;15;9;319;;
3;6;705;414;0;96;12;13;95;;
3;7;474;432;0;66;10;11;4383;;
3;8;681;436;1;79;9;10;4383;;
3;9;769;466;0;86;10;14;1143;;
3;10;954;654;1;79;28;25;1038;;
3;11;982;651;0;69;18;9;3187;;
3;12;846;671;0;61;16;22;58391;;
3;13;945;675;0;81;16;9;992;;
3;14;1010;662;0;81;8;15;9023;;
3;15;1068;681;0;73;10;12;1143;;
3;16;580;705;0;70;9;11;4447;;
3;17;761;749;0;59;23;9;1016;;
3;18;518;773;0;70;6;15;8759;;
3;19;840;812;0;72;12;11;14176;;
3;20;526;841;0;69;20;14;35123;;
3;21;587;926;0;75;17;19;49167;;
3;22;975;938;1;71;7;13;9079;;
3;23;644;961;1;53;20;19;4237;;
4;0;635;249;2;72;7;12;26214;;
4;1;931;266;2;63;10;16;17955;;
4;2;564;271;0;66;17;17;35095;;
4;3;682;363;0;81;17;7;3568;;
4;4;724;347;0;80;10;10;4375;;
4;5;845;349;0;74;19;5;511;;
4;6;703;414;0;98;23;24;13072;;
4;7;473;433;0;62;11;11;4383;;
4;8;681;436;0;82;10;9;4383;;
4;9;770;467;0;86;10;10;4383;;
4;10;954;654;2;79;28;25;1038;;
4;11;982;651;0;80;18;10;3199;;
4;12;848;669;0;71;14;23;25603;;
4;13;944;675;0;71;15;6;1529;;
4;14;1009;663;0;83;8;15;831;;
4;15;1068;681;0;87;10;12;1655;;
4;16;577;707;0;54;9;11;4415;;
4;17;759;749;0;91;23;10;1020;;
4;18;518;771;0;76;7;15;9015;;
4;19;842;813;0;75;11;12;14280;;
4;20;526;841;0;67;20;14;35123;;
4;21;586;926;0;81;16;20;49167;;
4;22;975;938;2;71;7;13;9079;;
4;23;644;961;2;53;20;19;4237;;
4;24;476;819;0;53;24;25;32815;;
5;0;635;249;3;72;7;12;26214;;
5;1;931;266;3;63;10;16;17955;;
5;2;565;272;0;64;15;16;33047;;
5;3;681;360;0;80;13;11;35039;;
5;4;724;347;0;80;12;9;5937;;
5;5;838;349;0;84;18;8;3186;;
5;6;703;414;0;97;25;22;29448;;
5;7;470;434;0;60;14;9;6092;;
5;8;683;436;0;68;7;11;4383;;
5;9;769;465;0;91;12;12;1143;;
5;10;954;654;3;79;28;25;1038;;
5;11;980;650;0;71;17;9;3187;;
5;12;849;667;0;92;20;22;27779;;
5;13;938;676;0;84;17;9;1004;;
5;14;1010;663;0;83;7;15;9023;;
5;15;1066;679;0;72;7;11;4479;;
5;16;576;708;0;63;7;12;9838;;
5;17;759;746;0;93;25;8;992;;
5;18;518;772;0;84;7;18;25126;;
5;19;842;812;0;67;12;11;4972;;
5;20;526;841;0;64;20;13;2097;;
5;21;587;925;0;69;14;19;16399;;
5;22;975;938;3;71;7;13;9079;;
5;23;644;961;3;53;20;19;4237;;
5;24;476;820;0;54;24;24;55;;
5;25;493;316;0;57;11;9;55308;;
5;26;854;687;0;57;17;20;32823;;
5;27;1051;901;0;54;7;19;24591;;
6;0;635;249;4;72;7;12;26214;;
6;1;931;266;4;63;10;16;17955;;
