FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;885;276;0;69;7;15;26418;NL5901;0,3 uM CBDV
0;1;639;279;0;79;7;15;4927;;
0;2;855;301;0;80;10;10;4383;;
0;3;527;309;0;61;20;22;32787;;
0;4;729;323;0;75;15;18;12556;;
0;5;755;423;0;105;9;14;9559;;
0;6;781;422;0;70;10;12;4927;;
0;7;1064;418;0;85;6;15;10103;;
0;8;725;496;0;94;20;26;13056;;
0;9;857;490;0;63;19;22;49171;;
0;10;1145;482;0;59;11;15;4479;;
0;11;801;534;0;60;15;5;4479;;
0;12;906;548;0;62;11;11;4447;;
0;13;964;526;0;102;11;14;1887;;
0;14;1078;521;0;71;12;12;1651;;
0;15;831;601;0;74;22;23;4383;;
0;16;629;643;0;89;20;6;1008;;
0;17;1003;654;0;108;9;13;18039;;
0;18;457;666;0;80;6;14;631;;
0;19;1092;681;0;79;27;21;8989;;
0;20;554;701;0;76;8;12;9839;;
0;21;939;714;0;67;12;10;1649;;
0;22;1075;703;0;76;6;25;9830;;
0;23;1115;710;0;80;26;31;33399;;
0;24;1080;726;0;83;8;15;26151;;
0;25;1125;726;0;66;19;18;20241;;
0;26;1094;780;0;97;24;20;5740;;
0;27;1111;770;0;90;20;20;7244;;
0;28;796;865;0;70;11;9;5919;;
0;29;1037;888;0;56;9;10;1375;;
0;30;623;938;0;65;11;12;8479;;
0;31;832;961;0;88;9;15;26167;;
3;0;882;275;0;67;6;15;26418;;
3;1;639;282;0;65;6;12;10019;;
3;2;854;301;0;79;10;10;4383;;
3;3;527;309;0;57;20;22;32787;;
3;4;729;323;0;76;15;18;13068;;
3;5;755;421;0;98;8;16;18039;;
3;6;781;423;0;70;10;11;4383;;
3;7;1064;419;0;91;6;18;9826;;
3;8;725;496;0;92;21;26;13056;;
3;9;857;490;0;75;20;22;49171;;
3;10;1148;484;0;65;11;15;4479;;
3;11;800;535;0;63;14;5;375;;
3;12;904;549;0;76;11;10;4447;;
3;13;965;526;0;93;11;14;18271;;
3;14;1079;521;0;69;12;12;1651;;
3;15;831;601;1;74;22;23;4383;;
3;16;629;644;0;85;18;6;496;;
3;17;1002;653;0;103;10;13;1655;;
3;18;457;666;0;82;6;15;631;;
3;19;1093;681;0;77;27;20;13085;;
3;20;554;702;0;83;9;13;1647;;
3;21;939;714;1;67;12;10;1649;;
3;22;1075;703;1;76;6;25;9830;;
3;23;1115;712;0;65;25;26;33399;;
3;24;1080;726;1;83;8;15;26151;;
3;25;1125;726;1;66;19;18;20241;;
3;26;1094;780;1;97;24;20;5740;;
3;27;1110;770;0;82;20;20;7244;;
3;28;797;866;0;67;11;8;4383;;
3;29;1036;886;0;62;9;12;17607;;
3;30;623;938;0;66;12;13;4383;;
3;31;834;966;0;88;9;15;17971;;
3;32;974;291;0;55;12;8;6014;;
3;33;798;979;0;60;15;20;12303;;
4;0;881;275;0;64;6;15;25394;;
4;1;639;281;0;76;6;12;10039;;
4;2;855;301;0;77;10;10;4383;;
4;3;528;309;0;58;19;23;37139;;
4;4;730;323;0;79;16;18;12556;;
4;5;754;419;0;91;7;16;18022;;
4;6;780;422;0;69;22;12;2463;;
4;7;1064;419;0;88;6;17;26210;;
4;8;725;495;0;86;7;12;26214;;
4;9;857;490;0;69;35;25;49252;;
4;10;1147;484;0;66;11;13;4479;;
4;11;800;535;0;59;14;5;383;;
4;12;902;550;0;78;10;11;4447;;
4;13;964;527;0;85;11;14;26463;;
4;14;1079;522;0;67;12;13;1655;;
4;15;831;601;2;74;22;23;4383;;
4;16;629;644;0;85;19;7;504;;
4;17;1003;654;0;104;9;16;18022;;
4;18;458;666;0;86;6;14;631;;
4;19;1093;681;0;85;27;21;13085;;
4;20;555;702;0;75;10;11;4415;;
4;21;939;714;0;68;14;10;1407;;
4;22;1077;710;0;82;6;26;8738;;
4;23;1116;712;0;63;27;23;32807;;
4;24;1080;726;2;83;8;15;26151;;
4;25;1125;726;2;66;19;18;20241;;
4;26;1103;779;0;88;14;13;4383;;
4;27;1110;770;1;82;20;20;7244;;
4;28;796;866;0;60;11;7;4383;;
4;29;1035;885;0;55;7;11;4927;;
4;30;623;938;0;60;10;13;4383;;
4;31;832;962;0;90;9;15;26163;;
4;32;974;291;1;55;12;8;6014;;
4;33;798;979;1;60;15;20;12303;;
5;0;885;276;0;63;6;15;25395;;
5;1;639;279;0;75;7;15;4927;;
5;2;854;299;0;75;9;11;4383;;
5;3;528;309;0;59;19;23;32787;;
5;4;729;323;0;75;15;18;12556;;
5;5;755;418;0;103;7;18;18023;;
5;6;780;423;0;68;9;12;894;;
5;7;1065;418;0;89;6;18;9762;;
5;8;725;495;0;82;7;12;26214;;
5;9;857;490;0;73;35;24;49248;;
5;10;1147;483;0;62;11;12;6383;;
5;11;800;535;0;63;14;6;383;;
5;12;904;552;0;84;9;13;14131;;
5;13;965;527;0;88;11;14;26463;;
5;14;1079;521;0;74;12;12;1651;;
5;15;831;601;3;74;22;23;4383;;
5;16;630;644;0;83;19;6;504;;
5;17;1003;654;1;104;9;16;18022;;
5;18;457;666;0;84;6;14;1655;;
5;19;1092;682;0;82;28;21;8861;;
5;20;555;703;0;78;11;10;4383;;
5;21;939;714;0;71;11;9;4415;;
5;22;1075;703;0;81;6;25;25702;;
5;23;1116;713;0;69;24;31;1649;;
5;24;1080;726;3;83;8;15;26151;;
5;25;1125;726;3;66;19;18;20241;;
5;26;1103;779;1;88;14;13;4383;;
5;27;1110;770;0;87;20;20;7244;;
5;28;797;866;0;66;11;8;5919;;
5;29;1035;885;1;55;7;11;4927;;
5;30;623;938;0;70;11;13;4383;;
5;31;832;962;0;80;9;13;17975;;
5;32;974;291;2;55;12;8;6014;;
5;33;798;979;2;60;15;20;12303;;
5;34;789;265;0;61;19;20;34835;;
6;0;882;276;0;67;7;15;25395;;
6;1;639;280;0;70;5;15;4927;;
6;2;855;301;0;77;11;9;4383;;
6;3;528;309;1;59;19;23;32787;;
6;4;729;323;0;75;15;19;4367;;
6;5;755;421;0;101;7;15;10103;;
6;6;781;423;0;64;10;10;4383;;
6;7;1066;418;0;92;6;18;9762;;
6;8;725;497;0;102;21;27;4364;;
6;9;857;490;0;70;35;25;49184;;
6;10;1148;484;0;77;11;15;4471;;
6;11;801;535;0;69;15;5;383;;
6;12;904;553;0;82;10;14;14131;;
6;13;964;526;0;83;9;13;25948;;
6;14;1079;521;0;72;13;11;1655;;
6;15;831;601;4;74;22;23;4383;;
6;16;629;643;0;89;16;7;2032;;
6;17;1002;653;0;106;9;15;1655;;
6;18;457;666;0;84;6;14;631;;
6;19;1093;681;0;73;27;21;13085;;
6;20;553;703;0;80;12;9;3953;;
6;21;939;714;1;71;11;9;4415;;
6;22;1077;710;0;72;4;27;8738;;
6;23;1118;714;0;62;15;17;52465;;
6;24;1080;726;4;83;8;15;26151;;
6;25;1125;726;4;66;19;18;20241;;
6;26;1094;778;0;73;24;19;5740;;
6;27;1110;770;0;80;21;19;5196;;
6;28;797;866;0;68;11;8;4895;;
6;29;1035;885;2;55;7;11;4927;;
6;30;623;938;0;60;10;12;4383;;
6;31;832;962;0;89;9;14;17975;;
6;32;974;291;3;55;12;8;6014;;
6;33;798;979;3;60;15;20;12303;;
6;34;789;264;0;60;19;19;34961;;
7;0;887;277;0;71;7;15;26162;;
7;1;639;281;0;64;6;13;9079;;
7;2;855;301;0;77;11;10;4383;;
7;3;528;308;0;57;19;23;49171;;
7;4;729;323;0;73;16;18;12556;;
7;5;756;427;0;103;10;12;1095;;
7;6;781;423;0;70;22;13;4408;;
7;7;1066;418;1;92;6;18;9762;;
7;8;725;493;0;84;7;12;26214;;
7;9;857;490;0;67;35;25;49184;;
7;10;1147;483;0;75;11;14;4479;;
7;11;800;535;0;62;14;5;4471;;
7;12;904;556;0;76;8;17;17955;;
7;13;964;526;0;93;11;14;18302;;
7;14;1079;521;0;75;12;12;1651;;
7;15;831;600;0;68;22;22;4383;;
7;16;629;643;0;81;12;9;10193;;
7;17;1002;653;0;108;10;15;1655;;
7;18;457;664;0;82;6;14;1655;;
7;19;1093;681;0;87;27;20;13085;;
7;20;554;704;0;79;14;7;1919;;
7;21;939;714;0;61;12;9;3697;;
7;22;1075;703;0;97;8;26;26150;;
7;23;1117;709;0;68;22;23;32823;;
7;24;1077;726;0;86;7;18;18023;;
7;25;1125;726;0;58;15;14;57105;;
7;26;1094;778;1;73;24;19;5740;;
7;27;1104;770;0;75;20;16;12846;;
7;28;797;866;0;66;11;8;4927;;
7;29;1037;885;0;55;6;13;8807;;
7;30;623;938;0;69;11;13;4383;;
7;31;832;961;0;88;9;14;17975;;
7;32;974;291;4;55;12;8;6014;;
7;33;798;979;4;60;15;20;12303;;
7;34;789;264;1;60;19;19;34961;;
7;35;447;460;0;60;20;7;2480;;
8;0;885;276;0;70;7;16;26150;;
8;1;640;279;0;79;6;15;831;;
8;2;855;301;0;78;10;10;4383;;
