FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;471;341;0;56;19;17;52352;ROSELLA;0,3 uM CBD
0;1;427;713;0;64;11;11;37151;;
0;2;914;726;0;83;5;19;8742;;
3;0;471;342;0;54;19;17;52225;;
3;1;433;726;0;84;13;12;30481;;
3;2;914;726;0;83;5;20;9830;;
3;3;682;242;0;53;18;8;3280;;
3;4;726;244;0;54;20;14;51219;;
4;0;471;342;0;58;19;17;52353;;
4;1;427;713;0;63;11;9;4383;;
4;2;914;725;0;89;5;20;9830;;
4;3;682;242;1;53;18;8;3280;;
4;4;726;244;1;54;20;14;51219;;
5;0;470;342;0;56;20;16;52225;;
5;1;427;714;0;55;10;9;37151;;
5;2;914;726;0;85;5;19;8742;;
5;3;682;242;0;53;18;8;3281;;
5;4;726;244;2;54;20;14;51219;;
6;0;470;342;1;56;20;16;52225;;
6;1;427;713;0;57;11;10;4383;;
6;2;914;726;0;88;5;20;9830;;
6;3;682;242;1;53;18;8;3281;;
6;4;725;244;0;54;21;28;49928;;
7;0;470;342;0;54;19;16;52352;;
7;1;427;712;0;63;11;9;37151;;
7;2;914;726;0;83;5;20;9830;;
7;3;682;242;2;53;18;8;3281;;
7;4;725;244;1;54;21;28;49928;;
8;0;471;342;0;56;19;16;52352;;
8;1;427;714;0;63;11;13;62737;;
8;2;914;727;0;84;5;20;9830;;
8;3;682;242;3;53;18;8;3281;;
8;4;725;244;2;54;21;28;49928;;
9;0;471;342;1;56;19;16;52352;;
9;1;427;713;0;61;11;12;59153;;
9;2;914;726;0;85;5;20;9830;;
9;3;670;239;0;54;18;8;3280;;
9;4;725;244;3;54;21;28;49928;;
9;5;683;286;0;66;19;18;6540;;
10;0;471;342;2;56;19;16;52352;;
10;1;427;713;1;61;11;12;59153;;
10;2;914;726;0;85;5;20;9830;;
10;3;670;239;1;54;18;8;3280;;
10;4;725;244;4;54;21;28;49928;;
10;5;683;286;1;66;19;18;6540;;
11;0;471;342;3;56;19;16;52352;;
11;1;427;714;0;55;11;10;4383;;
11;2;914;726;0;86;5;20;9830;;
11;3;682;242;0;56;19;9;3265;;
11;4;725;244;5;54;21;28;49928;;
11;5;683;286;2;66;19;18;6540;;
11;6;876;346;0;91;9;10;4383;;
12;0;471;342;4;56;19;16;52352;;
12;1;427;713;0;55;11;10;4383;;
12;2;914;726;0;84;5;20;9830;;
12;3;682;242;1;56;19;9;3265;;
12;4;725;244;0;54;21;14;52241;;
12;5;683;286;3;66;19;18;6540;;
12;6;876;346;1;91;9;10;4383;;
13;0;470;342;0;54;20;16;52225;;
13;1;428;714;0;55;10;10;37151;;
13;2;914;727;0;85;5;19;8742;;
13;3;682;242;0;53;21;9;3312;;
13;4;726;244;0;60;20;27;49424;;
13;5;683;286;4;66;19;18;6540;;
13;6;876;346;2;91;9;10;4383;;
14;0;471;342;0;56;19;16;52352;;
14;1;433;726;0;76;12;13;29459;;
14;2;914;726;0;88;5;19;8742;;
14;3;682;242;1;53;21;9;3312;;
14;4;726;244;1;60;20;27;49424;;
14;5;683;286;5;66;19;18;6540;;
14;6;876;346;3;91;9;10;4383;;
15;0;471;342;1;56;19;16;52352;;
15;1;427;712;0;53;12;9;59184;;
15;2;914;726;0;87;5;20;9830;;
