FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;947;238;0;74;7;9;30582;ROSELLA;ETANOL
0;1;479;358;0;50;7;8;1655;;
0;2;741;424;0;63;9;8;6003;;
0;3;819;435;0;80;7;9;4383;;
0;4;595;506;0;64;7;9;4383;;
0;5;721;553;0;70;10;8;4383;;
0;6;763;547;0;92;21;15;2327;;
0;7;789;538;0;51;10;8;4383;;
0;8;651;597;0;62;7;8;31;;
0;9;945;629;0;74;7;13;13119;;
0;10;840;717;0;60;8;10;4383;;
0;11;1092;803;0;64;10;15;4927;;
0;12;884;851;0;71;8;7;5973;;
0;13;795;875;0;79;19;21;51203;;
0;14;660;915;0;50;7;7;4383;;
0;15;693;923;0;56;8;7;4383;;
0;16;762;933;0;64;21;21;51219;;
3;0;947;238;0;77;7;10;26226;;
3;1;479;358;1;50;7;8;1655;;
3;2;741;424;0;63;9;8;4383;;
3;3;818;435;0;80;7;9;4383;;
3;4;595;505;0;72;7;10;4383;;
3;5;723;553;0;71;8;11;4383;;
3;6;756;546;0;78;21;11;6423;;
3;7;789;538;1;51;10;8;4383;;
3;8;651;598;0;56;7;7;4383;;
3;9;945;629;0;88;8;12;13111;;
3;10;840;718;0;76;8;12;1911;;
3;11;1092;802;0;66;10;15;13087;;
3;12;884;851;0;64;7;7;4383;;
3;13;795;875;0;84;19;21;49183;;
3;14;660;915;1;50;7;7;4383;;
3;15;693;923;1;56;8;7;4383;;
3;16;763;934;0;81;21;21;51219;;
3;17;611;360;0;64;9;8;4383;;
3;18;666;379;0;60;7;7;4383;;
3;19;856;617;0;73;19;19;4383;;
3;20;941;755;0;62;8;7;4913;;
3;21;990;771;0;54;6;15;13087;;
4;0;947;238;0;74;7;9;26230;;
4;1;479;358;0;53;7;8;1135;;
4;2;741;425;0;67;9;8;6003;;
4;3;818;435;0;88;8;9;4383;;
4;4;595;504;0;70;7;10;4383;;
4;5;723;554;0;61;7;10;4383;;
4;6;763;547;0;64;19;15;6431;;
4;7;789;538;0;54;10;9;4383;;
4;8;651;598;0;56;7;7;4383;;
4;9;945;629;0;82;6;12;4383;;
4;10;840;718;0;65;8;11;4383;;
4;11;1092;803;0;59;8;15;13119;;
4;12;884;851;0;72;8;7;6007;;
4;13;795;875;0;88;19;21;51203;;
4;14;660;915;2;50;7;7;4383;;
4;15;693;923;2;56;8;7;4383;;
4;16;763;934;1;81;21;21;51219;;
4;17;611;360;1;64;9;8;4383;;
4;18;666;379;1;60;7;7;4383;;
4;19;856;617;1;73;19;19;4383;;
4;20;941;755;1;62;8;7;4913;;
4;21;991;771;0;56;6;15;4895;;
4;22;902;953;0;50;8;6;1907;;
5;0;947;238;0;76;7;9;30582;;
5;1;479;357;0;54;7;9;4383;;
5;2;741;424;0;63;9;8;6003;;
5;3;819;435;0;80;7;9;4383;;
5;4;595;505;0;66;7;11;4383;;
5;5;722;553;0;65;8;10;4383;;
5;6;763;547;0;84;21;15;2327;;
5;7;789;538;0;54;10;9;4383;;
5;8;651;598;1;56;7;7;4383;;
5;9;944;630;0;80;7;14;13119;;
5;10;839;717;0;57;8;8;4479;;
5;11;1091;803;0;66;10;15;4895;;
5;12;884;851;1;72;8;7;6007;;
5;13;795;875;0;95;19;21;51211;;
5;14;660;915;3;50;7;7;4383;;
5;15;693;923;3;56;8;7;4383;;
5;16;763;934;2;81;21;21;51219;;
5;17;611;360;2;64;9;8;4383;;
5;18;666;379;2;60;7;7;4383;;
5;19;855;617;0;77;19;19;4383;;
5;20;941;755;0;64;7;7;4383;;
5;21;991;771;1;56;6;15;4895;;
5;22;902;953;1;50;8;6;1907;;
5;23;839;930;0;98;15;9;4383;;
6;0;947;238;0;75;8;9;26214;;
6;1;479;358;0;55;7;10;4383;;
6;2;741;425;0;67;9;9;4383;;
6;3;818;435;0;60;7;7;4383;;
6;4;595;505;0;64;7;10;4383;;
6;5;722;554;0;65;8;8;4383;;
6;6;763;547;0;80;20;15;2099;;
6;7;789;537;0;51;9;10;4383;;
6;8;651;597;0;70;7;9;4383;;
6;9;944;629;0;92;8;13;13119;;
6;10;840;718;0;63;8;11;4383;;
6;11;1092;803;0;70;24;17;19613;;
6;12;884;851;2;72;8;7;6007;;
6;13;795;875;0;81;19;21;51331;;
6;14;660;915;4;50;7;7;4383;;
6;15;693;923;4;56;8;7;4383;;
6;16;762;933;0;64;21;20;52241;;
6;17;611;360;3;64;9;8;4383;;
6;18;666;379;0;54;7;7;4383;;
6;19;855;617;1;77;19;19;4383;;
6;20;941;755;0;76;14;7;5471;;
6;21;991;771;2;56;6;15;4895;;
6;22;902;953;2;50;8;6;1907;;
6;23;839;930;1;98;15;9;4383;;
6;24;1144;414;0;68;7;24;12561;;
7;0;947;238;0;74;7;9;26230;;
7;1;479;358;0;57;7;9;4415;;
7;2;741;424;0;60;9;7;4991;;
7;3;819;435;0;68;7;9;4383;;
7;4;595;506;0;64;7;8;31;;
7;5;722;553;0;68;9;8;4383;;
7;6;763;547;0;80;20;15;6451;;
7;7;789;538;0;55;10;9;4383;;
7;8;651;597;0;54;7;7;4383;;
7;9;945;629;0;88;8;12;4383;;
7;10;839;718;0;57;7;10;4383;;
7;11;1091;803;0;69;9;15;13119;;
7;12;884;851;0;66;7;9;13111;;
7;13;795;875;0;76;19;21;51203;;
7;14;660;915;5;50;7;7;4383;;
7;15;693;923;5;56;8;7;4383;;
7;16;763;934;0;58;21;21;51219;;
7;17;611;361;0;59;9;6;4383;;
7;18;666;379;1;54;7;7;4383;;
7;19;855;617;2;77;19;19;4383;;
7;20;941;755;0;60;13;7;5471;;
7;21;991;771;0;60;7;15;4383;;
