FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;594;262;0;62;8;8;1904;ROSELLA;3 uM CBD
0;1;646;237;0;82;19;15;4380;;
0;2;961;245;0;66;11;18;4892;;
0;3;878;305;0;54;11;5;4383;;
0;4;678;351;0;58;4;15;4383;;
0;5;994;360;0;55;16;24;12484;;
0;6;526;434;0;55;7;7;4383;;
0;7;475;450;0;64;7;7;4383;;
0;8;603;485;0;58;9;9;4383;;
0;9;1005;494;0;57;8;10;4383;;
0;10;1120;500;0;60;17;23;4383;;
0;11;1039;543;0;67;15;20;13004;;
0;12;746;557;0;55;7;7;4383;;
0;13;1018;596;0;95;10;11;4383;;
0;14;1074;600;0;60;7;9;4383;;
0;15;1067;627;0;72;8;7;4375;;
0;16;1056;665;0;81;9;10;4415;;
0;17;540;757;0;64;7;7;0;;
0;18;462;793;0;58;7;10;4383;;
0;19;752;787;0;62;7;9;4383;;
0;20;544;834;0;83;10;10;4927;;
0;21;491;859;0;51;13;18;34959;;
0;22;765;918;0;59;10;6;4383;;
3;0;594;262;0;65;9;8;1906;;
3;1;645;237;0;74;18;15;4380;;
3;2;958;247;0;59;9;17;4372;;
3;3;878;305;0;74;12;8;4983;;
3;4;677;349;0;52;5;9;4383;;
3;5;994;360;0;69;15;26;12742;;
3;6;526;434;1;55;7;7;4383;;
3;7;475;450;1;64;7;7;4383;;
3;8;602;485;0;56;9;9;4383;;
3;9;1005;494;1;57;8;10;4383;;
3;10;1120;501;0;71;18;22;4445;;
3;11;1039;543;1;67;15;20;13004;;
3;12;746;556;0;72;7;11;4383;;
3;13;1018;596;0;92;11;10;4383;;
3;14;1075;600;0;54;7;8;1359;;
3;15;1066;627;0;72;8;7;4373;;
3;16;1056;665;0;84;9;10;4895;;
3;17;540;757;1;64;7;7;0;;
3;18;462;793;0;60;6;10;4927;;
3;19;752;787;0;63;7;9;4383;;
3;20;544;834;0;85;10;10;4927;;
3;21;491;859;1;51;13;18;34959;;
3;22;765;917;0;51;10;6;4383;;
3;23;514;363;0;71;9;7;4415;;
3;24;636;417;0;88;15;7;4383;;
3;25;976;419;0;55;19;15;53535;;
3;26;708;572;0;51;7;7;4383;;
4;0;594;262;0;67;9;8;10100;;
4;1;645;237;0;72;19;15;4444;;
4;2;960;247;0;67;10;17;13076;;
4;3;878;305;0;64;11;8;4383;;
4;4;678;349;0;61;5;10;4383;;
4;5;994;359;0;56;16;19;4367;;
4;6;526;434;2;55;7;7;4383;;
4;7;475;449;0;64;7;8;3855;;
4;8;601;485;0;81;11;9;4383;;
4;9;1005;494;2;57;8;10;4383;;
4;10;1120;501;0;55;17;22;4445;;
4;11;1039;543;0;64;15;18;12559;;
4;12;746;557;0;72;7;9;4383;;
4;13;1018;596;0;86;10;10;4383;;
4;14;1074;600;0;59;6;9;4383;;
4;15;1067;627;0;80;9;7;4383;;
4;16;1056;665;0;81;9;9;4927;;
4;17;540;757;2;64;7;7;0;;
4;18;462;793;0;56;6;9;1855;;
4;19;752;787;0;62;7;8;1647;;
4;20;544;834;0;84;9;10;4927;;
4;21;491;859;2;51;13;18;34959;;
4;22;764;919;0;53;9;5;4383;;
4;23;514;363;1;71;9;7;4415;;
4;24;636;417;1;88;15;7;4383;;
4;25;978;420;0;60;19;18;54547;;
4;26;708;572;0;61;7;7;4383;;
4;27;1000;282;0;55;26;20;4363;;
4;28;1027;814;0;50;6;11;4383;;
5;0;594;262;1;67;9;8;10100;;
5;1;644;237;0;74;19;15;4444;;
5;2;959;246;0;54;9;18;4372;;
5;3;878;305;0;64;11;10;4383;;
5;4;678;351;0;79;6;15;4383;;
5;5;994;360;0;55;15;19;4367;;
5;6;526;434;3;55;7;7;4383;;
5;7;475;449;1;64;7;8;3855;;
5;8;601;485;0;56;10;9;4383;;
5;9;1006;494;0;50;6;10;4383;;
5;10;1121;501;0;50;15;21;4445;;
5;11;1039;543;1;64;15;18;12559;;
5;12;746;556;0;70;8;8;4383;;
5;13;1018;596;0;88;10;11;4383;;
5;14;1074;600;0;56;7;8;111;;
5;15;1066;627;0;72;8;7;4375;;
5;16;1056;664;0;90;9;10;4895;;
5;17;540;757;3;64;7;7;0;;
5;18;462;793;0;61;7;10;4927;;
5;19;752;787;0;67;7;11;4383;;
5;20;544;834;0;83;9;10;4927;;
5;21;491;859;3;51;13;18;34959;;
5;22;765;917;0;65;10;7;4383;;
5;23;514;363;2;71;9;7;4415;;
5;24;636;417;2;88;15;7;4383;;
5;25;977;420;0;67;20;17;49203;;
5;26;708;572;0;53;7;7;4383;;
5;27;1000;282;1;55;26;20;4363;;
5;28;1027;814;1;50;6;11;4383;;
6;0;594;262;0;69;10;8;1906;;
6;1;646;237;0;72;18;15;4572;;
6;2;958;247;0;63;9;17;4372;;
6;3;878;305;0;66;11;7;4383;;
6;4;678;350;0;52;4;11;4383;;
6;5;994;360;0;58;16;19;4367;;
6;6;526;434;4;55;7;7;4383;;
6;7;475;449;2;64;7;8;3855;;
6;8;602;486;0;58;10;6;4383;;
6;9;1006;494;1;50;6;10;4383;;
6;10;1121;501;1;50;15;21;4445;;
6;11;1039;543;2;64;15;18;12559;;
6;12;746;557;0;57;7;7;4383;;
6;13;1018;596;0;94;10;11;4383;;
6;14;1074;600;0;53;6;8;4383;;
6;15;1067;627;0;80;9;7;4383;;
6;16;1056;665;0;80;9;9;4415;;
6;17;540;757;4;64;7;7;0;;
6;18;462;793;0;58;6;10;4927;;
6;19;752;787;0;63;7;9;4927;;
6;20;545;834;0;86;9;10;4927;;
6;21;491;859;4;51;13;18;34959;;
6;22;765;917;1;65;10;7;4383;;
