FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;580;258;0;64;14;21;50243;ROSELLA;CONTROL
0;1;859;251;0;59;7;10;4927;;
0;2;713;298;0;59;29;22;8988;;
0;3;811;272;0;56;19;13;35089;;
0;4;863;303;0;59;10;8;4383;;
0;5;740;341;0;67;9;7;4383;;
0;6;942;308;0;55;10;7;4383;;
0;7;1050;332;0;51;23;19;4509;;
0;8;843;369;0;74;23;20;8861;;
0;9;868;377;0;77;15;7;2035;;
0;10;536;396;0;82;13;13;4991;;
0;11;725;393;0;52;7;9;4383;;
0;12;1045;412;0;78;15;7;383;;
0;13;632;414;0;77;24;9;2544;;
0;14;762;432;0;62;14;7;3443;;
0;15;993;430;0;51;10;12;287;;
0;16;445;461;0;68;5;12;26215;;
0;17;573;521;0;65;6;11;4383;;
0;18;815;486;0;90;19;20;12684;;
0;19;698;537;0;93;7;15;13119;;
0;20;836;531;0;64;7;7;4383;;
0;21;1043;542;0;78;7;15;4383;;
0;22;1139;538;0;58;10;5;4383;;
0;23;499;571;0;70;9;11;4383;;
0;24;587;571;0;72;23;21;52225;;
0;25;851;560;0;85;11;8;4383;;
0;26;947;582;0;89;6;17;18031;;
0;27;992;556;0;85;11;10;4383;;
0;28;1103;570;0;65;12;11;8184;;
0;29;1054;604;0;56;13;15;5911;;
0;30;1098;600;0;73;7;13;887;;
0;31;795;639;0;65;21;22;30860;;
0;32;810;627;0;98;22;21;29068;;
0;33;923;643;0;80;12;7;5937;;
0;34;951;661;0;81;8;17;9847;;
0;35;1153;646;0;65;13;8;5117;;
0;36;639;681;0;57;17;14;33907;;
0;37;688;690;0;89;10;10;4383;;
0;38;742;686;0;64;12;8;1919;;
0;39;1054;672;0;91;15;7;4607;;
0;40;601;703;0;73;13;6;4471;;
0;41;818;695;0;82;14;10;4479;;
0;42;979;711;0;79;10;10;4383;;
0;43;547;744;0;66;7;8;287;;
0;44;609;749;0;80;20;20;39116;;
0;45;669;731;0;61;19;7;479;;
0;46;763;753;0;58;10;5;4383;;
0;47;476;788;0;72;7;9;4383;;
0;48;674;768;0;85;9;15;4927;;
0;49;723;784;0;89;12;10;4471;;
0;50;791;771;0;74;10;7;4383;;
0;51;868;796;0;84;13;7;511;;
0;52;907;819;0;50;7;7;4383;;
0;53;586;839;0;71;11;13;4383;;
0;54;724;845;0;65;7;8;1855;;
0;55;962;853;0;73;10;9;4383;;
0;56;1042;843;0;73;10;8;4383;;
0;57;612;888;0;80;14;6;4479;;
0;58;667;887;0;92;17;22;62720;;
0;59;961;898;0;56;9;7;4383;;
0;60;1027;892;0;60;7;11;4383;;
0;61;725;934;0;54;17;16;4415;;
3;0;580;258;0;68;14;21;50243;;
3;1;857;251;0;55;7;9;4375;;
3;2;713;298;1;59;29;22;8988;;
3;3;811;272;1;56;19;13;35089;;
3;4;863;302;0;54;9;7;4383;;
3;5;740;341;0;67;8;8;4415;;
3;6;945;309;0;65;11;8;4383;;
3;7;1050;332;1;51;23;19;4509;;
3;8;839;372;0;74;11;23;4455;;
3;9;869;378;0;83;14;8;6003;;
3;10;537;396;0;73;10;14;4927;;
3;11;725;393;1;52;7;9;4383;;
3;12;1047;412;0;81;17;7;1777;;
3;13;632;413;0;83;25;5;2544;;
3;14;767;434;0;58;14;5;7985;;
3;15;991;429;0;76;9;14;4383;;
3;16;442;463;0;82;22;22;4376;;
3;17;571;515;0;64;7;21;26214;;
3;18;815;487;0;87;20;21;12684;;
3;19;699;537;0;95;7;15;13119;;
3;20;836;532;0;60;7;12;8239;;
3;21;1043;543;0;82;11;11;4383;;
3;22;1138;537;0;55;10;7;4383;;
3;23;499;570;0;66;8;11;4383;;
3;24;587;571;0;80;9;7;4383;;
3;25;851;560;0;69;10;7;4383;;
3;26;945;576;0;81;5;19;13095;;
3;27;992;557;0;76;10;9;4383;;
3;28;1105;567;0;63;11;10;4383;;
3;29;1055;603;0;71;9;10;4383;;
3;30;1100;601;0;76;7;10;4383;;
3;31;794;639;0;58;18;19;12684;;
3;32;809;625;0;79;21;19;29580;;
3;33;923;643;0;64;7;7;4383;;
3;34;950;668;0;86;8;16;26227;;
3;35;1157;643;0;72;12;7;6559;;
3;36;639;681;1;57;17;14;33907;;
3;37;688;690;0;89;9;10;4383;;
3;38;743;689;0;74;11;12;823;;
3;39;1056;670;0;89;15;7;4479;;
3;40;601;700;0;62;12;5;2033;;
3;41;816;698;0;93;15;8;4479;;
3;42;983;714;0;76;11;9;4383;;
3;43;547;745;0;56;8;11;4383;;
3;44;616;749;0;72;18;20;6348;;
3;45;668;731;0;64;20;7;4080;;
3;46;763;753;1;58;10;5;4383;;
3;47;476;787;0;80;7;9;4383;;
3;48;673;768;0;98;9;15;4927;;
3;49;720;782;0;79;12;10;1911;;
3;50;790;771;0;71;10;7;4383;;
3;51;869;795;0;84;14;7;4479;;
3;52;909;820;0;67;13;6;6141;;
3;53;586;841;0;78;10;18;18227;;
3;54;724;845;0;62;7;7;4383;;
3;55;961;853;0;70;9;9;4383;;
3;56;1042;844;0;74;6;12;18023;;
3;57;613;888;0;88;11;9;4383;;
3;58;673;886;0;92;23;21;13068;;
3;59;961;898;0;56;10;7;4383;;
3;60;1026;893;0;66;20;23;51217;;
3;61;725;933;0;50;17;15;4415;;
3;62;929;243;0;71;17;21;64529;;
3;63;644;413;0;87;23;5;511;;
3;64;816;427;0;72;8;7;4369;;
3;65;799;503;0;89;23;22;4558;;
3;66;894;672;0;87;8;13;26407;;
