FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;858;331;0;88;8;12;1638;ROSELLA;CONTROL
0;1;629;364;0;91;14;9;4990;;
0;2;721;464;0;81;12;16;13180;;
0;3;809;574;0;74;24;22;52224;;
0;4;838;594;0;87;10;10;4383;;
0;5;1111;665;0;80;10;11;4383;;
0;6;814;693;0;73;15;9;4991;;
0;7;631;717;0;86;11;16;20083;;
0;8;927;791;0;100;22;30;52417;;
0;9;951;807;0;77;20;7;1984;;
0;10;796;853;0;76;10;8;4447;;
0;11;681;882;0;73;31;17;375;;
0;12;720;931;0;81;20;18;35731;;
3;0;859;331;0;95;9;12;18150;;
3;1;629;363;0;106;13;11;894;;
3;2;721;467;0;76;14;14;4415;;
3;3;811;574;0;76;25;22;52225;;
3;4;838;594;0;92;10;12;1910;;
3;5;1110;665;0;76;9;11;4383;;
3;6;814;693;0;67;15;9;4927;;
3;7;632;719;0;85;14;14;1841;;
3;8;926;789;0;101;7;21;17958;;
3;9;955;807;0;91;23;7;1008;;
3;10;796;853;0;75;10;8;4479;;
3;11;681;882;1;73;31;17;375;;
3;12;720;931;0;77;20;17;2963;;
3;13;1037;648;0;57;7;13;5959;;
4;0;859;331;0;97;9;12;18150;;
4;1;629;363;1;106;13;11;894;;
4;2;718;468;0;82;15;25;14156;;
4;3;807;574;0;84;14;9;787;;
4;4;838;594;0;93;9;12;1911;;
4;5;1112;665;0;72;9;11;4383;;
4;6;815;693;0;83;13;10;5911;;
4;7;634;720;0;85;16;12;36451;;
4;8;927;793;0;99;7;23;26147;;
4;9;956;807;0;77;18;7;2032;;
4;10;796;853;1;75;10;8;4479;;
4;11;681;882;2;73;31;17;375;;
4;12;720;933;0;77;21;21;35091;;
4;13;1037;648;1;57;7;13;5959;;
4;14;824;525;0;65;20;19;12552;;
4;15;1137;613;0;62;19;11;2451;;
4;16;1012;803;0;73;22;21;52225;;
4;17;912;870;0;61;9;10;4479;;
