FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;779;229;0;49;28;9;7568;ROSELLA;3 uM CBDV
0;1;892;214;0;67;11;11;4383;;
0;2;782;260;0;97;19;7;1265;;
0;3;913;242;0;94;12;19;13094;;
0;4;849;290;0;72;19;8;20208;;
0;5;1017;284;0;91;11;29;14097;;
0;6;524;378;0;84;8;14;4983;;
0;7;695;417;0;101;15;11;1783;;
0;8;872;387;0;98;10;11;5463;;
0;9;910;415;0;85;9;13;26481;;
0;10;1095;384;0;86;15;19;12558;;
0;11;539;453;0;65;21;21;32819;;
0;12;1029;424;0;72;8;12;30579;;
0;13;457;493;0;70;14;9;6012;;
0;14;986;516;0;84;23;5;240;;
0;15;446;529;0;75;22;18;52353;;
0;16;1137;533;0;60;11;23;12367;;
0;17;625;579;0;84;12;10;2295;;
0;18;894;579;0;87;18;19;4975;;
0;19;1096;564;0;71;20;20;59393;;
0;20;942;650;0;88;19;11;380;;
0;21;405;673;0;67;22;21;12680;;
0;22;555;691;0;95;13;8;1791;;
0;23;874;669;0;86;11;18;17523;;
0;24;526;724;0;89;21;22;56593;;
0;25;567;708;0;84;13;11;36855;;
0;26;1138;722;0;58;15;20;4300;;
0;27;468;758;0;69;20;22;59905;;
0;28;544;737;0;68;20;23;43537;;
0;29;828;754;0;76;21;7;3185;;
0;30;470;825;0;88;18;25;32972;;
0;31;829;835;0;66;21;10;3271;;
0;32;917;806;0;76;4;19;8742;;
0;33;1068;818;0;47;20;9;2225;;
0;34;945;857;0;56;16;7;2044;;
0;35;631;906;0;104;21;22;4302;;
0;36;646;888;0;89;20;21;4364;;
0;37;876;873;0;85;12;8;2303;;
0;38;1050;903;0;53;19;15;17607;;
0;39;586;931;0;82;22;19;12302;;
0;40;727;923;0;78;18;6;496;;
0;41;689;966;0;77;23;19;4924;;
0;42;742;945;0;55;22;13;4892;;
0;43;896;968;0;60;13;13;5980;;
3;0;779;229;0;49;29;9;7568;;
3;1;892;214;1;67;11;11;4383;;
3;2;782;260;0;88;19;7;1265;;
3;3;913;242;0;85;11;20;9824;;
3;4;848;290;0;79;19;9;19696;;
3;5;1017;284;0;85;11;28;14161;;
3;6;524;378;0;83;9;13;4982;;
3;7;695;417;0;99;14;9;1907;;
3;8;872;387;1;98;10;11;5463;;
3;9;910;415;1;85;9;13;26481;;
3;10;1096;384;0;88;14;19;12302;;
3;11;540;453;0;62;20;21;32823;;
3;12;1029;424;1;72;8;12;30579;;
3;13;457;492;0;79;13;9;4092;;
3;14;988;516;0;90;23;6;1264;;
3;15;446;529;0;77;22;18;52353;;
3;16;1137;533;1;60;11;23;12367;;
3;17;625;579;0;87;13;9;3287;;
3;18;894;579;0;73;16;19;4479;;
3;19;1096;564;1;71;20;20;59393;;
3;20;946;647;0;73;18;9;318;;
3;21;404;673;0;65;23;21;4488;;
3;22;555;691;0;97;13;8;1791;;
3;23;874;670;0;88;11;20;50738;;
3;24;526;724;0;86;21;22;56593;;
3;25;567;708;0;90;15;12;4087;;
3;26;1137;722;0;60;16;22;4556;;
3;27;468;758;0;70;20;22;59905;;
3;28;544;738;0;78;21;22;43537;;
3;29;829;754;0;83;21;7;3185;;
3;30;470;825;0;83;18;23;32974;;
3;31;828;835;0;75;20;12;36035;;
3;32;917;802;0;79;4;20;9830;;
3;33;1068;818;1;47;20;9;2225;;
3;34;945;857;0;70;16;8;2044;;
3;35;618;906;0;97;26;9;2864;;
3;36;646;888;0;94;20;21;4364;;
3;37;876;873;0;86;12;9;3327;;
3;38;1051;902;0;56;19;14;19651;;
3;39;586;931;0;85;22;19;12302;;
3;40;725;923;0;75;18;6;496;;
3;41;689;966;0;77;23;19;4924;;
3;42;743;945;0;52;21;13;780;;
3;43;896;970;0;61;13;14;4990;;
3;44;653;249;0;55;17;11;4888;;
3;45;715;362;0;71;7;13;1639;;
3;46;1045;630;0;52;12;12;40396;;
3;47;770;691;0;60;18;12;3815;;
3;48;1017;664;0;56;11;14;4595;;
3;49;710;724;0;85;15;22;19459;;
3;50;719;740;0;76;15;20;50179;;
3;51;1027;830;0;57;22;14;2001;;
4;0;767;226;0;68;25;11;7888;;
4;1;892;214;2;67;11;11;4383;;
4;2;782;260;0;90;19;7;1777;;
4;3;913;242;0;88;12;22;4902;;
4;4;848;289;0;74;20;7;52976;;
4;5;1017;284;1;85;11;28;14161;;
4;6;524;378;0;92;9;14;4471;;
4;7;695;417;0;100;14;11;1655;;
4;8;872;387;2;98;10;11;5463;;
