FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;684;216;0;79;22;16;33043;ROSELLA;ETANOL
0;1;790;226;0;77;12;8;3186;;
0;2;827;206;0;86;17;12;58929;;
0;3;870;226;0;77;21;18;5740;;
0;4;588;241;0;58;19;17;57376;;
0;5;696;272;0;56;9;12;6116;;
0;6;866;280;0;69;16;8;28560;;
0;7;976;245;0;61;23;16;6124;;
0;8;979;366;0;72;21;21;51473;;
0;9;535;408;0;93;17;9;4083;;
0;10;952;404;0;57;13;8;3573;;
0;11;988;390;0;84;12;16;4988;;
0;12;539;490;0;46;4;15;558;;
0;13;1108;549;0;65;18;11;1884;;
0;14;1142;524;0;70;18;5;240;;
0;15;388;587;0;67;16;6;3568;;
0;16;1129;575;0;70;14;8;3833;;
0;17;382;625;0;50;18;20;39688;;
0;18;1143;666;0;94;15;18;19655;;
0;19;1032;678;0;61;15;16;5116;;
0;20;424;726;0;82;7;17;26150;;
0;21;459;711;0;63;7;17;12900;;
0;22;526;753;0;81;13;9;5937;;
0;23;1140;747;0;50;20;23;8207;;
0;24;438;793;0;69;16;7;2544;;
0;25;1028;836;0;62;9;12;30562;;
0;26;1067;843;0;58;13;11;28433;;
0;27;942;902;0;46;11;18;4415;;
0;28;702;912;0;52;12;9;20352;;
0;29;903;923;0;112;21;21;30464;;
3;0;684;216;0;79;16;9;5041;;
3;1;790;226;1;77;12;8;3186;;
3;2;828;206;0;90;15;14;30577;;
3;3;870;226;0;75;13;11;13119;;
3;4;588;241;0;52;18;17;57888;;
3;5;696;272;1;56;9;12;6116;;
3;6;866;280;1;69;16;8;28560;;
3;7;975;244;0;63;22;16;2028;;
3;8;979;366;0;72;21;22;52241;;
3;9;535;408;1;93;17;9;4083;;
3;10;952;404;1;57;13;8;3573;;
3;11;996;384;0;81;18;25;37139;;
3;12;539;490;1;46;4;15;558;;
3;13;1111;548;0;75;15;10;6105;;
3;14;1144;524;0;78;18;6;496;;
3;15;385;589;0;85;22;7;3040;;
3;16;1126;576;0;78;15;10;4989;;
3;17;393;636;0;69;19;16;19649;;
3;18;1143;666;0;92;13;17;19655;;
3;19;1032;678;0;63;15;15;4383;;
3;20;424;727;0;82;6;19;26150;;
3;21;459;711;0;68;10;16;26180;;
3;22;527;754;0;62;12;9;14161;;
3;23;1140;747;0;63;20;23;24719;;
3;24;438;793;0;68;17;7;1488;;
3;25;1028;836;0;52;9;12;30550;;
3;26;1066;843;0;62;13;11;28433;;
3;27;942;902;1;46;11;18;4415;;
3;28;675;906;0;70;15;9;1919;;
3;29;904;923;0;113;22;21;13064;;
3;30;727;502;0;98;10;11;4383;;
3;31;442;675;0;74;7;14;17991;;
4;0;684;218;0;84;17;11;5040;;
4;1;790;226;0;72;12;8;3824;;
4;2;827;206;0;94;17;15;59249;;
4;3;869;226;0;74;14;12;13119;;
4;4;588;241;0;55;19;17;57888;;
4;5;695;277;0;62;10;12;14278;;
4;6;864;280;0;73;18;11;10072;;
4;7;974;244;0;55;15;13;5118;;
4;8;979;366;0;72;21;22;52497;;
4;9;535;408;2;93;17;9;4083;;
4;10;952;404;2;57;13;8;3573;;
4;11;996;383;0;82;18;25;33043;;
4;12;539;490;2;46;4;15;558;;
4;13;1113;548;0;68;17;7;6137;;
4;14;1145;524;0;68;19;5;496;;
4;15;389;588;0;80;20;7;4064;;
4;16;1124;577;0;79;14;10;4991;;
4;17;382;624;0;55;18;20;39688;;
4;18;1142;666;0;93;13;16;52438;;
4;19;1032;679;0;68;17;15;5084;;
4;20;424;727;0;73;6;16;26214;;
4;21;459;711;0;64;7;15;13158;;
4;22;526;754;0;76;12;9;30513;;
4;23;1140;747;0;58;20;22;16527;;
4;24;438;793;0;69;16;7;2544;;
4;25;1030;836;0;61;10;12;30582;;
4;26;1066;843;1;62;13;11;28433;;
4;27;942;902;2;46;11;18;4415;;
4;28;675;906;1;70;15;9;1919;;
4;29;906;923;0;110;21;21;30472;;
4;30;727;502;0;96;10;11;4415;;
4;31;443;675;0;68;7;13;18023;;
4;32;889;300;0;72;20;4;3056;;
4;33;1019;300;0;57;21;9;3520;;
4;34;1019;419;0;95;11;18;4223;;
4;35;1134;605;0;67;20;21;51217;;
4;36;974;925;0;47;21;21;55569;;
4;37;802;1004;0;59;17;21;25711;;
5;0;684;217;0;87;22;17;33075;;
5;1;790;226;1;72;12;8;3824;;
5;2;828;206;0;95;17;15;59185;;
5;3;870;226;0;71;14;11;13087;;
5;4;588;241;0;57;18;17;57920;;
5;5;697;272;0;62;10;12;14276;;
5;6;867;280;0;74;20;9;28544;;
5;7;974;245;0;61;16;13;16332;;
5;8;979;366;0;75;21;22;52241;;
5;9;535;411;0;84;15;7;4407;;
5;10;952;404;3;57;13;8;3573;;
5;11;996;384;0;87;19;24;33047;;
5;12;539;490;0;50;4;14;8750;;
5;13;1116;546;0;79;19;9;505;;
5;14;1149;524;0;80;21;5;2032;;
5;15;390;588;0;90;18;7;3040;;
5;16;1124;577;1;79;14;10;4991;;
5;17;382;626;0;52;18;20;37640;;
5;18;1142;667;0;92;12;14;19671;;
5;19;1031;679;0;71;16;16;4574;;
5;20;425;726;0;84;6;22;26210;;
5;21;457;714;0;67;7;16;26180;;
5;22;526;753;0;82;12;12;36723;;
5;23;1140;747;1;58;20;22;16527;;
5;24;438;793;0;71;17;7;497;;
5;25;1029;836;0;64;11;12;64450;;
5;26;1066;843;2;62;13;11;28433;;
5;27;942;902;3;46;11;18;4415;;
5;28;675;906;2;70;15;9;1919;;
5;29;906;923;1;110;21;21;30472;;
5;30;727;502;1;96;10;11;4415;;
5;31;443;675;1;68;7;13;18023;;
5;32;889;300;1;72;20;4;3056;;
5;33;1019;300;1;57;21;9;3520;;
5;34;1019;419;1;95;11;18;4223;;
5;35;1134;605;0;63;19;20;51217;;
5;36;974;925;1;47;21;21;55569;;
5;37;803;1004;0;61;18;22;9327;;
5;38;1033;548;0;97;11;10;4383;;
6;0;684;217;0;86;22;18;33073;;
6;1;790;225;0;71;12;8;3314;;
6;2;828;206;0;94;16;16;60961;;
6;3;870;226;0;71;14;13;13087;;
6;4;588;241;0;55;19;15;57376;;
6;5;695;276;0;59;10;12;4988;;
6;6;867;280;0;77;19;8;1784;;
6;7;974;244;0;60;15;13;5118;;
6;8;979;366;0;82;21;21;52497;;
6;9;535;410;0;84;15;7;4467;;
6;10;952;404;4;57;13;8;3573;;
6;11;995;384;0;78;19;24;37139;;
6;12;539;490;1;50;4;14;8750;;
6;13;1119;545;0;75;17;9;1010;;
6;14;1150;525;0;70;18;5;2032;;
6;15;390;587;0;80;20;7;4064;;
6;16;1125;580;0;76;10;13;14188;;
6;17;382;625;0;50;18;21;39688;;
6;18;1142;667;0;82;12;14;19671;;
6;19;1031;679;0;60;15;15;4383;;
6;20;424;725;0;90;6;20;26214;;
6;21;459;712;0;67;7;17;13892;;
6;22;526;753;0;81;12;12;36721;;
6;23;1140;747;2;58;20;22;16527;;
6;24;438;793;0;71;17;7;3568;;
6;25;1029;836;0;57;11;12;48050;;
6;26;1066;843;3;62;13;11;28433;;
6;27;942;902;4;46;11;18;4415;;
6;28;675;906;3;70;15;9;1919;;
