FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;854;206;0;54;18;15;28936;ROSELLA;0,3 uM CBDV
0;1;994;249;0;81;14;14;4383;;
0;2;590;349;0;93;8;20;9830;;
0;3;512;353;0;68;11;19;30534;;
0;4;651;415;0;63;12;11;4479;;
0;5;688;445;0;55;12;8;4607;;
0;6;719;523;0;62;21;21;12557;;
0;7;440;557;0;85;11;14;1151;;
0;8;391;571;0;78;21;17;14728;;
0;9;386;606;0;62;17;14;52832;;
0;10;780;624;0;91;20;11;1000;;
0;11;1180;614;0;55;23;14;33776;;
0;12;457;652;0;47;15;22;60979;;
0;13;744;628;0;83;17;14;35953;;
0;14;1189;652;0;75;6;14;8739;;
0;15;469;675;0;92;20;23;32819;;
0;16;410;727;0;72;20;19;36114;;
0;17;476;741;0;71;16;14;35939;;
0;18;693;764;0;87;11;18;18225;;
0;19;441;799;0;46;11;23;26228;;
0;20;693;809;0;85;12;13;239;;
3;0;854;206;0;60;20;14;29448;;
3;1;994;249;0;81;13;14;4383;;
3;2;590;349;0;88;8;20;9830;;
3;3;512;353;1;68;11;19;30534;;
3;4;651;415;0;57;12;9;4598;;
3;5;689;446;0;64;15;10;4479;;
3;6;720;523;0;54;20;21;12557;;
3;7;440;558;0;77;11;12;50294;;
3;8;392;571;0;70;20;13;11144;;
3;9;386;607;0;63;17;14;52322;;
3;10;781;624;0;87;19;10;382;;
3;11;1180;614;0;59;23;13;3056;;
3;12;457;650;0;45;15;23;58931;;
3;13;738;622;0;66;18;12;52849;;
3;14;1188;652;0;74;5;14;25126;;
3;15;469;675;1;92;20;23;32819;;
3;16;410;727;0;71;20;20;36114;;
3;17;476;740;0;69;16;12;35939;;
3;18;693;760;0;82;11;17;17969;;
3;19;442;799;0;53;12;24;18020;;
3;20;692;808;0;96;11;13;119;;
3;21;499;662;0;70;6;14;25399;;
3;22;864;719;0;62;12;8;4991;;
3;23;461;828;0;77;10;11;9087;;
3;24;683;847;0;54;6;15;18031;;
4;0;853;206;0;67;19;16;12556;;
4;1;993;249;0;83;13;14;4383;;
4;2;588;348;0;92;8;23;8806;;
4;3;512;353;2;68;11;19;30534;;
4;4;651;415;0;59;14;9;4607;;
4;5;689;446;1;64;15;10;4479;;
4;6;719;523;0;56;21;21;12557;;
4;7;437;557;0;95;15;14;13075;;
4;8;393;571;0;65;19;11;921;;
4;9;386;606;0;53;11;11;4383;;
4;10;782;624;0;86;19;11;383;;
4;11;1180;614;0;56;23;14;3065;;
4;12;456;650;0;55;13;25;26163;;
4;13;745;628;0;57;12;10;52849;;
4;14;1189;652;0;74;5;14;25126;;
4;15;469;675;2;92;20;23;32819;;
4;16;411;726;0;73;19;20;36662;;
4;17;476;740;0;67;15;13;35943;;
4;18;692;758;0;85;10;15;1651;;
4;19;441;800;0;58;13;23;26484;;
4;20;692;806;0;93;12;13;17511;;
4;21;499;662;0;65;6;20;18022;;
4;22;862;717;0;58;12;10;4415;;
4;23;461;828;1;77;10;11;9087;;
4;24;682;847;0;46;5;16;52974;;
4;25;703;334;0;108;9;12;26214;;
4;26;412;690;0;75;23;13;3265;;
5;0;854;206;0;58;18;15;12556;;
5;1;993;249;0;72;14;14;4383;;
5;2;588;347;0;96;8;27;8806;;
5;3;512;353;3;68;11;19;30534;;
5;4;651;415;0;55;15;9;4383;;
5;5;689;446;2;64;15;10;4479;;
5;6;720;523;0;57;20;21;12557;;
5;7;440;557;0;85;11;14;1119;;
5;8;389;571;0;76;22;16;6536;;
5;9;387;606;0;61;16;14;52320;;
5;10;781;624;0;87;19;11;318;;
5;11;1180;614;0;58;23;15;3065;;
5;12;456;650;1;55;13;25;26163;;
5;13;739;624;0;78;17;13;36465;;
5;14;1188;652;0;80;6;14;8739;;
5;15;469;675;3;92;20;23;32819;;
5;16;410;726;0;68;20;19;36658;;
5;17;475;741;0;66;16;13;35953;;
5;18;692;757;0;82;8;17;17479;;
5;19;441;800;0;50;11;22;26228;;
5;20;692;808;0;81;9;15;17527;;
5;21;499;662;1;65;6;20;18022;;
5;22;862;717;1;58;12;10;4415;;
5;23;461;828;2;77;10;11;9087;;
5;24;682;848;0;53;8;14;18023;;
5;25;699;337;0;96;8;13;4967;;
5;26;412;690;1;75;23;13;3265;;
5;27;408;451;0;55;18;18;51421;;
6;0;854;206;0;59;19;15;12556;;
6;1;994;249;0;79;13;14;4383;;
6;2;590;349;0;80;8;25;9830;;
6;3;512;353;4;68;11;19;30534;;
6;4;651;415;0;62;15;9;4383;;
6;5;689;446;3;64;15;10;4479;;
6;6;719;523;0;64;21;21;12557;;
6;7;441;561;0;70;10;12;16695;;
6;8;391;571;0;68;21;13;14728;;
6;9;385;605;0;66;12;13;19507;;
6;10;782;624;0;84;19;10;318;;
6;11;1177;615;0;55;23;14;1017;;
6;12;456;650;2;55;13;25;26163;;
6;13;746;629;0;73;19;11;36465;;
6;14;1188;652;0;73;5;14;25126;;
6;15;467;673;0;85;18;22;50195;;
6;16;410;727;0;70;20;19;36626;;
6;17;475;741;0;67;16;13;35939;;
6;18;693;756;0;85;9;17;18019;;
6;19;442;799;0;52;13;22;26228;;
6;20;691;807;0;93;10;15;18295;;
6;21;499;662;2;65;6;20;18022;;
6;22;863;717;0;64;10;12;4415;;
6;23;461;828;3;77;10;11;9087;;
6;24;682;848;0;60;7;19;26215;;
6;25;700;338;0;93;8;13;13158;;
6;26;412;690;0;75;22;17;52225;;
6;27;408;451;1;55;18;18;51421;;
6;28;837;709;0;83;11;10;4383;;
7;0;853;206;0;68;19;16;12556;;
7;1;993;249;0;78;13;14;4383;;
7;2;588;349;0;99;8;20;9830;;
7;3;512;353;5;68;11;19;30534;;
7;4;651;416;0;58;15;8;4607;;
7;5;689;446;4;64;15;10;4479;;
7;6;719;523;0;61;21;21;12557;;
7;7;442;560;0;66;10;12;16439;;
7;8;392;571;0;69;20;16;14720;;
7;9;386;606;0;54;17;14;52322;;
7;10;782;624;0;88;19;10;382;;
7;11;1181;614;0;58;23;14;3065;;
7;12;456;653;0;46;12;27;50722;;
7;13;739;624;0;73;13;11;35953;;
7;14;1189;652;0;75;5;14;25126;;
7;15;468;673;0;85;19;22;50227;;
7;16;410;727;0;71;20;18;36147;;
7;17;475;741;0;76;17;14;35939;;
7;18;692;755;0;76;10;16;25123;;
7;19;441;799;0;57;13;23;26228;;
7;20;692;807;0;99;13;14;3303;;
7;21;499;662;3;65;6;20;18022;;
7;22;863;717;1;64;10;12;4415;;
7;23;461;828;4;77;10;11;9087;;
7;24;682;848;1;60;7;19;26215;;
7;25;700;338;1;93;8;13;13158;;
7;26;412;690;0;83;23;17;3200;;
7;27;408;451;2;55;18;18;51421;;
7;28;837;709;1;83;11;10;4383;;
8;0;854;206;0;66;18;18;12428;;
8;1;994;249;0;77;12;14;4383;;
8;2;588;349;0;92;7;18;9830;;
8;3;512;353;0;70;10;19;30534;;
8;4;650;416;0;57;15;8;4607;;
8;5;689;446;5;64;15;10;4479;;
8;6;720;523;0;58;21;21;12557;;
8;7;440;558;0;76;9;12;50790;;
8;8;393;572;0;63;19;11;924;;
8;9;386;606;0;59;15;15;34919;;
8;10;782;624;0;85;19;10;319;;
8;11;1177;614;0;51;21;15;728;;
8;12;456;653;1;46;12;27;50722;;
8;13;739;623;0;86;14;15;35063;;
8;14;1189;652;0;78;6;14;8739;;
8;15;467;673;0;85;18;22;49203;;
8;16;410;727;0;74;20;20;36114;;
8;17;471;737;0;70;15;14;35875;;
8;18;691;754;0;76;11;14;62225;;
8;19;441;799;0;58;12;24;26212;;
8;20;694;809;0;96;14;15;1143;;
8;21;499;662;4;65;6;20;18022;;
8;22;863;717;2;64;10;12;4415;;
8;23;461;828;5;77;10;11;9087;;
8;24;682;848;2;60;7;19;26215;;
8;25;700;338;2;93;8;13;13158;;
8;26;412;690;1;83;23;17;3200;;
8;27;408;451;3;55;18;18;51421;;
8;28;837;709;2;83;11;10;4383;;
9;0;854;206;0;63;19;14;13068;;
9;1;994;249;0;78;12;14;4383;;
9;2;588;350;0;69;8;18;12902;;
9;3;512;353;1;70;10;19;30534;;
9;4;651;415;0;57;14;8;4479;;
9;5;689;446;6;64;15;10;4479;;
9;6;719;523;0;64;21;21;12557;;
9;7;439;558;0;78;11;12;50743;;
9;8;391;570;0;71;20;17;14720;;
9;9;387;606;0;61;16;13;52832;;
9;10;783;624;0;84;18;11;4604;;
9;11;1180;614;0;58;22;16;761;;
9;12;456;650;0;60;8;22;26210;;
9;13;737;622;0;77;13;15;36083;;
9;14;1189;652;0;76;6;14;8739;;
9;15;468;674;0;91;19;22;32819;;
9;16;410;726;0;65;19;19;36115;;
9;17;471;737;0;72;15;14;35939;;
9;18;691;755;0;81;11;16;50995;;
9;19;442;799;0;54;13;23;26228;;
9;20;693;809;0;79;14;15;247;;
9;21;499;662;5;65;6;20;18022;;
9;22;863;717;3;64;10;12;4415;;
9;23;461;828;6;77;10;11;9087;;
9;24;682;848;3;60;7;19;26215;;
9;25;700;338;3;93;8;13;13158;;
9;26;412;690;2;83;23;17;3200;;
9;27;408;451;4;55;18;18;51421;;
9;28;837;709;3;83;11;10;4383;;
9;29;678;548;0;70;13;7;511;;
9;30;432;661;0;53;27;13;5612;;
9;31;919;668;0;45;17;18;4412;;
10;0;854;206;0;71;19;18;12300;;
10;1;994;246;0;78;12;14;4383;;
10;2;588;347;0;89;7;23;8806;;
10;3;511;353;0;64;11;10;4383;;
10;4;651;415;0;55;15;7;4479;;
10;5;689;446;7;64;15;10;4479;;
10;6;720;523;0;69;21;21;12557;;
10;7;442;560;0;74;10;14;17207;;
10;8;393;571;0;66;18;12;5016;;
10;9;386;606;0;67;11;12;52275;;
10;10;782;624;0;89;19;12;382;;
10;11;1180;614;0;60;23;16;3064;;
10;12;456;649;0;60;9;23;26211;;
10;13;739;623;0;94;14;15;2295;;
10;14;1189;652;0;74;5;14;25126;;
10;15;467;673;0;81;19;23;50227;;
10;16;410;726;0;65;20;19;36114;;
10;17;471;737;0;75;15;13;35939;;
10;18;690;751;0;79;10;15;17511;;
10;19;442;799;0;55;13;22;26236;;
10;20;693;808;0;83;14;11;3699;;
10;21;499;662;6;65;6;20;18022;;
10;22;863;717;4;64;10;12;4415;;
10;23;461;828;7;77;10;11;9087;;
10;24;682;848;4;60;7;19;26215;;
10;25;702;337;0;94;8;12;4982;;
10;26;412;690;0;84;23;17;3712;;
10;27;408;451;5;55;18;18;51421;;
10;28;837;709;0;83;11;10;4383;;
10;29;679;550;0;81;15;6;4607;;
10;30;432;661;1;53;27;13;5612;;
10;31;919;668;1;45;17;18;4412;;
10;32;987;286;0;47;16;13;52851;;
11;0;854;206;0;72;22;18;29064;;
11;1;994;246;0;78;12;14;4383;;
11;2;587;349;0;92;7;20;9830;;
11;3;511;353;1;64;11;10;4383;;
11;4;651;415;0;56;16;8;4594;;
