FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;767;323;0;72;13;10;53041;TJ356;CONTROL
0;1;941;338;0;96;15;8;1015;;
0;2;692;369;0;65;11;24;30208;;
0;3;773;363;0;75;20;8;992;;
0;4;605;382;0;86;18;7;3953;;
0;5;696;405;0;95;12;21;8294;;
0;6;521;460;0;66;15;16;12908;;
0;7;990;467;0;84;10;14;9078;;
0;8;1022;505;0;75;18;8;4600;;
0;9;1091;602;0;121;22;20;50191;;
0;10;496;626;0;73;19;22;52227;;
0;11;1013;650;0;71;15;19;50993;;
0;12;590;686;0;71;8;14;17975;;
0;13;787;659;0;82;20;6;3826;;
0;14;704;698;0;84;20;8;3952;;
0;15;497;743;0;56;11;21;58887;;
0;16;570;725;0;66;14;19;50187;;
0;17;848;786;0;90;12;15;19575;;
0;18;740;815;0;70;10;25;26210;;
0;19;718;878;0;87;12;22;29440;;
0;20;676;958;0;56;21;21;40332;;
0;21;864;956;0;61;17;17;51219;;
3;0;767;321;0;76;15;10;36593;;
3;1;941;338;0;91;15;7;503;;
3;2;691;368;0;59;21;20;34835;;
3;3;770;363;0;82;19;9;510;;
3;4;607;383;0;84;15;8;3443;;
3;5;695;405;0;81;12;21;12390;;
3;6;522;460;0;68;15;16;13164;;
3;7;990;467;1;84;10;14;9078;;
3;8;1022;507;0;78;18;8;4592;;
3;9;1091;603;0;105;22;21;50191;;
3;10;497;625;0;78;21;21;52227;;
3;11;1012;651;0;64;15;20;50993;;
3;12;590;686;1;71;8;14;17975;;
3;13;788;659;0;86;21;6;3824;;
3;14;703;697;0;88;20;8;3952;;
3;15;497;743;0;64;11;21;26119;;
3;16;569;724;0;62;11;16;49271;;
3;17;845;782;0;83;12;14;17523;;
3;18;740;814;0;60;6;25;25702;;
3;19;718;879;0;83;12;23;29444;;
3;20;676;958;0;62;22;20;34076;;
3;21;865;961;0;55;18;17;52243;;
3;22;797;358;0;54;17;11;4535;;
3;23;418;594;0;76;19;22;29448;;
3;24;916;938;0;57;20;20;12303;;
4;0;763;318;0;78;17;9;3313;;
4;1;941;338;0;97;15;8;503;;
4;2;693;369;0;71;12;25;26114;;
4;3;770;364;0;81;17;10;1000;;
4;4;611;384;0;82;15;8;1395;;
4;5;695;405;0;93;12;21;24678;;
4;6;522;460;0;67;15;16;13292;;
