FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;852;234;0;60;26;27;32819;TJ356;ETANOL
0;1;899;261;0;81;11;23;28742;;
0;2;617;269;0;58;20;19;60545;;
0;3;685;283;0;112;10;13;18422;;
0;4;740;279;0;73;18;10;3313;;
0;5;814;284;0;91;12;14;26480;;
0;6;879;279;0;84;25;23;4206;;
0;7;952;302;0;80;24;19;55560;;
0;8;983;287;0;86;22;19;4300;;
0;9;791;335;0;61;23;17;49309;;
0;10;899;323;0;91;23;9;3570;;
0;11;999;311;0;56;9;16;16486;;
0;12;1034;306;0;56;20;20;28952;;
0;13;1078;377;0;59;11;13;52849;;
0;14;757;384;0;64;21;16;52497;;
0;15;779;396;0;52;17;22;52225;;
0;16;1131;416;0;52;33;19;62768;;
0;17;535;481;0;60;18;15;36119;;
0;18;710;447;0;64;15;8;8177;;
0;19;1106;478;0;89;8;17;26214;;
0;20;1061;480;0;60;21;16;53523;;
0;21;601;550;0;123;23;24;13064;;
0;22;1140;529;0;78;28;19;41778;;
0;23;1040;573;0;80;9;20;26214;;
0;24;1094;559;0;54;22;18;4892;;
0;25;582;624;0;82;17;12;20273;;
0;26;882;623;0;98;18;25;13068;;
0;27;1024;626;0;72;20;11;3520;;
0;28;1152;652;0;63;20;20;37145;;
0;29;451;667;0;82;23;8;3268;;
0;30;795;664;0;60;21;21;6419;;
0;31;905;695;0;101;15;15;13119;;
0;32;1048;661;0;89;12;21;13158;;
0;33;582;721;0;109;26;19;51473;;
0;34;676;753;0;92;22;20;4556;;
0;35;795;741;0;85;11;13;17527;;
0;36;860;809;0;81;6;23;26467;;
0;37;949;815;0;59;20;21;29452;;
0;38;577;852;0;84;21;24;56332;;
0;39;756;851;0;60;26;2;247;;
0;40;1019;848;0;83;15;22;17423;;
0;41;1030;869;0;53;15;6;3327;;
0;42;954;917;0;117;13;10;8055;;
0;43;701;952;0;88;22;13;3281;;
0;44;770;962;0;80;22;22;32787;;
3;0;852;234;0;55;25;19;61459;;
3;1;899;261;0;82;22;34;12860;;
3;2;617;269;0;70;35;19;59520;;
3;3;685;283;0;108;10;13;18422;;
3;4;740;279;0;85;18;10;3313;;
3;5;814;283;0;96;13;10;3703;;
3;6;883;280;0;70;21;22;4300;;
3;7;963;305;0;68;35;20;12714;;
3;8;983;287;0;86;23;19;4300;;
3;9;792;335;0;65;24;17;49365;;
3;10;900;324;0;78;19;9;7670;;
3;11;999;311;0;58;9;17;17414;;
3;12;1034;307;0;53;20;31;12736;;
3;13;1078;377;0;66;18;16;7395;;
3;14;757;384;0;67;21;19;52241;;
3;15;779;396;0;54;17;22;52225;;
3;16;1131;416;1;52;33;19;62768;;
3;17;535;481;1;60;18;15;36119;;
3;18;711;446;0;65;15;8;1521;;
3;19;1106;478;0;77;8;17;26214;;
3;20;1061;480;0;55;22;14;51473;;
3;21;601;550;0;119;23;24;13064;;
3;22;1139;529;0;85;29;28;37681;;
3;23;1038;580;0;76;7;20;26214;;
3;24;1094;559;1;54;22;18;4892;;
3;25;582;624;0;95;13;13;26419;;
3;26;878;621;0;97;22;23;13084;;
3;27;1024;627;0;74;20;11;3264;;
3;28;1152;651;0;63;20;21;33049;;
3;29;468;664;0;63;17;18;40065;;
3;30;795;664;0;58;21;21;6419;;
3;31;905;694;0;95;17;10;13298;;
3;32;1048;662;0;82;12;21;13158;;
3;33;579;722;0;104;24;19;51473;;
3;34;675;752;0;91;21;21;4556;;
3;35;795;742;0;86;11;13;18039;;
3;36;860;811;0;71;5;24;26118;;
3;37;949;814;0;71;19;21;13068;;
3;38;578;852;0;91;22;25;39948;;
3;39;756;851;1;60;26;2;247;;
3;40;1019;847;0;73;7;21;26119;;
3;41;1030;869;1;53;15;6;3327;;
3;42;954;917;1;117;13;10;8055;;
3;43;702;952;0;94;23;12;3281;;
3;44;768;962;0;91;24;21;32819;;
3;45;781;270;0;71;9;18;30211;;
3;46;923;270;0;59;23;14;36056;;
3;47;963;427;0;63;15;18;60929;;
3;48;621;679;0;73;21;20;52785;;
3;49;1048;700;0;60;21;8;3024;;
3;50;603;731;0;58;17;8;8120;;
3;51;938;831;0;62;19;20;29580;;
4;0;852;234;0;62;26;27;32819;;
4;1;899;261;0;80;11;23;28742;;
4;2;617;269;0;60;20;19;60545;;
4;3;684;282;0;117;11;14;1910;;
4;4;740;279;0;78;17;10;3313;;
4;5;814;283;1;96;13;10;3703;;
4;6;883;280;0;79;22;22;4300;;
4;7;964;306;0;66;35;20;4586;;
4;8;983;287;1;86;23;19;4300;;
4;9;792;335;0;62;24;8;51668;;
4;10;899;323;0;89;21;9;4080;;
4;11;999;311;0;65;10;19;25607;;
4;12;1034;307;0;55;20;21;28936;;
4;13;1078;377;0;60;15;15;3297;;
4;14;757;384;0;68;21;18;52241;;
4;15;779;396;1;54;17;22;52225;;
4;16;1131;416;0;54;33;19;62768;;
4;17;535;481;2;60;18;15;36119;;
4;18;711;446;0;61;15;8;5617;;
4;19;1107;482;0;97;8;17;26214;;
4;20;1061;480;0;58;22;16;55569;;
4;21;601;550;0;116;23;24;13064;;
4;22;1139;529;1;85;29;28;37681;;
4;23;1038;580;0;65;8;19;13174;;
4;24;1094;559;2;54;22;18;4892;;
4;25;582;624;0;89;13;12;26419;;
4;26;878;621;0;97;22;23;13084;;
4;27;1024;626;0;75;20;11;3520;;
4;28;1152;651;0;68;20;21;39193;;
4;29;468;664;0;66;18;19;39297;;
4;30;795;664;0;60;23;20;6419;;
4;31;904;695;0;106;18;13;4926;;
4;32;1048;661;0;88;12;21;13158;;
4;33;582;721;0;103;26;19;51473;;
4;34;676;753;0;94;22;20;4556;;
4;35;795;742;0;87;11;14;33911;;
4;36;860;810;0;79;5;23;13091;;
4;37;949;815;0;65;19;22;29452;;
4;38;578;852;0;82;22;25;39948;;
4;39;756;851;0;56;25;2;247;;
4;40;1019;847;0;78;7;21;26119;;
