FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;697;206;0;60;18;35;65092;TJ356;ET 1.1000
0;1;739;225;0;86;13;19;16663;;
0;2;819;202;0;74;9;18;30215;;
0;3;803;293;0;97;14;10;3955;;
0;4;996;277;0;82;21;15;4588;;
0;5;850;342;0;87;8;24;26112;;
0;6;1072;340;0;74;18;10;2161;;
0;7;1002;380;0;81;19;13;36033;;
0;8;465;392;0;99;35;20;35186;;
0;9;762;409;0;95;21;15;6547;;
0;10;922;405;0;78;11;21;26112;;
0;11;1038;410;0;85;17;10;5112;;
0;12;1081;397;0;87;22;22;4379;;
0;13;743;433;0;95;15;8;2039;;
0;14;465;461;0;80;23;9;3544;;
0;15;636;468;0;74;23;15;36241;;
0;16;1107;479;0;92;12;17;30311;;
0;17;986;547;0;78;19;20;4382;;
0;18;429;583;0;61;15;20;15975;;
0;19;438;666;0;72;9;16;9836;;
0;20;511;702;0;98;17;7;3313;;
0;21;1098;699;0;97;23;7;2289;;
0;22;1102;748;0;79;20;22;4383;;
0;23;530;787;0;63;14;17;9023;;
0;24;636;773;0;94;13;12;65299;;
0;25;685;763;0;75;16;9;40721;;
0;26;829;790;0;100;16;11;3312;;
0;27;1030;787;0;57;16;18;52353;;
0;28;1094;775;0;88;26;30;50720;;
0;29;683;819;0;87;14;9;5111;;
0;30;1042;812;0;72;24;31;20193;;
0;31;1081;796;0;71;19;31;4334;;
0;32;517;852;0;61;18;15;4556;;
0;33;557;867;0;74;25;16;12748;;
0;34;1069;868;0;67;19;21;45840;;
0;35;603;868;0;84;19;19;34835;;
0;36;709;868;0;71;12;21;30467;;
0;37;1031;895;0;90;10;24;26180;;
0;38;899;928;0;88;21;8;2227;;
0;39;933;909;0;58;17;9;3583;;
0;40;769;958;0;84;17;35;50182;;
0;41;971;936;0;78;20;22;4366;;
0;42;744;981;0;85;23;27;16065;;
3;0;697;206;1;60;18;35;65092;;
3;1;739;225;1;86;13;19;16663;;
3;2;819;202;0;82;9;19;30210;;
3;3;803;293;0;97;14;10;4083;;
3;4;997;277;0;84;20;15;4588;;
3;5;850;342;1;87;8;24;26112;;
3;6;1064;337;0;83;18;10;2545;;
3;7;998;378;0;82;19;14;52929;;
3;8;464;392;0;97;35;20;35186;;
3;9;764;408;0;89;20;17;6547;;
3;10;922;405;0;85;11;22;26112;;
3;11;1039;409;0;87;17;10;5112;;
3;12;1073;397;0;74;22;21;4377;;
3;13;743;433;0;95;14;8;1015;;
3;14;465;461;0;81;22;10;2512;;
3;15;636;468;0;55;22;15;36113;;
3;16;1109;479;0;89;12;17;30215;;
3;17;986;547;1;78;19;20;4382;;
3;18;429;583;0;71;15;20;15971;;
3;19;438;666;0;76;10;15;4927;;
3;20;511;701;0;96;26;19;4334;;
3;21;1098;699;0;84;22;7;2544;;
3;22;1103;748;0;96;20;22;4382;;
3;23;529;787;0;59;14;21;8759;;
3;24;636;773;0;87;12;12;65297;;
3;25;685;764;0;74;16;10;3889;;
3;26;829;790;0;95;15;11;3319;;
3;27;1030;787;0;61;17;18;52369;;
3;28;1087;765;0;73;14;20;50737;;
3;29;683;819;1;87;14;9;5111;;
3;30;1043;811;0;59;23;29;20001;;
3;31;1081;797;0;72;20;30;4302;;
3;32;517;852;0;62;30;23;5996;;
3;33;555;869;0;74;23;17;4556;;
3;34;1069;868;0;54;17;19;47889;;
3;35;603;868;1;84;19;19;34835;;
3;36;709;868;1;71;12;21;30467;;
3;37;1031;895;0;87;9;24;26180;;
3;38;899;928;0;84;21;8;2227;;
3;39;934;909;0;54;16;9;3510;;
3;40;769;958;1;84;17;35;50182;;
3;41;970;937;0;79;21;20;4428;;
3;42;744;982;0;89;23;27;15937;;
3;43;927;430;0;86;4;24;26214;;
3;44;438;444;0;94;23;16;6542;;
3;45;439;550;0;90;8;15;10039;;
3;46;810;542;0;102;25;12;4401;;
3;47;487;701;0;72;21;10;4056;;
3;48;592;931;0;58;28;13;11485;;
4;0;697;206;2;60;18;35;65092;;
4;1;739;225;0;85;13;19;16695;;
4;2;819;202;0;76;9;18;30215;;
4;3;803;293;0;102;15;10;1907;;
4;4;996;277;0;82;20;15;4588;;
4;5;850;342;2;87;8;24;26112;;
4;6;1064;337;0;77;18;10;2549;;
4;7;1002;381;0;80;19;13;3265;;
4;8;464;392;0;98;35;20;35186;;
4;9;762;411;0;100;30;24;21784;;
4;10;922;405;0;85;11;21;26112;;
4;11;1041;408;0;78;15;10;4477;;
4;12;1074;398;0;80;22;21;4377;;
4;13;743;433;1;95;14;8;1015;;
4;14;465;461;0;80;23;10;3520;;
4;15;637;468;0;65;22;15;36113;;
4;16;1105;479;0;80;11;16;30278;;
4;17;986;547;2;78;19;20;4382;;
4;18;429;583;0;69;13;21;15975;;
4;19;439;665;0;79;10;15;13119;;
4;20;511;701;0;94;33;19;4556;;
4;21;1098;700;0;66;21;7;2545;;
4;22;1102;747;0;85;21;21;4382;;
4;23;529;787;1;59;14;21;8759;;
4;24;636;773;0;94;14;12;7953;;
4;25;685;763;0;75;17;9;3345;;
4;26;825;788;0;94;14;11;19699;;
4;27;1030;787;0;54;16;16;52353;;
4;28;1091;771;0;94;15;20;50737;;
4;29;683;819;2;87;14;9;5111;;
4;30;1040;812;0;73;26;20;64001;;
4;31;1081;796;0;75;19;31;4335;;
4;32;517;852;0;60;18;15;4572;;
4;33;555;869;0;76;24;17;12748;;
4;34;1069;867;0;69;19;21;45840;;
4;35;602;868;0;85;20;19;49459;;
4;36;708;868;0;62;12;21;30465;;
4;37;1031;895;0;94;9;25;26148;;
4;38;899;928;1;84;21;8;2227;;
4;39;934;909;1;54;16;9;3510;;
4;40;769;958;0;91;8;35;17926;;
4;41;970;936;0;81;20;21;4364;;
4;42;749;978;0;57;22;16;55313;;
4;43;927;438;0;97;6;26;8742;;
4;44;438;444;1;94;23;16;6542;;
4;45;439;550;1;90;8;15;10039;;
4;46;810;542;1;102;25;12;4401;;
4;47;489;701;0;82;23;10;4056;;
4;48;592;931;1;58;28;13;11485;;
5;0;697;226;0;100;12;23;8231;;
5;1;739;225;1;85;13;19;16695;;
5;2;820;202;0;74;9;18;30215;;
5;3;803;293;0;95;13;10;3955;;
5;4;996;277;0;84;20;15;4588;;
5;5;850;342;3;87;8;24;26112;;
5;6;1072;340;0;77;18;22;38658;;
5;7;998;378;0;82;20;14;52433;;
5;8;463;392;0;91;35;20;34930;;
5;9;762;411;1;100;30;24;21784;;
5;10;922;405;1;85;11;21;26112;;
5;11;1043;407;0;80;17;10;5104;;
5;12;1074;397;0;91;22;22;4377;;
5;13;743;433;0;91;14;8;2039;;
5;14;465;461;0;81;22;10;2512;;
5;15;636;468;0;55;22;15;36113;;
5;16;1106;479;0;81;10;15;30310;;
5;17;986;547;3;78;19;20;4382;;
5;18;425;590;0;53;11;25;9766;;
5;19;439;665;0;72;10;15;4927;;
5;20;511;701;1;94;33;19;4556;;
5;21;1098;699;0;73;21;7;3568;;
5;22;1102;748;0;83;20;22;4383;;
5;23;530;787;0;65;7;21;17518;;
5;24;636;773;0;91;14;12;32529;;
5;25;685;763;0;74;17;9;3345;;
5;26;829;790;0;94;14;11;19699;;
5;27;1031;787;0;71;19;18;51345;;
5;28;1091;771;1;94;15;20;50737;;
5;29;683;819;3;87;14;9;5111;;
5;30;1040;812;1;73;26;20;64001;;
5;31;1080;797;0;73;20;29;4302;;
5;32;517;852;0;66;32;24;5992;;
5;33;555;869;1;76;24;17;12748;;
5;34;1069;867;0;65;18;20;45840;;
5;35;603;868;0;73;17;18;34867;;
5;36;708;868;1;62;12;21;30465;;
5;37;1031;895;0;91;10;24;26180;;
5;38;899;929;0;85;20;9;2355;;
5;39;934;909;0;59;17;9;3583;;
5;40;769;958;0;91;16;35;50190;;
5;41;970;938;0;75;20;21;4428;;
5;42;745;981;0;72;23;26;15361;;
5;43;928;433;0;94;6;23;8742;;
5;44;438;444;2;94;23;16;6542;;
5;45;439;551;0;89;8;15;14135;;
5;46;810;542;2;102;25;12;4401;;
5;47;493;701;0;64;26;9;3984;;
5;48;592;931;2;58;28;13;11485;;
5;49;919;355;0;79;23;8;2480;;
5;50;1057;481;0;93;9;17;26209;;
6;0;697;226;1;100;12;23;8231;;
6;1;739;225;2;85;13;19;16695;;
6;2;819;202;0;74;9;18;30210;;
6;3;803;293;0;93;15;10;1907;;
6;4;997;277;0;85;21;15;4588;;
6;5;850;342;4;87;8;24;26112;;
6;6;1064;337;0;76;18;10;2161;;
6;7;1002;380;0;83;19;14;36033;;
6;8;464;391;0;97;35;20;35186;;
6;9;762;411;2;100;30;24;21784;;
6;10;922;405;2;85;11;21;26112;;
6;11;1041;408;0;84;17;10;5104;;
6;12;1073;397;0;81;22;22;4377;;
6;13;743;433;1;91;14;8;2039;;
6;14;465;461;0;87;23;10;3520;;
6;15;631;466;0;97;22;19;52369;;
6;16;1121;478;0;90;10;16;30277;;
6;17;986;547;0;77;18;19;4383;;
6;18;425;590;1;53;11;25;9766;;
6;19;439;665;0;72;10;16;9068;;
6;20;511;701;0;92;17;7;3313;;
6;21;1098;700;0;75;22;7;2545;;
6;22;1103;748;0;91;21;22;13070;;
6;23;529;787;0;63;13;20;8823;;
6;24;636;773;0;86;14;13;16145;;
6;25;684;764;0;73;16;9;36657;;
6;26;829;790;0;87;13;11;19699;;
6;27;1031;787;0;70;19;18;34961;;
6;28;1091;771;2;94;15;20;50737;;
6;29;683;819;4;87;14;9;5111;;
6;30;1031;810;0;54;10;22;24839;;
6;31;1081;797;0;70;19;30;4302;;
6;32;517;852;0;65;19;15;4572;;
6;33;556;869;0;76;24;17;12748;;
6;34;1069;867;0;64;19;21;41744;;
6;35;603;868;0;72;19;17;34835;;
6;36;709;868;0;69;12;22;30465;;
6;37;1032;895;0;87;9;24;26180;;
6;38;899;928;0;88;21;8;2227;;
6;39;934;909;1;59;17;9;3583;;
6;40;769;958;0;84;8;35;17926;;
6;41;970;936;0;82;21;21;4366;;
6;42;745;981;0;79;23;26;15361;;
6;43;928;437;0;86;8;16;9830;;
6;44;438;444;0;85;23;16;4494;;
6;45;439;550;0;94;9;15;10035;;
6;46;810;541;0;102;25;12;6960;;
6;47;491;701;0;86;25;10;4048;;
6;48;592;931;3;58;28;13;11485;;
6;49;920;355;0;87;22;8;2992;;
6;50;1057;481;0;88;10;17;26208;;
6;51;787;360;0;85;9;15;13111;;
6;52;651;479;0;104;21;16;35635;;
6;53;1030;915;0;82;20;35;16451;;
7;0;697;226;2;100;12;23;8231;;
7;1;739;225;3;85;13;19;16695;;
7;2;819;202;0;75;9;19;30210;;
7;3;803;292;0;103;15;10;1907;;
7;4;996;277;0;83;21;15;4588;;
7;5;851;342;0;93;7;24;26112;;
7;6;1064;337;0;76;18;10;2161;;
7;7;1002;381;0;82;19;14;52417;;
7;8;464;392;0;94;35;20;34930;;
7;9;775;433;0;83;7;17;17958;;
7;10;922;405;3;85;11;21;26112;;
7;11;1039;409;0;82;17;9;1016;;
7;12;1073;397;0;82;22;22;4377;;
7;13;743;433;2;91;14;8;2039;;
7;14;464;462;0;77;22;10;3520;;
7;15;637;468;0;62;23;15;36241;;
7;16;1122;477;0;83;8;17;30279;;
7;17;986;547;0;77;19;20;4382;;
7;18;425;590;2;53;11;25;9766;;
7;19;439;665;0;80;11;15;4927;;
7;20;511;701;0;98;17;7;3313;;
7;21;1098;700;0;81;22;7;2545;;
7;22;1103;748;0;86;20;22;4382;;
7;23;529;788;0;59;7;18;18039;;
7;24;636;773;0;85;13;12;61203;;
7;25;684;763;0;78;16;10;3857;;
7;26;828;790;0;101;14;12;3287;;
7;27;1030;787;0;52;19;18;52369;;
7;28;1091;771;3;94;15;20;50737;;
7;29;683;819;5;87;14;9;5111;;
7;30;1031;810;1;54;10;22;24839;;
7;31;1081;797;0;74;20;29;4302;;
7;32;517;851;0;72;31;24;5994;;
7;33;560;868;0;75;24;16;12748;;
7;34;1069;867;0;64;19;20;41776;;
7;35;603;868;0;77;19;18;33075;;
