FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;782;222;0;79;29;18;28288;TJ356;0,3 uM CBD
0;1;736;321;0;99;26;13;7660;;
0;2;830;301;0;60;10;25;8740;;
0;3;1015;289;0;83;23;20;49169;;
0;4;659;356;0;77;9;22;8782;;
0;5;717;347;0;73;18;19;12303;;
0;6;865;342;0;77;21;17;35933;;
0;7;1072;350;0;72;22;21;6540;;
0;8;883;355;0;82;21;17;34969;;
0;9;977;368;0;85;4;25;26212;;
0;10;1054;365;0;81;25;27;5315;;
0;11;459;411;0;69;27;21;28289;;
0;12;624;427;0;91;22;22;13070;;
0;13;975;393;0;62;11;25;8742;;
0;14;1090;420;0;83;17;10;10225;;
0;15;1063;450;0;75;22;17;35904;;
0;16;462;486;0;55;18;16;6543;;
0;17;654;472;0;61;11;13;2167;;
0;18;1091;475;0;94;12;12;49971;;
0;19;685;521;0;100;13;11;20275;;
0;20;1107;539;0;99;23;23;52289;;
0;21;427;578;0;83;28;18;28177;;
0;22;747;570;0;65;30;5;4080;;
0;23;830;632;0;81;15;15;12053;;
0;24;911;627;0;71;18;18;30871;;
0;25;445;681;0;65;21;21;40072;;
0;26;910;677;0;92;22;23;52225;;
0;27;927;695;0;78;21;21;49171;;
0;28;751;717;0;74;15;6;447;;
0;29;1139;716;0;77;21;16;4300;;
0;30;846;765;0;69;14;13;4574;;
0;31;898;953;0;61;23;22;52239;;
3;0;782;222;0;81;29;17;28288;;
3;1;735;320;0;89;23;14;4556;;
3;2;828;319;0;57;9;17;13102;;
3;3;1016;289;0;83;22;20;49171;;
3;4;659;356;0;88;11;22;8782;;
3;5;716;347;0;80;18;19;12303;;
3;6;865;342;1;77;21;17;35933;;
3;7;1072;350;0;71;22;21;6540;;
3;8;883;354;0;79;21;17;34969;;
3;9;981;356;0;82;12;31;25122;;
3;10;1054;365;0;67;25;24;7363;;
3;11;473;432;0;62;19;22;49171;;
3;12;624;427;0;83;22;22;12558;;
3;13;976;393;0;64;10;25;8806;;
3;14;1090;422;0;78;18;11;1019;;
3;15;1039;477;0;78;21;15;5052;;
3;16;462;486;0;61;18;16;6543;;
3;17;653;472;0;62;11;16;34935;;
3;18;1091;475;0;86;12;12;33651;;
3;19;685;521;0;93;12;11;61233;;
3;20;1106;539;0;88;22;22;52225;;
3;21;425;579;0;85;26;19;11777;;
3;22;739;570;0;55;17;7;2045;;
3;23;831;632;0;66;15;13;8981;;
3;24;910;627;0;70;19;16;14471;;
3;25;445;681;0;70;21;21;39048;;
3;26;910;675;0;82;22;21;52225;;
3;27;927;693;0;78;21;23;49155;;
3;28;749;716;0;68;18;7;2032;;
3;29;1139;716;0;74;21;17;4300;;
3;30;846;764;0;66;14;11;4574;;
3;31;898;952;0;56;23;22;52225;;
3;32;808;233;0;57;19;31;49720;;
3;33;882;251;0;84;23;21;29064;;
3;34;803;266;0;71;33;22;33142;;
3;35;1132;434;0;56;19;19;4377;;
3;36;1035;591;0;82;21;22;4889;;
3;37;431;657;0;67;13;14;35127;;
3;38;1169;666;0;62;8;15;4375;;
4;0;781;222;0;72;20;9;13200;;
4;1;736;320;0;87;23;14;6604;;
4;2;830;302;0;63;19;23;5324;;
4;3;1016;289;0;86;22;20;49171;;
4;4;659;356;0;82;10;22;8774;;
4;5;717;348;0;77;19;7;510;;
4;6;865;342;2;77;21;17;35933;;
4;7;1072;350;0;72;22;21;6542;;
4;8;883;355;0;87;21;17;34969;;
4;9;973;350;0;80;15;25;13107;;
4;10;1054;365;0;76;25;27;7363;;
4;11;473;432;1;62;19;22;49171;;
4;12;624;427;0;79;21;22;13070;;
4;13;977;395;0;60;11;23;8743;;
4;14;1090;420;0;77;17;9;1779;;
4;15;1031;476;0;69;22;12;447;;
4;16;462;486;0;62;18;16;6543;;
4;17;655;473;0;57;10;14;1399;;
4;18;1091;475;0;80;12;11;37683;;
4;19;685;521;1;93;12;11;61233;;
4;20;1105;539;0;90;22;23;52289;;
4;21;426;578;0;86;28;18;11777;;
4;22;739;570;0;54;23;4;4080;;
4;23;831;632;0;74;15;15;10005;;
4;24;910;627;0;78;19;18;30871;;
4;25;445;681;0;64;5;20;25188;;
4;26;910;678;0;95;22;24;52225;;
4;27;927;694;0;72;21;21;49155;;
4;28;749;716;1;68;18;7;2032;;
4;29;1139;716;0;76;21;17;4300;;
4;30;846;765;0;76;14;12;4574;;
4;31;898;953;0;58;29;23;17423;;
4;32;808;232;0;53;18;31;33592;;
4;33;882;251;1;84;23;21;29064;;
4;34;803;266;0;78;33;22;33142;;
4;35;1132;434;0;57;19;19;4379;;
4;36;1035;591;0;90;21;22;4921;;
4;37;431;657;1;67;13;14;35127;;
4;38;1169;666;1;62;8;15;4375;;
4;39;567;329;0;65;10;16;50231;;
4;40;1060;449;0;89;12;13;34935;;
4;41;1002;623;0;70;17;22;12622;;
5;0;781;221;0;81;20;9;5008;;
5;1;736;321;0;84;25;13;7656;;
5;2;830;301;0;60;19;24;7368;;
5;3;1016;289;0;81;23;20;49171;;
5;4;659;356;0;85;11;22;8774;;
5;5;723;346;0;76;20;20;8239;;
5;6;865;342;3;77;21;17;35933;;
5;7;1072;350;0;75;22;21;6542;;
5;8;883;354;0;82;21;17;34969;;
5;9;973;351;0;72;4;20;26212;;
5;10;1051;360;0;72;17;17;60945;;
5;11;473;432;0;60;20;21;49171;;
5;12;624;427;0;84;22;22;13070;;
5;13;976;393;0;62;10;25;8806;;
5;14;1094;422;0;79;16;9;18416;;
5;15;1039;476;0;68;21;11;829;;
5;16;462;486;1;62;18;16;6543;;
5;17;655;473;1;57;10;14;1399;;
5;18;1091;475;0;86;11;12;33395;;
5;19;685;521;0;101;13;10;3955;;
5;20;1106;539;0;96;23;22;52225;;
5;21;426;578;0;72;27;16;11777;;
5;22;747;570;0;60;31;5;4080;;
5;23;830;632;0;73;15;15;15125;;
5;24;911;628;0;76;19;16;14479;;
5;25;444;681;0;71;5;21;25190;;
5;26;910;675;0;86;22;21;52737;;
5;27;927;694;0;80;20;22;49155;;
5;28;749;716;2;68;18;7;2032;;
5;29;1140;715;0;77;21;16;4300;;
5;30;847;765;0;71;15;12;4574;;
5;31;898;952;0;56;23;22;52225;;
5;32;808;232;0;57;18;19;34835;;
5;33;873;249;0;97;19;21;17100;;
5;34;803;267;0;70;21;15;7624;;
5;35;1131;434;0;58;18;35;12625;;
5;36;1035;591;1;90;21;22;4921;;
5;37;431;657;2;67;13;14;35127;;
5;38;1169;666;2;62;8;15;4375;;
5;39;567;329;1;65;10;16;50231;;
5;40;1059;445;0;82;13;15;34959;;
5;41;1002;623;1;70;17;22;12622;;
5;42;929;261;0;62;15;6;4595;;
5;43;1077;564;0;87;14;9;1655;;
6;0;782;221;0;85;29;17;11904;;
6;1;743;317;0;95;20;14;7116;;
6;2;830;300;0;62;20;27;5324;;
6;3;1016;290;0;79;23;19;49171;;
6;4;659;356;0;78;11;22;8782;;
6;5;723;345;0;77;19;21;8207;;
6;6;865;342;0;82;21;18;35933;;
6;7;1071;350;0;80;23;21;6542;;
6;8;883;355;0;89;21;17;34969;;
6;9;973;351;0;75;15;26;29490;;
6;10;1054;365;0;72;25;27;7363;;
6;11;473;432;1;60;20;21;49171;;
6;12;624;427;0;80;22;22;13070;;
6;13;976;393;1;62;10;25;8806;;
6;14;1090;420;0;80;18;11;763;;
6;15;1039;477;0;62;17;12;4985;;
6;16;462;486;0;52;18;16;6543;;
6;17;655;473;2;57;10;14;1399;;
6;18;1091;475;0;91;12;11;22323;;
6;19;685;521;0;90;13;10;20339;;
6;20;1106;538;0;96;23;22;52289;;
6;21;426;578;0;71;17;9;1008;;
6;22;747;570;1;60;31;5;4080;;
6;23;830;632;0;68;15;15;15253;;
6;24;910;627;0;75;19;18;30871;;
6;25;445;681;0;70;5;20;25188;;
6;26;910;676;0;87;22;22;52225;;
6;27;926;694;0;70;21;22;49155;;
6;28;749;716;3;68;18;7;2032;;
6;29;1139;716;0;77;21;16;4300;;
6;30;845;765;0;63;14;12;4574;;
6;31;898;952;0;55;24;22;52239;;
6;32;808;232;0;53;18;33;33320;;
6;33;866;246;0;102;12;23;8822;;
6;34;803;266;0;71;32;24;33142;;
6;35;1131;434;1;58;18;35;12625;;
6;36;1035;591;2;90;21;22;4921;;
6;37;431;657;3;67;13;14;35127;;
6;38;1169;666;3;62;8;15;4375;;
6;39;567;329;2;65;10;16;50231;;
6;40;1059;448;0;90;16;16;35955;;
6;41;1002;623;2;70;17;22;12622;;
6;42;929;261;1;62;15;6;4595;;
6;43;1077;564;0;91;14;8;2039;;
6;44;715;413;0;59;24;22;52227;;
6;45;1133;695;0;82;18;20;32799;;
6;46;1038;730;0;112;12;11;26614;;
7;0;782;222;0;75;29;17;28288;;
7;1;736;320;0;91;25;13;460;;
7;2;830;300;1;62;20;27;5324;;
7;3;1016;289;0;87;23;20;49171;;
7;4;659;356;0;85;11;22;9038;;
7;5;723;345;1;77;19;21;8207;;
7;6;865;342;0;82;21;18;35933;;
7;7;1072;350;0;73;21;22;6540;;
7;8;883;355;0;82;21;17;34969;;
7;9;973;351;0;73;4;20;26212;;
7;10;1051;360;0;66;18;15;60945;;
7;11;473;431;0;66;19;22;49171;;
7;12;624;427;0;83;22;22;13070;;
7;13;976;393;0;55;10;25;8806;;
7;14;1089;419;0;82;18;11;1011;;
7;15;1039;477;0;75;21;12;957;;
7;16;462;486;0;52;18;16;6543;;
7;17;655;473;3;57;10;14;1399;;
7;18;1090;475;0;88;11;13;4467;;
7;19;685;521;1;90;13;10;20339;;
7;20;1106;538;1;96;23;22;52289;;
7;21;420;579;0;89;17;9;1016;;
7;22;739;570;0;66;17;8;4064;;
7;23;831;632;0;82;15;15;16277;;
7;24;910;627;0;76;19;15;7311;;
7;25;445;681;0;69;21;20;40072;;
7;26;910;678;0;96;22;24;52225;;
7;27;927;694;0;72;21;22;49155;;
7;28;749;716;4;68;18;7;2032;;
7;29;1140;716;0;73;21;16;4300;;
7;30;846;764;0;72;14;12;4574;;
7;31;898;952;0;52;23;22;52227;;
7;32;808;232;1;53;18;33;33320;;
7;33;865;244;0;101;12;22;25142;;
7;34;803;266;1;71;32;24;33142;;
7;35;1131;434;0;54;18;20;12569;;
7;36;1035;591;3;90;21;22;4921;;
7;37;431;657;4;67;13;14;35127;;
7;38;1169;666;4;62;8;15;4375;;
7;39;567;329;0;65;11;16;49255;;
7;40;1059;448;0;83;17;15;34931;;
7;41;1002;623;3;70;17;22;12622;;
7;42;929;261;0;68;13;15;4383;;
7;43;1078;564;0;86;14;10;247;;
7;44;715;413;1;59;24;22;52227;;
7;45;1133;695;0;72;14;20;32775;;
7;46;1038;730;1;112;12;11;26614;;
7;47;458;412;0;70;27;22;61057;;
7;48;754;788;0;93;13;11;1906;;
8;0;781;222;0;81;22;9;976;;
8;1;743;316;0;97;20;14;14792;;
8;2;824;319;0;59;9;17;13094;;
8;3;1016;289;0;87;23;20;49171;;
8;4;659;356;0;89;11;22;8782;;
8;5;723;345;2;77;19;21;8207;;
8;6;865;342;1;82;21;18;35933;;
8;7;1072;350;0;77;22;22;6542;;
8;8;883;355;0;86;21;17;34969;;
8;9;973;350;0;83;13;25;9010;;
8;10;1054;365;0;69;25;25;7363;;
8;11;472;432;0;58;21;21;49171;;
8;12;624;427;0;84;22;22;13070;;
8;13;976;393;0;64;9;25;8806;;
8;14;1090;419;0;75;17;11;1779;;
8;15;1031;478;0;71;23;24;16129;;
8;16;462;486;1;52;18;16;6543;;
8;17;655;473;4;57;10;14;1399;;
8;18;1091;475;0;87;12;12;55091;;
8;19;685;521;0;100;13;11;20339;;
8;20;1106;539;0;105;23;23;52289;;
8;21;427;577;0;81;29;19;11777;;
8;22;739;570;0;65;17;8;4080;;
8;23;830;632;0;77;15;15;15125;;
8;24;910;628;0;73;19;18;30871;;
8;25;445;681;0;72;5;21;25126;;
8;26;910;677;0;91;22;23;52737;;
8;27;926;694;0;69;21;22;49155;;
8;28;749;716;5;68;18;7;2032;;
8;29;1139;716;0;73;21;16;4300;;
8;30;846;765;0;67;14;12;4574;;
8;31;898;952;0;60;24;22;52235;;
8;32;808;232;0;61;18;31;49976;;
8;33;865;243;0;96;12;24;16998;;
8;34;803;267;0;73;21;17;6600;;
8;35;1132;434;0;55;19;20;12568;;
8;36;1035;591;4;90;21;22;4921;;
8;37;431;657;5;67;13;14;35127;;
8;38;1169;666;5;62;8;15;4375;;
8;39;567;329;1;65;11;16;49255;;
8;40;1062;449;0;88;32;23;36352;;
8;41;1002;623;4;70;17;22;12622;;
8;42;928;261;0;67;13;13;4415;;
8;43;1077;564;0;87;14;9;1655;;
8;44;715;413;2;59;24;22;52227;;
8;45;1133;695;0;71;18;18;33055;;
8;46;1038;730;2;112;12;11;26614;;
8;47;458;412;1;70;27;22;61057;;
8;48;754;788;1;93;13;11;1906;;
8;49;975;370;0;77;5;25;26208;;
9;0;781;222;0;72;20;8;5008;;
9;1;744;316;0;90;19;14;4492;;
9;2;830;300;0;66;20;25;12488;;
9;3;1016;290;0;84;23;19;49171;;
9;4;659;356;0;84;11;22;8782;;
9;5;723;345;3;77;19;21;8207;;
9;6;865;342;2;82;21;18;35933;;
9;7;1072;350;0;73;22;21;6540;;
9;8;883;355;0;84;21;17;34969;;
9;9;973;350;0;78;4;22;26214;;
9;10;1054;365;0;77;25;25;7363;;
9;11;473;432;0;63;20;22;49171;;
9;12;624;427;0;85;22;22;12558;;
9;13;976;393;1;64;9;25;8806;;
9;14;1090;419;0;94;17;12;1779;;
9;15;1031;479;0;70;24;25;15233;;
9;16;462;486;0;60;18;16;6543;;
9;17;655;474;0;62;11;12;35959;;
9;18;1091;474;0;92;12;12;55091;;
9;19;685;520;0;103;13;11;3891;;
9;20;1107;539;0;95;22;23;52289;;
9;21;425;579;0;86;27;19;11905;;
9;22;739;570;0;69;17;7;2032;;
9;23;831;632;0;71;15;15;11029;;
9;24;911;627;0;77;18;16;14479;;
9;25;445;681;0;68;5;21;25126;;
9;26;910;676;0;90;22;22;52737;;
9;27;927;693;0;81;21;23;49155;;
9;28;730;725;0;85;14;11;4383;;
9;29;1139;716;0;83;21;17;4300;;
9;30;846;764;0;54;14;13;4574;;
9;31;898;952;0;53;23;22;52239;;
9;32;807;233;0;58;19;32;33336;;
9;33;864;243;0;91;10;24;25126;;
9;34;803;266;0;72;32;25;33126;;
9;35;1132;434;0;57;19;19;4377;;
9;36;1035;591;5;90;21;22;4921;;
9;37;431;657;6;67;13;14;35127;;
9;38;1168;667;0;56;8;14;4435;;
9;39;567;329;2;65;11;16;49255;;
9;40;1050;441;0;91;18;16;34931;;
9;41;1002;622;0;55;16;20;12620;;
9;42;928;261;1;67;13;13;4415;;
9;43;1077;564;1;87;14;9;1655;;
9;44;715;413;0;56;22;21;52225;;
9;45;1133;695;1;71;18;18;33055;;
9;46;1038;730;3;112;12;11;26614;;
9;47;458;412;2;70;27;22;61057;;
9;48;754;788;2;93;13;11;1906;;
9;49;975;370;1;77;5;25;26208;;
9;50;756;266;0;93;9;14;18291;;
9;51;546;868;0;54;11;12;12654;;
