FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;962;307;0;91;9;13;26214;TJ356;CONTROL
0;1;598;330;0;85;18;20;4239;;
0;2;667;347;0;75;21;15;204;;
0;3;769;365;0;63;9;11;4383;;
0;4;793;371;0;77;6;14;4983;;
0;5;595;412;0;86;9;25;25124;;
0;6;1044;384;0;63;20;18;4492;;
0;7;1067;414;0;80;16;11;35955;;
0;8;463;420;0;74;19;20;52225;;
0;9;877;413;0;59;19;19;37145;;
0;10;906;414;0;69;22;21;14732;;
0;11;1021;424;0;69;10;15;13119;;
0;12;1029;459;0;77;17;24;7372;;
0;13;1061;450;0;100;17;21;51331;;
0;14;424;507;0;60;17;7;3281;;
0;15;739;503;0;95;9;15;4415;;
0;16;931;498;0;82;10;11;4383;;
0;17;1134;496;0;80;19;20;13064;;
0;18;912;533;0;88;8;11;4383;;
0;19;446;569;0;72;11;10;4383;;
0;20;537;571;0;91;12;7;1905;;
0;21;840;573;0;71;11;7;4383;;
0;22;902;563;0;71;11;7;4415;;
0;23;1165;560;0;68;23;15;3297;;
0;24;832;612;0;78;23;22;36353;;
0;25;990;611;0;74;10;21;16391;;
0;26;1047;619;0;66;9;14;28951;;
0;27;427;646;0;76;9;14;17959;;
0;28;619;636;0;91;7;16;26214;;
0;29;758;691;0;99;10;12;1911;;
0;30;1059;720;0;84;8;11;4383;;
0;31;1132;704;0;75;13;10;6009;;
0;32;463;761;0;78;8;14;4983;;
0;33;940;752;0;77;13;8;2016;;
0;34;1007;753;0;96;15;11;6014;;
0;35;1097;753;0;66;10;12;1127;;
0;36;536;846;0;80;14;9;1843;;
0;37;925;866;0;100;10;10;4383;;
3;0;962;307;0;89;9;14;26210;;
3;1;598;330;1;85;18;20;4239;;
3;2;667;346;0;80;22;17;4556;;
3;3;765;363;0;63;26;18;824;;
3;4;794;371;0;80;6;14;13159;;
3;5;598;412;0;88;10;25;25124;;
3;6;1045;384;0;55;19;18;4509;;
3;7;1067;415;0;82;14;13;3187;;
3;8;462;420;0;78;20;20;52241;;
3;9;877;413;0;56;20;19;37681;;
3;10;907;414;0;58;21;21;14728;;
3;11;1021;424;1;69;10;15;13119;;
3;12;1029;458;0;81;18;25;6348;;
3;13;1061;450;1;100;17;21;51331;;
3;14;424;507;0;64;19;9;3281;;
3;15;739;502;0;72;8;15;4383;;
3;16;931;499;0;91;10;11;4383;;
3;17;1134;496;1;80;19;20;13064;;
3;18;912;532;0;97;12;10;4927;;
3;19;447;569;0;62;11;10;4383;;
3;20;538;571;0;89;11;7;4383;;
3;21;839;573;0;72;12;7;4983;;
