FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;743;238;0;82;11;11;510;TJ356;ETANOL
0;1;968;241;0;56;19;18;30489;;
0;2;551;298;0;68;6;19;13095;;
0;3;610;287;0;92;11;8;4383;;
0;4;875;295;0;92;19;22;13071;;
0;5;998;301;0;60;9;17;29447;;
0;6;969;323;0;84;21;21;50211;;
0;7;944;371;0;72;12;7;1904;;
0;8;977;408;0;67;14;11;13087;;
0;9;475;445;0;62;20;9;2960;;
0;10;1088;447;0;83;10;12;27763;;
0;11;547;464;0;83;10;11;4383;;
0;12;1020;462;0;95;10;10;4383;;
0;13;919;517;0;85;10;11;4383;;
0;14;1143;579;0;57;20;19;39187;;
0;15;879;680;0;77;10;8;5919;;
0;16;955;673;0;92;12;9;3827;;
0;17;466;695;0;67;22;22;61457;;
0;18;770;691;0;91;22;11;2524;;
0;19;799;704;0;88;21;22;119;;
0;20;1004;703;0;69;21;9;3293;;
0;21;1143;727;0;59;16;20;61697;;
0;22;587;768;0;71;8;13;26215;;
0;23;784;767;0;93;10;15;4927;;
0;24;1058;805;0;67;10;13;25927;;
0;25;922;851;0;75;9;10;4479;;
3;0;743;239;0;77;10;10;4076;;
3;1;968;241;1;56;19;18;30489;;
3;2;551;299;0;59;7;20;26214;;
3;3;610;287;0;82;11;8;4383;;
3;4;875;296;0;104;18;23;13071;;
3;5;996;312;0;57;13;28;29762;;
3;6;969;323;0;70;21;21;50227;;
3;7;944;371;0;70;11;7;4407;;
3;8;978;408;0;60;14;11;4895;;
3;9;475;445;0;68;20;10;2960;;
3;10;1088;447;0;86;11;12;3443;;
3;11;547;464;0;81;10;11;4415;;
3;12;1019;462;0;90;10;10;4383;;
3;13;918;518;0;87;12;12;1395;;
3;14;1143;579;1;57;20;19;39187;;
3;15;879;680;1;77;10;8;5919;;
3;16;954;672;0;86;12;8;3699;;
3;17;466;695;1;67;22;22;61457;;
3;18;770;691;0;89;22;11;2524;;
3;19;805;707;0;101;15;10;7953;;
3;20;1004;703;0;69;22;8;3325;;
3;21;1142;726;0;63;18;21;58369;;
3;22;587;767;0;85;7;13;26423;;
3;23;782;770;0;84;10;15;4927;;
3;24;1058;805;1;67;10;13;25927;;
3;25;922;851;0;76;9;10;4415;;
3;26;590;506;0;57;20;20;12552;;
3;27;654;560;0;76;9;11;4383;;
3;28;899;601;0;65;12;8;4479;;
4;0;743;239;0;73;10;10;4076;;
4;1;968;241;2;56;19;18;30489;;
4;2;551;298;0;76;7;19;12903;;
4;3;610;286;0;83;11;8;4375;;
4;4;875;295;0;85;18;22;13071;;
4;5;998;301;0;57;9;15;13087;;
4;6;969;323;0;79;21;21;50227;;
4;7;944;371;1;70;11;7;4407;;
4;8;978;408;0;63;14;11;4895;;
4;9;475;445;0;67;19;10;4497;;
4;10;1088;446;0;80;11;12;19571;;
4;11;547;464;0;88;10;11;4383;;
4;12;1020;461;0;98;10;11;4383;;
4;13;918;518;0;81;11;12;1651;;
4;14;1143;579;2;57;20;19;39187;;
4;15;879;680;0;78;10;8;5983;;
4;16;955;673;0;89;12;9;1905;;
4;17;467;695;0;56;21;20;61457;;
4;18;770;691;0;94;22;11;2524;;
4;19;806;707;0;79;15;9;1823;;
4;20;1003;703;0;79;22;9;3316;;
4;21;1139;726;0;60;21;21;52225;;
4;22;587;767;0;82;7;13;10099;;
4;23;784;767;0;84;9;15;4927;;
4;24;1056;805;0;60;10;14;25943;;
4;25;922;851;0;77;10;10;4383;;
4;26;591;506;0;59;20;20;4361;;
4;27;654;560;0;73;10;9;4383;;
4;28;901;599;0;67;12;11;6129;;
4;29;876;447;0;77;7;11;4383;;
4;30;571;866;0;90;11;8;4383;;
4;31;579;923;0;71;19;24;37262;;
5;0;743;239;0;78;10;10;4076;;
5;1;968;241;3;56;19;18;30489;;
5;2;552;299;0;60;7;18;8807;;
5;3;610;287;0;90;11;8;4383;;
5;4;875;296;0;96;18;22;12559;;
5;5;999;301;0;60;9;19;13063;;
5;6;969;323;0;66;20;21;50227;;
5;7;944;371;0;67;13;7;817;;
5;8;978;408;0;72;15;20;33343;;
5;9;475;445;0;65;20;10;2960;;
5;10;1088;447;0;87;11;12;19827;;
5;11;546;464;0;84;10;11;4383;;
5;12;1019;462;0;96;10;10;4383;;
5;13;918;517;0;88;11;11;4383;;
5;14;1145;579;0;61;21;21;39187;;
5;15;879;680;1;78;10;8;5983;;
5;16;954;673;0;86;12;10;1907;;
5;17;466;695;0;60;20;21;61449;;
5;18;770;691;0;94;23;11;476;;
5;19;801;704;0;102;23;22;55;;
5;20;997;703;0;84;23;10;3316;;
5;21;1138;728;0;63;18;23;52225;;
5;22;587;767;0;85;7;13;10039;;
5;23;783;767;0;76;9;14;4975;;
5;24;1056;805;0;68;10;14;25943;;
5;25;922;851;0;76;9;10;4383;;
5;26;591;506;1;59;20;20;4361;;
5;27;654;560;1;73;10;9;4383;;
5;28;901;599;0;64;11;11;4383;;
5;29;876;447;1;77;7;11;4383;;
5;30;570;860;0;87;11;8;4447;;
5;31;579;923;1;71;19;24;37262;;
5;32;550;523;0;87;11;10;4383;;
5;33;550;742;0;73;11;7;4479;;
5;34;683;835;0;75;9;10;4383;;
5;35;1062;853;0;74;22;21;51615;;
6;0;743;240;0;83;11;11;2046;;
6;1;968;241;4;56;19;18;30489;;
6;2;551;298;0;63;6;19;12839;;
6;3;610;287;0;92;11;8;4383;;
6;4;875;296;0;100;18;23;13071;;
6;5;998;302;0;75;10;18;29447;;
6;6;969;323;0;69;21;21;50227;;
6;7;944;371;1;67;13;7;817;;
6;8;977;408;0;63;13;12;13081;;
6;9;475;445;0;66;20;10;2960;;
6;10;1089;446;0;92;10;12;25971;;
6;11;546;464;0;84;10;10;4383;;
6;12;1019;462;0;94;10;11;4383;;
6;13;919;517;0;88;10;11;4383;;
6;14;1145;579;1;61;21;21;39187;;
6;15;879;681;0;78;10;8;5919;;
6;16;956;674;0;94;11;10;4383;;
6;17;466;695;1;60;20;21;61449;;
6;18;770;691;0;99;23;11;476;;
6;19;800;704;0;93;22;22;55;;
6;20;997;702;0;81;23;9;3325;;
6;21;1138;727;0;64;18;22;52225;;
6;22;587;767;0;77;7;11;4383;;
6;23;783;767;0;78;10;14;4927;;
6;24;1062;802;0;69;10;14;25943;;
6;25;922;851;0;68;10;10;4415;;
6;26;591;506;0;57;21;20;4361;;
6;27;655;560;0;69;9;11;4383;;
6;28;901;599;1;64;11;11;4383;;
6;29;876;446;0;82;7;11;4383;;
6;30;568;861;0;87;12;8;1907;;
6;31;579;923;2;71;19;24;37262;;
6;32;550;523;0;82;8;11;4383;;
6;33;550;742;1;73;11;7;4479;;
6;34;683;835;1;75;9;10;4383;;
6;35;1062;854;0;55;22;21;51603;;
6;36;448;523;0;61;18;23;33055;;
7;0;743;240;0;88;11;11;2030;;
7;1;968;241;5;56;19;18;30489;;
7;2;554;292;0;67;7;20;26214;;
7;3;611;289;0;87;10;8;4383;;
7;4;875;295;0;90;18;22;13071;;
7;5;998;301;0;68;9;17;30471;;
7;6;969;323;0;76;20;21;50211;;
7;7;944;371;0;68;11;7;4415;;
7;8;978;408;0;65;13;12;13087;;
7;9;475;445;0;66;19;10;4497;;
7;10;1089;447;0;86;10;13;1139;;
7;11;547;464;0;83;9;11;4383;;
7;12;1020;461;0;94;10;11;4383;;
7;13;918;518;0;83;12;11;1395;;
7;14;1145;579;2;61;21;21;39187;;
7;15;879;681;1;78;10;8;5919;;
7;16;957;673;0;90;11;9;4383;;
7;17;466;695;2;60;20;21;61449;;
7;18;770;691;0;91;22;11;2524;;
7;19;806;706;0;90;15;9;1815;;
7;20;998;703;0;74;21;8;3280;;
7;21;1139;728;0;69;21;24;59393;;
7;22;588;767;0;80;7;13;9847;;
7;23;784;766;0;77;10;14;13119;;
7;24;1055;804;0;67;11;13;25943;;
7;25;922;850;0;78;9;10;4415;;
7;26;591;506;1;57;21;20;4361;;
7;27;655;560;1;69;9;11;4383;;
7;28;900;600;0;65;13;8;4607;;
7;29;876;446;1;82;7;11;4383;;
7;30;568;861;0;87;11;8;5471;;
7;31;579;923;3;71;19;24;37262;;
7;32;551;523;0;86;9;12;1639;;
7;33;550;742;2;73;11;7;4479;;
7;34;683;835;2;75;9;10;4383;;
7;35;1062;854;1;55;22;21;51603;;
7;36;448;523;1;61;18;23;33055;;
7;37;551;308;0;64;7;19;12839;;
8;0;740;241;0;78;11;11;2046;;
8;1;968;241;6;56;19;18;30489;;
8;2;551;299;0;56;6;19;12839;;
8;3;610;287;0;89;11;8;4415;;
8;4;875;295;0;87;18;22;13063;;
8;5;998;301;0;77;10;19;14103;;
8;6;968;323;0;81;20;21;50227;;
8;7;944;371;0;72;13;6;1841;;
8;8;978;408;0;63;15;11;4895;;
8;9;475;445;0;63;20;10;2448;;
8;10;1088;446;0;84;11;12;19570;;
8;11;547;464;0;83;10;11;4383;;
8;12;1020;462;0;91;10;10;4383;;
8;13;918;518;0;79;10;11;4383;;
8;14;1146;579;0;66;22;21;39187;;
8;15;878;680;0;78;10;8;5919;;
8;16;957;674;0;88;11;8;4383;;
8;17;466;695;3;60;20;21;61449;;
8;18;770;691;0;97;23;11;476;;
8;19;806;706;0;80;15;9;791;;
8;20;998;702;0;81;23;10;3325;;
8;21;1138;726;0;68;23;24;27649;;
8;22;587;767;0;77;7;12;26211;;
8;23;783;767;0;80;9;15;4927;;
8;24;1058;805;0;61;10;13;17751;;
8;25;922;850;1;78;9;10;4415;;
8;26;590;506;0;59;21;20;4365;;
8;27;655;560;2;69;9;11;4383;;
8;28;900;600;0;56;10;8;4383;;
8;29;876;446;2;82;7;11;4383;;
8;30;571;866;0;89;11;9;4383;;
8;31;579;923;4;71;19;24;37262;;
8;32;551;523;1;86;9;12;1639;;
8;33;550;742;3;73;11;7;4479;;
8;34;683;835;0;76;10;9;4383;;
8;35;1062;854;2;55;22;21;51603;;
8;36;448;523;2;61;18;23;33055;;
8;37;551;308;1;64;7;19;12839;;
8;38;770;649;0;92;16;19;4383;;
9;0;740;240;0;78;10;11;4092;;
9;1;968;241;7;56;19;18;30489;;
9;2;554;292;0;68;7;19;13095;;
9;3;610;286;0;89;10;8;4383;;
9;4;875;295;0;92;18;22;13063;;
9;5;999;301;0;65;9;15;12575;;
9;6;969;323;0;72;21;21;50227;;
9;7;944;371;1;72;13;6;1841;;
9;8;978;408;0;69;15;14;13087;;
9;9;475;445;0;71;19;10;4497;;
9;10;1089;447;0;89;11;12;25971;;
9;11;546;464;0;84;10;10;4383;;
9;12;1019;461;0;91;10;11;4383;;
9;13;918;517;0;85;12;11;1395;;
9;14;1144;579;0;56;21;20;39185;;
9;15;878;680;1;78;10;8;5919;;
9;16;957;674;0;87;11;9;4415;;
9;17;466;695;4;60;20;21;61449;;
9;18;770;691;0;96;22;11;2524;;
9;19;805;707;0;96;15;10;7953;;
9;20;997;703;0;90;23;10;3317;;
9;21;1139;726;0;58;9;10;4383;;
9;22;587;767;0;79;7;13;1911;;
9;23;783;768;0;77;8;15;4927;;
9;24;1058;805;0;68;11;13;17751;;
9;25;921;851;0;72;10;9;4415;;
9;26;590;506;1;59;21;20;4365;;
9;27;655;560;3;69;9;11;4383;;
9;28;900;600;0;68;13;9;4607;;
9;29;876;446;3;82;7;11;4383;;
9;30;568;860;0;85;11;8;4447;;
9;31;579;923;5;71;19;24;37262;;
9;32;551;523;0;76;8;11;4383;;
9;33;550;742;4;73;11;7;4479;;
9;34;683;835;1;76;10;9;4383;;
9;35;1062;854;3;55;22;21;51603;;
9;36;448;523;3;61;18;23;33055;;
9;37;551;308;2;64;7;19;12839;;
9;38;770;649;1;92;16;19;4383;;
