FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;606;260;0;63;17;11;52369;TJ356;0,3 uM CBD
0;1;675;292;0;78;10;10;4383;;
0;2;707;275;0;88;17;22;55;;
0;3;812;304;0;71;23;15;4377;;
0;4;557;387;0;77;12;9;3889;;
0;5;700;396;0;91;9;11;4383;;
0;6;502;474;0;76;13;20;61712;;
0;7;727;474;0;89;10;10;4383;;
0;8;1114;469;0;86;10;10;4383;;
0;9;492;498;0;61;15;14;4383;;
0;10;1103;523;0;81;15;16;63507;;
0;11;611;574;0;77;19;20;4236;;
0;12;911;559;0;58;20;10;2207;;
0;13;778;613;0;79;10;11;4383;;
0;14;810;616;0;74;9;11;4383;;
0;15;484;656;0;91;9;15;4415;;
0;16;612;655;0;95;11;15;4383;;
0;17;944;684;0;65;10;15;12575;;
0;18;1022;663;0;73;23;21;4895;;
0;19;850;708;0;91;7;12;26214;;
0;20;553;754;0;89;10;10;4383;;
0;21;871;745;0;79;10;19;30470;;
0;22;909;747;0;66;9;11;4383;;
0;23;953;742;0;61;16;16;52225;;
0;24;518;769;0;96;14;9;3583;;
0;25;929;792;0;79;11;12;3311;;
0;26;587;822;0;76;8;10;4383;;
0;27;639;829;0;88;8;11;4383;;
0;28;893;818;0;71;19;22;52243;;
0;29;524;832;0;64;20;26;35215;;
0;30;725;848;0;65;17;8;1841;;
0;31;898;843;0;83;20;19;28049;;
0;32;784;885;0;76;13;20;26124;;
0;33;779;901;0;81;13;19;29452;;
3;0;619;282;0;68;21;19;4300;;
3;1;672;294;0;70;12;10;1020;;
3;2;707;275;0;69;17;21;55;;
3;3;814;305;0;66;7;11;4383;;
3;4;539;408;0;65;21;22;4239;;
3;5;700;396;0;91;10;10;4383;;
3;6;502;474;0;91;15;20;62736;;
3;7;728;475;0;94;11;9;4383;;
3;8;1114;469;0;76;10;11;4383;;
3;9;495;498;0;55;12;13;61727;;
3;10;1103;523;1;81;15;16;63507;;
3;11;612;574;0;74;19;20;4236;;
3;12;913;558;0;62;19;10;2205;;
3;13;778;613;0;61;10;11;4383;;
3;14;810;616;1;74;9;11;4383;;
3;15;485;655;0;86;9;14;319;;
3;16;608;651;0;76;8;15;4383;;
3;17;943;684;0;66;11;15;12575;;
3;18;1023;664;0;87;24;22;13068;;
3;19;850;708;0;82;7;12;26214;;
3;20;554;754;0;89;9;11;4383;;
3;21;871;745;0;80;10;20;30468;;
3;22;909;747;1;66;9;11;4383;;
3;23;952;742;0;57;11;7;4383;;
3;24;517;769;0;96;14;9;5599;;
3;25;929;791;0;85;10;13;1135;;
3;26;587;822;1;76;8;10;4383;;
3;27;638;829;0;83;8;11;4383;;
3;28;893;817;0;63;17;22;52225;;
3;29;524;832;1;64;20;26;35215;;
3;30;725;848;1;65;17;8;1841;;
3;31;896;844;0;89;23;19;2033;;
3;32;784;884;0;87;12;20;26372;;
3;33;779;902;0;85;14;18;29453;;
3;34;656;237;0;63;15;16;13105;;
