FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;839;334;0;102;14;10;511;TJ356;ET 1.1000
0;1;591;363;0;73;23;21;4366;;
0;2;916;409;0;86;22;24;13064;;
0;3;500;472;0;104;11;11;4383;;
0;4;548;506;0;76;11;10;4383;;
0;5;899;494;0;78;17;18;61719;;
0;6;626;556;0;105;15;9;3347;;
0;7;967;528;0;100;15;7;383;;
0;8;683;560;0;98;9;12;1646;;
0;9;934;619;0;55;20;14;39048;;
0;10;999;598;0;83;25;13;2449;;
0;11;1093;598;0;68;18;4;507;;
0;12;1075;631;0;55;21;9;3281;;
0;13;868;712;0;90;13;15;4479;;
0;14;544;758;0;82;9;16;8806;;
0;15;592;779;0;80;9;11;4383;;
0;16;647;764;0;79;6;17;9838;;
0;17;1077;806;0;77;7;13;30518;;
0;18;888;907;0;78;11;13;18083;;
3;0;839;334;0;98;14;9;510;;
3;1;592;363;0;75;26;21;4172;;
3;2;915;407;0;84;24;22;13064;;
3;3;501;469;0;103;12;10;4511;;
3;4;548;507;0;63;11;10;4383;;
3;5;899;494;0;68;17;18;61719;;
3;6;626;556;0;98;13;10;7953;;
3;7;967;528;0;89;14;7;893;;
3;8;683;560;1;98;9;12;1646;;
3;9;934;619;0;56;20;14;6296;;
3;10;1000;598;0;80;26;13;2449;;
3;11;1092;597;0;66;19;4;507;;
3;12;1076;631;0;61;22;10;3537;;
3;13;867;713;0;85;15;15;4927;;
3;14;545;757;0;90;8;17;12902;;
3;15;591;778;0;71;8;11;4383;;
3;16;648;764;0;71;8;16;26214;;
3;17;1078;805;0;70;7;12;26214;;
3;18;887;909;0;78;11;13;17643;;
3;19;659;885;0;55;17;20;50744;;
4;0;839;334;0;98;13;10;4607;;
4;1;591;363;0;76;24;21;4300;;
4;2;916;409;0;93;22;24;13064;;
4;3;501;469;0;99;11;10;4383;;
4;4;547;505;0;69;11;11;4383;;
4;5;899;494;0;73;17;18;61719;;
4;6;626;556;0;93;13;10;57105;;
4;7;965;528;0;84;12;8;5105;;
4;8;681;561;0;69;8;12;1919;;
4;9;934;619;1;56;20;14;6296;;
4;10;1000;599;0;81;26;12;2449;;
4;11;1093;598;0;78;19;6;4081;;
4;12;1076;631;0;57;22;12;3537;;
4;13;871;712;0;81;14;12;2012;;
4;14;545;757;0;90;9;17;13094;;
4;15;590;779;0;72;10;12;13111;;
4;16;648;758;0;88;8;16;26470;;
4;17;1078;805;1;70;7;12;26214;;
