FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;676;235;0;57;12;18;57619;UA44;ETANOL
0;1;938;254;0;82;15;13;1907;;
0;2;1038;301;0;80;6;16;26214;;
0;3;944;317;0;85;10;23;25126;;
0;4;1065;328;0;74;13;13;9023;;
0;5;1106;746;0;98;22;15;819;;
0;6;538;788;0;67;9;15;4383;;
0;7;767;819;0;53;9;25;16947;;
0;8;1096;859;0;80;20;20;36883;;
0;9;687;887;0;83;11;12;4846;;
3;0;675;235;0;57;12;19;57619;;
3;1;938;254;0;78;12;13;35955;;
3;2;1038;302;0;82;7;16;26214;;
3;3;944;317;0;80;9;23;25126;;
3;4;1066;328;0;75;13;14;9023;;
3;5;1106;746;1;98;22;15;819;;
3;6;537;789;0;72;9;17;9086;;
3;7;767;818;0;54;9;27;16947;;
3;8;1096;859;0;82;20;21;36887;;
3;9;687;887;0;81;11;12;4846;;
3;10;520;339;0;55;20;18;51329;;
4;0;675;235;1;57;12;19;57619;;
4;1;938;254;0;74;11;13;59185;;
4;2;1038;300;0;80;7;15;13111;;
4;3;943;316;0;83;10;23;25142;;
4;4;1066;328;1;75;13;14;9023;;
4;5;1106;746;2;98;22;15;819;;
4;6;538;789;0;67;8;16;9006;;
4;7;767;818;1;54;9;27;16947;;
4;8;1096;858;0;76;20;20;36883;;
4;9;686;887;0;81;11;12;4846;;
4;10;520;339;1;55;20;18;51329;;
5;0;675;235;0;57;12;19;57619;;
5;1;938;255;0;79;13;11;36723;;
5;2;1039;298;0;81;21;25;7372;;
5;3;944;316;0;93;10;23;26166;;
5;4;1066;328;2;75;13;14;9023;;
5;5;1106;746;3;98;22;15;819;;
5;6;537;789;0;76;9;15;4383;;
5;7;767;818;0;60;9;26;16947;;
5;8;1096;858;0;76;20;20;36883;;
5;9;686;887;0;82;11;12;4846;;
5;10;520;339;2;55;20;18;51329;;
5;11;836;269;0;54;17;21;16012;;
6;0;675;235;1;57;12;19;57619;;
6;1;938;255;0;76;12;12;36723;;
6;2;1039;298;0;81;21;25;7372;;
6;3;944;317;0;81;9;23;25126;;
6;4;1066;328;3;75;13;14;9023;;
6;5;1106;746;4;98;22;15;819;;
6;6;538;788;0;72;9;16;10094;;
6;7;767;818;1;60;9;26;16947;;
6;8;1096;858;0;79;20;20;36883;;
6;9;687;887;0;80;11;12;750;;
6;10;520;339;3;55;20;18;51329;;
6;11;869;249;0;59;12;11;14194;;
7;0;676;236;0;55;13;20;58146;;
7;1;939;255;0;84;15;11;3955;;
7;2;1039;298;0;85;21;25;6348;;
7;3;944;317;0;84;10;23;25126;;
7;4;1066;328;4;75;13;14;9023;;
7;5;1106;746;5;98;22;15;819;;
7;6;538;789;0;75;8;15;12575;;
7;7;767;818;2;60;9;26;16947;;
7;8;1096;858;0;80;20;20;37139;;
7;9;687;887;0;81;11;12;4846;;
7;10;520;339;4;55;20;18;51329;;
7;11;869;249;1;59;12;11;14194;;
8;0;677;236;0;52;13;20;58162;;
8;1;937;255;0;85;13;12;59185;;
8;2;1038;301;0;80;6;16;26214;;
8;3;944;317;0;77;9;23;25126;;
8;4;1030;329;0;65;8;15;26423;;
8;5;1106;746;6;98;22;15;819;;
8;6;538;789;0;73;9;15;4383;;
8;7;767;818;0;61;9;27;16947;;
8;8;1096;858;0;76;20;20;36883;;
8;9;687;887;1;81;11;12;4846;;
8;10;520;339;5;55;20;18;51329;;
8;11;869;249;2;59;12;11;14194;;
8;12;1192;599;0;57;21;21;33049;;
9;0;677;236;0;55;15;20;58163;;
9;1;939;253;0;78;13;11;3955;;
9;2;1038;302;0;82;12;19;819;;
9;3;944;316;0;88;10;23;26150;;
9;4;1030;329;1;65;8;15;26423;;
9;5;1105;746;0;87;22;15;33043;;
9;6;537;789;0;69;8;17;9070;;
9;7;767;818;1;61;9;27;16947;;
9;8;1096;858;0;72;20;20;36883;;
9;9;687;887;0;79;11;12;4846;;
9;10;520;339;0;52;19;18;51209;;
9;11;869;247;0;63;12;11;14131;;
9;12;1192;599;1;57;21;21;33049;;
10;0;677;236;1;55;15;20;58163;;
10;1;938;254;0;74;12;13;61233;;
10;2;1038;301;0;81;7;16;26214;;
10;3;944;317;0;77;9;23;25126;;
10;4;1030;329;2;65;8;15;26423;;
10;5;1106;746;0;99;22;15;33587;;
10;6;538;788;0;72;9;15;4383;;
10;7;767;818;2;61;9;27;16947;;
10;8;1095;858;0;66;19;20;36883;;
10;9;687;887;1;79;11;12;4846;;
10;10;520;339;1;52;19;18;51209;;
10;11;869;247;1;63;12;11;14131;;
10;12;1192;599;2;57;21;21;33049;;
11;0;677;236;0;59;13;20;58162;;
11;1;938;254;1;74;12;13;61233;;
11;2;1039;297;0;84;20;26;6348;;
11;3;944;317;0;90;9;23;25126;;
11;4;1030;329;3;65;8;15;26423;;
11;5;1106;746;0;99;22;15;33587;;
11;6;538;788;0;81;9;16;9070;;
11;7;767;818;3;61;9;27;16947;;
11;8;1096;859;0;80;20;20;36883;;
11;9;687;887;0;74;12;11;4846;;
11;10;520;339;2;52;19;18;51209;;
11;11;869;249;0;64;12;11;13107;;
11;12;1192;599;3;57;21;21;33049;;
11;13;1153;535;0;54;21;27;4303;;
12;0;677;236;0;54;12;20;58162;;
12;1;938;254;2;74;12;13;61233;;
12;2;1039;298;0;76;21;24;6348;;
12;3;944;317;0;79;9;24;26150;;
12;4;1030;329;4;65;8;15;26423;;
12;5;1106;746;1;99;22;15;33587;;
12;6;537;789;0;67;9;18;9022;;
12;7;765;818;0;56;9;26;16947;;
12;8;1096;858;0;74;20;20;36883;;
12;9;687;887;1;74;12;11;4846;;
12;10;520;339;3;52;19;18;51209;;
12;11;869;249;1;64;12;11;13107;;
12;12;1192;599;4;57;21;21;33049;;
12;13;1153;535;1;54;21;27;4303;;
12;14;1065;328;0;74;13;15;9023;;
13;0;677;236;0;60;15;20;58163;;
13;1;938;254;3;74;12;13;61233;;
13;2;1038;302;0;84;6;16;26214;;
13;3;944;317;0;76;9;23;25126;;
13;4;1030;329;5;65;8;15;26423;;
13;5;1106;746;2;99;22;15;33587;;
13;6;537;789;0;67;9;16;9086;;
13;7;765;818;1;56;9;26;16947;;
13;8;1096;858;0;79;20;20;36883;;
13;9;687;887;2;74;12;11;4846;;
13;10;520;339;4;52;19;18;51209;;
13;11;869;249;2;64;12;11;13107;;
13;12;1192;599;5;57;21;21;33049;;
13;13;1153;535;2;54;21;27;4303;;
13;14;1065;328;1;74;13;15;9023;;
14;0;677;236;0;58;12;20;58162;;
14;1;939;255;0;68;13;11;53043;;
14;2;1038;301;0;80;6;15;25399;;
14;3;944;317;0;73;9;24;26150;;
14;4;1030;329;6;65;8;15;26423;;
14;5;1106;746;3;99;22;15;33587;;
14;6;537;789;0;73;9;15;4383;;
14;7;765;819;0;56;9;25;16947;;
14;8;1096;859;0;86;20;20;36883;;
14;9;687;887;0;81;11;12;4846;;
14;10;520;339;5;52;19;18;51209;;
14;11;869;249;3;64;12;11;13107;;
14;12;1192;599;6;57;21;21;33049;;
14;13;1153;535;3;54;21;27;4303;;
14;14;1065;328;2;74;13;15;9023;;
15;0;677;236;0;58;12;20;58163;;
15;1;939;255;1;68;13;11;53043;;
15;2;1038;300;0;82;7;15;13111;;
15;3;945;317;0;80;10;23;25126;;
15;4;1030;329;7;65;8;15;26423;;
15;5;1106;746;4;99;22;15;33587;;
15;6;537;789;0;69;9;17;10110;;
15;7;767;818;0;69;10;30;16934;;
15;8;1096;858;0;76;20;20;37139;;
15;9;687;887;1;81;11;12;4846;;
15;10;520;339;6;52;19;18;51209;;
15;11;869;249;0;64;12;11;14130;;
15;12;1192;599;7;57;21;21;33049;;
15;13;1153;535;4;54;21;27;4303;;
15;14;1065;328;3;74;13;15;9023;;
16;0;677;236;0;53;12;20;58162;;
16;1;938;253;0;66;13;10;53009;;
16;2;1039;298;0;81;20;25;6348;;
16;3;944;317;0;79;9;23;25126;;
16;4;1030;329;8;65;8;15;26423;;
16;5;1106;746;5;99;22;15;33587;;
16;6;538;788;0;81;9;16;9774;;
16;7;767;819;0;53;9;26;16947;;
16;8;1096;858;0;78;20;20;36883;;
16;9;687;887;2;81;11;12;4846;;
16;10;520;339;7;52;19;18;51209;;
16;11;869;249;1;64;12;11;14130;;
16;12;1192;599;8;57;21;21;33049;;
16;13;1153;535;5;54;21;27;4303;;
16;14;1065;328;4;74;13;15;9023;;
17;0;677;236;0;64;13;20;49971;;
17;1;938;253;1;66;13;10;53009;;
17;2;1038;301;0;83;11;18;819;;
17;3;944;316;0;87;10;22;25126;;
17;4;1030;329;9;65;8;15;26423;;
17;5;1106;746;6;99;22;15;33587;;
17;6;537;789;0;78;9;16;9070;;
17;7;767;819;0;56;8;26;16946;;
17;8;1096;858;0;76;20;20;36883;;
17;9;687;887;0;80;11;12;4846;;
17;10;520;339;8;52;19;18;51209;;
17;11;869;249;2;64;12;11;14130;;
17;12;1192;599;9;57;21;21;33049;;
17;13;1153;535;6;54;21;27;4303;;
17;14;1065;328;5;74;13;15;9023;;
18;0;677;236;0;60;12;20;58162;;
18;1;937;254;0;70;13;10;63249;;
18;2;1038;301;0;79;7;15;13111;;
18;3;944;317;0;83;9;24;26150;;
18;5;1106;746;7;99;22;15;33587;;
18;6;537;788;0;78;10;15;4383;;
18;7;767;819;0;58;9;26;16947;;
18;8;1096;858;0;75;20;20;36883;;
18;9;687;887;1;80;11;12;4846;;
18;10;520;339;9;52;19;18;51209;;
18;11;869;249;3;64;12;11;14130;;
18;13;1153;535;7;54;21;27;4303;;
18;14;1065;328;6;74;13;15;9023;;
18;15;1055;415;0;84;22;25;49203;;
18;16;1169;682;0;67;19;20;204;;
19;0;677;236;1;60;12;20;58162;;
19;1;939;254;0;70;14;8;3827;;
19;2;1038;301;0;82;6;15;18295;;
19;3;944;317;0;75;10;23;25126;;
19;5;1106;746;8;99;22;15;33587;;
19;6;538;788;0;73;9;16;8814;;
19;7;767;819;1;58;9;26;16947;;
19;8;1096;858;0;75;20;20;37139;;
19;9;687;887;0;78;11;12;750;;
19;11;869;249;4;64;12;11;14130;;
19;13;1153;535;8;54;21;27;4303;;
19;14;1065;328;7;74;13;15;9023;;
19;15;1055;415;1;84;22;25;49203;;
19;16;1169;682;1;67;19;20;204;;
20;0;677;236;0;54;13;20;49971;;
20;1;939;254;1;70;14;8;3827;;
20;2;1038;301;1;82;6;15;18295;;
20;3;944;317;0;79;9;23;26150;;
20;5;1106;746;9;99;22;15;33587;;
20;6;538;788;0;72;9;15;12575;;
20;7;767;819;0;52;9;25;16947;;
20;8;1096;859;0;83;20;20;36883;;
20;9;687;887;0;81;11;12;4846;;
20;11;869;249;5;64;12;11;14130;;
20;13;1153;535;9;54;21;27;4303;;
20;14;1065;328;8;74;13;15;9023;;
20;15;1055;415;2;84;22;25;49203;;
20;16;1169;682;2;67;19;20;204;;
21;0;677;236;0;57;13;20;49971;;
21;1;939;254;2;70;14;8;3827;;
21;2;1038;300;0;79;6;15;26486;;
21;3;943;317;0;85;10;23;25126;;
21;6;538;788;0;75;9;16;9022;;
21;7;767;819;1;52;9;25;16947;;
21;8;1096;858;0;79;20;20;36883;;
21;9;687;887;0;83;11;12;4846;;
21;11;869;249;6;64;12;11;14130;;
21;14;1065;328;0;75;13;14;9023;;
21;15;1055;415;3;84;22;25;49203;;
21;16;1169;682;3;67;19;20;204;;
21;17;1030;329;0;60;12;14;22118;;
22;0;677;236;0;55;14;20;57617;;
22;1;937;254;0;72;13;10;63249;;
22;2;1038;301;0;79;6;16;26214;;
22;3;944;317;0;75;10;23;26150;;
22;6;539;788;0;81;9;17;8510;;
22;7;767;818;0;53;10;27;16947;;
22;8;1096;858;0;77;20;20;36883;;
22;9;686;887;0;82;11;12;4846;;
22;11;869;249;7;64;12;11;14130;;
22;14;1065;328;1;75;13;14;9023;;
22;15;1055;415;4;84;22;25;49203;;
22;16;1169;682;4;67;19;20;204;;
22;17;1030;329;1;60;12;14;22118;;
22;18;1106;745;0;96;22;15;33075;;
23;0;677;236;1;55;14;20;57617;;
23;1;937;254;0;75;12;11;63281;;
23;2;1038;300;0;84;11;18;819;;
23;3;944;317;0;80;10;23;26150;;
23;6;538;788;0;73;9;16;9070;;
23;7;767;818;1;53;10;27;16947;;
23;8;1096;858;0;77;20;20;36883;;
23;9;686;887;1;82;11;12;4846;;
23;11;869;249;0;64;13;11;16242;;
23;14;1065;328;2;75;13;14;9023;;
23;15;1055;415;5;84;22;25;49203;;
23;16;1169;682;5;67;19;20;204;;
23;17;1030;329;2;60;12;14;22118;;
23;18;1106;745;1;96;22;15;33075;;
24;0;677;236;2;55;14;20;57617;;
24;1;939;253;0;83;14;13;36723;;
