FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;580;325;0;88;7;15;10086;UA44;0,3 uM CBD
0;1;414;504;0;55;20;15;39820;;
0;2;421;573;0;78;22;27;4300;;
0;3;469;659;0;74;9;14;4991;;
0;4;626;783;0;87;17;9;1022;;
0;5;710;843;0;54;24;14;52289;;
0;6;729;853;0;57;21;15;34963;;
3;0;580;325;1;88;7;15;10086;;
3;1;414;503;0;57;32;16;36488;;
3;2;421;573;1;78;22;27;4300;;
3;3;469;659;1;74;9;14;4991;;
3;4;627;783;0;91;17;10;5100;;
3;5;710;843;1;54;24;14;52289;;
3;6;728;853;0;59;21;16;34963;;
3;7;489;752;0;86;27;21;4300;;
3;8;912;903;0;78;18;22;49203;;
4;0;580;325;2;88;7;15;10086;;
4;1;414;504;0;55;20;16;39820;;
4;2;421;573;2;78;22;27;4300;;
4;3;469;659;2;74;9;14;4991;;
4;4;627;783;1;91;17;10;5100;;
4;5;710;843;0;56;21;13;52417;;
4;6;729;853;0;74;20;19;34867;;
4;7;489;752;1;86;27;21;4300;;
4;8;914;902;0;77;19;25;49203;;
4;9;560;826;0;72;17;34;34860;;
4;10;1062;872;0;73;23;21;52737;;
5;0;580;325;3;88;7;15;10086;;
5;1;415;504;0;55;30;16;36520;;
5;2;421;573;0;80;23;27;4812;;
5;3;448;646;0;81;20;23;52353;;
5;4;627;783;2;91;17;10;5100;;
5;5;710;843;0;61;21;14;52417;;
5;6;729;853;0;57;20;16;34995;;
5;7;489;752;2;86;27;21;4300;;
5;8;914;902;1;77;19;25;49203;;
5;9;560;826;0;74;18;33;34924;;
5;10;1062;872;1;73;23;21;52737;;
6;0;580;325;4;88;7;15;10086;;
6;1;414;504;0;56;33;15;36488;;
6;2;421;573;1;80;23;27;4812;;
6;3;448;646;1;81;20;23;52353;;
6;4;627;783;3;91;17;10;5100;;
6;5;710;843;0;61;21;13;52417;;
6;6;728;853;0;59;21;15;34963;;
6;7;489;752;3;86;27;21;4300;;
6;8;914;902;2;77;19;25;49203;;
6;9;559;826;0;62;17;33;51254;;
6;10;1062;872;2;73;23;21;52737;;
7;0;580;325;5;88;7;15;10086;;
7;1;414;503;0;58;33;16;36488;;
7;2;420;573;0;69;22;13;2329;;
7;3;449;646;0;82;21;23;52353;;
7;4;627;783;4;91;17;10;5100;;
7;5;710;843;0;62;21;14;52417;;
7;6;729;853;0;53;20;16;34995;;
7;7;489;752;4;86;27;21;4300;;
7;8;914;902;0;83;19;25;49425;;
7;9;562;826;0;77;16;18;14156;;
7;10;1062;872;3;73;23;21;52737;;
7;11;468;660;0;59;21;19;279;;
8;0;580;325;6;88;7;15;10086;;
8;1;414;504;0;53;20;16;39308;;
8;2;420;573;0;67;20;13;6417;;
8;3;449;646;1;82;21;23;52353;;
8;4;627;783;5;91;17;10;5100;;
8;5;710;843;0;59;21;15;52417;;
8;6;728;853;0;55;20;15;34963;;
8;7;489;752;5;86;27;21;4300;;
8;8;914;902;1;83;19;25;49425;;
8;9;560;826;0;66;19;33;34924;;
8;10;1062;872;4;73;23;21;52737;;
8;11;467;661;0;62;22;23;33043;;
8;12;485;347;0;52;9;35;52360;;
8;13;440;547;0;80;12;11;19921;;
9;0;580;325;7;88;7;15;10086;;
9;1;414;503;0;52;20;16;39308;;
9;2;420;573;0;75;22;13;6425;;
9;3;448;647;0;86;20;23;52353;;
9;4;627;783;6;91;17;10;5100;;
9;5;710;843;0;56;21;15;52417;;
9;6;728;854;0;54;20;17;34963;;
9;7;489;752;6;86;27;21;4300;;
9;8;916;901;0;77;20;24;49203;;
9;9;560;826;0;68;18;33;34924;;
9;10;1062;872;5;73;23;21;52737;;
9;11;467;661;1;62;22;23;33043;;
9;12;485;347;1;52;9;35;52360;;
9;13;440;547;1;80;12;11;19921;;
10;0;580;325;8;88;7;15;10086;;
10;1;415;504;0;56;31;16;36520;;
10;2;420;573;1;75;22;13;6425;;
10;3;448;647;0;89;20;24;52241;;
10;4;627;783;7;91;17;10;5100;;
10;5;710;843;0;56;20;13;52417;;
10;6;728;854;1;54;20;17;34963;;
10;7;511;738;0;81;6;17;26210;;
10;8;916;901;0;76;20;24;49203;;
10;9;559;826;0;66;17;33;34870;;
10;10;1062;872;6;73;23;21;52737;;
10;11;467;661;2;62;22;23;33043;;
10;12;485;347;2;52;9;35;52360;;
10;13;440;547;2;80;12;11;19921;;
11;0;580;325;9;88;7;15;10086;;
11;1;415;504;0;58;31;16;36520;;
11;2;420;573;0;69;20;13;6929;;
11;3;448;647;0;81;20;23;52353;;
11;4;627;783;8;91;17;10;5100;;
