FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;633;243;0;82;14;14;4593;UA44;ET 1.1000
0;1;966;249;0;65;11;15;4919;;
0;2;839;316;0;83;12;18;17507;;
0;3;915;312;0;75;33;20;11921;;
0;4;477;346;0;53;17;23;51206;;
0;5;695;340;0;95;15;19;4476;;
0;6;935;331;0;86;22;15;40408;;
0;7;724;398;0;77;22;7;3824;;
0;8;909;431;0;85;9;21;17507;;
0;9;1131;457;0;74;11;14;4383;;
0;10;738;471;0;81;28;20;6612;;
0;11;1094;462;0;96;14;8;511;;
0;12;691;531;0;90;21;18;35015;;
0;13;714;521;0;101;21;31;31001;;
0;14;416;559;0;70;11;14;4911;;
0;15;521;568;0;97;12;24;9828;;
0;16;772;558;0;72;19;18;12574;;
0;17;1162;558;0;70;19;27;23617;;
0;18;426;586;0;66;25;15;488;;
0;19;804;629;0;96;10;16;17974;;
0;20;446;659;0;89;24;20;32136;;
0;21;1051;654;0;86;16;12;4479;;
0;22;1103;659;0;95;7;17;1639;;
0;23;615;702;0;88;13;15;17479;;
0;24;707;694;0;73;11;16;9462;;
0;25;777;705;0;92;20;8;2032;;
0;26;855;681;0;98;28;12;2288;;
0;27;684;715;0;76;24;23;5320;;
0;28;803;710;0;86;21;20;37139;;
0;29;975;727;0;81;6;21;18022;;
0;30;864;743;0;90;6;23;8806;;
0;31;788;815;0;87;10;20;17506;;
0;32;746;814;0;90;16;12;508;;
0;33;998;837;0;79;21;16;39187;;
0;34;628;895;0;65;5;19;551;;
0;35;756;934;0;68;10;14;4415;;
3;0;633;234;0;76;15;20;12572;;
3;1;965;249;0;63;10;13;4415;;
3;2;838;311;0;76;11;18;17479;;
3;3;915;312;1;75;33;20;11921;;
3;4;477;346;1;53;17;23;51206;;
3;5;686;345;0;90;18;14;4383;;
3;6;928;331;0;82;21;16;40408;;
3;7;724;398;1;77;22;7;3824;;
3;8;909;433;0;86;11;19;17955;;
3;9;1130;457;0;72;12;14;4383;;
3;10;744;476;0;77;25;12;3412;;
3;11;1094;462;1;96;14;8;511;;
3;12;690;532;0;88;20;31;16463;;
3;13;715;523;0;89;20;33;57626;;
3;14;416;560;0;76;11;14;4415;;
3;15;519;568;0;97;25;19;9929;;
3;16;778;561;0;84;22;19;12652;;
3;17;1162;555;0;62;4;18;13095;;
3;18;420;591;0;54;14;9;878;;
3;19;806;634;0;85;10;14;4980;;
3;20;454;669;0;94;20;11;12176;;
3;21;1049;654;0;75;21;7;1008;;
3;22;1104;659;0;101;9;17;18023;;
3;23;616;703;0;91;17;17;35043;;
3;24;707;694;1;73;11;16;9462;;
3;25;777;706;0;85;24;8;2032;;
3;26;875;689;0;95;27;9;3185;;
3;27;690;713;0;72;28;27;13224;;
3;28;802;711;0;91;22;18;39187;;
3;29;973;726;0;79;9;19;25395;;
3;30;864;743;1;90;6;23;8806;;
3;31;786;813;0;88;15;18;49937;;
3;32;747;813;0;109;22;11;1020;;
3;33;998;837;1;79;21;16;39187;;
3;34;628;896;0;64;5;18;9831;;
3;35;756;934;0;74;10;16;9006;;
3;36;952;387;0;60;11;14;18046;;
3;37;819;575;0;93;17;11;1841;;
3;38;461;631;0;72;11;15;4911;;
3;39;822;670;0;73;9;14;29772;;
4;0;634;227;0;73;17;25;13092;;
4;1;964;250;0;59;11;12;4415;;
4;2;840;319;0;83;15;15;49715;;
4;3;915;312;2;75;33;20;11921;;
4;4;477;346;2;53;17;23;51206;;
4;5;680;351;0;82;18;11;4478;;
4;6;928;332;0;88;20;15;39320;;
4;7;728;399;0;72;22;7;3824;;
4;8;908;431;0;89;12;19;17955;;
4;9;1131;457;0;70;11;15;4383;;
4;10;743;479;0;81;22;20;36181;;
4;11;1094;462;2;96;14;8;511;;
4;12;690;533;0;89;20;18;35015;;
4;13;715;522;0;80;20;32;57626;;
4;14;416;561;0;73;12;15;4383;;
4;15;517;568;0;91;25;22;8931;;
4;16;781;560;0;94;24;19;9096;;
4;17;1162;554;0;66;6;19;9015;;
4;18;424;587;0;69;29;17;492;;
4;19;806;639;0;94;10;21;9796;;
