FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;960;247;0;55;5;12;18022;UA44;CONTROL
0;1;909;272;0;55;19;22;4364;;
0;2;681;447;0;91;12;15;33871;;
0;3;436;469;0;78;11;15;4383;;
0;4;482;483;0;87;16;12;4974;;
0;5;545;455;0;83;14;12;1143;;
0;6;693;535;0;87;15;10;4991;;
0;7;1056;539;0;86;8;20;8806;;
0;8;763;568;0;84;16;13;4972;;
0;9;686;606;0;95;16;14;36784;;
0;10;485;653;0;77;13;15;4415;;
0;11;675;628;0;90;15;20;51207;;
0;12;652;721;0;95;9;19;4966;;
0;13;845;710;0;73;23;24;52289;;
0;14;911;706;0;73;10;11;4383;;
0;15;1005;779;0;78;19;24;31764;;
0;16;917;802;0;69;6;13;26215;;
0;17;962;881;0;82;18;8;2033;;
3;0;960;247;1;55;5;12;18022;;
3;1;893;287;0;56;20;21;4360;;
3;2;682;454;0;91;15;16;36401;;
3;3;434;475;0;77;13;14;4927;;
3;4;480;487;0;91;15;13;4415;;
3;5;547;456;0;79;11;12;62258;;
3;6;690;534;0;88;17;9;1016;;
3;7;1059;538;0;68;12;14;30028;;
3;8;768;567;0;97;15;15;4991;;
3;9;686;606;1;95;16;14;36784;;
3;10;484;659;0;77;11;14;4911;;
3;11;675;628;1;90;15;20;51207;;
3;12;655;713;0;96;12;20;9828;;
3;13;843;709;0;73;9;13;26147;;
3;14;910;706;0;78;10;11;4383;;
3;15;1005;777;0;89;24;17;11905;;
3;16;921;800;0;76;8;13;5991;;
3;17;955;883;0;75;19;8;2544;;
3;18;803;305;0;66;15;23;4206;;
3;19;527;379;0;99;25;21;3313;;
3;20;728;629;0;77;13;7;511;;
4;0;960;247;2;55;5;12;18022;;
4;1;893;287;1;56;20;21;4360;;
4;2;687;457;0;90;17;13;50291;;
4;3;433;477;0;71;11;15;4967;;
4;4;475;489;0;78;15;12;4607;;
4;5;548;459;0;81;10;14;17487;;
4;6;687;537;0;89;18;10;1004;;
4;7;1060;533;0;78;16;11;5096;;
4;8;769;563;0;86;14;16;13164;;
4;9;686;606;2;95;16;14;36784;;
4;10;483;658;0;75;10;17;13164;;
4;11;675;628;2;90;15;20;51207;;
4;12;656;713;0;90;12;17;5964;;
4;13;843;708;0;80;9;15;1919;;
4;14;910;706;0;74;12;13;1591;;
4;15;1002;778;0;80;24;15;11777;;
4;16;921;801;0;77;10;12;13894;;
4;17;951;881;0;83;19;7;761;;
4;18;803;305;1;66;15;23;4206;;
4;19;527;379;1;99;25;21;3313;;
4;20;726;630;0;85;14;7;4607;;
4;21;968;366;0;62;9;10;886;;
5;0;960;247;3;55;5;12;18022;;
5;1;893;287;2;56;20;21;4360;;
5;2;687;461;0;98;13;17;18225;;
5;3;431;480;0;75;7;19;8742;;
5;4;474;491;0;82;15;10;4415;;
5;5;551;466;0;91;12;18;17969;;
5;6;684;536;0;89;17;9;3442;;
5;7;1068;531;0;77;14;11;4476;;
5;8;772;563;0;91;16;15;5964;;
5;9;688;610;0;97;18;25;58252;;
5;10;479;664;0;71;13;13;4415;;
5;11;675;628;3;90;15;20;51207;;
5;12;659;710;0;93;16;16;14024;;
5;13;843;709;0;71;9;14;17531;;
5;14;911;706;0;70;9;10;319;;
5;15;998;778;0;80;15;6;7603;;
