FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;709;387;0;83;10;10;375;UA44;0,3 uM CBD
0;1;778;387;0;71;9;10;4383;;
0;2;845;420;0;79;8;18;4982;;
0;3;1113;412;0;80;11;9;4383;;
0;4;515;503;0;78;7;12;1614;;
0;5;640;591;0;101;19;14;50275;;
0;6;843;611;0;72;11;8;4383;;
0;7;721;625;0;84;14;11;1399;;
0;8;913;657;0;73;16;8;2032;;
0;9;1059;646;0;65;11;24;17479;;
0;10;635;733;0;58;16;15;35251;;
0;11;1065;732;0;61;19;15;35987;;
0;12;803;814;0;73;17;20;52323;;
0;13;661;845;0;90;10;11;4383;;
0;14;815;831;0;69;18;17;49463;;
0;15;696;927;0;67;15;21;58371;;
3;0;709;387;0;82;10;10;887;;
3;1;778;387;1;71;9;10;4383;;
3;2;844;426;0;89;7;18;9830;;
3;3;1114;412;0;76;11;9;4447;;
3;4;514;504;0;76;8;11;4383;;
3;5;638;591;0;101;18;15;36625;;
3;6;842;611;0;63;11;7;4383;;
3;7;725;625;0;77;18;21;4239;;
3;8;913;657;0;80;17;7;496;;
3;9;1059;648;0;65;20;22;51207;;
3;10;635;733;1;58;16;15;35251;;
3;11;1066;731;0;69;20;18;52241;;
3;12;803;814;0;61;17;20;52323;;
3;13;662;845;0;85;10;11;4383;;
3;14;815;831;0;55;18;17;49463;;
3;15;698;926;0;55;14;21;58883;;
3;16;1150;530;0;64;15;7;4383;;
3;17;734;609;0;83;18;19;4383;;
4;0;709;387;0;78;9;10;4383;;
4;1;778;389;0;74;9;10;4383;;
4;2;844;428;0;85;7;19;12838;;
4;3;1114;412;0;76;11;9;4447;;
4;4;515;502;0;90;9;12;9806;;
4;5;640;591;0;96;18;14;3683;;
4;6;842;611;1;63;11;7;4383;;
4;7;727;625;0;83;15;21;4175;;
4;8;913;657;0;81;17;7;496;;
4;9;1059;648;0;63;20;23;34831;;
4;10;635;733;2;58;16;15;35251;;
4;11;1066;731;0;67;20;21;51217;;
4;12;803;814;0;59;17;21;50227;;
4;13;661;845;0;95;10;11;4383;;
4;14;815;831;0;63;17;17;49207;;
4;15;696;927;0;68;15;22;50695;;
4;16;1151;531;0;64;13;7;4383;;
4;17;734;609;0;86;15;19;4383;;
4;18;795;201;0;64;15;14;58881;;
4;19;1079;771;0;66;11;8;4383;;
4;20;863;945;0;57;12;17;30479;;
5;0;709;387;1;78;9;10;4383;;
5;1;781;388;0;74;9;10;4383;;
5;2;845;424;0;79;6;18;8742;;
5;3;1114;412;0;79;12;9;3953;;
5;4;515;504;0;85;23;23;52353;;
5;5;643;593;0;100;21;13;3185;;
5;6;843;609;0;78;11;9;4383;;
5;7;727;624;0;74;18;4;3313;;
5;8;913;657;0;81;17;8;5104;;
5;9;1059;647;0;75;20;25;35975;;
5;10;635;735;0;64;14;15;39199;;
5;11;1066;731;0;80;20;21;51217;;
5;12;803;814;0;78;18;21;52259;;
5;13;661;844;0;91;10;10;4383;;
