FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;677;237;0;75;18;11;1012;UA44;ET 1.1000
0;1;884;297;0;80;22;16;4556;;
0;2;964;395;0;77;18;13;35939;;
0;3;832;464;0;87;20;21;13068;;
0;4;820;486;0;74;7;11;4383;;
0;5;793;687;0;80;13;7;4415;;
0;6;844;774;0;75;18;6;511;;
0;7;845;937;0;89;10;11;4415;;
3;0;677;237;0;60;17;8;992;;
3;1;885;296;0;70;22;16;4552;;
3;2;960;394;0;70;18;11;3185;;
3;3;832;464;0;82;20;21;13068;;
3;4;820;487;0;83;7;13;29495;;
3;5;793;687;0;76;13;6;4415;;
3;6;844;775;0;70;16;6;1008;;
3;7;844;937;0;86;9;12;1892;;
3;8;674;528;0;89;10;11;4383;;
4;0;677;236;0;65;19;9;1012;;
4;1;885;297;0;83;22;18;4552;;
4;2;960;394;0;76;18;10;3107;;
4;3;832;464;0;70;20;20;13068;;
4;4;819;485;0;72;18;24;204;;
4;5;792;687;0;85;13;7;1407;;
4;6;844;775;0;70;18;6;511;;
4;7;845;936;0;85;10;10;4415;;
4;8;674;528;1;89;10;11;4383;;
4;9;894;262;0;58;19;17;35887;;
5;0;677;236;0;61;14;9;1014;;
5;1;885;296;0;83;23;23;4380;;
5;2;959;394;0;76;18;10;3107;;
5;3;833;464;0;69;20;20;13064;;
5;4;819;484;0;76;21;24;4300;;
5;5;793;687;0;80;13;7;383;;
5;6;843;775;0;64;16;6;496;;
5;7;845;937;0;94;10;12;1908;;
5;8;674;528;2;89;10;11;4383;;
5;9;894;262;1;58;19;17;35887;;
6;0;677;236;0;63;15;10;380;;
6;1;886;295;0;71;23;16;4552;;
6;2;959;394;0;83;17;10;3633;;
6;3;833;464;0;82;20;21;13064;;
6;4;819;486;0;75;20;23;4302;;
6;5;793;687;0;85;13;7;1407;;
6;6;844;774;0;70;17;6;497;;
6;7;845;936;0;83;10;11;4383;;
6;8;674;528;3;89;10;11;4383;;
6;9;893;261;0;58;17;16;33903;;
6;10;1120;799;0;56;18;9;3537;;
7;0;677;237;0;66;15;10;1014;;
7;1;886;295;0;77;23;22;4444;;
7;2;954;392;0;79;19;9;2033;;
7;3;831;463;0;89;22;25;4888;;
7;4;819;487;0;86;9;12;18231;;
7;5;793;687;0;87;15;7;383;;
7;6;843;774;0;75;17;6;1009;;
7;7;844;936;0;88;10;12;1892;;
7;8;671;529;0;79;7;12;18023;;
7;9;894;262;0;57;19;17;35951;;
7;10;1120;799;1;56;18;9;3537;;
8;0;677;237;1;66;15;10;1014;;
8;1;885;297;0;76;22;15;4552;;
8;2;955;392;0;79;16;9;3984;;
8;3;832;464;0;82;21;21;13064;;
8;4;819;487;0;88;9;11;4383;;
8;5;793;687;0;67;13;6;1407;;
8;6;844;774;0;71;16;7;1008;;
8;7;844;937;0;82;9;12;1892;;
8;8;672;528;0;75;7;13;4447;;
8;9;894;262;0;55;12;15;52775;;
8;10;1120;799;2;56;18;9;3537;;
9;0;677;237;2;66;15;10;1014;;
9;1;884;298;0;71;21;17;5576;;
9;2;954;395;0;75;13;9;3992;;
9;3;832;465;0;80;20;22;13068;;
9;4;819;490;0;83;7;11;4383;;
9;5;793;687;0;79;13;7;319;;
9;6;844;774;0;77;17;6;1008;;
9;7;844;937;0;84;9;11;4479;;
9;8;672;528;1;75;7;13;4447;;
9;9;894;262;0;64;17;21;3175;;
9;10;1120;799;3;56;18;9;3537;;
9;11;563;645;0;90;11;9;4383;;
10;0;677;237;3;66;15;10;1014;;
10;1;885;296;0;81;22;16;4552;;
10;2;954;393;0;72;15;10;4972;;
10;3;832;465;1;80;20;22;13068;;
10;4;820;489;0;73;7;12;10084;;
10;5;794;687;0;77;13;7;895;;
10;6;843;775;0;69;16;7;2032;;
10;7;844;937;0;85;10;10;4479;;
10;8;672;528;2;75;7;13;4447;;
10;9;894;262;1;64;17;21;3175;;
10;10;1120;799;4;56;18;9;3537;;
10;11;563;645;1;90;11;9;4383;;
10;12;880;726;0;77;15;16;32911;;
11;0;677;237;4;66;15;10;1014;;
11;1;884;297;0;78;22;18;4552;;
11;2;954;392;0;78;15;12;13164;;
11;3;831;465;0;88;12;9;6000;;
11;4;819;491;0;67;9;11;4383;;
11;5;793;687;0;87;13;7;319;;
11;6;844;774;0;72;17;7;497;;
11;7;844;937;0;85;10;11;4479;;
11;8;672;528;3;75;7;13;4447;;
11;9;893;261;0;55;12;15;50727;;
11;10;1120;799;5;56;18;9;3537;;
11;11;563;645;2;90;11;9;4383;;
11;12;889;727;0;94;20;21;32881;;
11;13;1150;681;0;56;19;19;37151;;
12;0;681;233;0;78;18;22;64513;;
12;1;884;297;1;78;22;18;4552;;
12;2;955;392;0;81;18;8;496;;
12;3;831;464;0;81;21;21;13064;;
12;4;819;491;1;67;9;11;4383;;
12;5;793;687;0;88;13;7;895;;
12;6;843;775;0;73;18;6;511;;
12;7;844;937;0;85;9;11;4927;;
12;8;672;528;4;75;7;13;4447;;
12;9;893;261;1;55;12;15;50727;;
12;10;1120;799;6;56;18;9;3537;;
12;11;563;645;3;90;11;9;4383;;
12;12;889;727;1;94;20;21;32881;;
12;13;1150;681;1;56;19;19;37151;;
13;0;678;234;0;84;21;23;65025;;
13;1;885;296;0;71;22;22;4380;;
13;2;953;391;0;78;17;10;2295;;
13;3;834;466;0;88;22;22;13064;;
13;4;818;487;0;81;7;14;1135;;
13;5;793;687;0;97;13;8;5431;;
13;6;843;775;0;66;16;6;496;;
13;7;845;938;0;79;10;12;1908;;
13;8;672;528;5;75;7;13;4447;;
13;9;893;261;2;55;12;15;50727;;
13;10;1120;799;7;56;18;9;3537;;
13;11;563;644;0;93;10;9;4383;;
13;12;880;726;0;89;11;16;119;;
13;13;1150;681;2;56;19;19;37151;;
14;0;678;234;1;84;21;23;65025;;
14;1;886;295;0;78;23;17;4556;;
14;2;955;392;0;74;18;9;2263;;
14;3;834;466;0;84;22;23;13064;;
14;4;819;488;0;71;7;12;1638;;
14;5;793;687;0;72;12;6;1407;;
14;6;843;775;0;66;16;6;496;;
14;7;844;937;0;82;9;11;4479;;
14;8;672;528;6;75;7;13;4447;;
14;9;894;263;0;56;11;15;50727;;
14;10;1120;799;8;56;18;9;3537;;
14;11;563;645;0;84;11;9;4383;;
