FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;703;256;0;60;22;21;52224;UA44;ETANOL
0;1;723;272;0;65;21;20;34833;;
0;2;659;278;0;59;7;17;16439;;
0;3;690;350;0;102;10;12;1655;;
0;4;727;351;0;69;11;11;4383;;
0;5;876;401;0;105;22;21;4556;;
0;6;893;387;0;98;19;21;4556;;
0;7;959;400;0;80;20;4;3824;;
0;8;923;439;0;73;10;18;13175;;
0;9;1017;419;0;84;12;7;14192;;
0;10;1003;569;0;75;21;14;13208;;
0;11;954;612;0;79;10;11;4383;;
0;12;469;676;0;71;9;13;4383;;
0;13;545;673;0;66;7;13;14195;;
0;14;1018;866;0;56;18;15;4383;;
3;0;703;256;0;55;22;21;52224;;
3;1;723;272;0;67;21;19;34833;;
3;2;659;278;0;66;7;17;24615;;
3;3;690;350;0;103;10;11;4383;;
3;4;727;351;1;69;11;11;4383;;
3;5;876;400;0;86;22;21;4556;;
3;6;893;386;0;88;19;21;4556;;
3;7;959;402;0;69;16;8;2548;;
3;8;929;427;0;89;10;19;13183;;
3;9;1017;419;1;84;12;7;14192;;
3;10;1002;568;0;64;19;15;4511;;
3;11;954;611;0;80;10;11;4383;;
3;12;469;676;1;71;9;13;4383;;
3;13;547;675;0;72;7;13;14199;;
3;14;1018;866;1;56;18;15;4383;;
3;15;687;325;0;102;12;21;4375;;
4;0;703;256;0;56;22;20;52224;;
4;1;723;271;0;61;21;21;34835;;
4;2;659;278;0;63;7;17;16423;;
4;3;691;352;0;96;10;12;1911;;
4;4;725;351;0;80;23;11;2353;;
4;5;876;401;0;98;22;21;4556;;
4;6;893;387;0;91;19;21;4556;;
4;7;958;402;0;71;15;9;2391;;
4;8;923;439;0;76;10;18;13183;;
4;9;1016;419;0;83;11;8;4383;;
4;10;1003;569;0;90;21;16;13209;;
4;11;954;612;0;81;9;12;10095;;
4;12;468;680;0;61;10;15;4383;;
4;13;547;675;1;72;7;13;14199;;
4;14;1018;866;2;56;18;15;4383;;
4;15;687;324;0;105;12;21;4375;;
4;16;976;267;0;58;15;20;49159;;
5;0;703;256;0;61;22;21;52224;;
5;1;723;272;0;68;21;19;34833;;
5;2;659;277;0;64;7;17;39;;
5;3;691;352;0;98;10;12;1655;;
5;4;726;351;0;74;11;7;4383;;
5;5;876;400;0;102;22;21;4556;;
5;6;893;387;0;87;19;21;4556;;
5;7;954;402;0;77;17;8;3442;;
5;8;924;439;0;90;10;19;13119;;
5;9;1017;419;0;78;11;7;4383;;
5;10;1002;569;0;74;19;15;4511;;
5;11;954;612;0;75;10;11;4383;;
5;12;469;678;0;76;9;13;4383;;
5;13;547;674;0;67;7;12;17507;;
5;14;1018;866;3;56;18;15;4383;;
5;15;687;324;1;105;12;21;4375;;
5;16;976;267;1;58;15;20;49159;;
5;17;818;409;0;90;17;12;1489;;
5;18;613;484;0;94;11;9;4383;;
6;0;703;256;0;58;23;20;52224;;
6;1;723;271;0;61;21;20;34835;;
6;2;659;278;0;60;7;17;16439;;
6;3;691;350;0;101;10;12;1911;;
6;4;725;351;0;72;23;11;3889;;
6;5;875;399;0;96;21;21;4556;;
6;6;893;387;0;88;19;21;4556;;
6;7;953;402;0;80;16;9;3632;;
6;8;923;439;0;96;10;19;13119;;
6;9;1017;419;0;82;11;7;4383;;
6;10;1002;569;1;74;19;15;4511;;
6;11;954;612;1;75;10;11;4383;;
6;12;470;676;0;58;8;14;4383;;
6;13;546;672;0;70;7;13;14195;;
6;14;1018;866;4;56;18;15;4383;;
6;15;687;324;2;105;12;21;4375;;
6;16;976;267;2;58;15;20;49159;;
6;17;818;409;1;90;17;12;1489;;
6;18;613;484;1;94;11;9;4383;;
7;0;703;256;0;59;22;21;52224;;
7;1;723;272;0;60;21;19;34833;;
7;2;659;277;0;63;7;17;16423;;
7;3;690;351;0;95;10;10;4375;;
7;4;726;351;0;67;22;11;3889;;
7;5;876;400;0;100;22;21;4556;;
7;6;893;387;0;91;19;21;4556;;
7;7;950;399;0;83;16;9;3760;;
7;8;923;439;0;79;10;18;13119;;
7;9;1017;419;1;82;11;7;4383;;
7;10;1002;569;0;74;20;15;4504;;
7;11;954;612;0;84;10;11;4383;;
7;12;470;676;1;58;8;14;4383;;
7;13;547;674;0;74;7;12;18023;;
7;14;1018;866;5;56;18;15;4383;;
7;15;687;324;0;97;11;21;4375;;
7;16;976;267;3;58;15;20;49159;;
7;17;818;409;2;90;17;12;1489;;
7;18;613;484;2;94;11;9;4383;;
7;19;509;384;0;58;21;19;4364;;
8;0;703;256;1;59;22;21;52224;;
8;1;723;271;0;62;21;21;34833;;
8;2;659;277;1;63;7;17;16423;;
8;3;690;351;0;99;10;12;1911;;
8;4;725;351;0;76;23;11;2353;;
8;5;875;400;0;97;21;21;4556;;
8;6;892;386;0;87;20;20;4556;;
8;7;951;401;0;84;16;8;3761;;
8;8;923;439;0;85;10;19;13095;;
8;9;1017;419;2;82;11;7;4383;;
8;10;1003;569;0;70;20;14;13192;;
8;11;954;612;0;86;10;11;4383;;
8;12;470;676;2;58;8;14;4383;;
8;13;547;675;0;72;7;12;25703;;
8;14;1018;866;6;56;18;15;4383;;
8;15;687;325;0;107;12;21;4375;;
8;16;976;267;4;58;15;20;49159;;
8;17;818;409;3;90;17;12;1489;;
8;18;613;484;3;94;11;9;4383;;
8;19;507;385;0;65;19;19;4383;;
9;0;703;256;0;60;22;21;52224;;
9;1;723;271;0;66;21;20;34835;;
9;2;659;277;0;66;7;18;16423;;
9;3;691;351;0;98;10;11;4383;;
9;4;725;351;0;76;23;11;2353;;
9;5;875;401;0;89;21;21;4556;;
9;6;893;386;0;80;19;20;4488;;
9;7;953;401;0;71;15;8;2009;;
9;8;923;439;1;85;10;19;13095;;
9;9;1017;419;0;80;11;8;4383;;
9;10;1003;569;1;70;20;14;13192;;
9;11;954;612;1;86;10;11;4383;;
9;12;470;676;3;58;8;14;4383;;
9;13;547;675;0;64;7;12;25699;;
9;14;1018;866;7;56;18;15;4383;;
9;15;687;325;0;99;11;20;12567;;
9;16;976;267;5;58;15;20;49159;;
9;17;819;408;0;74;13;11;1501;;
9;18;614;484;0;80;12;6;2047;;
9;19;507;385;0;67;20;20;4366;;
10;0;703;256;0;57;23;20;52224;;
10;1;723;271;0;64;21;20;34833;;
10;2;659;278;0;66;7;18;16391;;
10;3;691;352;0;102;10;12;1911;;
10;4;726;351;0;74;22;11;2865;;
10;5;876;400;0;94;22;21;4556;;
10;6;892;387;0;88;20;21;4556;;
10;7;950;401;0;77;14;9;3985;;
10;8;923;439;0;89;10;20;8806;;
10;9;1017;419;0;81;9;10;4383;;
10;10;1002;568;0;63;18;15;4511;;
10;11;954;612;0;87;10;11;4383;;
10;12;470;675;0;57;8;13;4383;;
10;13;546;673;0;73;7;13;14199;;
10;14;1018;866;8;56;18;15;4383;;
10;15;687;325;1;99;11;20;12567;;
10;16;976;267;6;58;15;20;49159;;
10;17;819;408;1;74;13;11;1501;;
10;18;614;484;1;80;12;6;2047;;
10;19;507;385;1;67;20;20;4366;;
11;0;703;256;0;59;22;22;52224;;
11;1;723;272;0;59;21;20;34833;;
11;2;659;277;0;62;7;17;16423;;
11;3;690;351;0;99;10;12;1911;;
11;4;725;351;0;75;23;10;3889;;
11;5;875;401;0;91;21;21;4556;;
11;6;892;387;1;88;20;21;4556;;
11;7;951;401;0;82;14;9;3993;;
11;8;923;439;0;77;10;18;4991;;
11;9;1017;419;0;89;12;7;6000;;
11;10;1002;569;0;74;19;16;4511;;
11;11;953;612;0;89;10;12;13119;;
11;12;469;678;0;60;8;13;13087;;
11;13;547;675;0;77;7;12;26215;;
11;14;1005;875;0;55;17;15;4511;;
11;15;687;324;0;105;11;21;4375;;
11;16;976;267;7;58;15;20;49159;;
11;17;819;408;2;74;13;11;1501;;
11;18;614;484;2;80;12;6;2047;;
11;19;507;385;2;67;20;20;4366;;
11;20;652;342;0;75;11;7;4383;;
12;0;703;256;0;61;22;20;52224;;
12;1;723;272;0;61;21;20;34835;;
12;2;659;278;0;62;7;18;24583;;
12;3;690;351;0;101;10;12;1911;;
12;4;725;351;0;76;12;7;3952;;
12;5;875;401;0;97;21;21;4556;;
12;6;893;386;0;85;19;20;4488;;
12;7;951;401;0;76;14;10;3985;;
12;8;924;438;0;81;10;19;13135;;
12;9;1017;419;1;89;12;7;6000;;
12;10;1002;569;0;63;19;15;4511;;
12;11;954;611;0;70;9;10;4383;;
12;12;469;678;1;60;8;13;13087;;
12;13;547;674;0;70;7;12;25703;;
12;14;1018;866;0;55;21;15;4559;;
12;15;687;324;1;105;11;21;4375;;
12;16;976;267;8;58;15;20;49159;;
12;17;819;408;3;74;13;11;1501;;
12;18;613;484;0;81;11;7;4383;;
12;19;508;384;0;65;20;19;4876;;
12;20;652;342;1;75;11;7;4383;;
13;0;703;256;0;55;22;20;52288;;
13;1;723;271;0;57;21;20;34835;;
13;2;659;277;0;64;7;17;16487;;
13;3;690;351;0;99;10;11;4383;;
13;4;725;351;0;73;23;11;2353;;
13;5;876;401;0;99;22;21;4556;;
13;6;892;387;0;100;20;21;4556;;
13;7;950;400;0;81;17;8;4049;;
13;8;924;438;1;81;10;19;13135;;
13;9;1016;418;0;77;11;7;4383;;
13;10;1002;569;0;70;19;15;4511;;
13;11;954;612;0;74;10;11;4383;;
13;12;469;678;2;60;8;13;13087;;
13;13;547;674;0;71;7;13;6007;;
13;14;1018;866;1;55;21;15;4559;;
13;15;687;324;0;105;26;21;4411;;
13;16;976;267;9;58;15;20;49159;;
13;17;819;408;4;74;13;11;1501;;
13;18;613;484;1;81;11;7;4383;;
13;19;508;385;0;63;20;19;4364;;
13;20;652;342;2;75;11;7;4383;;
14;0;703;256;0;55;22;20;52224;;
14;1;723;271;0;60;21;20;34833;;
14;2;659;278;0;65;7;17;16439;;
14;3;690;351;0;100;10;11;4383;;
14;4;726;351;0;75;11;9;4383;;
14;5;876;400;0;94;22;21;4556;;
14;6;892;386;0;98;20;20;4556;;
14;7;951;402;0;76;16;7;2288;;
14;8;928;427;0;73;10;18;13175;;
14;9;1017;419;0;92;11;9;4383;;
14;10;1002;569;0;70;20;14;4508;;
14;11;955;611;0;74;9;11;4383;;
14;12;469;678;3;60;8;13;13087;;
14;13;547;674;0;72;7;13;14199;;
14;14;1018;866;2;55;21;15;4559;;
14;15;687;325;0;102;11;21;12567;;
14;17;819;408;5;74;13;11;1501;;
14;18;613;484;2;81;11;7;4383;;
14;19;508;385;1;63;20;19;4364;;
14;20;652;342;3;75;11;7;4383;;
15;0;703;255;0;59;22;20;52224;;
15;1;723;271;0;61;21;20;34833;;
15;2;659;278;0;55;7;17;16391;;
15;3;691;351;0;100;10;12;1911;;
15;4;726;351;1;75;11;9;4383;;
15;5;877;400;0;99;23;21;4428;;
15;6;892;386;0;98;20;20;4552;;
15;7;948;402;0;73;13;10;2207;;
15;8;924;438;0;89;11;19;4415;;
15;9;1017;419;0;77;11;9;4383;;
15;10;1002;569;0;71;20;14;4509;;
15;11;954;612;0;84;9;12;10095;;
15;12;469;678;4;60;8;13;13087;;
15;13;548;674;0;81;7;13;30583;;
15;14;1018;866;3;55;21;15;4559;;
15;15;687;325;1;102;11;21;12567;;
15;17;819;408;6;74;13;11;1501;;
15;18;613;484;3;81;11;7;4383;;
15;19;507;385;0;67;20;19;4364;;
15;20;652;342;4;75;11;7;4383;;
15;21;1065;849;0;64;19;19;37151;;
16;0;703;255;1;59;22;20;52224;;
16;1;723;272;0;63;21;19;34817;;
16;2;659;278;0;59;7;18;16487;;
16;3;690;351;0;100;10;12;1911;;
16;4;727;351;0;70;21;10;3889;;
16;5;875;399;0;99;21;20;4428;;
16;6;893;387;0;96;19;20;12748;;
16;7;948;402;0;76;13;12;33879;;
16;8;924;439;0;81;10;19;13151;;
16;9;1017;419;0;80;11;7;4383;;
16;10;1002;569;1;71;20;14;4509;;
16;11;954;611;0;87;10;11;4383;;
16;12;469;678;5;60;8;13;13087;;
16;13;547;674;0;76;7;12;18023;;
16;14;1018;866;0;58;21;15;4511;;
16;15;687;325;2;102;11;21;12567;;
16;17;819;408;7;74;13;11;1501;;
16;18;613;484;4;81;11;7;4383;;
16;19;507;384;0;56;20;19;4364;;
16;20;652;342;5;75;11;7;4383;;
16;21;1065;849;1;64;19;19;37151;;
16;22;1005;876;0;58;21;15;4511;;
17;0;703;256;0;59;22;20;52224;;
17;1;723;271;0;63;21;20;34833;;
17;2;659;278;0;60;7;17;16439;;
17;3;690;351;0;100;10;11;4383;;
17;4;726;351;0;69;23;10;2867;;
17;5;875;402;0;105;21;20;4556;;
17;6;892;387;0;102;20;21;4556;;
17;7;947;402;0;78;13;13;33879;;
17;8;924;439;1;81;10;19;13151;;
17;9;1017;419;0;80;11;7;4383;;
17;10;1003;569;0;70;19;15;4511;;
17;11;954;611;0;74;9;11;4383;;
17;12;469;674;0;63;10;12;4383;;
17;13;547;674;0;70;7;13;14195;;
17;14;1018;866;1;58;21;15;4511;;
17;15;687;324;0;102;11;21;4375;;
17;17;819;408;8;74;13;11;1501;;
17;18;613;484;5;81;11;7;4383;;
17;19;507;384;1;56;20;19;4364;;
17;20;652;342;6;75;11;7;4383;;
17;21;1065;849;2;64;19;19;37151;;
17;22;1005;876;1;58;21;15;4511;;
17;23;493;495;0;60;10;8;4383;;
18;0;703;256;0;56;22;20;52224;;
18;1;723;271;0;63;21;20;34833;;
18;2;659;278;0;64;7;18;16423;;
18;3;690;351;0;98;10;12;1911;;
18;4;725;351;0;77;23;12;2353;;
18;5;875;401;0;92;21;21;4428;;
18;6;893;387;0;87;19;21;4556;;
18;7;946;401;0;73;12;12;50723;;
18;8;923;439;0;89;10;19;13071;;
18;9;1017;419;1;80;11;7;4383;;
18;10;1002;569;0;72;20;14;4504;;
18;11;954;612;0;83;10;11;4383;;
18;12;469;674;1;63;10;12;4383;;
18;13;547;675;0;71;7;13;13687;;
18;14;1018;866;2;58;21;15;4511;;
18;15;687;325;0;102;11;21;4375;;
18;17;819;408;9;74;13;11;1501;;
18;18;613;484;0;78;11;7;4383;;
18;19;507;384;2;56;20;19;4364;;
18;20;652;342;7;75;11;7;4383;;
18;21;1065;849;3;64;19;19;37151;;
18;22;1005;876;2;58;21;15;4511;;
18;23;493;495;0;68;10;9;4383;;
18;24;962;387;0;61;19;18;4239;;
18;25;449;635;0;57;11;7;4383;;
19;0;703;256;0;60;22;20;52224;;
19;1;723;272;0;64;21;19;34833;;
19;2;659;278;0;60;7;17;16439;;
19;3;690;351;0;102;10;12;1911;;
19;4;725;351;0;68;11;7;4383;;
19;5;876;400;0;101;22;21;4556;;
19;6;893;387;0;94;19;21;4556;;
19;7;942;400;0;80;15;12;28433;;
19;8;923;439;0;88;10;18;13175;;
19;9;1017;419;0;80;10;8;4383;;
19;10;1002;569;0;77;20;14;12700;;
19;11;955;612;0;80;9;11;4383;;
19;12;469;674;2;63;10;12;4383;;
19;13;547;675;0;77;7;13;14199;;
19;14;1018;866;3;58;21;15;4511;;
19;15;687;325;1;102;11;21;4375;;
19;18;613;484;0;86;11;8;4383;;
19;19;507;384;3;56;20;19;4364;;
19;20;652;342;8;75;11;7;4383;;
19;21;1065;849;4;64;19;19;37151;;
19;22;1005;876;3;58;21;15;4511;;
19;23;493;495;0;56;8;10;4383;;
19;24;958;409;0;70;10;12;50723;;
19;25;449;635;1;57;11;7;4383;;
20;0;703;256;0;56;23;21;52224;;
20;1;723;271;0;66;21;20;34833;;
20;2;659;277;0;67;7;17;24679;;
20;3;690;351;0;95;10;12;1911;;
20;4;725;351;0;65;23;11;2353;;
20;5;876;400;0;101;22;21;4428;;
20;6;892;386;0;94;20;20;4556;;
20;7;940;397;0;81;14;12;61201;;
20;8;928;427;0;93;11;18;13127;;
20;9;1017;419;1;80;10;8;4383;;
20;10;1002;569;0;69;20;15;13208;;
20;11;955;612;0;85;10;11;4383;;
20;12;470;671;0;64;10;12;12575;;
20;13;547;674;0;77;7;13;14195;;
20;14;1018;866;4;58;21;15;4511;;
20;15;687;325;0;99;12;20;12567;;
20;18;613;484;1;86;11;8;4383;;
20;19;507;385;0;64;20;20;4364;;
20;20;652;342;9;75;11;7;4383;;
20;21;1065;849;5;64;19;19;37151;;
20;22;1005;876;4;58;21;15;4511;;
20;23;493;495;1;56;8;10;4383;;
20;24;958;409;1;70;10;12;50723;;
20;25;449;635;2;57;11;7;4383;;
20;26;818;410;0;66;8;11;4383;;
21;0;703;256;0;55;22;20;52224;;
21;1;723;272;0;65;21;19;34833;;
21;2;659;278;0;63;7;18;16431;;
21;3;690;350;0;100;10;12;1911;;
21;4;726;351;0;68;22;10;2867;;
21;5;875;401;0;100;21;21;4556;;
21;6;893;387;0;89;19;21;4556;;
21;7;941;397;0;77;14;13;35953;;
21;8;924;439;0;74;10;19;4895;;
21;9;1017;419;0;72;11;7;4383;;
21;10;1003;569;0;75;21;14;5016;;
21;11;954;612;0;87;10;11;4383;;
21;12;470;671;1;64;10;12;12575;;
21;13;547;674;0;74;7;13;14199;;
21;14;1018;866;5;58;21;15;4511;;
21;15;687;325;0;102;11;21;4375;;
21;18;614;484;0;76;11;7;4383;;
21;19;507;385;0;55;20;19;4878;;
21;21;1065;849;6;64;19;19;37151;;
21;22;1005;876;5;58;21;15;4511;;
21;23;493;495;2;56;8;10;4383;;
21;24;958;409;0;59;9;10;36147;;
21;25;449;635;3;57;11;7;4383;;
21;26;819;408;0;76;9;10;4383;;
22;0;703;256;1;55;22;20;52224;;
22;1;723;271;0;63;21;20;34817;;
22;2;660;277;0;59;7;17;16487;;
22;3;691;350;0;100;9;12;1655;;
22;4;725;351;0;66;23;10;3889;;
22;5;876;401;0;102;22;21;4556;;
22;6;893;387;0;87;19;21;4556;;
22;7;938;395;0;76;12;10;51399;;
22;8;923;439;0;75;10;18;13127;;
22;9;1017;419;0;89;12;9;1907;;
22;10;1002;568;0;67;21;15;5016;;
22;11;955;612;0;80;9;11;4383;;
22;12;470;671;2;64;10;12;12575;;
22;13;547;675;0;73;7;13;6007;;
22;14;1018;866;6;58;21;15;4511;;
22;15;687;325;0;105;12;20;12567;;
22;18;613;484;0;84;12;7;2032;;
22;19;508;385;0;57;21;19;4366;;
22;21;1065;849;7;64;19;19;37151;;
22;22;1005;876;6;58;21;15;4511;;
22;23;493;495;3;56;8;10;4383;;
22;24;958;409;0;60;18;17;35009;;
22;25;449;635;4;57;11;7;4383;;
22;26;817;411;0;90;15;12;4575;;
23;0;703;256;2;55;22;20;52224;;
23;1;723;271;0;63;21;20;34833;;
23;2;659;278;0;66;7;18;16487;;
23;3;690;350;0;101;10;12;1911;;
23;4;726;351;0;64;22;11;3889;;
23;5;876;400;0;101;22;21;4556;;
23;6;892;386;0;91;20;20;4552;;
23;7;940;396;0;74;10;9;7311;;
23;8;928;427;0;85;10;19;13087;;
23;9;1017;419;0;92;11;8;4383;;
23;10;1003;569;0;74;19;15;4511;;
23;11;954;611;0;93;10;11;4383;;
23;12;472;672;0;64;10;13;4383;;
23;13;546;672;0;73;7;13;14199;;
23;14;1018;866;7;58;21;15;4511;;
23;15;687;325;0;105;26;21;4411;;
23;18;613;484;0;69;11;7;4383;;
23;19;508;385;1;57;21;19;4366;;
23;21;1065;849;8;64;19;19;37151;;
23;22;1005;876;7;58;21;15;4511;;
23;23;493;495;0;73;9;10;4383;;
23;24;958;409;1;60;18;17;35009;;
23;25;449;635;5;57;11;7;4383;;
23;26;818;409;0;84;14;12;1501;;
24;0;703;256;0;56;22;20;52224;;
24;1;723;271;0;61;21;20;34833;;
24;2;659;278;0;56;7;17;16439;;
24;3;690;351;0;99;10;11;4383;;
24;4;725;351;0;74;23;12;2865;;
24;5;876;400;0;103;22;20;4556;;
24;6;893;387;0;85;19;20;12680;;
24;7;939;395;0;80;8;13;5959;;
24;8;923;439;0;86;10;18;13159;;
24;9;1017;418;0;89;10;10;4383;;
24;10;1002;569;0;59;18;14;4511;;
24;11;954;612;0;75;9;11;4383;;
24;12;468;680;0;63;10;14;4383;;
24;13;547;674;0;71;7;13;14195;;
24;14;1018;866;8;58;21;15;4511;;
24;15;687;324;0;100;12;21;4375;;
24;18;613;484;1;69;11;7;4383;;
24;19;508;385;2;57;21;19;4366;;
24;21;1065;849;9;64;19;19;37151;;
24;22;1005;876;8;58;21;15;4511;;
24;23;493;495;1;73;9;10;4383;;
24;24;958;409;2;60;18;17;35009;;
24;25;449;635;6;57;11;7;4383;;
24;26;819;408;0;81;15;12;5117;;
25;0;703;256;0;58;22;21;52224;;
25;1;723;272;0;57;21;19;34835;;
25;2;659;278;0;64;7;17;16423;;
25;3;691;351;0;97;10;12;1911;;
25;4;725;351;1;74;23;12;2865;;
25;5;876;400;0;100;22;21;4556;;
25;6;892;387;0;95;20;21;4556;;
25;7;941;389;0;82;8;16;12902;;
25;8;923;439;0;89;10;18;13159;;
25;9;1017;419;0;86;11;7;4383;;
25;10;1003;569;0;83;21;16;4505;;
25;11;954;611;0;83;10;11;4383;;
25;12;468;680;1;63;10;14;4383;;
25;13;547;675;0;69;7;13;14199;;
25;14;1018;866;9;58;21;15;4511;;
25;15;687;325;0;99;12;20;12567;;
25;18;613;484;2;69;11;7;4383;;
25;19;508;385;3;57;21;19;4366;;
25;22;1005;876;9;58;21;15;4511;;
25;23;493;495;2;73;9;10;4383;;
25;24;958;409;3;60;18;17;35009;;
25;25;449;635;7;57;11;7;4383;;
25;26;818;410;0;81;15;12;4447;;
26;0;703;256;0;64;22;21;50177;;
26;1;723;272;0;66;21;19;34835;;
26;2;659;277;0;64;7;18;16423;;
26;3;691;351;0;94;10;11;4383;;
26;4;727;351;0;67;11;11;4383;;
26;5;875;400;0;96;21;21;4556;;
26;6;892;386;0;93;20;20;4556;;
26;7;940;392;0;80;9;16;8804;;
26;8;924;439;0;91;11;18;13167;;
26;9;1017;419;0;77;10;9;4383;;
26;10;1003;568;0;75;20;15;5016;;
26;11;954;611;0;78;9;11;4383;;
26;12;468;680;2;63;10;14;4383;;
26;13;548;675;0;65;7;12;25703;;
26;15;687;324;0;103;11;20;12567;;
26;18;613;484;3;69;11;7;4383;;
26;19;507;385;0;62;20;19;4364;;
26;22;1005;875;0;57;17;15;4559;;
26;23;493;495;3;73;9;10;4383;;
26;24;958;409;4;60;18;17;35009;;
26;25;449;635;8;57;11;7;4383;;
26;26;819;408;0;73;8;12;6012;;
26;27;661;250;0;59;9;32;61152;;
27;0;703;256;0;55;22;21;52225;;
27;1;723;271;0;64;21;20;34833;;
27;2;659;278;0;66;7;18;24583;;
27;3;691;350;0;102;10;12;1911;;
27;4;725;351;0;75;12;7;3952;;
27;5;876;400;0;93;22;21;4428;;
27;6;893;387;0;96;19;23;4429;;
27;7;942;389;0;74;9;16;25188;;
27;8;924;439;0;75;10;19;13087;;
27;9;1017;419;1;77;10;9;4383;;
27;10;1002;569;0;78;21;16;4504;;
27;11;953;612;0;91;11;12;10095;;
27;12;468;680;0;65;9;14;4383;;
27;13;547;674;0;77;7;13;14199;;
27;15;687;325;0;98;11;20;12567;;
27;18;613;484;4;69;11;7;4383;;
27;19;507;385;0;62;19;20;4364;;
27;22;1005;875;1;57;17;15;4559;;
27;23;493;495;4;73;9;10;4383;;
27;24;958;409;5;60;18;17;35009;;
27;25;449;635;9;57;11;7;4383;;
27;26;819;408;1;73;8;12;6012;;
27;27;637;239;0;79;16;14;52241;;
28;0;703;255;0;62;23;20;52224;;
28;1;723;272;0;62;21;19;34835;;
28;2;659;278;0;59;7;17;16439;;
28;3;690;351;0;102;10;12;1911;;
28;4;719;349;0;62;24;22;16563;;
28;5;875;401;0;97;21;20;4556;;
28;6;893;387;0;85;19;20;12680;;
28;7;941;387;0;83;7;19;13111;;
28;8;924;439;1;75;10;19;13087;;
28;9;1016;419;0;86;12;8;5939;;
28;10;1003;569;0;73;19;15;4511;;
28;11;954;612;0;87;10;11;4383;;
28;12;468;680;1;65;9;14;4383;;
28;13;546;675;0;74;7;13;14199;;
28;15;687;325;0;110;12;21;4375;;
28;18;613;484;0;95;11;9;4383;;
28;19;507;385;0;68;21;19;4364;;
28;22;1018;866;0;56;18;15;4575;;
28;23;493;495;5;73;9;10;4383;;
28;24;958;409;6;60;18;17;35009;;
28;26;819;408;2;73;8;12;6012;;
28;27;637;239;1;79;16;14;52241;;
29;0;703;256;0;60;22;20;52224;;
29;1;723;272;0;62;21;20;34833;;
29;2;659;278;0;62;7;17;16423;;
29;3;690;351;0;100;10;12;1911;;
29;4;725;351;0;73;23;11;2353;;
29;5;876;400;0;99;22;21;4556;;
29;6;893;387;1;85;19;20;12680;;
29;7;941;387;1;83;7;19;13111;;
29;8;923;439;0;88;10;19;13071;;
29;9;1016;419;0;80;11;8;4383;;
29;10;1002;569;0;80;20;16;4505;;
29;11;954;612;0;74;10;11;4383;;
29;12;468;680;2;65;9;14;4383;;
29;13;548;675;0;69;7;12;25703;;
29;15;687;324;0;107;12;21;12567;;
29;18;613;484;1;95;11;9;4383;;
29;19;507;385;1;68;21;19;4364;;
