FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;1019;307;0;81;8;20;17954;UA44;ET 1.1000
0;1;731;461;0;90;7;18;9766;;
0;2;741;493;0;87;9;14;29494;;
0;3;1126;584;0;73;8;12;18019;;
0;4;1142;611;0;55;12;6;883;;
0;5;471;637;0;81;14;12;4989;;
0;6;943;654;0;70;20;19;5836;;
0;7;694;681;0;79;15;5;4607;;
0;8;1055;745;0;77;10;20;8804;;
0;9;951;799;0;81;11;15;5959;;
0;10;486;826;0;66;18;19;4495;;
0;11;684;933;0;57;5;12;26150;;
0;12;801;955;0;69;9;10;4383;;
3;0;1020;309;0;70;9;17;17479;;
3;1;731;461;0;94;6;20;26214;;
3;2;741;493;0;91;9;14;823;;
3;3;1126;584;0;70;8;12;18023;;
3;4;1142;611;1;55;12;6;883;;
3;5;470;637;0;73;14;11;4988;;
3;6;944;655;0;70;13;13;4415;;
3;7;696;681;0;67;15;4;4607;;
3;8;1050;753;0;71;10;15;4991;;
3;9;949;800;0;82;11;15;4911;;
3;10;486;826;1;66;18;19;4495;;
3;11;685;934;0;62;5;12;26150;;
3;12;800;956;0;69;21;22;4927;;
3;13;872;250;0;55;11;17;58883;;
3;14;426;519;0;78;22;14;872;;
4;0;1021;315;0;70;10;17;17970;;
4;1;731;459;0;86;5;22;8806;;
4;2;740;488;0;103;14;24;611;;
4;3;1126;584;0;71;8;12;18035;;
4;4;1142;611;2;55;12;6;883;;
4;5;470;636;0;85;14;16;5996;;
4;6;947;651;0;66;18;18;4716;;
4;7;695;681;0;69;14;5;6001;;
4;8;1048;755;0;85;10;16;5702;;
4;9;948;802;0;76;10;17;13932;;
4;10;486;826;2;66;18;19;4495;;
4;11;685;933;0;62;5;12;26214;;
4;12;800;955;0;68;20;21;4920;;
4;13;872;250;1;55;11;17;58883;;
4;14;428;519;0;75;18;8;2040;;
4;15;931;666;0;84;14;15;4479;;
5;0;1026;315;0;77;15;10;3318;;
5;1;732;458;0;83;9;18;9798;;
5;2;740;487;0;99;9;13;1655;;
5;3;1125;584;0;69;8;13;18039;;
5;4;1142;611;3;55;12;6;883;;
5;5;471;636;0;80;14;15;4479;;
5;6;947;651;0;69;21;19;4296;;
5;7;693;680;0;76;15;4;4607;;
