FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;618;242;0;64;19;18;60928;UA44;3 uM CBD
0;1;552;295;0;60;21;8;35120;;
0;2;1072;362;0;62;10;8;4479;;
0;3;658;388;0;85;11;11;4383;;
0;4;437;439;0;51;6;8;4383;;
0;5;747;440;0;74;8;8;4383;;
0;6;1107;412;0;78;29;12;64512;;
0;7;427;537;0;92;7;13;26231;;
0;8;802;528;0;83;10;9;4415;;
0;9;493;554;0;85;19;25;13084;;
0;10;446;595;0;64;7;7;4383;;
0;11;489;767;0;64;5;12;4383;;
0;12;542;777;0;63;17;22;13071;;
0;13;576;805;0;68;8;9;4415;;
0;14;643;846;0;72;7;8;15;;
0;15;737;861;0;59;8;8;4479;;
3;0;619;242;0;61;18;18;60928;;
3;1;553;295;0;53;8;9;4383;;
3;2;1072;361;0;62;8;8;4991;;
3;3;659;387;0;78;10;11;4383;;
3;4;437;439;1;51;6;8;4383;;
3;5;747;440;0;82;10;8;4383;;
3;6;1107;412;1;78;29;12;64512;;
3;7;427;537;0;87;7;14;1663;;
3;8;802;529;0;76;10;9;4415;;
3;9;515;565;0;80;21;18;35091;;
3;10;445;595;0;70;7;9;4383;;
3;11;489;767;1;64;5;12;4383;;
3;12;541;777;0;64;20;22;4383;;
3;13;575;804;0;70;9;9;4383;;
3;14;643;845;0;56;7;7;4383;;
3;15;737;861;0;66;8;10;4383;;
3;16;1090;490;0;76;11;9;4383;;
3;17;806;582;0;55;10;10;4383;;
4;0;620;242;0;64;17;18;60416;;
4;1;553;295;0;50;9;8;4383;;
4;2;1073;362;0;64;10;8;4415;;
4;3;658;388;0;70;9;11;4383;;
4;4;437;439;2;51;6;8;4383;;
4;5;747;442;0;72;10;8;4383;;
4;6;1107;412;2;78;29;12;64512;;
4;7;427;537;0;91;7;13;823;;
4;8;802;528;0;78;10;8;4415;;
4;9;515;565;0;94;21;18;34835;;
4;10;445;595;0;66;7;8;15;;
4;11;489;767;0;59;5;13;831;;
4;12;542;777;0;72;20;23;4383;;
4;13;575;804;0;71;9;9;4383;;
4;14;643;847;0;75;9;9;4383;;
4;15;737;860;0;67;9;10;4383;;
4;16;1090;489;0;64;9;10;4383;;
4;17;806;582;1;55;10;10;4383;;
4;18;481;573;0;55;20;20;4236;;
4;19;782;995;0;52;32;3;127;;
5;0;620;242;0;59;8;6;3808;;
5;1;553;295;0;58;20;11;2354;;
5;2;1073;361;0;56;8;9;383;;
5;3;659;387;0;76;10;11;4383;;
5;4;437;440;0;56;8;8;4415;;
5;5;747;442;0;69;9;7;4383;;
5;6;1107;412;3;78;29;12;64512;;
5;7;427;536;0;92;7;13;823;;
5;8;802;529;0;76;10;9;4415;;
5;9;515;565;0;84;21;18;35091;;
5;10;445;595;0;64;7;7;4383;;
5;11;489;767;0;55;5;9;4383;;
5;12;542;776;0;60;18;21;13071;;
5;13;575;805;0;71;8;10;4383;;
5;14;643;846;0;72;7;8;287;;
5;15;737;861;0;72;9;10;4415;;
5;16;1087;491;0;58;11;9;4383;;
5;17;806;582;0;55;10;10;4383;;
5;18;481;573;1;55;20;20;4236;;
5;19;782;995;1;52;32;3;127;;
6;0;620;243;0;57;18;18;60416;;
6;1;553;295;1;58;20;11;2354;;
6;2;1072;361;0;60;10;8;4479;;
6;3;657;388;0;74;10;11;4383;;
6;4;437;440;0;56;8;7;4407;;
6;5;746;442;0;74;10;7;4383;;
6;6;1107;412;4;78;29;12;64512;;
6;7;427;536;0;93;7;13;1911;;
6;8;802;528;0;83;10;9;4383;;
6;9;515;565;1;84;21;18;35091;;
6;10;445;595;1;64;7;7;4383;;
6;11;489;767;0;68;5;13;9023;;
6;12;542;777;0;53;7;10;4415;;
6;13;575;804;0;70;8;10;4383;;
6;14;643;846;0;82;11;8;4383;;
6;15;737;861;0;58;8;8;4415;;
6;16;1088;490;0;64;12;8;4383;;
6;17;806;582;1;55;10;10;4383;;
6;18;493;554;0;83;17;25;13084;;
6;19;782;995;2;52;32;3;127;;
7;0;620;243;0;73;20;19;60417;;
7;1;553;295;0;57;10;8;4383;;
7;2;1072;361;0;59;8;10;4383;;
7;3;658;388;0;80;10;11;4383;;
7;4;437;440;1;56;8;7;4407;;
7;5;745;441;0;85;11;8;4383;;
7;6;1107;412;5;78;29;12;64512;;
7;7;427;536;0;88;7;14;1655;;
7;8;802;529;0;87;11;11;4415;;
7;9;515;565;0;84;21;18;34835;;
7;10;446;595;0;64;7;7;4383;;
7;11;489;767;0;69;6;11;4383;;
7;12;541;776;0;70;19;22;4383;;
7;13;576;803;0;63;7;8;47;;
7;14;643;846;0;77;9;8;4383;;
7;15;737;860;0;71;10;10;4383;;
7;16;1089;490;0;65;12;9;5393;;
7;17;806;582;2;55;10;10;4383;;
7;18;493;554;1;83;17;25;13084;;
7;19;782;995;3;52;32;3;127;;
7;20;842;237;0;52;7;7;4383;;
8;0;620;243;0;58;18;18;52224;;
8;1;553;294;0;51;8;8;4927;;
8;2;1072;361;0;62;10;18;30467;;
8;3;658;388;0;72;9;11;4383;;
8;4;437;440;2;56;8;7;4407;;
8;5;746;442;0;77;11;7;4383;;
8;6;1107;412;6;78;29;12;64512;;
8;7;427;536;0;100;8;15;319;;
8;8;802;528;0;84;10;9;4415;;
8;9;515;565;0;82;21;17;2075;;
8;10;446;595;1;64;7;7;4383;;
8;11;489;763;0;62;5;12;1647;;
8;12;541;777;0;62;10;9;4383;;
8;13;575;804;0;69;8;10;4383;;
8;14;643;847;0;75;9;9;4383;;
8;15;737;860;0;66;9;10;4415;;
8;16;1088;491;0;64;11;9;4383;;
8;17;806;582;0;59;11;10;4383;;
8;18;493;554;2;83;17;25;13084;;
8;19;755;969;0;56;7;7;4383;;
8;20;842;237;1;52;7;7;4383;;
9;0;620;242;0;68;19;19;52864;;
9;1;553;294;0;66;20;11;2352;;
9;2;1072;361;0;63;8;8;4983;;
9;3;659;388;0;73;9;10;4383;;
9;4;436;440;0;51;20;19;4360;;
9;5;747;440;0;80;10;8;4383;;
9;6;1107;412;7;78;29;12;64512;;
9;7;427;536;0;83;7;13;1847;;
9;8;802;529;0;77;11;9;4415;;
9;9;515;565;0;84;21;18;34835;;
9;10;446;595;0;64;7;7;4383;;
9;11;490;767;0;65;6;10;4383;;
9;12;541;777;0;56;6;11;4383;;
9;13;575;803;0;77;9;10;4383;;
9;14;643;847;0;82;7;10;4383;;
9;15;737;861;0;70;9;10;4383;;
9;16;1090;490;0;73;11;9;4383;;
9;17;806;583;0;65;10;10;4383;;
9;18;493;554;3;83;17;25;13084;;
9;19;755;969;1;56;7;7;4383;;
9;20;842;237;2;52;7;7;4383;;
10;0;620;242;0;55;17;18;52352;;
10;1;553;294;1;66;20;11;2352;;
10;2;1073;361;0;60;8;8;4383;;
10;3;659;387;0;75;10;11;4383;;
10;4;436;440;1;51;20;19;4360;;
10;5;747;441;0;74;10;7;4383;;
10;6;1107;412;8;78;29;12;64512;;
10;7;427;535;0;80;7;13;1847;;
10;8;802;529;0;92;11;11;4415;;
10;9;515;565;1;84;21;18;34835;;
10;10;446;595;0;64;7;7;4383;;
10;11;489;767;0;57;5;10;4383;;
10;12;541;777;1;56;6;11;4383;;
10;13;575;803;0;74;8;9;4383;;
10;14;643;846;0;72;7;8;287;;
10;15;737;861;0;56;8;8;4991;;
10;16;1089;490;0;77;11;9;4383;;
10;17;806;582;0;58;12;10;307;;
10;18;493;554;0;63;17;20;13068;;
10;19;755;969;2;56;7;7;4383;;
10;20;842;237;0;52;7;7;4383;;
10;21;482;573;0;62;20;22;4367;;
10;22;629;910;0;50;13;15;4383;;
11;0;620;242;0;63;17;18;60928;;
11;1;553;294;2;66;20;11;2352;;
11;2;1073;361;0;62;8;9;255;;
11;3;659;387;0;84;11;11;4383;;
11;4;436;440;0;53;20;19;4360;;
11;5;747;441;0;76;12;7;6001;;
11;6;1107;412;9;78;29;12;64512;;
11;7;427;536;0;98;7;15;4927;;
11;8;802;528;0;85;11;9;4383;;
11;9;515;564;0;84;21;17;34847;;
11;10;446;595;0;64;7;7;4383;;
11;11;490;767;0;67;8;10;4383;;
11;12;541;777;0;63;17;23;12575;;
11;13;575;803;0;71;8;10;4383;;
11;14;643;846;1;72;7;8;287;;
11;15;737;860;0;71;9;9;4415;;
11;16;1090;490;0;56;10;9;4383;;
11;17;807;582;0;50;8;7;4369;;
11;18;493;554;1;63;17;20;13068;;
11;19;755;969;3;56;7;7;4383;;
11;20;842;237;1;52;7;7;4383;;
11;21;482;573;1;62;20;22;4367;;
11;22;629;910;1;50;13;15;4383;;
12;0;620;242;0;58;17;18;52352;;
12;1;552;295;0;55;20;11;2481;;
12;2;1072;361;0;63;8;8;6007;;
12;3;658;388;0;77;11;11;4383;;
12;4;436;440;1;53;20;19;4360;;
12;5;746;442;0;87;11;9;4383;;
12;7;428;536;0;87;7;14;831;;
12;8;802;528;0;80;10;10;4383;;
12;9;515;564;1;84;21;17;34847;;
12;10;445;595;0;64;7;7;4383;;
12;11;490;767;1;67;8;10;4383;;
12;12;541;777;0;60;19;22;4383;;
12;13;575;804;0;70;8;9;4383;;
12;14;643;845;0;74;8;8;4383;;
12;15;737;861;0;72;9;9;4383;;
12;16;1089;490;0;77;11;9;4383;;
12;17;806;582;0;66;10;11;4383;;
12;18;493;554;0;80;20;22;12575;;
12;19;755;969;4;56;7;7;4383;;
12;20;842;237;2;52;7;7;4383;;
12;21;482;573;2;62;20;22;4367;;
12;22;629;910;2;50;13;15;4383;;
13;0;620;242;0;67;19;19;52736;;
13;1;552;295;1;55;20;11;2481;;
13;2;1073;361;0;56;7;9;4479;;
13;3;658;389;0;81;10;12;13166;;
13;4;436;440;2;53;20;19;4360;;
13;5;747;442;0;68;8;7;4369;;
13;7;427;537;0;88;7;13;823;;
13;8;802;529;0;89;10;11;4383;;
13;9;515;564;2;84;21;17;34847;;
13;10;446;595;0;64;7;7;4383;;
13;11;489;767;0;61;5;11;4383;;
13;12;541;776;0;60;6;11;4383;;
13;13;575;803;0;70;9;9;4383;;
13;14;643;846;0;72;7;8;287;;
13;15;737;861;0;67;9;9;4383;;
13;16;1089;490;0;64;11;9;4383;;
13;17;806;582;1;66;10;11;4383;;
13;18;493;554;0;61;18;23;13087;;
13;19;755;969;5;56;7;7;4383;;
13;20;842;237;3;52;7;7;4383;;
13;21;482;573;3;62;20;22;4367;;
13;22;629;910;3;50;13;15;4383;;
13;23;1106;413;0;58;28;11;62464;;
14;0;619;242;0;64;9;6;3808;;
14;1;553;295;0;58;9;8;4415;;
14;2;1072;361;0;63;10;9;4447;;
14;3;658;388;0;79;10;11;4383;;
14;4;436;440;3;53;20;19;4360;;
14;5;746;442;0;74;10;7;4383;;
14;7;427;535;0;94;7;13;1847;;
14;8;802;529;0;79;10;9;4415;;
14;9;515;564;3;84;21;17;34847;;
14;10;446;595;0;64;7;7;4383;;
