FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;851;293;0;64;19;26;51251;UA44;CONTROL
0;1;849;356;0;57;8;9;4383;;
0;2;895;411;0;65;17;21;32799;;
0;3;707;425;0;91;14;13;1143;;
0;4;463;456;0;87;13;16;12910;;
0;5;407;512;0;79;10;14;4991;;
0;6;988;543;0;83;7;18;25139;;
0;7;808;617;0;95;14;12;4990;;
0;8;643;641;0;90;8;13;1639;;
0;9;731;675;0;73;9;7;4407;;
0;10;995;664;0;93;17;11;3313;;
0;11;1115;678;0;70;7;9;4415;;
0;12;626;747;0;86;18;8;3889;;
0;13;1029;737;0;80;7;13;887;;
0;14;944;793;0;85;8;12;26483;;
0;15;1033;768;0;95;9;20;9828;;
0;16;657;872;0;82;13;24;15558;;
0;17;923;908;0;82;7;11;4383;;
3;0;851;292;0;76;20;27;52273;;
3;1;849;356;0;58;9;7;4383;;
3;2;894;411;0;52;17;21;32799;;
3;3;704;424;0;88;15;12;4383;;
3;4;465;455;0;89;12;13;5966;;
3;5;406;510;0;85;9;13;13119;;
3;6;989;551;0;85;8;16;26215;;
3;7;806;617;0;93;12;12;4974;;
3;8;643;641;0;88;7;13;1639;;
3;9;731;674;0;80;9;11;4415;;
3;10;995;664;1;93;17;11;3313;;
3;11;1116;678;0;73;10;8;4383;;
3;12;625;746;0;93;17;10;3953;;
3;13;1029;737;0;79;5;15;4919;;
3;14;944;793;0;93;9;12;18023;;
3;15;1033;768;0;82;8;15;13111;;
3;16;634;888;0;89;23;24;204;;
3;17;923;908;0;82;7;11;4383;;
3;18;948;362;0;52;7;7;4383;;
3;19;1017;360;0;67;12;9;4383;;
3;20;929;411;0;64;7;7;4383;;
3;21;1148;546;0;57;22;30;4433;;
3;22;974;853;0;55;12;21;14111;;
3;23;1019;851;0;64;7;7;4383;;
3;24;829;915;0;55;24;19;50189;;
4;0;851;293;0;72;21;26;49203;;
4;1;849;356;1;58;9;7;4383;;
4;2;894;412;0;68;17;20;32979;;
4;3;704;423;0;92;16;13;53041;;
4;4;466;455;0;88;13;15;4927;;
4;5;407;507;0;85;6;15;13111;;
4;6;990;546;0;86;8;18;18023;;
4;7;802;619;0;77;15;7;6015;;
4;8;642;641;0;84;7;13;1639;;
4;9;731;673;0;88;7;15;1639;;
4;10;991;663;0;88;15;9;1779;;
4;11;1117;678;0;62;10;8;4383;;
4;12;625;743;0;88;11;14;79;;
4;13;1028;733;0;88;7;17;8806;;
4;14;944;793;0;79;8;12;1907;;
4;15;1033;767;0;85;9;17;9062;;
4;16;633;892;0;85;11;13;13182;;
4;17;923;907;0;70;7;10;4383;;
4;18;967;389;0;69;12;6;4383;;
4;19;1013;361;0;52;13;9;5588;;
4;20;929;411;0;64;7;7;4383;;
4;21;1148;546;1;57;22;30;4433;;
4;22;974;853;1;55;12;21;14111;;
4;23;1019;851;1;64;7;7;4383;;
4;24;829;915;0;50;19;19;52255;;
4;25;1152;423;0;64;8;17;13073;;
4;26;876;953;0;51;20;13;4573;;
5;0;851;293;0;66;21;19;52227;;
5;1;849;356;0;65;9;9;4383;;
5;2;894;411;0;66;17;21;49183;;
5;3;704;423;1;92;16;13;53041;;
5;4;465;451;0;93;8;14;9023;;
5;5;409;503;0;97;9;15;4927;;
5;6;990;549;0;83;7;19;25123;;
5;7;798;621;0;94;13;10;6140;;
5;8;643;641;0;93;7;15;1847;;
5;9;731;673;1;88;7;15;1639;;
5;10;991;663;1;88;15;9;1779;;
5;11;1117;677;0;68;9;8;4383;;
5;12;621;742;0;86;11;13;1587;;
5;13;1029;731;0;83;6;17;8806;;
5;14;944;793;0;87;9;12;18023;;
5;15;1033;765;0;87;9;14;9023;;
5;16;631;897;0;77;8;13;14190;;
5;17;923;908;0;60;5;11;4415;;
5;18;967;389;1;69;12;6;4383;;
5;19;1017;360;0;60;12;9;7636;;
5;20;929;411;1;64;7;7;4383;;
5;21;1148;546;2;57;22;30;4433;;
5;22;974;853;2;55;12;21;14111;;
5;23;1019;851;2;64;7;7;4383;;
5;24;829;915;1;50;19;19;52255;;
5;25;1152;423;1;64;8;17;13073;;
5;26;876;953;1;51;20;13;4573;;
5;27;932;563;0;81;9;10;831;;
6;0;851;293;0;70;21;19;52227;;
6;1;849;356;1;65;9;9;4383;;
6;2;894;411;0;67;15;21;57345;;
6;3;701;420;0;85;13;11;3327;;
6;4;468;448;0;89;7;17;13158;;
6;5;411;499;0;78;7;13;30278;;
6;6;991;551;0;95;7;15;25143;;
6;7;793;623;0;106;15;15;4479;;
6;8;643;641;0;103;7;16;18022;;
6;9;731;673;2;88;7;15;1639;;
6;10;983;660;0;90;15;9;3827;;
6;11;1115;677;0;54;9;7;4383;;
6;12;619;738;0;80;12;12;3191;;
6;13;1028;730;0;75;7;16;25126;;
6;14;943;790;0;79;11;10;4415;;
6;15;1033;767;0;86;10;12;13119;;
6;16;628;901;0;79;10;11;4383;;
6;17;923;907;0;70;7;10;4383;;
6;18;967;389;2;69;12;6;4383;;
6;19;1014;360;0;74;12;9;20416;;
6;20;929;411;2;64;7;7;4383;;
6;21;1148;546;3;57;22;30;4433;;
6;22;974;853;3;55;12;21;14111;;
6;23;1019;851;3;64;7;7;4383;;
6;24;829;915;2;50;19;19;52255;;
6;25;1152;423;2;64;8;17;13073;;
6;26;876;953;2;51;20;13;4573;;
6;27;931;563;0;87;9;11;4927;;
7;0;851;292;0;70;21;19;52243;;
7;1;847;355;0;64;8;9;4383;;
7;2;894;413;0;77;17;19;37151;;
7;3;701;420;1;85;13;11;3327;;
7;4;469;445;0;88;7;18;9014;;
7;5;412;495;0;78;7;12;30572;;
7;6;991;551;1;95;7;15;25143;;
7;7;790;626;0;91;13;10;4991;;
7;8;643;641;0;99;7;14;1655;;
7;9;731;673;3;88;7;15;1639;;
7;10;980;661;0;86;15;8;895;;
7;11;1115;677;0;65;7;8;1775;;
7;12;618;737;0;105;11;15;1647;;
7;13;1029;729;0;88;5;19;8759;;
7;14;943;790;0;85;9;10;4415;;
7;15;1033;766;0;84;10;12;13119;;
7;16;625;904;0;93;10;13;4927;;
7;17;923;908;0;78;7;11;4383;;
7;18;967;389;0;54;12;4;511;;
7;19;1013;360;0;68;12;8;1503;;
7;20;927;413;0;61;22;17;56329;;
7;21;1148;546;4;57;22;30;4433;;
7;22;974;853;4;55;12;21;14111;;
7;23;1019;851;4;64;7;7;4383;;
7;24;829;915;0;56;19;20;34831;;
7;25;1152;423;0;63;9;17;12561;;
7;26;876;953;3;51;20;13;4573;;
7;27;931;563;0;89;10;11;1407;;
7;28;830;264;0;76;11;21;26147;;
7;29;1009;808;0;57;6;11;4383;;
8;0;851;292;0;70;20;27;52273;;
8;1;849;356;0;58;7;7;4383;;
8;2;895;411;0;59;10;21;58883;;
8;3;698;415;0;86;12;15;1095;;
8;4;468;441;0;99;7;19;4967;;
8;5;410;492;0;86;7;14;30527;;
8;6;987;557;0;90;7;15;4927;;
8;7;786;629;0;81;12;13;4991;;
8;8;642;641;0;84;7;13;1655;;
8;9;731;673;4;88;7;15;1639;;
8;10;980;661;1;86;15;8;895;;
8;11;1115;678;0;67;7;8;1647;;
8;12;614;733;0;79;7;15;13107;;
8;13;1029;727;0;90;4;19;8742;;
8;14;943;791;0;84;9;10;4415;;
8;15;1032;765;0;91;11;12;9023;;
8;16;622;908;0;65;10;11;4383;;
8;17;923;908;0;72;7;10;4383;;
8;18;965;389;0;54;12;4;497;;
8;19;1013;360;0;69;13;9;4383;;
8;20;927;413;0;55;7;7;4383;;
8;21;1148;546;5;57;22;30;4433;;
8;22;974;853;0;60;10;21;13087;;
