FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;573;291;0;62;7;20;26118;UA44;ETANOL
0;1;603;302;0;54;7;7;4383;;
0;2;573;308;0;58;8;18;12575;;
0;3;663;315;0;96;15;7;4383;;
0;4;806;311;0;81;14;7;881;;
0;5;923;311;0;72;7;11;4383;;
0;6;982;328;0;60;7;7;4383;;
0;7;522;355;0;55;9;7;4383;;
0;8;899;364;0;76;9;7;4383;;
0;9;840;400;0;78;11;11;4383;;
0;10;871;395;0;69;19;13;4383;;
0;11;952;393;0;76;8;11;4383;;
0;12;994;395;0;58;6;8;4383;;
0;13;828;479;0;56;7;9;4383;;
0;14;881;478;0;56;8;8;4383;;
0;15;919;458;0;72;10;11;4383;;
0;16;952;475;0;85;19;21;4383;;
0;17;1041;467;0;67;8;7;4375;;
0;18;655;484;0;64;7;7;4383;;
0;19;1019;515;0;77;10;7;4383;;
0;20;489;547;0;63;9;7;4383;;
0;21;487;579;0;79;10;7;4383;;
0;22;972;565;0;96;20;7;4080;;
0;23;947;614;0;79;7;11;4383;;
0;24;1099;616;0;78;19;21;14733;;
0;25;448;635;0;61;19;21;4364;;
0;26;987;651;0;64;6;10;4383;;
0;27;1085;623;0;56;19;21;14733;;
0;28;505;712;0;68;9;12;25127;;
0;29;1041;699;0;72;10;7;4383;;
0;30;528;740;0;54;7;11;4383;;
0;31;570;757;0;54;10;11;4383;;
0;32;766;755;0;64;7;7;4383;;
0;33;805;726;0;50;7;9;4383;;
0;34;884;758;0;71;7;10;4383;;
0;35;539;795;0;51;7;7;4383;;
0;36;999;766;0;64;19;24;55583;;
0;37;978;818;0;58;10;9;4383;;
0;38;806;850;0;67;9;9;4383;;
0;39;863;867;0;73;11;7;4383;;
0;40;983;845;0;67;7;11;4383;;
0;41;944;881;0;72;20;19;4383;;
0;42;880;915;0;72;8;7;4369;;
0;43;921;922;0;60;8;7;14193;;
0;44;947;917;0;79;21;22;47105;;
0;45;964;933;0;53;31;19;18439;;
0;46;781;943;0;54;13;8;30080;;
3;0;573;291;1;62;7;20;26118;;
3;1;603;302;1;54;7;7;4383;;
3;2;573;308;1;58;8;18;12575;;
3;3;663;315;0;80;15;7;4383;;
3;4;807;311;0;88;14;8;375;;
3;5;923;313;0;80;7;12;1647;;
3;6;982;328;0;55;7;20;111;;
3;7;522;355;0;70;19;16;13085;;
3;8;899;364;0;68;10;7;4383;;
3;9;840;400;0;78;11;11;4383;;
3;10;871;395;1;69;19;13;4383;;
