FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;831;239;0;75;13;7;1904;UA44;0,3 uM CBD
0;1;923;249;0;50;5;11;4383;;
0;2;745;288;0;73;8;13;4383;;
0;3;583;340;0;56;6;10;4383;;
0;4;603;331;0;73;21;15;6552;;
0;5;517;348;0;54;23;9;4568;;
0;6;682;345;0;59;10;15;4447;;
0;7;998;342;0;58;9;7;4383;;
0;8;494;407;0;65;21;24;45832;;
0;9;515;377;0;68;9;10;4383;;
0;10;572;388;0;94;10;9;4383;;
0;11;757;390;0;80;7;12;311;;
0;12;1084;414;0;54;33;15;12657;;
0;13;435;515;0;64;7;7;4383;;
0;14;641;515;0;64;6;9;4383;;
0;15;746;499;0;52;7;7;4383;;
0;16;1069;534;0;72;11;9;4383;;
0;17;482;559;0;50;8;8;4383;;
0;18;802;560;0;67;9;7;4383;;
0;19;422;629;0;56;7;7;4383;;
0;20;611;687;0;62;7;12;4383;;
0;21;597;756;0;72;11;8;4383;;
0;22;1023;765;0;56;13;6;1407;;
0;23;667;775;0;71;7;8;287;;
0;24;731;821;0;94;23;23;4557;;
0;25;749;805;0;80;22;23;4383;;
0;26;869;843;0;54;5;17;10103;;
0;27;571;893;0;82;20;19;6606;;
0;28;815;883;0;71;9;7;4383;;
0;29;1013;900;0;67;10;8;4383;;
0;30;659;905;0;62;7;8;383;;
0;31;963;903;0;62;12;6;4991;;
3;0;831;239;0;84;13;8;3952;;
3;1;923;249;1;50;5;11;4383;;
3;2;745;288;1;73;8;13;4383;;
3;3;583;340;0;52;6;11;4383;;
3;4;603;331;0;74;19;16;6557;;
3;5;517;347;0;53;22;9;4569;;
3;6;682;345;0;70;7;9;4447;;
3;7;998;342;1;58;9;7;4383;;
3;8;494;407;0;67;22;23;37640;;
3;9;515;377;0;66;10;10;4383;;
3;10;572;389;0;96;10;9;4383;;
3;11;756;390;0;80;7;12;1847;;
3;12;1084;413;0;51;33;14;4465;;
3;13;435;515;0;64;7;7;4383;;
3;14;640;517;0;64;9;9;4383;;
3;15;746;499;1;52;7;7;4383;;
3;16;1069;535;0;87;11;9;4383;;
3;17;482;559;1;50;8;8;4383;;
3;18;806;559;0;55;7;9;4383;;
3;19;422;627;0;56;7;7;4383;;
3;20;611;687;0;59;7;9;4383;;
3;21;598;757;0;69;12;7;4383;;
3;22;1023;767;0;52;9;11;4383;;
3;23;667;775;0;66;7;10;4383;;
3;24;731;821;0;93;23;23;4557;;
3;25;750;805;0;78;21;23;4377;;
3;26;870;844;0;60;7;13;6007;;
3;27;571;893;0;52;20;14;4495;;
3;28;817;883;0;73;9;7;4383;;
3;29;1013;902;0;84;15;8;4383;;
3;30;659;905;0;54;7;8;127;;
3;31;963;903;1;62;12;6;4991;;
3;32;963;308;0;56;7;7;4383;;
3;33;1010;438;0;63;15;15;4383;;
3;34;963;644;0;50;7;7;4383;;
3;35;537;784;0;55;7;11;4383;;
3;36;906;915;0;57;20;15;35857;;
3;37;743;959;0;51;8;9;4383;;
4;0;832;239;0;75;13;7;2032;;
4;1;923;249;2;50;5;11;4383;;
4;2;746;287;0;67;8;15;4415;;
4;3;584;340;0;62;8;10;4383;;
4;4;603;331;0;75;21;17;6536;;
4;5;517;347;0;54;23;10;4568;;
4;6;682;345;0;71;7;10;4383;;
4;7;998;342;0;57;8;7;4369;;
4;8;494;406;0;68;21;23;37144;;
4;9;516;377;0;70;10;9;4383;;
4;10;573;389;0;90;11;9;4383;;
4;11;757;390;0;89;7;13;4375;;
4;12;1084;413;1;51;33;14;4465;;
4;13;435;515;0;60;7;7;4383;;
4;14;641;516;0;62;7;10;4383;;
4;15;746;499;0;98;9;17;4415;;
4;16;1069;535;0;59;10;7;4383;;
4;17;482;559;2;50;8;8;4383;;
4;18;805;559;0;54;7;8;31;;
4;19;422;629;0;56;7;7;4383;;
4;20;610;688;0;75;7;13;1407;;
4;21;597;756;0;69;12;7;1527;;
4;22;1021;766;0;66;12;10;3863;;
4;23;667;775;0;64;10;8;4383;;
4;24;730;821;0;89;22;21;4300;;
4;25;749;806;0;72;19;22;4489;;
4;26;869;843;0;54;5;17;14199;;
4;27;571;893;0;65;19;16;4511;;
4;28;816;883;0;71;8;9;4383;;
4;29;1013;902;0;77;15;8;4383;;
4;30;659;905;0;60;7;7;4383;;
4;31;963;903;2;62;12;6;4991;;
4;32;963;308;1;56;7;7;4383;;
4;33;1010;438;1;63;15;15;4383;;
4;34;963;644;1;50;7;7;4383;;
4;35;536;784;0;52;16;22;19471;;
4;36;906;915;1;57;20;15;35857;;
4;37;743;959;1;51;8;9;4383;;
4;38;702;315;0;72;8;7;4369;;
4;39;437;680;0;60;19;12;4383;;
5;0;831;239;0;82;13;8;3952;;
5;1;923;249;0;50;5;11;4383;;
5;2;746;287;1;67;8;15;4415;;
5;3;583;340;0;61;6;11;4383;;
5;4;603;332;0;71;21;13;6552;;
5;5;517;348;0;53;22;9;4560;;
5;6;681;345;0;53;7;7;4383;;
5;7;998;342;1;57;8;7;4369;;
5;8;495;406;0;73;21;23;4381;;
5;9;515;377;0;70;9;9;4383;;
5;10;572;389;0;89;9;9;4383;;
5;11;756;389;0;80;7;9;4383;;
5;12;1084;414;0;50;33;13;4593;;
5;13;435;515;0;64;7;7;4383;;
5;14;641;516;1;62;7;10;4383;;
5;15;746;499;1;98;9;17;4415;;
5;16;1069;533;0;59;11;6;4383;;
5;17;482;559;3;50;8;8;4383;;
5;18;805;559;1;54;7;8;31;;
5;19;422;629;1;56;7;7;4383;;
5;20;611;687;0;67;8;12;127;;
5;21;598;757;0;66;12;5;4081;;
5;22;1023;768;0;63;10;11;4383;;
5;23;667;775;0;68;8;8;4383;;
5;24;730;820;0;89;22;21;4301;;
5;25;750;806;0;85;21;22;13068;;
5;26;870;847;0;69;6;17;26215;;
5;27;571;893;0;60;20;19;6604;;
5;28;816;883;0;79;10;7;4383;;
5;29;1013;899;0;65;11;8;4383;;
5;30;659;905;0;57;17;18;4895;;
5;31;963;903;3;62;12;6;4991;;
5;32;974;280;0;54;19;8;4505;;
5;33;1010;438;2;63;15;15;4383;;
5;34;963;644;0;50;7;7;4383;;
5;35;536;784;1;52;16;22;19471;;
5;36;906;915;2;57;20;15;35857;;
5;37;743;959;2;51;8;9;4383;;
5;38;702;315;1;72;8;7;4369;;
5;39;438;679;0;72;18;14;4383;;
5;40;880;244;0;83;10;9;4383;;
5;41;597;385;0;77;10;11;4383;;
6;0;831;239;0;80;13;8;3952;;
6;1;923;249;1;50;5;11;4383;;
6;2;745;287;0;52;7;10;4383;;
6;3;584;340;0;66;7;11;4383;;
6;4;603;331;0;91;21;15;6552;;
6;5;517;347;0;52;22;8;4568;;
6;6;682;345;0;66;7;9;4447;;
6;7;999;342;0;60;8;7;4369;;
6;8;494;407;0;73;21;25;13064;;
6;9;516;377;0;74;9;10;4383;;
6;10;572;389;0;90;10;10;4383;;
6;11;757;390;0;80;7;12;26215;;
6;12;1084;414;1;50;33;13;4593;;
6;13;435;515;0;60;7;7;4383;;
6;14;641;517;0;55;7;9;4383;;
6;15;746;499;0;54;7;7;4383;;
6;16;1069;535;0;70;10;9;4383;;
6;17;482;559;4;50;8;8;4383;;
6;18;805;559;2;54;7;8;31;;
6;19;422;629;2;56;7;7;4383;;
6;20;611;687;0;60;8;9;4383;;
6;21;598;757;0;82;12;9;2033;;
6;22;1022;766;0;61;13;6;4095;;
6;23;667;775;0;70;7;8;831;;
6;24;730;821;0;84;22;21;4300;;
6;25;749;805;0;99;22;23;4892;;
6;26;870;844;0;53;4;17;9831;;
6;27;571;893;1;60;20;19;6604;;
6;28;815;883;0;71;9;7;4383;;
6;29;1013;900;0;73;12;8;4415;;
6;30;659;905;0;71;18;18;4383;;
6;31;963;903;4;62;12;6;4991;;
6;32;974;280;1;54;19;8;4505;;
6;33;1010;438;3;63;15;15;4383;;
6;34;963;644;1;50;7;7;4383;;
6;35;536;784;2;52;16;22;19471;;
6;36;906;915;3;57;20;15;35857;;
6;37;743;959;0;52;8;9;4383;;
6;38;698;315;0;72;8;7;4369;;
6;39;437;679;0;56;19;10;7455;;
6;40;880;244;1;83;10;9;4383;;
6;41;597;385;1;77;10;11;4383;;
6;42;679;689;0;61;12;8;5471;;
7;0;831;239;0;86;13;9;2032;;
7;1;923;249;2;50;5;11;4383;;
7;2;745;287;1;52;7;10;4383;;
7;3;583;340;0;66;7;12;9838;;
7;4;603;331;0;77;21;15;6552;;
7;5;517;347;1;52;22;8;4568;;
7;6;681;345;0;70;7;9;4447;;
7;7;998;342;0;52;7;7;4383;;
7;8;495;407;0;64;21;23;4381;;
7;9;515;377;0;64;9;10;4383;;
7;10;572;388;0;82;10;9;4383;;
7;11;755;387;0;64;7;7;0;;
7;12;1084;414;2;50;33;13;4593;;
7;13;435;515;0;64;7;7;4383;;
7;14;641;517;0;64;6;10;4383;;
7;15;746;499;1;54;7;7;4383;;
7;16;1069;535;0;63;11;9;4383;;
7;17;482;559;5;50;8;8;4383;;
7;18;804;558;0;61;8;12;4383;;
7;19;422;629;3;56;7;7;4383;;
7;20;611;687;0;62;7;12;19567;;
7;21;598;757;0;75;12;9;3953;;
7;22;1022;766;0;53;9;8;4383;;
7;23;667;774;0;59;7;7;4383;;
7;24;730;821;0;89;22;21;4301;;
7;25;749;805;0;106;22;23;4895;;
7;26;870;844;1;53;4;17;9831;;
7;27;571;893;2;60;20;19;6604;;
7;28;800;883;0;79;10;7;4383;;
7;29;1013;900;1;73;12;8;4415;;
7;30;644;905;0;56;7;7;4383;;
7;31;943;901;0;51;11;5;4383;;
7;32;965;282;0;72;20;10;5008;;
7;33;1010;438;4;63;15;15;4383;;
7;34;963;644;2;50;7;7;4383;;
7;35;536;784;3;52;16;22;19471;;
7;36;906;915;4;57;20;15;35857;;
7;37;743;959;1;52;8;9;4383;;
7;38;702;315;0;91;10;10;4383;;
7;39;437;681;0;51;19;11;4383;;
7;40;880;244;2;83;10;9;4383;;
7;41;597;385;2;77;10;11;4383;;
7;42;679;689;1;61;12;8;5471;;
7;43;606;297;0;54;7;8;831;;
7;44;956;332;0;84;12;7;5617;;
7;45;709;370;0;56;7;15;4383;;
7;46;649;643;0;50;7;7;4383;;
7;47;743;839;0;63;9;7;4383;;
8;0;831;239;0;77;12;7;3952;;
8;1;923;249;0;52;5;10;4383;;
8;2;745;287;2;52;7;10;4383;;
8;3;582;340;0;65;9;10;4383;;
8;4;603;331;0;74;21;15;6552;;
8;5;517;348;0;50;22;9;6616;;
8;6;682;345;0;55;10;6;4383;;
8;7;998;342;1;52;7;7;4383;;
8;8;494;407;0;70;22;23;4872;;
8;9;516;377;0;58;6;9;4383;;
8;10;572;388;0;91;10;9;4383;;
8;11;756;389;0;64;7;7;0;;
8;12;1083;414;0;52;33;14;4529;;
8;13;435;515;0;60;7;7;4383;;
8;14;641;517;0;65;7;10;4383;;
8;15;747;499;0;60;8;7;4383;;
8;16;1069;535;0;61;11;8;4383;;
8;17;482;559;6;50;8;8;4383;;
8;18;804;558;1;61;8;12;4383;;
8;19;422;627;0;56;7;7;4383;;
8;20;611;687;0;61;15;9;4383;;
8;21;598;757;0;82;11;9;4383;;
8;22;1022;766;1;53;9;8;4383;;
8;23;667;775;0;64;7;9;4383;;
8;24;729;821;0;100;22;22;4303;;
8;25;749;805;0;95;22;23;4889;;
8;26;869;843;0;53;5;17;14131;;
8;27;571;893;3;60;20;19;6604;;
8;28;816;883;0;79;10;7;4383;;
8;29;1013;900;0;73;11;9;4383;;
8;30;644;905;1;56;7;7;4383;;
8;31;963;903;0;63;11;6;4383;;
8;32;965;282;0;70;20;10;5008;;
8;33;1010;438;5;63;15;15;4383;;
8;34;963;644;0;66;7;15;4383;;
8;35;536;784;4;52;16;22;19471;;
8;36;906;915;5;57;20;15;35857;;
8;37;745;959;0;53;8;8;4383;;
8;38;702;315;1;91;10;10;4383;;
8;39;437;681;1;51;19;11;4383;;
8;40;880;244;3;83;10;9;4383;;
8;41;597;385;3;77;10;11;4383;;
8;42;679;689;2;61;12;8;5471;;
8;43;606;297;1;54;7;8;831;;
8;44;957;331;0;86;12;7;2033;;
8;45;709;370;1;56;7;15;4383;;
8;46;649;643;1;50;7;7;4383;;
8;47;743;839;1;63;9;7;4383;;
9;0;831;239;0;81;13;8;3952;;
9;1;923;249;1;52;5;10;4383;;
9;2;746;285;0;68;8;11;4383;;
9;3;583;340;0;70;7;12;9838;;
9;4;603;331;0;69;19;15;6557;;
9;5;517;348;0;51;22;8;4568;;
9;6;682;345;0;71;7;10;4383;;
9;7;999;342;0;60;8;7;4369;;
9;8;494;407;0;66;22;24;45832;;
9;9;516;377;0;60;7;10;4383;;
9;10;572;388;0;92;10;10;4383;;
9;11;757;389;0;81;7;11;4383;;
9;12;1084;414;0;53;33;14;4401;;
9;13;435;515;0;64;7;7;4383;;
9;14;641;517;0;60;8;7;4383;;
9;15;747;499;1;60;8;7;4383;;
9;16;1067;535;0;65;9;8;4383;;
9;17;482;559;7;50;8;8;4383;;
9;18;804;558;2;61;8;12;4383;;
9;19;422;629;0;50;7;7;4383;;
9;20;611;688;0;65;7;12;4383;;
9;21;598;757;0;74;12;8;5951;;
9;22;1021;766;0;64;11;8;4383;;
9;23;667;775;1;64;7;9;4383;;
9;24;730;821;0;89;22;21;4300;;
