FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;887;256;0;93;12;9;1782;UA44;ETANOL
0;1;994;275;0;67;9;12;11972;;
0;2;1148;417;0;75;6;15;13175;;
0;3;920;878;0;65;12;16;9070;;
3;0;890;256;0;84;15;10;1790;;
3;1;994;275;1;67;9;12;11972;;
3;2;1147;416;0;77;7;14;9079;;
3;3;920;878;0;80;11;16;9070;;
3;4;1118;555;0;65;8;12;29495;;
3;5;1000;889;0;49;15;23;52275;;
4;0;891;255;0;78;18;8;3824;;
4;1;1000;268;0;77;9;19;4407;;
4;2;1148;416;0;82;6;15;13175;;
4;3;920;878;0;78;12;16;13103;;
4;4;1118;552;0;56;7;23;4215;;
4;5;1000;889;1;49;15;23;52275;;
5;0;891;255;0;85;16;9;36080;;
5;1;1005;270;0;66;17;21;26060;;
5;2;1148;417;0;83;7;15;13111;;
5;3;920;878;0;76;12;16;13118;;
5;4;1118;555;0;61;8;12;29491;;
5;5;1001;889;0;46;15;23;19507;;
6;0;890;255;0;78;16;9;36080;;
6;1;1010;271;0;68;23;17;6029;;
6;2;1148;417;0;72;6;15;13111;;
6;3;920;878;0;70;12;16;9070;;
6;4;1118;555;1;61;8;12;29491;;
6;5;1001;889;1;46;15;23;19507;;
7;0;890;253;0;78;16;8;3312;;
7;1;993;275;0;71;16;21;29892;;
7;2;1147;416;0;79;7;15;13111;;
7;3;923;872;0;72;12;16;8814;;
7;4;1117;552;0;48;7;21;119;;
7;5;1001;889;2;46;15;23;19507;;
8;0;887;252;0;84;14;9;1766;;
8;1;996;283;0;58;9;12;17507;;
8;2;1148;417;0;80;7;15;4919;;
8;3;923;873;0;74;12;16;9070;;
8;4;1117;552;1;48;7;21;119;;
8;5;1001;889;3;46;15;23;19507;;
8;6;986;267;0;72;15;18;33075;;
9;0;886;252;0;90;13;8;3824;;
9;1;1001;277;0;64;21;16;19661;;
9;2;1147;416;0;78;7;15;13111;;
9;3;920;878;0;75;12;15;4927;;
9;4;1118;555;0;71;9;12;25395;;
9;5;1001;889;4;46;15;23;19507;;
9;6;986;267;1;72;15;18;33075;;
9;7;1193;613;0;64;3;15;4375;;
10;0;885;251;0;89;12;9;3826;;
10;1;999;275;0;66;6;14;5991;;
10;2;1148;417;0;76;6;15;13175;;
10;3;923;873;0;67;11;17;13094;;
10;4;1118;555;0;71;8;12;25399;;
10;5;1001;889;5;46;15;23;19507;;
10;6;986;267;2;72;15;18;33075;;
10;7;1193;613;1;64;3;15;4375;;
11;0;885;251;0;88;12;9;3824;;
11;1;999;275;1;66;6;14;5991;;
11;2;1148;417;0;79;6;15;9079;;
11;3;920;878;0;75;12;16;9070;;
11;4;1118;555;1;71;8;12;25399;;
11;5;1001;889;6;46;15;23;19507;;
11;6;986;267;3;72;15;18;33075;;
11;7;1193;614;0;63;3;15;4415;;
12;0;885;251;0;84;12;9;3824;;
12;1;997;284;0;63;8;15;26227;;
12;2;1148;417;0;79;7;15;13111;;
12;3;920;878;0;74;12;16;8814;;
12;4;1117;551;0;56;8;22;12407;;
12;5;1001;889;7;46;15;23;19507;;
12;6;986;266;0;78;18;20;32819;;
12;7;1193;614;1;63;3;15;4415;;
13;0;888;251;0;87;13;9;3828;;
13;1;998;287;0;66;9;13;18035;;
13;2;1147;416;0;80;7;15;13111;;
13;3;920;878;0;68;12;16;13183;;
13;4;1117;551;1;56;8;22;12407;;
13;5;1001;889;8;46;15;23;19507;;
13;6;986;266;1;78;18;20;32819;;
13;7;1193;614;0;58;3;15;4407;;
14;0;885;252;0;87;9;16;26400;;
14;1;997;282;0;71;9;15;18035;;
14;2;1148;417;0;74;6;15;13175;;
14;3;920;878;0;80;11;16;9070;;
14;4;1116;553;0;60;9;12;26419;;
14;5;1001;889;9;46;15;23;19507;;
14;6;986;266;2;78;18;20;32819;;
14;7;1193;614;1;58;3;15;4407;;
14;8;901;279;0;52;17;20;32803;;
15;0;888;257;0;86;12;18;26146;;
15;1;997;283;0;48;20;17;52381;;
15;2;1148;417;1;74;6;15;13175;;
15;3;920;878;0;75;12;16;9070;;
15;4;1116;553;1;60;9;12;26419;;
15;6;986;266;3;78;18;20;32819;;
15;7;1193;614;2;58;3;15;4407;;
15;8;901;279;0;56;17;19;49155;;
15;9;902;237;0;66;18;18;206;;
16;0;886;253;0;93;10;17;26210;;
16;1;998;278;0;48;6;17;13158;;
16;2;1148;417;0;75;7;15;13111;;
16;3;920;878;0;87;12;17;13167;;
16;4;1116;553;2;60;9;12;26419;;
16;6;986;266;4;78;18;20;32819;;
16;7;1193;614;0;64;3;15;4407;;
16;8;901;279;0;60;17;20;49187;;
16;9;902;237;1;66;18;18;206;;
17;0;886;251;0;92;9;13;26466;;
17;1;995;279;0;53;4;15;13107;;
17;2;1148;416;0;77;6;15;13111;;
17;3;920;878;0;83;11;16;9070;;
17;4;1116;553;3;60;9;12;26419;;
17;6;986;266;5;78;18;20;32819;;
17;7;1193;614;0;64;3;15;4407;;
17;8;901;279;1;60;17;20;49187;;
17;9;902;237;2;66;18;18;206;;
18;0;887;251;0;90;9;12;28258;;
18;1;997;283;0;54;6;19;14182;;
18;2;1148;417;0;78;6;15;13175;;
18;3;920;878;0;70;11;16;9070;;
18;4;1117;553;0;59;8;12;26419;;
18;6;986;267;0;76;9;13;13926;;
18;7;1192;613;0;56;3;15;4383;;
18;8;901;279;2;60;17;20;49187;;
18;9;902;237;3;66;18;18;206;;
19;0;887;251;0;97;9;12;26226;;
19;1;996;283;0;54;9;18;30310;;
19;2;1148;416;0;84;7;14;13175;;
19;3;920;878;0;79;12;15;13119;;
19;4;1117;553;0;64;8;12;26423;;
19;6;986;266;0;102;18;17;33075;;
19;7;1192;613;1;56;3;15;4383;;
19;8;901;279;3;60;17;20;49187;;
19;9;902;237;4;66;18;18;206;;
20;0;887;250;0;91;9;12;28258;;
20;1;993;274;0;73;9;16;13926;;
20;2;1148;415;0;75;6;15;13175;;
20;3;920;878;0;72;12;15;4383;;
20;4;1118;552;0;64;7;24;103;;
20;6;986;266;1;102;18;17;33075;;
20;7;1192;613;2;56;3;15;4383;;
20;8;901;279;4;60;17;20;49187;;
20;9;902;237;5;66;18;18;206;;
21;0;887;250;0;92;10;12;10098;;
21;1;1001;269;0;69;9;20;9830;;
21;2;1148;416;0;76;6;15;13175;;
21;3;920;878;0;70;12;16;13118;;
21;4;1118;555;0;62;9;12;26419;;
21;6;986;266;2;102;18;17;33075;;
21;7;1192;613;3;56;3;15;4383;;
21;8;901;279;5;60;17;20;49187;;
21;9;902;237;6;66;18;18;206;;
21;10;827;189;0;86;21;9;3552;;
22;0;887;250;1;92;10;12;10098;;
22;1;996;276;0;73;11;20;9828;;
22;2;1148;417;0;72;6;15;13175;;
22;3;920;878;0;80;13;16;9070;;
22;4;1118;555;1;62;9;12;26419;;
22;6;986;266;3;102;18;17;33075;;
22;7;1192;613;4;56;3;15;4383;;
22;8;901;279;6;60;17;20;49187;;
22;9;902;237;7;66;18;18;206;;
22;10;827;189;1;86;21;9;3552;;
23;0;886;252;0;87;10;14;26466;;
23;1;1002;270;0;76;10;20;9828;;
23;2;1147;417;0;80;7;15;4919;;
23;3;920;878;0;68;11;15;4383;;
23;4;1118;555;0;66;9;12;25395;;
23;6;986;266;4;102;18;17;33075;;
23;7;1192;613;5;56;3;15;4383;;
23;8;901;279;0;51;22;21;32819;;
23;9;902;237;8;66;18;18;206;;
23;10;827;189;2;86;21;9;3552;;
24;0;887;251;0;84;10;12;10100;;
24;1;997;276;0;74;10;19;13158;;
24;2;1147;416;0;65;5;14;13175;;
24;3;920;878;0;74;11;16;9070;;
24;4;1117;552;0;49;8;21;103;;
24;6;986;266;5;102;18;17;33075;;
24;7;1192;613;6;56;3;15;4383;;
24;8;901;279;1;51;22;21;32819;;
24;9;902;237;9;66;18;18;206;;
24;10;827;189;3;86;21;9;3552;;
25;0;886;251;0;94;10;12;10102;;
25;1;995;282;0;53;14;15;13182;;
25;2;1148;417;0;72;7;15;13111;;
25;3;920;878;0;77;11;16;9070;;
25;4;1118;555;0;64;8;12;25399;;
25;6;986;266;6;102;18;17;33075;;
25;7;1193;614;0;64;3;15;4375;;
25;8;901;279;2;51;22;21;32819;;
25;10;827;189;4;86;21;9;3552;;
25;11;878;210;0;47;6;23;26210;;
26;0;886;251;0;93;10;12;12276;;
26;1;994;275;0;67;15;14;5102;;
26;2;1148;416;0;74;6;15;13111;;
26;3;920;878;0;74;12;17;9070;;
26;4;1118;555;1;64;8;12;25399;;
26;6;986;266;7;102;18;17;33075;;
26;7;1193;614;1;64;3;15;4375;;
26;8;901;279;3;51;22;21;32819;;
26;10;827;189;5;86;21;9;3552;;
26;11;878;210;1;47;6;23;26210;;
27;0;886;251;0;99;11;11;4383;;
27;1;996;282;0;55;12;12;4479;;
27;2;1148;416;1;74;6;15;13111;;
27;3;921;878;0;85;12;15;4927;;
27;4;1118;555;2;64;8;12;25399;;
27;6;986;266;8;102;18;17;33075;;
27;7;1193;614;0;64;3;15;4383;;
27;8;901;279;4;51;22;21;32819;;
27;10;827;189;6;86;21;9;3552;;
27;11;878;210;0;54;7;23;26146;;
28;0;886;251;0;91;10;12;12148;;
28;1;994;275;0;55;14;16;5100;;
28;2;1148;417;0;73;6;15;13111;;
28;3;920;878;0;80;13;16;9070;;
28;4;1118;555;3;64;8;12;25399;;
28;6;986;266;9;102;18;17;33075;;
28;7;1193;614;1;64;3;15;4383;;
28;8;901;279;5;51;22;21;32819;;
28;10;827;189;7;86;21;9;3552;;
28;11;878;210;1;54;7;23;26146;;
28;12;889;357;0;45;13;9;3443;;
29;0;886;251;1;91;10;12;12148;;
29;1;994;275;1;55;14;16;5100;;
29;2;1148;416;0;79;6;15;9846;;
29;3;920;878;0;77;12;16;9070;;
29;4;1116;553;0;64;9;12;26419;;
29;7;1193;614;0;63;3;15;4383;;
29;8;901;279;6;51;22;21;32819;;
29;10;827;189;8;86;21;9;3552;;
29;11;878;210;2;54;7;23;26146;;
29;12;889;357;1;45;13;9;3443;;
30;0;886;251;2;91;10;12;12148;;
30;1;986;267;0;86;10;11;4607;;
30;2;1148;417;0;71;7;15;4919;;
30;3;920;878;0;60;12;15;4895;;
30;4;1118;553;0;59;8;12;10039;;
30;7;1193;614;1;63;3;15;4383;;
30;8;901;279;7;51;22;21;32819;;
30;10;824;189;0;81;21;12;376;;
30;11;878;210;3;54;7;23;26146;;
30;12;889;357;2;45;13;9;3443;;
31;0;887;250;0;100;11;11;10099;;
31;1;996;280;0;66;11;12;8140;;
31;2;1147;417;0;79;7;14;13175;;
31;3;923;873;0;75;11;17;13111;;
31;4;1117;551;0;49;7;25;119;;
31;7;1193;615;0;64;3;15;4375;;
31;8;901;279;8;51;22;21;32819;;
31;10;824;189;1;81;21;12;376;;
31;11;878;210;4;54;7;23;26146;;
31;12;889;357;3;45;13;9;3443;;
32;0;887;250;1;100;11;11;10099;;
32;1;997;280;0;68;21;13;19664;;
32;2;1148;417;0;76;7;15;13111;;
32;3;920;878;0;78;12;16;13118;;
32;4;1117;554;0;63;8;12;14131;;
32;7;1193;615;1;64;3;15;4375;;
32;8;901;279;9;51;22;21;32819;;
32;10;827;186;0;86;23;11;376;;
32;11;878;210;5;54;7;23;26146;;
32;12;889;357;4;45;13;9;3443;;
33;0;887;250;2;100;11;11;10099;;
33;1;997;280;1;68;21;13;19664;;
33;2;1148;416;0;73;6;14;9078;;
33;3;920;878;0;72;12;15;4895;;
33;4;1117;552;0;62;7;24;8295;;
33;7;1193;613;0;72;4;15;4383;;
33;10;827;186;1;86;23;11;376;;
33;11;878;210;6;54;7;23;26146;;
33;12;889;357;5;45;13;9;3443;;
34;0;887;250;0;98;11;10;10227;;
34;1;987;268;0;83;9;12;1143;;
34;2;1148;417;0;71;6;15;13175;;
34;3;923;873;0;72;12;16;13118;;
34;4;1118;555;0;64;9;12;26423;;
34;7;1193;613;0;64;3;15;4375;;
34;10;827;186;2;86;23;11;376;;
34;11;878;210;7;54;7;23;26146;;
34;12;889;357;6;45;13;9;3443;;
35;0;887;250;0;97;11;11;9974;;
35;1;997;278;0;71;20;16;52425;;
35;2;1148;417;0;79;8;15;13175;;
35;3;920;878;0;85;13;17;13119;;
35;4;1118;551;0;57;8;22;12407;;
35;7;1193;613;1;64;3;15;4375;;
35;10;827;186;3;86;23;11;376;;
35;11;878;210;8;54;7;23;26146;;
35;12;889;357;7;45;13;9;3443;;
36;0;887;250;1;97;11;11;9974;;
36;1;993;274;0;76;12;18;5988;;
36;2;1148;417;0;74;6;15;13175;;
36;3;920;878;0;80;12;16;9070;;
36;4;1118;551;1;57;8;22;12407;;
36;7;1193;613;2;64;3;15;4375;;
36;10;825;187;0;79;21;12;376;;
36;11;878;210;9;54;7;23;26146;;
36;12;889;357;8;45;13;9;3443;;
37;0;887;250;0;98;11;11;10225;;
37;1;994;275;0;81;14;18;32332;;
37;2;1147;416;0;74;6;15;13111;;
37;3;920;878;0;77;12;15;4383;;
37;4;1118;551;2;57;8;22;12407;;
